变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6,costItemMap7,costItemMap8,costItemMap9,costItemMap10,costItemMap11,costItemMap12,costItemMap13,costItemMap14,costItemMap15,costItemMap16,costItemMap17,costItemMap18,costItemMap19,costItemMap20
默认值,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
等级,道具消耗序列1,道具消耗序列2,道具消耗序列3,道具消耗序列4,道具消耗序列5,道具消耗序列6,道具消耗序列7,道具消耗序列8,道具消耗序列9,道具消耗序列10,道具消耗序列11,道具消耗序列12,道具消耗序列13,道具消耗序列14,道具消耗序列15,道具消耗序列16,道具消耗序列17,道具消耗序列18,道具消耗序列19,道具消耗序列20
38,{111=108;gold=480000;coin10=360},{111=162;gold=720000;coin10=540},{111=162;gold=720000;coin10=540},{111=216;gold=960000;coin10=720},{111=216;gold=960000;coin10=720},{coin2=360;111=108;gold=480000},{coin2=540;111=162;gold=720000},{coin2=540;111=162;gold=720000},{coin2=720;111=216;gold=960000},{coin2=720;111=216;gold=960000},{gold=480000;111=108;coin1=360},{gold=720000;111=162;coin1=540},{gold=720000;111=162;coin1=540},{gold=960000;111=216;coin1=720},{gold=960000;111=216;coin1=720},{coin6=360;111=108;gold=480000},{coin6=540;111=162;gold=720000},{coin6=540;111=162;gold=720000},{coin6=720;111=216;gold=960000},{coin6=720;111=216;gold=960000}
39,{111=108;gold=480000;coin10=360},{111=162;gold=720000;coin10=540},{111=162;gold=720000;coin10=540},{111=216;gold=960000;coin10=720},{111=216;gold=960000;coin10=720},{coin2=360;111=108;gold=480000},{coin2=540;111=162;gold=720000},{coin2=540;111=162;gold=720000},{coin2=720;111=216;gold=960000},{coin2=720;111=216;gold=960000},{gold=480000;111=108;coin1=360},{gold=720000;111=162;coin1=540},{gold=720000;111=162;coin1=540},{gold=960000;111=216;coin1=720},{gold=960000;111=216;coin1=720},{coin6=360;111=108;gold=480000},{coin6=540;111=162;gold=720000},{coin6=540;111=162;gold=720000},{coin6=720;111=216;gold=960000},{coin6=720;111=216;gold=960000}
40,{111=112;gold=560000;coin10=400},{111=168;gold=840000;coin10=600},{111=168;gold=840000;coin10=600},{111=224;gold=1120000;coin10=800},{111=224;gold=1120000;coin10=800},{coin2=400;111=112;gold=560000},{coin2=600;111=168;gold=840000},{coin2=600;111=168;gold=840000},{coin2=800;111=224;gold=1120000},{coin2=800;111=224;gold=1120000},{gold=560000;111=112;coin1=400},{gold=840000;111=168;coin1=600},{gold=840000;111=168;coin1=600},{gold=1120000;111=224;coin1=800},{gold=1120000;111=224;coin1=800},{coin6=400;111=112;gold=560000},{coin6=600;111=168;gold=840000},{coin6=600;111=168;gold=840000},{coin6=800;111=224;gold=1120000},{coin6=800;111=224;gold=1120000}
41,{111=112;gold=560000;coin10=400},{111=168;gold=840000;coin10=600},{111=168;gold=840000;coin10=600},{111=224;gold=1120000;coin10=800},{111=224;gold=1120000;coin10=800},{coin2=400;111=112;gold=560000},{coin2=600;111=168;gold=840000},{coin2=600;111=168;gold=840000},{coin2=800;111=224;gold=1120000},{coin2=800;111=224;gold=1120000},{gold=560000;111=112;coin1=400},{gold=840000;111=168;coin1=600},{gold=840000;111=168;coin1=600},{gold=1120000;111=224;coin1=800},{gold=1120000;111=224;coin1=800},{coin6=400;111=112;gold=560000},{coin6=600;111=168;gold=840000},{coin6=600;111=168;gold=840000},{coin6=800;111=224;gold=1120000},{coin6=800;111=224;gold=1120000}
42,{111=112;gold=560000;coin10=400},{111=168;gold=840000;coin10=600},{111=168;gold=840000;coin10=600},{111=224;gold=1120000;coin10=800},{111=224;gold=1120000;coin10=800},{coin2=400;111=112;gold=560000},{coin2=600;111=168;gold=840000},{coin2=600;111=168;gold=840000},{coin2=800;111=224;gold=1120000},{coin2=800;111=224;gold=1120000},{gold=560000;111=112;coin1=400},{gold=840000;111=168;coin1=600},{gold=840000;111=168;coin1=600},{gold=1120000;111=224;coin1=800},{gold=1120000;111=224;coin1=800},{coin6=400;111=112;gold=560000},{coin6=600;111=168;gold=840000},{coin6=600;111=168;gold=840000},{coin6=800;111=224;gold=1120000},{coin6=800;111=224;gold=1120000}
43,{111=112;gold=560000;coin10=400},{111=168;gold=840000;coin10=600},{111=168;gold=840000;coin10=600},{111=224;gold=1120000;coin10=800},{111=224;gold=1120000;coin10=800},{coin2=400;111=112;gold=560000},{coin2=600;111=168;gold=840000},{coin2=600;111=168;gold=840000},{coin2=800;111=224;gold=1120000},{coin2=800;111=224;gold=1120000},{gold=560000;111=112;coin1=400},{gold=840000;111=168;coin1=600},{gold=840000;111=168;coin1=600},{gold=1120000;111=224;coin1=800},{gold=1120000;111=224;coin1=800},{coin6=400;111=112;gold=560000},{coin6=600;111=168;gold=840000},{coin6=600;111=168;gold=840000},{coin6=800;111=224;gold=1120000},{coin6=800;111=224;gold=1120000}
44,{111=112;gold=560000;coin10=400},{111=168;gold=840000;coin10=600},{111=168;gold=840000;coin10=600},{111=224;gold=1120000;coin10=800},{111=224;gold=1120000;coin10=800},{coin2=400;111=112;gold=560000},{coin2=600;111=168;gold=840000},{coin2=600;111=168;gold=840000},{coin2=800;111=224;gold=1120000},{coin2=800;111=224;gold=1120000},{gold=560000;111=112;coin1=400},{gold=840000;111=168;coin1=600},{gold=840000;111=168;coin1=600},{gold=1120000;111=224;coin1=800},{gold=1120000;111=224;coin1=800},{coin6=400;111=112;gold=560000},{coin6=600;111=168;gold=840000},{coin6=600;111=168;gold=840000},{coin6=800;111=224;gold=1120000},{coin6=800;111=224;gold=1120000}
45,{111=116;gold=640000;coin10=440},{111=174;gold=960000;coin10=660},{111=174;gold=960000;coin10=660},{111=232;gold=1280000;coin10=880},{111=232;gold=1280000;coin10=880},{coin2=440;111=116;gold=640000},{coin2=660;111=174;gold=960000},{coin2=660;111=174;gold=960000},{coin2=880;111=232;gold=1280000},{coin2=880;111=232;gold=1280000},{gold=640000;111=116;coin1=440},{gold=960000;111=174;coin1=660},{gold=960000;111=174;coin1=660},{gold=1280000;111=232;coin1=880},{gold=1280000;111=232;coin1=880},{coin6=440;111=116;gold=640000},{coin6=660;111=174;gold=960000},{coin6=660;111=174;gold=960000},{coin6=880;111=232;gold=1280000},{coin6=880;111=232;gold=1280000}
46,{111=116;gold=640000;coin10=440},{111=174;gold=960000;coin10=660},{111=174;gold=960000;coin10=660},{111=232;gold=1280000;coin10=880},{111=232;gold=1280000;coin10=880},{coin2=440;111=116;gold=640000},{coin2=660;111=174;gold=960000},{coin2=660;111=174;gold=960000},{coin2=880;111=232;gold=1280000},{coin2=880;111=232;gold=1280000},{gold=640000;111=116;coin1=440},{gold=960000;111=174;coin1=660},{gold=960000;111=174;coin1=660},{gold=1280000;111=232;coin1=880},{gold=1280000;111=232;coin1=880},{coin6=440;111=116;gold=640000},{coin6=660;111=174;gold=960000},{coin6=660;111=174;gold=960000},{coin6=880;111=232;gold=1280000},{coin6=880;111=232;gold=1280000}
47,{111=116;gold=640000;coin10=440},{111=174;gold=960000;coin10=660},{111=174;gold=960000;coin10=660},{111=232;gold=1280000;coin10=880},{111=232;gold=1280000;coin10=880},{coin2=440;111=116;gold=640000},{coin2=660;111=174;gold=960000},{coin2=660;111=174;gold=960000},{coin2=880;111=232;gold=1280000},{coin2=880;111=232;gold=1280000},{gold=640000;111=116;coin1=440},{gold=960000;111=174;coin1=660},{gold=960000;111=174;coin1=660},{gold=1280000;111=232;coin1=880},{gold=1280000;111=232;coin1=880},{coin6=440;111=116;gold=640000},{coin6=660;111=174;gold=960000},{coin6=660;111=174;gold=960000},{coin6=880;111=232;gold=1280000},{coin6=880;111=232;gold=1280000}
48,{111=116;gold=640000;coin10=440},{111=174;gold=960000;coin10=660},{111=174;gold=960000;coin10=660},{111=232;gold=1280000;coin10=880},{111=232;gold=1280000;coin10=880},{coin2=440;111=116;gold=640000},{coin2=660;111=174;gold=960000},{coin2=660;111=174;gold=960000},{coin2=880;111=232;gold=1280000},{coin2=880;111=232;gold=1280000},{gold=640000;111=116;coin1=440},{gold=960000;111=174;coin1=660},{gold=960000;111=174;coin1=660},{gold=1280000;111=232;coin1=880},{gold=1280000;111=232;coin1=880},{coin6=440;111=116;gold=640000},{coin6=660;111=174;gold=960000},{coin6=660;111=174;gold=960000},{coin6=880;111=232;gold=1280000},{coin6=880;111=232;gold=1280000}
49,{111=116;gold=640000;coin10=440},{111=174;gold=960000;coin10=660},{111=174;gold=960000;coin10=660},{111=232;gold=1280000;coin10=880},{111=232;gold=1280000;coin10=880},{coin2=440;111=116;gold=640000},{coin2=660;111=174;gold=960000},{coin2=660;111=174;gold=960000},{coin2=880;111=232;gold=1280000},{coin2=880;111=232;gold=1280000},{gold=640000;111=116;coin1=440},{gold=960000;111=174;coin1=660},{gold=960000;111=174;coin1=660},{gold=1280000;111=232;coin1=880},{gold=1280000;111=232;coin1=880},{coin6=440;111=116;gold=640000},{coin6=660;111=174;gold=960000},{coin6=660;111=174;gold=960000},{coin6=880;111=232;gold=1280000},{coin6=880;111=232;gold=1280000}
50,{111=116;gold=640000;coin10=440},{111=174;gold=960000;coin10=660},{111=174;gold=960000;coin10=660},{111=232;gold=1280000;coin10=880},{111=232;gold=1280000;coin10=880},{coin2=440;111=116;gold=640000},{coin2=660;111=174;gold=960000},{coin2=660;111=174;gold=960000},{coin2=880;111=232;gold=1280000},{coin2=880;111=232;gold=1280000},{gold=640000;111=116;coin1=440},{gold=960000;111=174;coin1=660},{gold=960000;111=174;coin1=660},{gold=1280000;111=232;coin1=880},{gold=1280000;111=232;coin1=880},{coin6=440;111=116;gold=640000},{coin6=660;111=174;gold=960000},{coin6=660;111=174;gold=960000},{coin6=880;111=232;gold=1280000},{coin6=880;111=232;gold=1280000}
