变量名,_beizhu,npc,gymID,hardDegree,weight,deployType,deployNatureLimit,deployCardNumLimit,deployNum,lastJump,historyJump,_beizhu1,weatherDesc,weatherDesc_tw,weatherDesc_en,weatherDesc_vn,weatherDesc_kr,weatherDesc_pt,weatherDesc_th,palce,palce_tw,palce_en,palce_vn,palce_kr,palce_ar,palce_de,palce_fr,palce_it,palce_pt,palce_ru,palce_th,placeDesc,placeDesc_tw,placeDesc_en,placeDesc_vn,placeDesc_kr,placeDesc_ar,placeDesc_de,placeDesc_fr,placeDesc_it,placeDesc_pt,placeDesc_ru,placeDesc_th,specialEff,specialEffDesc,specialEffDesc_tw,specialEffDesc_en,specialEffDesc_vn,specialEffDesc_kr,specialEffDesc_pt,specialEffDesc_th
80112,露力丽,,2,12,1,1,,,,,,2,【雨天】（水系精灵速度提升，火系精灵伤害降低，每个大回合结束时驱散全体精灵一部分负面效果）\n【雪天】（冰系精灵双防提升，所有非冰系精灵每个大回合结束时受到一定冰元素伤害，并有几率被【冰冻】）,【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）\n【雪天】（冰系精靈雙防提升，所有非冰系精靈每個大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다) \n[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다)","[Chuvoso] (Aumenta a velocidade de Pokémon do tipo água, reduz o dano de Pokémon do tipo fogo. No final de cada rodada, parte dos efeitos negativos em todos os Pokémon são dissipados) \n[Neve] (Aumenta a DEF P. e Sp. do Pokémon do tipo gelo, todos os Pokémon do tipo não gelo sofrem uma certa quantidade de dano de gelo no final de cada rodada e têm chance de serem [Congelados])",[ฝน] (เพิ่มความเร็วของโปเกมอนประเภทน้ำ ลดความเสียหายของโปเกมอนประเภทไฟ ในตอนท้ายของแต่ละรอบ เอฟเฟกต์เชิงลบบางส่วนบนโปเกมอนทั้งหมดจะถูกลบล้าง) \n[หิมะ] (เพิ่มพลังป้องกัน P. & Sp. ของโปเกมอนประเภทน้ำแข็ง โปเกมอนที่ไม่ใช่ประเภทน้ำแข็งทั้งหมดได้รับความเสียหายจากน้ำแข็งจำนวนหนึ่งในตอนท้ายของแต่ละรอบ และมีโอกาสที่จะถูก [แช่แข็ง]),,,,,,,,,,,,,,,,,,,,,,,,,,\n屠龙勇士绝非浪得虚名,\n屠龍勇士絕非浪得虛名,\nThe name of dragon slayer is well earned,404,\n용을 잡아죽인 용사라는 것이 장난 아니야,\nO nome de matador de dragões é bem merecido,\nชื่อของนักล่ามังกรนั้นสมควรได้รับแล้ว
80113,可达鸭,,2,12,1,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鸭鸭什么都不知道，不关鸭鸭的事情\n#C0xFFDEAD#鸭鸭真的是来送分的,鴨鴨什麽都不知道，不關鴨鴨的事情\n#C0xFFDEAD#鴨鴨真的是來送分的,"Ducky don't know anything, it no ducky business\n#C0xFFDEAD#Ducky is to free score",404,골덕은 아무것도 몰라요! 골덕은 아무 상관이 없어요!\n#C0xFFDEAD#골덕은 정말 점수를 먹이러 왔어요 ,"Ducky não sabe de nada, não é da conta de Ducky\n#C0xFFDEAD#Ducky é para pontuação livre",Ducky ไม่รู้อะไรเลย มันไม่ใช่ธุระของ Ducky\n#C0xFFDEAD#Ducky จะได้คะแนนฟรี
80114,,,2,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80115,,,2,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80116,,,2,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80121,,,2,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80122,反伤,,2,13,1,1,,,,,,1,【雨天】（水系精灵速度提升，火系精灵伤害降低，每个大回合结束时驱散全体精灵一部分负面效果）\n【雪天】（冰系精灵双防提升，所有非冰系精灵每大回合结束时受到一定冰元素伤害，并有几率被【冰冻】）,【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）\n【雪天】（冰系精靈雙防提升，所有非冰系精靈每大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다) \n[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다)","[Chuvoso] (Aumenta a velocidade de Pokémon do tipo água, reduz o dano de Pokémon do tipo fogo. No final de cada rodada, parte dos efeitos negativos em todos os Pokémon são dissipados) \n[Neve] (Aumenta a DEF P. e Sp. do Pokémon do tipo gelo, todos os Pokémon do tipo não gelo sofrem uma certa quantidade de dano de gelo no final de cada rodada e têm chance de serem [Congelados])",[ฝน] (เพิ่มความเร็วของโปเกมอนประเภทน้ำ ลดความเสียหายของโปเกมอนประเภทไฟ ในตอนท้ายของแต่ละรอบ เอฟเฟกต์เชิงลบบางส่วนบนโปเกมอนทั้งหมดจะถูกลบล้าง) \n[หิมะ] (เพิ่มพลังป้องกัน P. & Sp. ของโปเกมอนประเภทน้ำแข็ง โปเกมอนที่ไม่ใช่ประเภทน้ำแข็งทั้งหมดได้รับความเสียหายจากน้ำแข็งจำนวนหนึ่งในตอนท้ายของแต่ละรอบ และมีโอกาสที่จะถูก [แช่แข็ง]),,,,,,,,,,,,,,,,,,,,,,,,,,敌方全体精灵反伤效果大幅提升\n我方全体必杀技伤害大幅提升,敵方全體精靈反傷效果大幅提升\n我方全體必殺技傷害大幅提升,The damage reflection effect of all enemy Pokémons has been greatly increased\nThe damage of all allies Ultimate Skill has been greatly increased,404,적 전체 포켓몬 반사 피해 효과 대푹 증가\n아군 전체 필살기 피해 대푹 증가,efeito de reflexão de dano de todos os Pokémon inimigos foi bastante aumentado\nO dano de todas as Habilidades Supremas aliadas foi bastante aumentado,เอฟเฟกต์สะท้อนความเสียหายของโปเกมอนฝ่ายศัตรูทั้งหมดได้รับการเพิ่มขึ้นอย่างมาก\nความเสียหายของสกิลอัลติเมทของพันธมิตรทั้งหมดได้รับการเพิ่มขึ้นอย่างมาก
80123,雪妖女,,2,13,1,1,,,,,,3,【雪天】（冰系精灵双防提升，所有非冰系精灵每大回合结束时受到一定冰元素伤害，并有几率被【冰冻】）,【雪天】（冰系精靈雙防提升，所有非冰系精靈每大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다),"[Neve] (Aumenta a DEF P. e Sp. do tipo Gelo do Pokémon, todos os Pokémon que não sejam do tipo Gelo sofrem uma certa quantidade de dano de gelo no final de cada rodada e têm chance de serem [Congelados])",[หิมะ] (เพิ่มพลังป้องกัน P. & Sp. DEF ของโปเกมอนประเภทน้ำแข็ง โปเกมอนที่ไม่ใช่ประเภทน้ำแข็งทั้งหมดจะได้รับความเสียหายจากน้ำแข็งจำนวนหนึ่งเมื่อจบแต่ละรอบ และมีโอกาสที่จะถูก [แช่แข็ง]),,,,,,,,,,,,,,,,,,,,,,,,,<<<6>;1;0;7%>>,\n雪妖女非常关爱和保护它们所爱和信任的东西，尤其是它们的小孩雪童子,\n雪妖女非常關愛和保護它們所愛和信任的東西，尤其是它們的小孩雪童子,"\nFroslass loves and protects the things they love and trust, especially their child Snorunt",404,\n눈여아는 사랑하고 믿은 것을 많이 소중하게 여긴다. 특히 그들의 아이 눈꼬마를 단단히 지켜준다,"\nFroslass ama e protege as coisas que ama e confia, especialmente seu filho Snorunt",\nฟรอสลาสรักและปกป้องสิ่งที่พวกเขารักและไว้วางใจ โดยเฉพาะลูกชายของพวกเขา สโนรันท์
80124,雪妖女美纳斯,,2,13,1,1,,,,,,12,【雨天】（水系精灵速度提升，火系精灵伤害降低，每个大回合结束时驱散全体精灵一部分负面效果）\n【雪天】（冰系精灵双防提升，所有非冰系精灵每个大回合结束时受到一定冰元素伤害，并有几率被【冰冻】）,【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）\n【雪天】（冰系精靈雙防提升，所有非冰系精靈每個大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다) \n[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다)","[Chuvoso] (Aumenta a velocidade de Pokémon do tipo água, reduz o dano de Pokémon do tipo fogo. No final de cada rodada, parte dos efeitos negativos em todos os Pokémon são dissipados) \n[Neve] (Aumenta a DEF P. e Sp. do Pokémon do tipo gelo, todos os Pokémon do tipo não gelo sofrem uma certa quantidade de dano de gelo no final de cada rodada e têm chance de serem [Congelados])",[ฝน] (เพิ่มความเร็วของโปเกมอนประเภทน้ำ ลดความเสียหายของโปเกมอนประเภทไฟ ในตอนท้ายของแต่ละรอบ เอฟเฟกต์เชิงลบบางส่วนบนโปเกมอนทั้งหมดจะถูกลบล้าง) \n[หิมะ] (เพิ่มพลังป้องกัน P. & Sp. ของโปเกมอนประเภทน้ำแข็ง โปเกมอนที่ไม่ใช่ประเภทน้ำแข็งทั้งหมดได้รับความเสียหายจากน้ำแข็งจำนวนหนึ่งในตอนท้ายของแต่ละรอบ และมีโอกาสที่จะถูก [แช่แข็ง]),,,,,,,,,,,,,,,,,,,,,,,,,,雪妖女雪天持续隐身\n美纳斯雨天闪避大幅提升,雪妖女雪天持續隱身\n美納斯雨天閃避大幅提升,Froslass stealth in snow\n Milotic Dodge greatly increase in Rainy,,,Froslass stealth na neve\n Milotic Dodge aumenta muito em Rainy,การล่องหนของ Froslass ในหิมะ\n การหลบหลีก Milotic เพิ่มขึ้นอย่างมากใน Rainy
80125,,,2,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80126,,,2,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80131,雪花+玛狃拉,,2,14,1,1,,,,12,,1,【雪天】（冰系精灵双防提升，所有非冰系精灵每大回合结束时受到一定冰元素伤害，并有几率被【冰冻】）,【雪天】（冰系精靈雙防提升，所有非冰系精靈每大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다),"[Neve] (Aumenta a DEF P. e Sp. do tipo Gelo do Pokémon, todos os Pokémon que não sejam do tipo Gelo sofrem uma certa quantidade de dano de gelo no final de cada rodada e têm chance de serem [Congelados])",[หิมะ] (เพิ่มพลังป้องกัน P. & Sp. DEF ของโปเกมอนประเภทน้ำแข็ง โปเกมอนที่ไม่ใช่ประเภทน้ำแข็งทั้งหมดจะได้รับความเสียหายจากน้ำแข็งจำนวนหนึ่งเมื่อจบแต่ละรอบ และมีโอกาสที่จะถูก [แช่แข็ง]),,,,,,,,,,,,,,,,,,,,,,,,,,敌方全体精灵速度大幅提升\n玛狃拉首回合物攻大幅提升,敵方全體精靈速度大幅提升\n瑪狃拉首回合物攻大幅提升,The speed of all enemy Pokémon has been greatly increased\nSneasel’s P.ATK in first round has been greatly increased,404,적 전체 포켓몬 스피드 대푹 증가\n포푸니라 첫 턴에 물리 공격 대푹 증가,A velocidade de todos os Pokémon inimigos foi bastante aumentada\nO P.ATK de Sneasel no primeiro turno foi bastante aumentado,ความเร็วของโปเกมอนฝ่ายศัตรูทั้งหมดได้รับการเพิ่มขึ้นอย่างมาก\nP.ATK ของ Sneasel ในรอบแรกได้รับการเพิ่มขึ้นอย่างมาก
80132,乘龙+水龙,,2,14,1,1,,,,12,,2,【雨天】（水系精灵速度提升，火系精灵伤害降低，每个大回合结束时驱散全体精灵一部分负面效果）\n【雪天】（冰系精灵双防提升，所有非冰系精灵每个大回合结束时受到一定冰元素伤害，并有几率被【冰冻】）,【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）\n【雪天】（冰系精靈雙防提升，所有非冰系精靈每個大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다) \n[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다)","[Chuvoso] (Aumenta a velocidade de Pokémon do tipo água, reduz o dano de Pokémon do tipo fogo. No final de cada rodada, parte dos efeitos negativos em todos os Pokémon são dissipados) \n[Neve] (Aumenta a DEF P. e Sp. do Pokémon do tipo gelo, todos os Pokémon do tipo não gelo sofrem uma certa quantidade de dano de gelo no final de cada rodada e têm chance de serem [Congelados])",[ฝน] (เพิ่มความเร็วของโปเกมอนประเภทน้ำ ลดความเสียหายของโปเกมอนประเภทไฟ ในตอนท้ายของแต่ละรอบ เอฟเฟกต์เชิงลบบางส่วนบนโปเกมอนทั้งหมดจะถูกลบล้าง) \n[หิมะ] (เพิ่มพลังป้องกัน P. & Sp. ของโปเกมอนประเภทน้ำแข็ง โปเกมอนที่ไม่ใช่ประเภทน้ำแข็งทั้งหมดได้รับความเสียหายจากน้ำแข็งจำนวนหนึ่งในตอนท้ายของแต่ละรอบ และมีโอกาสที่จะถูก [แช่แข็ง]),,,,,,,,,,,,,,,,,,,,,,,,,<<<3>;1;0;6%>>,,,,,,,
80133,6暴鲤龙,,2,14,1,1,,,,12,,5,【雨天】（水系精灵速度提升，火系精灵伤害降低，每个大回合结束时驱散全体精灵一部分负面效果）,【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled)","[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled)","[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다)","[Rainy] (Aumenta a velocidade dos Pokémon do tipo água, reduz o dano dos Pokémon do tipo fogo. No final de cada rodada, parte dos efeitos negativos em todos os Pokémon são dissipados)",[ฝนตก] (เพิ่มความเร็วของโปเกมอนประเภทน้ำ ลดความเสียหายของโปเกมอนประเภทไฟ ในตอนท้ายของแต่ละรอบ เอฟเฟกต์เชิงลบบางส่วนบนโปเกมอนทั้งหมดจะถูกลบออกไป),,,,,,,,,,,,,,,,,,,,,,,,,<<<3>;14;0;4000>;<<3>;15;0;5000>;<<3>;5;0;5000>;<<3>;24;0;2000>>,,,,,,,
80134,红色暴鲤龙,,2,14,1,1,,,,12,,8,【雨天】（水系精灵速度提升，火系精灵伤害降低，每个大回合结束时驱散全体精灵一部分负面效果）,【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled)","[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled)","[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다)","[Rainy] (Aumenta a velocidade dos Pokémon do tipo água, reduz o dano dos Pokémon do tipo fogo. No final de cada rodada, parte dos efeitos negativos em todos os Pokémon são dissipados)",[ฝนตก] (เพิ่มความเร็วของโปเกมอนประเภทน้ำ ลดความเสียหายของโปเกมอนประเภทไฟ ในตอนท้ายของแต่ละรอบ เอฟเฟกต์เชิงลบบางส่วนบนโปเกมอนทั้งหมดจะถูกลบออกไป),,,,,,,,,,,,,,,,,,,,,,,,,<<<3>;15;0;5000>;<<3>;24;0;2000>>,红色暴鲤龙平时与世无争，但如果激怒了它……,紅色暴鯉龍平時與世無爭，但如果激怒了它……,"The Red Gyarados is usually incompetent, but if you provokes it...",404,빨간 갸라도스는 보통 때 세상일에 무관심하지만 화가 나면…,"O Gyarados Vermelho geralmente é incompetente, mas se você o provocar...",Gyarados สีแดงมักจะไร้ความสามารถ แต่ถ้าคุณยั่วมัน...
80135,,,2,14,0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80136,,,2,14,0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80141,水系主阵容,,2,15,1,1,,,,13,12,1,【雨天】（水系精灵速度提升，火系精灵伤害降低，每个大回合结束时驱散全体精灵一部分负面效果）\n【雪天】（冰系精灵双防提升，所有非冰系精灵每个大回合结束时受到一定冰元素伤害，并有几率被【冰冻】）,【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）\n【雪天】（冰系精靈雙防提升，所有非冰系精靈每個大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다) \n[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다)","[Chuvoso] (Aumenta a velocidade de Pokémon do tipo água, reduz o dano de Pokémon do tipo fogo. No final de cada rodada, parte dos efeitos negativos em todos os Pokémon são dissipados) \n[Neve] (Aumenta a DEF P. e Sp. do Pokémon do tipo gelo, todos os Pokémon do tipo não gelo sofrem uma certa quantidade de dano de gelo no final de cada rodada e têm chance de serem [Congelados])",[ฝน] (เพิ่มความเร็วของโปเกมอนประเภทน้ำ ลดความเสียหายของโปเกมอนประเภทไฟ ในตอนท้ายของแต่ละรอบ เอฟเฟกต์เชิงลบบางส่วนบนโปเกมอนทั้งหมดจะถูกลบล้าง) \n[หิมะ] (เพิ่มพลังป้องกัน P. & Sp. ของโปเกมอนประเภทน้ำแข็ง โปเกมอนที่ไม่ใช่ประเภทน้ำแข็งทั้งหมดได้รับความเสียหายจากน้ำแข็งจำนวนหนึ่งในตอนท้ายของแต่ละรอบ และมีโอกาสที่จะถูก [แช่แข็ง]),,,,,,,,,,,,,,,,,,,,,,,,,<<<3>;1;0;10%>;<<3>;16;0;3000>>,,,,,,,
80142,冰系主阵容,,2,15,1,1,,,,13,12,2,【雪天】（冰系精灵双防提升，所有非冰系精灵每大回合结束时受到一定冰元素伤害，并有几率被【冰冻】）,【雪天】（冰系精靈雙防提升，所有非冰系精靈每大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])",[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다),"[Neve] (Aumenta a DEF P. e Sp. do tipo Gelo do Pokémon, todos os Pokémon que não sejam do tipo Gelo sofrem uma certa quantidade de dano de gelo no final de cada rodada e têm chance de serem [Congelados])",[หิมะ] (เพิ่มพลังป้องกัน P. & Sp. DEF ของโปเกมอนประเภทน้ำแข็ง โปเกมอนที่ไม่ใช่ประเภทน้ำแข็งทั้งหมดจะได้รับความเสียหายจากน้ำแข็งจำนวนหนึ่งเมื่อจบแต่ละรอบ และมีโอกาสที่จะถูก [แช่แข็ง]),,,,,,,,,,,,,,,,,,,,,,,,,<<<6>;1;0;10%>;<<6>;13;0;15%>>,,,,,,,
80143,超级暴雪王,,2,15,1,1,,,,13,12,8,【雨天】（水系精灵速度提升，火系精灵伤害降低，每个大回合结束时驱散全体精灵一部分负面效果）\n【雪天】（冰系精灵双防提升，所有非冰系精灵每个大回合结束时受到一定冰元素伤害，并有几率被【冰冻】）,【雨天】（水系精靈速度提升，火系精靈傷害降低，每個大回合結束時驅散全體精靈一部分負面效果）\n【雪天】（冰系精靈雙防提升，所有非冰系精靈每個大回合結束時受到一定冰元素傷害，並有幾率被【冰凍】）,"[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[Rainy] (Increase speed of water type Pokémon, reduce damage of fire type Pokémon. At the end of each round, part of negative effects on all Pokémon are dispelled) \n[Snow] (Increase Ice type Pokémon P. & Sp. DEF, all non-ice type Pokémon suffer a certain amount of ice damage at the end of each round, and have chance to be [Frozen])","[비] (물 타입 포켓몬 스피드 증가, 불꽃 타입 포켓몬 피해 감소, 라운드 종료마다 전체 포켓몬 일부의 디버프 효과를 디스펠한다) \n[눈] (얼음 타입 포켓몬이 물리&특수 방어력 증가한다. 얼음 타입 아닌 포켓몬 라운드 종료마다 일정한 얼음 원소 피해를 받으며 일정 확률로 [얼음] 상태가 된다)","[Chuvoso] (Aumenta a velocidade de Pokémon do tipo água, reduz o dano de Pokémon do tipo fogo. No final de cada rodada, parte dos efeitos negativos em todos os Pokémon são dissipados) \n[Neve] (Aumenta a DEF P. e Sp. do Pokémon do tipo gelo, todos os Pokémon do tipo não gelo sofrem uma certa quantidade de dano de gelo no final de cada rodada e têm chance de serem [Congelados])",[ฝน] (เพิ่มความเร็วของโปเกมอนประเภทน้ำ ลดความเสียหายของโปเกมอนประเภทไฟ ในตอนท้ายของแต่ละรอบ เอฟเฟกต์เชิงลบบางส่วนบนโปเกมอนทั้งหมดจะถูกลบล้าง) \n[หิมะ] (เพิ่มพลังป้องกัน P. & Sp. ของโปเกมอนประเภทน้ำแข็ง โปเกมอนที่ไม่ใช่ประเภทน้ำแข็งทั้งหมดได้รับความเสียหายจากน้ำแข็งจำนวนหนึ่งในตอนท้ายของแต่ละรอบ และมีโอกาสที่จะถูก [แช่แข็ง]),,,,,,,,,,,,,,,,,,,,,,,,,,超级暴雪王在雪天时能力大幅增强，且释放必杀技时永久冰冻一个目标（不可驱散）,超級暴雪王在雪天時能力大幅增強，且釋放必殺技時永久冰凍一個目標（不可驅散）,"Mega Abomasnow’s ability is greatly enhanced in snowy days, and freezes a target permanently when Ultimate Skill is released (not able to dispell)",404,메가눈설왕은 눈이 오는 날에 능력이 많이 강해지고 필살기 발동 시 유닛을 영구적인 얼음 상태로 되게 만들 수 있다 (디스펠 불가),A habilidade de Mega Abomasnow é bastante aprimorada em dias de neve e congela o alvo permanentemente quando a Ultimate Skill é liberada (não é possível dissipar),ความสามารถของ Mega Abomasnow จะได้รับการปรับปรุงอย่างมากในวันที่หิมะตก และจะหยุดเป้าหมายอย่างถาวรเมื่อปลดปล่อยทักษะขั้นสูงสุด (ไม่สามารถลบล้างได้)
