变量名,equip_id,stage,costGold,costItemMap
15057,11102,7,35000,{5010=4;5012=4;5011=4;100=2}
15058,11102,8,40000,{5014=5;5015=5;5013=5;100=2}
15059,11102,9,50000,{5014=6;5015=6;5013=6;100=4}
15060,11102,10,60000,{5016=8;5017=8;5018=8;100=4}
15061,11102,11,80000,{5016=10;5017=10;5018=10;100=6}
15062,11102,12,100000,{5021=16;5020=16;5019=16;100=6}
15063,11102,13,120000,{5021=24;5020=24;5019=24;100=9}
15064,11102,14,140000,{5024=36;5023=36;5022=36;100=12}
15065,11102,15,160000,{5024=54;5023=54;5022=54;100=18}
15066,11102,16,180000,{5025=72;5026=72;5027=72;100=24}
15067,11102,17,200000,{5028=100;5030=100;5029=100;100=30}
15068,11102,18,220000,{5032=150;5031=150;5033=150;100=36}
15069,11102,19,240000,{5034=200;5035=200;5036=200;100=42}
15070,11102,20,260000,{5037=220;5039=220;5038=220;100=48}
15071,11102,21,300000,{5040=240;5042=240;5041=240;100=54}
15072,11102,22,350000,{5043=260;5045=260;5044=260;100=60}
15073,11102,23,400000,{5048=280;5047=280;5046=280;100=66}
15074,11102,24,450000,{5049=300;5050=300;5051=300;100=72}
15075,11102,25,500000,{5053=320;5054=320;5052=320;100=78}
15076,11102,26,550000,{5055=340;5057=340;100=84;5056=340}
15077,11102,27,600000,{5058=360;5059=360;100=90;5060=360}
15078,11102,28,650000,{5061=380;5063=380;100=96;5062=380}
15079,11102,29,700000,{5064=400;5065=400;100=102;5066=400}
15080,11102,30,750000,{5064=420;5065=420;100=108;5066=420}
15081,11102,31,800000,{5070=880;5072=880;100=114;5071=880}
15082,11102,32,850000,{5075=920;100=120;5073=920;5074=920}
15083,11102,33,900000,{5077=960;5078=960;100=126;5076=960}
15084,11102,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
15085,11102,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
15086,11102,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
15087,11102,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
15088,11102,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
15089,11102,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
15090,11102,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
15091,11102,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
15092,11102,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
15093,11102,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
15101,11103,1,5000,{100=1}
15102,11103,2,10000,{100=1}
15103,11103,3,15000,{100=1}
15104,11103,4,20000,{5005=2;5004=2;5006=2;100=1}
15105,11103,5,25000,{5009=2;5007=2;5008=2;100=1}
15106,11103,6,30000,{5010=3;5012=3;5011=3;100=1}
15107,11103,7,35000,{5010=4;5012=4;5011=4;100=2}
15108,11103,8,40000,{5014=5;5015=5;5013=5;100=2}
15109,11103,9,50000,{5014=6;5015=6;5013=6;100=4}
15110,11103,10,60000,{5016=8;5017=8;5018=8;100=4}
15111,11103,11,80000,{5016=10;5017=10;5018=10;100=6}
15112,11103,12,100000,{5021=16;5020=16;5019=16;100=6}
15113,11103,13,120000,{5021=24;5020=24;5019=24;100=9}
15114,11103,14,140000,{5024=36;5023=36;5022=36;100=12}
15115,11103,15,160000,{5024=54;5023=54;5022=54;100=18}
15116,11103,16,180000,{5025=72;5026=72;5027=72;100=24}
15117,11103,17,200000,{5028=100;5030=100;5029=100;100=30}
15118,11103,18,220000,{5032=150;5031=150;5033=150;100=36}
15119,11103,19,240000,{5034=200;5035=200;5036=200;100=42}
15120,11103,20,260000,{5037=220;5039=220;5038=220;100=48}
15121,11103,21,300000,{5040=240;5042=240;5041=240;100=54}
15122,11103,22,350000,{5043=260;5045=260;5044=260;100=60}
15123,11103,23,400000,{5048=280;5047=280;5046=280;100=66}
15124,11103,24,450000,{5049=300;5050=300;5051=300;100=72}
15125,11103,25,500000,{5053=320;5054=320;5052=320;100=78}
15126,11103,26,550000,{5055=340;5057=340;100=84;5056=340}
15127,11103,27,600000,{5058=360;5059=360;100=90;5060=360}
15128,11103,28,650000,{5061=380;5063=380;100=96;5062=380}
15129,11103,29,700000,{5064=400;5065=400;100=102;5066=400}
15130,11103,30,750000,{5064=420;5065=420;100=108;5066=420}
15131,11103,31,800000,{5070=880;5072=880;100=114;5071=880}
15132,11103,32,850000,{5075=920;100=120;5073=920;5074=920}
15133,11103,33,900000,{5077=960;5078=960;100=126;5076=960}
15134,11103,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
15135,11103,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
15136,11103,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
15137,11103,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
15138,11103,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
15139,11103,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
15140,11103,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
15141,11103,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
15142,11103,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
15143,11103,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
15151,11104,1,5000,{100=1}
15152,11104,2,10000,{100=1}
15153,11104,3,15000,{100=1}
15154,11104,4,20000,{5005=2;5004=2;5006=2;100=1}
15155,11104,5,25000,{5009=2;5007=2;5008=2;100=1}
15156,11104,6,30000,{5010=3;5012=3;5011=3;100=1}
15157,11104,7,35000,{5010=4;5012=4;5011=4;100=2}
15158,11104,8,40000,{5014=5;5015=5;5013=5;100=2}
15159,11104,9,50000,{5014=6;5015=6;5013=6;100=4}
15160,11104,10,60000,{5016=8;5017=8;5018=8;100=4}
15161,11104,11,80000,{5016=10;5017=10;5018=10;100=6}
15162,11104,12,100000,{5021=16;5020=16;5019=16;100=6}
15163,11104,13,120000,{5021=24;5020=24;5019=24;100=9}
15164,11104,14,140000,{5024=36;5023=36;5022=36;100=12}
15165,11104,15,160000,{5024=54;5023=54;5022=54;100=18}
15166,11104,16,180000,{5025=72;5026=72;5027=72;100=24}
15167,11104,17,200000,{5028=100;5030=100;5029=100;100=30}
15168,11104,18,220000,{5032=150;5031=150;5033=150;100=36}
15169,11104,19,240000,{5034=200;5035=200;5036=200;100=42}
15170,11104,20,260000,{5037=220;5039=220;5038=220;100=48}
15171,11104,21,300000,{5040=240;5042=240;5041=240;100=54}
15172,11104,22,350000,{5043=260;5045=260;5044=260;100=60}
15173,11104,23,400000,{5048=280;5047=280;5046=280;100=66}
15174,11104,24,450000,{5049=300;5050=300;5051=300;100=72}
15175,11104,25,500000,{5053=320;5054=320;5052=320;100=78}
15176,11104,26,550000,{5055=340;5057=340;100=84;5056=340}
15177,11104,27,600000,{5058=360;5059=360;100=90;5060=360}
15178,11104,28,650000,{5061=380;5063=380;100=96;5062=380}
15179,11104,29,700000,{5064=400;5065=400;100=102;5066=400}
15180,11104,30,750000,{5064=420;5065=420;100=108;5066=420}
15181,11104,31,800000,{5070=880;5072=880;100=114;5071=880}
15182,11104,32,850000,{5075=920;100=120;5073=920;5074=920}
15183,11104,33,900000,{5077=960;5078=960;100=126;5076=960}
15184,11104,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
15185,11104,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
15186,11104,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
15187,11104,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
15188,11104,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
15189,11104,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
15190,11104,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
15191,11104,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
15192,11104,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
15193,11104,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
15501,11111,1,5000,{100=1}
15502,11111,2,10000,{100=1}
15503,11111,3,15000,{100=1}
15504,11111,4,20000,{5005=2;5004=2;5006=2;100=1}
15505,11111,5,25000,{5009=2;5007=2;5008=2;100=1}
15506,11111,6,30000,{5010=3;5012=3;5011=3;100=1}
15507,11111,7,35000,{5010=4;5012=4;5011=4;100=2}
15508,11111,8,40000,{5014=5;5015=5;5013=5;100=2}
15509,11111,9,50000,{5014=6;5015=6;5013=6;100=4}
15510,11111,10,60000,{5016=8;5017=8;5018=8;100=4}
15511,11111,11,80000,{5016=10;5017=10;5018=10;100=6}
15512,11111,12,100000,{5021=16;5020=16;5019=16;100=6}
15513,11111,13,120000,{5021=24;5020=24;5019=24;100=9}
15514,11111,14,140000,{5024=36;5023=36;5022=36;100=12}
15515,11111,15,160000,{5024=54;5023=54;5022=54;100=18}
15516,11111,16,180000,{5025=72;5026=72;5027=72;100=24}
15517,11111,17,200000,{5028=100;5030=100;5029=100;100=30}
15518,11111,18,220000,{5032=150;5031=150;5033=150;100=36}
15519,11111,19,240000,{5034=200;5035=200;5036=200;100=42}
15520,11111,20,260000,{5037=220;5039=220;5038=220;100=48}
15521,11111,21,300000,{5040=240;5042=240;5041=240;100=54}
15522,11111,22,350000,{5043=260;5045=260;5044=260;100=60}
15523,11111,23,400000,{5048=280;5047=280;5046=280;100=66}
15524,11111,24,450000,{5049=300;5050=300;5051=300;100=72}
15525,11111,25,500000,{5053=320;5054=320;5052=320;100=78}
15526,11111,26,550000,{5055=340;5057=340;100=84;5056=340}
15527,11111,27,600000,{5058=360;5059=360;100=90;5060=360}
15528,11111,28,650000,{5061=380;5063=380;100=96;5062=380}
15529,11111,29,700000,{5064=400;5065=400;100=102;5066=400}
15530,11111,30,750000,{5064=420;5065=420;100=108;5066=420}
15531,11111,31,800000,{5070=880;5072=880;100=114;5071=880}
15532,11111,32,850000,{5075=920;100=120;5073=920;5074=920}
15533,11111,33,900000,{5077=960;5078=960;100=126;5076=960}
15534,11111,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
15535,11111,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
15536,11111,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
15537,11111,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
15538,11111,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
15539,11111,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
15540,11111,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
15541,11111,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
15542,11111,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
15543,11111,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
15551,11112,1,5000,{100=1}
15552,11112,2,10000,{100=1}
15553,11112,3,15000,{100=1}
15554,11112,4,20000,{5005=2;5004=2;5006=2;100=1}
15555,11112,5,25000,{5009=2;5007=2;5008=2;100=1}
15556,11112,6,30000,{5010=3;5012=3;5011=3;100=1}
15557,11112,7,35000,{5010=4;5012=4;5011=4;100=2}
15558,11112,8,40000,{5014=5;5015=5;5013=5;100=2}
15559,11112,9,50000,{5014=6;5015=6;5013=6;100=4}
15560,11112,10,60000,{5016=8;5017=8;5018=8;100=4}
15561,11112,11,80000,{5016=10;5017=10;5018=10;100=6}
15562,11112,12,100000,{5021=16;5020=16;5019=16;100=6}
15563,11112,13,120000,{5021=24;5020=24;5019=24;100=9}
15564,11112,14,140000,{5024=36;5023=36;5022=36;100=12}
15565,11112,15,160000,{5024=54;5023=54;5022=54;100=18}
15566,11112,16,180000,{5025=72;5026=72;5027=72;100=24}
15567,11112,17,200000,{5028=100;5030=100;5029=100;100=30}
15568,11112,18,220000,{5032=150;5031=150;5033=150;100=36}
15569,11112,19,240000,{5034=200;5035=200;5036=200;100=42}
15570,11112,20,260000,{5037=220;5039=220;5038=220;100=48}
15571,11112,21,300000,{5040=240;5042=240;5041=240;100=54}
15572,11112,22,350000,{5043=260;5045=260;5044=260;100=60}
15573,11112,23,400000,{5048=280;5047=280;5046=280;100=66}
15574,11112,24,450000,{5049=300;5050=300;5051=300;100=72}
15575,11112,25,500000,{5053=320;5054=320;5052=320;100=78}
15576,11112,26,550000,{5055=340;5057=340;100=84;5056=340}
15577,11112,27,600000,{5058=360;5059=360;100=90;5060=360}
15578,11112,28,650000,{5061=380;5063=380;100=96;5062=380}
15579,11112,29,700000,{5064=400;5065=400;100=102;5066=400}
15580,11112,30,750000,{5064=420;5065=420;100=108;5066=420}
15581,11112,31,800000,{5070=880;5072=880;100=114;5071=880}
15582,11112,32,850000,{5075=920;100=120;5073=920;5074=920}
15583,11112,33,900000,{5077=960;5078=960;100=126;5076=960}
15584,11112,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
15585,11112,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
15586,11112,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
15587,11112,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
15588,11112,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
15589,11112,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
15590,11112,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
15591,11112,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
15592,11112,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
15593,11112,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
15601,11113,1,5000,{100=1}
15602,11113,2,10000,{100=1}
15603,11113,3,15000,{100=1}
15604,11113,4,20000,{5005=2;5004=2;5006=2;100=1}
15605,11113,5,25000,{5009=2;5007=2;5008=2;100=1}
15606,11113,6,30000,{5010=3;5012=3;5011=3;100=1}
15607,11113,7,35000,{5010=4;5012=4;5011=4;100=2}
15608,11113,8,40000,{5014=5;5015=5;5013=5;100=2}
15609,11113,9,50000,{5014=6;5015=6;5013=6;100=4}
15610,11113,10,60000,{5016=8;5017=8;5018=8;100=4}
15611,11113,11,80000,{5016=10;5017=10;5018=10;100=6}
15612,11113,12,100000,{5021=16;5020=16;5019=16;100=6}
15613,11113,13,120000,{5021=24;5020=24;5019=24;100=9}
15614,11113,14,140000,{5024=36;5023=36;5022=36;100=12}
15615,11113,15,160000,{5024=54;5023=54;5022=54;100=18}
15616,11113,16,180000,{5025=72;5026=72;5027=72;100=24}
15617,11113,17,200000,{5028=100;5030=100;5029=100;100=30}
15618,11113,18,220000,{5032=150;5031=150;5033=150;100=36}
15619,11113,19,240000,{5034=200;5035=200;5036=200;100=42}
15620,11113,20,260000,{5037=220;5039=220;5038=220;100=48}
15621,11113,21,300000,{5040=240;5042=240;5041=240;100=54}
15622,11113,22,350000,{5043=260;5045=260;5044=260;100=60}
15623,11113,23,400000,{5048=280;5047=280;5046=280;100=66}
15624,11113,24,450000,{5049=300;5050=300;5051=300;100=72}
15625,11113,25,500000,{5053=320;5054=320;5052=320;100=78}
15626,11113,26,550000,{5055=340;5057=340;100=84;5056=340}
15627,11113,27,600000,{5058=360;5059=360;100=90;5060=360}
15628,11113,28,650000,{5061=380;5063=380;100=96;5062=380}
15629,11113,29,700000,{5064=400;5065=400;100=102;5066=400}
15630,11113,30,750000,{5064=420;5065=420;100=108;5066=420}
15631,11113,31,800000,{5070=880;5072=880;100=114;5071=880}
15632,11113,32,850000,{5075=920;100=120;5073=920;5074=920}
15633,11113,33,900000,{5077=960;5078=960;100=126;5076=960}
15634,11113,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
15635,11113,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
15636,11113,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
15637,11113,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
15638,11113,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
15639,11113,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
15640,11113,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
15641,11113,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
15642,11113,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
15643,11113,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
15651,11114,1,5000,{100=1}
15652,11114,2,10000,{100=1}
15653,11114,3,15000,{100=1}
15654,11114,4,20000,{5005=2;5004=2;5006=2;100=1}
15655,11114,5,25000,{5009=2;5007=2;5008=2;100=1}
15656,11114,6,30000,{5010=3;5012=3;5011=3;100=1}
15657,11114,7,35000,{5010=4;5012=4;5011=4;100=2}
15658,11114,8,40000,{5014=5;5015=5;5013=5;100=2}
15659,11114,9,50000,{5014=6;5015=6;5013=6;100=4}
15660,11114,10,60000,{5016=8;5017=8;5018=8;100=4}
15661,11114,11,80000,{5016=10;5017=10;5018=10;100=6}
15662,11114,12,100000,{5021=16;5020=16;5019=16;100=6}
15663,11114,13,120000,{5021=24;5020=24;5019=24;100=9}
15664,11114,14,140000,{5024=36;5023=36;5022=36;100=12}
15665,11114,15,160000,{5024=54;5023=54;5022=54;100=18}
15666,11114,16,180000,{5025=72;5026=72;5027=72;100=24}
15667,11114,17,200000,{5028=100;5030=100;5029=100;100=30}
15668,11114,18,220000,{5032=150;5031=150;5033=150;100=36}
15669,11114,19,240000,{5034=200;5035=200;5036=200;100=42}
15670,11114,20,260000,{5037=220;5039=220;5038=220;100=48}
15671,11114,21,300000,{5040=240;5042=240;5041=240;100=54}
15672,11114,22,350000,{5043=260;5045=260;5044=260;100=60}
15673,11114,23,400000,{5048=280;5047=280;5046=280;100=66}
15674,11114,24,450000,{5049=300;5050=300;5051=300;100=72}
15675,11114,25,500000,{5053=320;5054=320;5052=320;100=78}
15676,11114,26,550000,{5055=340;5057=340;100=84;5056=340}
15677,11114,27,600000,{5058=360;5059=360;100=90;5060=360}
15678,11114,28,650000,{5061=380;5063=380;100=96;5062=380}
15679,11114,29,700000,{5064=400;5065=400;100=102;5066=400}
15680,11114,30,750000,{5064=420;5065=420;100=108;5066=420}
15681,11114,31,800000,{5070=880;5072=880;100=114;5071=880}
15682,11114,32,850000,{5075=920;100=120;5073=920;5074=920}
15683,11114,33,900000,{5077=960;5078=960;100=126;5076=960}
15684,11114,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
15685,11114,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
15686,11114,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
15687,11114,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
15688,11114,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
15689,11114,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
15690,11114,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
15691,11114,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
15692,11114,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
15693,11114,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
16001,11121,1,5000,{100=1}
16002,11121,2,10000,{100=1}
16003,11121,3,15000,{100=1}
16004,11121,4,20000,{5005=2;5004=2;5006=2;100=1}
16005,11121,5,25000,{5009=2;5007=2;5008=2;100=1}
16006,11121,6,30000,{5010=3;5012=3;5011=3;100=1}
16007,11121,7,35000,{5010=4;5012=4;5011=4;100=2}
16008,11121,8,40000,{5014=5;5015=5;5013=5;100=2}
16009,11121,9,50000,{5014=6;5015=6;5013=6;100=4}
16010,11121,10,60000,{5016=8;5017=8;5018=8;100=4}
16011,11121,11,80000,{5016=10;5017=10;5018=10;100=6}
16012,11121,12,100000,{5021=16;5020=16;5019=16;100=6}
16013,11121,13,120000,{5021=24;5020=24;5019=24;100=9}
16014,11121,14,140000,{5024=36;5023=36;5022=36;100=12}
16015,11121,15,160000,{5024=54;5023=54;5022=54;100=18}
16016,11121,16,180000,{5025=72;5026=72;5027=72;100=24}
16017,11121,17,200000,{5028=100;5030=100;5029=100;100=30}
16018,11121,18,220000,{5032=150;5031=150;5033=150;100=36}
16019,11121,19,240000,{5034=200;5035=200;5036=200;100=42}
16020,11121,20,260000,{5037=220;5039=220;5038=220;100=48}
16021,11121,21,300000,{5040=240;5042=240;5041=240;100=54}
16022,11121,22,350000,{5043=260;5045=260;5044=260;100=60}
16023,11121,23,400000,{5048=280;5047=280;5046=280;100=66}
16024,11121,24,450000,{5049=300;5050=300;5051=300;100=72}
16025,11121,25,500000,{5053=320;5054=320;5052=320;100=78}
16026,11121,26,550000,{5055=340;5057=340;100=84;5056=340}
16027,11121,27,600000,{5058=360;5059=360;100=90;5060=360}
16028,11121,28,650000,{5061=380;5063=380;100=96;5062=380}
16029,11121,29,700000,{5064=400;5065=400;100=102;5066=400}
16030,11121,30,750000,{5064=420;5065=420;100=108;5066=420}
16031,11121,31,800000,{5070=880;5072=880;100=114;5071=880}
16032,11121,32,850000,{5075=920;100=120;5073=920;5074=920}
16033,11121,33,900000,{5077=960;5078=960;100=126;5076=960}
16034,11121,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
16035,11121,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
16036,11121,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
16037,11121,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
16038,11121,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
16039,11121,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
16040,11121,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
16041,11121,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
16042,11121,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
16043,11121,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
16051,11122,1,5000,{100=1}
16052,11122,2,10000,{100=1}
16053,11122,3,15000,{100=1}
16054,11122,4,20000,{5005=2;5004=2;5006=2;100=1}
16055,11122,5,25000,{5009=2;5007=2;5008=2;100=1}
16056,11122,6,30000,{5010=3;5012=3;5011=3;100=1}
16057,11122,7,35000,{5010=4;5012=4;5011=4;100=2}
16058,11122,8,40000,{5014=5;5015=5;5013=5;100=2}
16059,11122,9,50000,{5014=6;5015=6;5013=6;100=4}
16060,11122,10,60000,{5016=8;5017=8;5018=8;100=4}
16061,11122,11,80000,{5016=10;5017=10;5018=10;100=6}
16062,11122,12,100000,{5021=16;5020=16;5019=16;100=6}
16063,11122,13,120000,{5021=24;5020=24;5019=24;100=9}
16064,11122,14,140000,{5024=36;5023=36;5022=36;100=12}
16065,11122,15,160000,{5024=54;5023=54;5022=54;100=18}
16066,11122,16,180000,{5025=72;5026=72;5027=72;100=24}
16067,11122,17,200000,{5028=100;5030=100;5029=100;100=30}
16068,11122,18,220000,{5032=150;5031=150;5033=150;100=36}
16069,11122,19,240000,{5034=200;5035=200;5036=200;100=42}
16070,11122,20,260000,{5037=220;5039=220;5038=220;100=48}
16071,11122,21,300000,{5040=240;5042=240;5041=240;100=54}
16072,11122,22,350000,{5043=260;5045=260;5044=260;100=60}
16073,11122,23,400000,{5048=280;5047=280;5046=280;100=66}
16074,11122,24,450000,{5049=300;5050=300;5051=300;100=72}
16075,11122,25,500000,{5053=320;5054=320;5052=320;100=78}
16076,11122,26,550000,{5055=340;5057=340;100=84;5056=340}
16077,11122,27,600000,{5058=360;5059=360;100=90;5060=360}
16078,11122,28,650000,{5061=380;5063=380;100=96;5062=380}
16079,11122,29,700000,{5064=400;5065=400;100=102;5066=400}
16080,11122,30,750000,{5064=420;5065=420;100=108;5066=420}
16081,11122,31,800000,{5070=880;5072=880;100=114;5071=880}
16082,11122,32,850000,{5075=920;100=120;5073=920;5074=920}
16083,11122,33,900000,{5077=960;5078=960;100=126;5076=960}
16084,11122,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
16085,11122,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
16086,11122,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
16087,11122,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
16088,11122,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
16089,11122,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
16090,11122,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
16091,11122,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
16092,11122,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
16093,11122,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
16101,11123,1,5000,{100=1}
16102,11123,2,10000,{100=1}
16103,11123,3,15000,{100=1}
16104,11123,4,20000,{5005=2;5004=2;5006=2;100=1}
16105,11123,5,25000,{5009=2;5007=2;5008=2;100=1}
16106,11123,6,30000,{5010=3;5012=3;5011=3;100=1}
16107,11123,7,35000,{5010=4;5012=4;5011=4;100=2}
16108,11123,8,40000,{5014=5;5015=5;5013=5;100=2}
16109,11123,9,50000,{5014=6;5015=6;5013=6;100=4}
16110,11123,10,60000,{5016=8;5017=8;5018=8;100=4}
16111,11123,11,80000,{5016=10;5017=10;5018=10;100=6}
16112,11123,12,100000,{5021=16;5020=16;5019=16;100=6}
16113,11123,13,120000,{5021=24;5020=24;5019=24;100=9}
16114,11123,14,140000,{5024=36;5023=36;5022=36;100=12}
16115,11123,15,160000,{5024=54;5023=54;5022=54;100=18}
16116,11123,16,180000,{5025=72;5026=72;5027=72;100=24}
16117,11123,17,200000,{5028=100;5030=100;5029=100;100=30}
16118,11123,18,220000,{5032=150;5031=150;5033=150;100=36}
16119,11123,19,240000,{5034=200;5035=200;5036=200;100=42}
16120,11123,20,260000,{5037=220;5039=220;5038=220;100=48}
16121,11123,21,300000,{5040=240;5042=240;5041=240;100=54}
16122,11123,22,350000,{5043=260;5045=260;5044=260;100=60}
16123,11123,23,400000,{5048=280;5047=280;5046=280;100=66}
16124,11123,24,450000,{5049=300;5050=300;5051=300;100=72}
16125,11123,25,500000,{5053=320;5054=320;5052=320;100=78}
16126,11123,26,550000,{5055=340;5057=340;100=84;5056=340}
16127,11123,27,600000,{5058=360;5059=360;100=90;5060=360}
16128,11123,28,650000,{5061=380;5063=380;100=96;5062=380}
16129,11123,29,700000,{5064=400;5065=400;100=102;5066=400}
16130,11123,30,750000,{5064=420;5065=420;100=108;5066=420}
16131,11123,31,800000,{5070=880;5072=880;100=114;5071=880}
16132,11123,32,850000,{5075=920;100=120;5073=920;5074=920}
16133,11123,33,900000,{5077=960;5078=960;100=126;5076=960}
16134,11123,34,950000,{5080=1000;5079=1000;5081=1000;100=132}
16135,11123,35,1000000,{5084=1040;5082=1040;5083=1040;100=138}
16136,11123,36,1050000,{5085=1080;5087=1080;100=144;5086=1080}
16137,11123,37,1100000,{5088=1120;5090=1120;5089=1120;100=150}
16138,11123,38,1150000,{5093=1160;5091=1160;5092=1160;100=156}
16139,11123,39,1200000,{5096=1200;5095=1200;5094=1200;100=162}
16140,11123,40,1250000,{5097=1240;5098=1240;5099=1240;100=168}
16141,11123,41,1300000,{5101=1280;5102=1280;5100=1280;100=174}
16142,11123,42,1350000,{5104=1320;5105=1320;5103=1320;100=180}
16143,11123,43,1400000,{5106=1360;5107=1360;5108=1360;100=186}
16151,11124,1,5000,{100=1}
16152,11124,2,10000,{100=1}
16153,11124,3,15000,{100=1}
16154,11124,4,20000,{5005=2;5004=2;5006=2;100=1}
16155,11124,5,25000,{5009=2;5007=2;5008=2;100=1}
16156,11124,6,30000,{5010=3;5012=3;5011=3;100=1}
16157,11124,7,35000,{5010=4;5012=4;5011=4;100=2}
16158,11124,8,40000,{5014=5;5015=5;5013=5;100=2}
16159,11124,9,50000,{5014=6;5015=6;5013=6;100=4}
16160,11124,10,60000,{5016=8;5017=8;5018=8;100=4}
16161,11124,11,80000,{5016=10;5017=10;5018=10;100=6}
16162,11124,12,100000,{5021=16;5020=16;5019=16;100=6}
16163,11124,13,120000,{5021=24;5020=24;5019=24;100=9}
16164,11124,14,140000,{5024=36;5023=36;5022=36;100=12}
