变量名,typeID,stage,quality,itemMap,gold,hpGrow,speedGrow,damageGrow,defenceGrow,specialDamageGrow,specialDefenceGrow,hpC,speedC,damageC,defenceC,specialDamageC,specialDefenceC,levelDec
默认值,,1,1,{101=5;102=10;103=15;104=20},0,0,0,0,0,0,0,1,0,1,1,1,1,0
1206,12,6,3,{5012=11;5000=56;5011=34;5010=11},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,0
1207,12,7,3,{5012=14;5000=84;5011=42;5010=14},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,0
1208,12,8,3,{5014=63;5000=126;5015=21;5013=21},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,0
1209,12,9,4,{5014=84;5000=168;5015=28;5013=28},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,0
1210,12,10,4,{5016=45;5000=280;5017=134;5018=45},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,0
1211,12,11,4,{5016=67;5000=448;5017=202;5018=67},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,0
1212,12,12,4,{5020=269;5000=560;5019=90;5021=90},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,0
1213,12,13,4,{5020=403;5000=840;5019=134;5021=134},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,0
1214,12,14,5,{5024=179;5023=538;5000=1120;5022=179},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,0
1215,12,15,5,{5024=280;5023=840;5000=1750;5022=280},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,0
1216,12,16,5,{5025=420;5000=2240;5026=1260;5027=420},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,0
1217,12,17,5,{5028=560;5000=2800;5030=560;5029=1680},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,0
1218,12,18,5,{5032=1890;5000=3500;5031=630;5033=630},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,0
1219,12,19,5,{5036=540;5000=3000;5035=1620;5034=540},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,0
1220,12,20,6,{5037=630;5000=3500;5039=630;5038=1890},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,0
1221,12,21,6,{5040=750;5000=4000;5042=750;5041=2250},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,0
1222,12,22,6,{5044=2400;5000=4500;5045=800;5043=800},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,0
1223,12,23,6,{5048=800;5000=4500;5047=2400;5046=800},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,0
1224,12,24,6,{5049=850;5000=5000;5050=2550;5051=850},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,0
1225,12,25,6,{5053=2550;5000=5000;5054=850;5052=850},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,0
1226,12,26,7,{5055=900;5000=5500;5056=2700;5057=900},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,0
1227,12,27,7,{5000=5500;5058=900;5059=2700;5060=900},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,0
1228,12,28,7,{5000=6000;5061=950;5063=950;5062=2850},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,0
1229,12,29,7,{5000=6000;5064=950;5065=2850;5066=950},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,0
1230,12,30,7,{5000=6500;5067=1000;5069=1000;5068=3000},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,0
1231,12,31,7,{5000=6500;5071=3000;5072=1000;5070=1000},900000,262.678,6.3,56.07,22.47,56.07,22.47,48783,1170,10414,4174,10414,4174,0
1232,12,32,7,{5000=8000;5075=1800;5073=1800;5074=1800},950000,270.183,6.48,57.672,23.112,57.672,23.112,50659,1215,10815,4335,10815,4335,0
1233,12,33,7,{5000=10000;5077=1850;5078=1850;5076=1850},1000000,278.288,6.67,59.402,23.805,59.402,23.805,52179,1251,11139,4465,11139,4465,0
1234,12,34,7,{5000=12000;5080=1900;5079=1900;5081=1900},1050000,286.637,6.87,61.184,24.52,61.184,24.52,53744,1289,11474,4599,11474,4599,0
1235,12,35,7,{5000=14000;5084=1950;5083=1950;5082=1950},1100000,295.236,7.08,63.02,25.255,63.02,25.255,55356,1328,11818,4737,11818,4737,0
1236,12,36,7,{5000=16000;5085=2000;5087=2000;5086=2000},1150000,304.093,7.29,64.91,26.013,64.91,26.013,57017,1367,12172,4879,12172,4879,0
1237,12,37,7,{5000=18000;5090=2100;5089=2100;5088=2100},1200000,313.216,7.51,66.858,26.793,66.858,26.793,58728,1409,12538,5025,12538,5025,0
1238,12,38,7,{5000=20000;5091=2100;5092=2100;5093=2100},1250000,322.613,7.74,68.863,27.597,68.863,27.597,60489,1451,12914,5176,12914,5176,0
1239,12,39,7,{5000=25000;5095=2100;5094=2100;5096=2100},1300000,332.291,7.97,70.929,28.425,70.929,28.425,62304,1494,13301,5332,13301,5332,0
1240,12,40,7,{5000=30000;5098=2100;5099=2100;5097=2100},1350000,342.26,8.21,73.057,29.278,73.057,29.278,64173,1539,13700,5491,13700,5491,0
1241,12,41,7,{5000=35000;5102=2100;5100=2100;5101=2100},1400000,352.528,8.45,75.249,30.156,75.249,30.156,66099,1585,14111,5656,14111,5656,0
1242,12,42,7,{5000=40000;5105=2100;5103=2100;5104=2100},1450000,363.103,8.71,77.506,31.061,77.506,31.061,68081,1633,14534,5826,14534,5826,0
1243,12,43,7,{5000=50000;5107=2100;5108=2100;5106=2100},1500000,373.996,8.97,79.832,31.992,79.832,31.992,70124,1682,14970,6001,14970,6001,0
1301,13,1,1,{5001=1;5000=1;5003=1;5002=1},5000,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,13,2,2,{5001=3;5000=14;5003=3;5002=3},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,0
1303,13,3,2,{5005=4;5004=4;5000=21;5006=8},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,0
1304,13,4,2,{5005=6;5004=6;5000=28;5006=17},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,0
1305,13,5,3,{5009=25;5000=42;5008=8;5007=8},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,0
1306,13,6,3,{5012=34;5000=56;5011=11;5010=11},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,0
1307,13,7,3,{5012=42;5000=84;5011=14;5010=14},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,0
1308,13,8,3,{5014=21;5000=126;5015=63;5013=21},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,0
1309,13,9,4,{5014=28;5000=168;5015=84;5013=28},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,0
1310,13,10,4,{5016=45;5000=280;5017=45;5018=134},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,0
1311,13,11,4,{5016=67;5000=448;5017=67;5018=202},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,0
1312,13,12,4,{5020=90;5000=560;5019=90;5021=269},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,0
1313,13,13,4,{5020=134;5000=840;5019=134;5021=403},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,0
1314,13,14,5,{5024=538;5023=179;5000=1120;5022=179},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,0
1315,13,15,5,{5024=840;5023=280;5000=1750;5022=280},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,0
1316,13,16,5,{5025=420;5000=2240;5026=420;5027=1260},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,0
1317,13,17,5,{5028=560;5000=2800;5030=1680;5029=560},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,0
1318,13,18,5,{5032=630;5000=3500;5031=630;5033=1890},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,0
1319,13,19,5,{5036=1620;5000=3000;5035=540;5034=540},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,0
1320,13,20,6,{5037=630;5000=3500;5039=1890;5038=630},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,0
1321,13,21,6,{5040=750;5000=4000;5042=2250;5041=750},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,0
1322,13,22,6,{5044=800;5000=4500;5045=2400;5043=800},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,0
1323,13,23,6,{5048=2400;5000=4500;5047=800;5046=800},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,0
1324,13,24,6,{5049=850;5000=5000;5050=850;5051=2550},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,0
1325,13,25,6,{5053=850;5000=5000;5054=2550;5052=850},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,0
1326,13,26,7,{5055=900;5000=5500;5056=900;5057=2700},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,0
1327,13,27,7,{5000=5500;5058=900;5059=900;5060=2700},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,0
1328,13,28,7,{5000=6000;5061=950;5063=2850;5062=950},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,0
1329,13,29,7,{5000=6000;5064=950;5065=950;5066=2850},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,0
1330,13,30,7,{5000=6500;5067=1000;5069=3000;5068=1000},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,0
1331,13,31,7,{5000=6500;5071=1000;5072=3000;5070=1000},900000,262.678,6.3,56.07,22.47,56.07,22.47,48783,1170,10414,4174,10414,4174,0
1332,13,32,7,{5000=8000;5075=1800;5073=1800;5074=1800},950000,270.183,6.48,57.672,23.112,57.672,23.112,50659,1215,10815,4335,10815,4335,0
1333,13,33,7,{5000=10000;5077=1850;5078=1850;5076=1850},1000000,278.288,6.67,59.402,23.805,59.402,23.805,52179,1251,11139,4465,11139,4465,0
1334,13,34,7,{5000=12000;5080=1900;5079=1900;5081=1900},1050000,286.637,6.87,61.184,24.52,61.184,24.52,53744,1289,11474,4599,11474,4599,0
1335,13,35,7,{5000=14000;5084=1950;5083=1950;5082=1950},1100000,295.236,7.08,63.02,25.255,63.02,25.255,55356,1328,11818,4737,11818,4737,0
1336,13,36,7,{5000=16000;5085=2000;5087=2000;5086=2000},1150000,304.093,7.29,64.91,26.013,64.91,26.013,57017,1367,12172,4879,12172,4879,0
1337,13,37,7,{5000=18000;5090=2100;5089=2100;5088=2100},1200000,313.216,7.51,66.858,26.793,66.858,26.793,58728,1409,12538,5025,12538,5025,0
1338,13,38,7,{5000=20000;5091=2100;5092=2100;5093=2100},1250000,322.613,7.74,68.863,27.597,68.863,27.597,60489,1451,12914,5176,12914,5176,0
1339,13,39,7,{5000=25000;5095=2100;5094=2100;5096=2100},1300000,332.291,7.97,70.929,28.425,70.929,28.425,62304,1494,13301,5332,13301,5332,0
1340,13,40,7,{5000=30000;5098=2100;5099=2100;5097=2100},1350000,342.26,8.21,73.057,29.278,73.057,29.278,64173,1539,13700,5491,13700,5491,0
1341,13,41,7,{5000=35000;5102=2100;5100=2100;5101=2100},1400000,352.528,8.45,75.249,30.156,75.249,30.156,66099,1585,14111,5656,14111,5656,0
1342,13,42,7,{5000=40000;5105=2100;5103=2100;5104=2100},1450000,363.103,8.71,77.506,31.061,77.506,31.061,68081,1633,14534,5826,14534,5826,0
1343,13,43,7,{5000=50000;5107=2100;5108=2100;5106=2100},1500000,373.996,8.97,79.832,31.992,79.832,31.992,70124,1682,14970,6001,14970,6001,0
2101,21,1,1,{5001=2;5000=6;5003=2;5002=2},5000,0,0,0,0,0,0,0,0,0,0,0,0,0
2102,21,2,2,{5001=4;5000=18;5003=4;5002=4},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,0
2103,21,3,2,{5005=7;5004=7;5000=24;5006=7},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,0
2104,21,4,2,{5005=11;5004=11;5000=36;5006=11},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,0
2105,21,5,3,{5009=17;5000=50;5008=17;5007=17},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,0
2106,21,6,3,{5012=24;5000=65;5011=24;5010=24},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,0
2107,21,7,3,{5012=29;5000=100;5011=29;5010=29},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,0
2108,21,8,3,{5014=45;5000=150;5015=45;5013=45},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,0
2109,21,9,4,{5014=55;5000=200;5015=55;5013=55},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,0
2110,21,10,4,{5016=94;5000=320;5017=94;5018=94},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,0
2111,21,11,4,{5016=133;5000=520;5017=133;5018=133},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,0
2112,21,12,4,{5020=185;5000=650;5019=185;5021=185},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,0
2113,21,13,4,{5020=265;5000=960;5019=265;5021=265},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,0
2114,21,14,5,{5024=375;5023=375;5000=1300;5022=375},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,0
2115,21,15,5,{5024=542;5023=542;5000=2000;5022=542},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,0
2116,21,16,5,{5025=842;5000=2600;5026=842;5027=842},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,0
2117,21,17,5,{5028=1117;5000=3200;5030=1117;5029=1117},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,0
2118,21,18,5,{5032=1258;5000=4000;5031=1258;5033=1258},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,0
2119,21,19,5,{5036=1400;5000=4400;5035=1400;5034=1400},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,0
2120,21,20,6,{5037=1967;5000=4600;5039=1967;5038=1967},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,0
2121,21,21,6,{5040=2237;5000=5400;5042=2237;5041=2237},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,0
2122,21,22,6,{5044=2237;5000=5400;5045=2237;5043=2237},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,0
2123,21,23,6,{5048=2500;5000=6000;5047=2500;5046=2500},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,0
2124,21,24,6,{5049=2500;5000=6000;5050=2500;5051=2500},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,0
2125,21,25,6,{5053=2750;5000=6600;5054=2750;5052=2750},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,0
2126,21,26,7,{5055=2750;5000=6600;5056=2750;5057=2750},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,0
2127,21,27,7,{5000=7200;5058=3000;5059=3000;5060=3000},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,0
2128,21,28,7,{5000=7200;5061=3000;5063=3000;5062=3000},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,0
2129,21,29,7,{5000=7800;5064=3250;5065=3250;5066=3250},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,0
2130,21,30,7,{5000=7800;5067=3250;5069=3250;5068=3250},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,0
2131,21,31,7,{5000=7800;5071=3250;5072=3250;5070=3250},900000,262.678,6.3,56.07,22.47,56.07,22.47,48783,1170,10414,4174,10414,4174,0
2132,21,32,7,{5000=8000;5075=3300;5073=3300;5074=3300},950000,270.183,6.48,57.672,23.112,57.672,23.112,50659,1215,10815,4335,10815,4335,0
2133,21,33,7,{5000=10000;5077=3350;5078=3350;5076=3350},1000000,278.288,6.67,59.402,23.805,59.402,23.805,52179,1251,11139,4465,11139,4465,0
2134,21,34,7,{5000=12000;5080=3400;5079=3400;5081=3400},1050000,286.637,6.87,61.184,24.52,61.184,24.52,53744,1289,11474,4599,11474,4599,0
2135,21,35,7,{5000=14000;5084=3450;5083=3450;5082=3450},1100000,295.236,7.08,63.02,25.255,63.02,25.255,55356,1328,11818,4737,11818,4737,0
2136,21,36,7,{5000=16000;5085=3500;5087=3500;5086=3500},1150000,304.093,7.29,64.91,26.013,64.91,26.013,57017,1367,12172,4879,12172,4879,0
2137,21,37,7,{5000=18000;5090=3550;5089=3550;5088=3550},1200000,313.216,7.51,66.858,26.793,66.858,26.793,58728,1409,12538,5025,12538,5025,0
2138,21,38,7,{5000=20000;5091=3600;5092=3600;5093=3600},1250000,322.613,7.74,68.863,27.597,68.863,27.597,60489,1451,12914,5176,12914,5176,0
2139,21,39,7,{5000=25000;5095=3650;5094=3650;5096=3650},1300000,332.291,7.97,70.929,28.425,70.929,28.425,62304,1494,13301,5332,13301,5332,0
2140,21,40,7,{5000=30000;5098=3700;5099=3700;5097=3700},1350000,342.26,8.21,73.057,29.278,73.057,29.278,64173,1539,13700,5491,13700,5491,0
2141,21,41,7,{5000=35000;5102=3750;5100=3750;5101=3750},1400000,352.528,8.45,75.249,30.156,75.249,30.156,66099,1585,14111,5656,14111,5656,0
2142,21,42,7,{5000=40000;5105=3800;5103=3800;5104=3800},1450000,363.103,8.71,77.506,31.061,77.506,31.061,68081,1633,14534,5826,14534,5826,0
2143,21,43,7,{5000=50000;5107=3900;5108=3900;5106=3900},1500000,373.996,8.97,79.832,31.992,79.832,31.992,70124,1682,14970,6001,14970,6001,0
2201,22,1,1,{5001=2;5000=6;5003=2;5002=2},5000,0,0,0,0,0,0,0,0,0,0,0,0,0
2202,22,2,2,{5001=4;5000=18;5003=4;5002=4},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,0
2203,22,3,2,{5005=11;5004=5;5000=24;5006=5},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,0
2204,22,4,2,{5005=20;5004=7;5000=36;5006=7},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,0
2205,22,5,3,{5009=10;5000=50;5008=30;5007=10},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,0
2206,22,6,3,{5012=15;5000=65;5011=42;5010=15},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,0
2207,22,7,3,{5012=18;5000=100;5011=50;5010=18},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,0
2208,22,8,3,{5014=81;5000=150;5015=27;5013=27},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,0
2209,22,9,4,{5014=99;5000=200;5015=33;5013=33},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,0
2210,22,10,4,{5016=56;5000=320;5017=169;5018=56},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,0
2211,22,11,4,{5016=80;5000=520;5017=239;5018=80},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,0
2212,22,12,4,{5020=335;5000=650;5019=110;5021=110},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,0
2213,22,13,4,{5020=475;5000=960;5019=160;5021=160},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,0
2214,22,14,5,{5024=225;5023=675;5000=1300;5022=225},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,0
2215,22,15,5,{5024=325;5023=975;5000=2000;5022=325},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,0
2216,22,16,5,{5025=505;5000=2600;5026=1515;5027=505},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,0
2217,22,17,5,{5028=670;5000=3200;5030=670;5029=2010},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,0
2218,22,18,5,{5032=2265;5000=4000;5031=755;5033=755},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,0
2219,22,19,5,{5036=840;5000=4400;5035=2520;5034=840},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,0
2220,22,20,6,{5037=1180;5000=4600;5039=1180;5038=3540},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,0
2221,22,21,6,{5040=1340;5000=5400;5042=1340;5041=4030},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,0
2222,22,22,6,{5044=4030;5000=5400;5045=1340;5043=1340},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,0
2223,22,23,6,{5048=1500;5000=6000;5047=4500;5046=1500},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,0
2224,22,24,6,{5049=1500;5000=6000;5050=4500;5051=1500},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,0
2225,22,25,6,{5053=4950;5000=6600;5054=1650;5052=1650},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,0
2226,22,26,7,{5055=1650;5000=6600;5056=4950;5057=1650},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,0
2227,22,27,7,{5000=7200;5058=1800;5059=5400;5060=1800},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,0
2228,22,28,7,{5000=7200;5061=1800;5063=1800;5062=5400},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,0
2229,22,29,7,{5000=7800;5064=1950;5065=5850;5066=1950},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,0
2230,22,30,7,{5000=7800;5067=1950;5069=1950;5068=5850},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,0
2231,22,31,7,{5000=7800;5070=1950;5072=1950;5071=5850},900000,262.678,6.3,56.07,22.47,56.07,22.47,48783,1170,10414,4174,10414,4174,0
2232,22,32,7,{5000=8000;5075=1800;5073=1800;5074=1800},950000,270.183,6.48,57.672,23.112,57.672,23.112,50659,1215,10815,4335,10815,4335,0
2233,22,33,7,{5000=10000;5077=1850;5078=1850;5076=1850},1000000,278.288,6.67,59.402,23.805,59.402,23.805,52179,1251,11139,4465,11139,4465,0
2234,22,34,7,{5000=12000;5080=1900;5079=1900;5081=1900},1050000,286.637,6.87,61.184,24.52,61.184,24.52,53744,1289,11474,4599,11474,4599,0
2235,22,35,7,{5000=14000;5084=1950;5083=1950;5082=1950},1100000,295.236,7.08,63.02,25.255,63.02,25.255,55356,1328,11818,4737,11818,4737,0
2236,22,36,7,{5000=16000;5085=2000;5087=2000;5086=2000},1150000,304.093,7.29,64.91,26.013,64.91,26.013,57017,1367,12172,4879,12172,4879,0
2237,22,37,7,{5000=18000;5090=2100;5089=2100;5088=2100},1200000,313.216,7.51,66.858,26.793,66.858,26.793,58728,1409,12538,5025,12538,5025,0
2238,22,38,7,{5000=20000;5091=2100;5092=2100;5093=2100},1250000,322.613,7.74,68.863,27.597,68.863,27.597,60489,1451,12914,5176,12914,5176,0
2239,22,39,7,{5000=25000;5095=2100;5094=2100;5096=2100},1300000,332.291,7.97,70.929,28.425,70.929,28.425,62304,1494,13301,5332,13301,5332,0
2240,22,40,7,{5000=30000;5098=2100;5099=2100;5097=2100},1350000,342.26,8.21,73.057,29.278,73.057,29.278,64173,1539,13700,5491,13700,5491,0
2241,22,41,7,{5000=35000;5102=2100;5100=2100;5101=2100},1400000,352.528,8.45,75.249,30.156,75.249,30.156,66099,1585,14111,5656,14111,5656,0
2242,22,42,7,{5000=40000;5105=2100;5103=2100;5104=2100},1450000,363.103,8.71,77.506,31.061,77.506,31.061,68081,1633,14534,5826,14534,5826,0
2243,22,43,7,{5000=50000;5107=2100;5108=2100;5106=2100},1500000,373.996,8.97,79.832,31.992,79.832,31.992,70124,1682,14970,6001,14970,6001,0
2301,23,1,1,{5001=2;5000=6;5003=2;5002=2},5000,0,0,0,0,0,0,0,0,0,0,0,0,0
2302,23,2,2,{5001=4;5000=18;5003=4;5002=4},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,0
2303,23,3,2,{5005=5;5004=5;5000=24;5006=11},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,0
2304,23,4,2,{5005=7;5004=7;5000=36;5006=20},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,0
2305,23,5,3,{5009=30;5000=50;5008=10;5007=10},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,0
2306,23,6,3,{5012=42;5000=65;5011=15;5010=15},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,0
2307,23,7,3,{5012=50;5000=100;5011=18;5010=18},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,0
2308,23,8,3,{5014=27;5000=150;5015=81;5013=27},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,0
2309,23,9,4,{5014=33;5000=200;5015=99;5013=33},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,0
2310,23,10,4,{5016=56;5000=320;5017=56;5018=169},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,0
2311,23,11,4,{5016=80;5000=520;5017=80;5018=239},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,0
