变量名,zawakeID,_beizhu,awakeSeqID,pos,scale,awakeDes1,awakeDes1_tw,awakeDes1_en,awakeDes1_vn,awakeDes1_kr,awakeDes1_pt,awakeDes1_th,isOpen,unlockType1,unlockLimit1,unlockType2,unlockLimit2
64105,541,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=200;zawakeStage=408;advance=15},-1,{}
64106,541,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=10;equipAwakeSum=4},-1,{}
64107,541,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=250;zawakeStage=608;advance=16},-1,{}
64108,541,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=12;zawakeStage=708;nvalueSum=140},-1,{}
65101,551,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
65102,551,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
65103,551,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=150;zawakeStage=208;advance=14},-1,{}
65104,551,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=8;zawakeStage=308;nvalueSum=140},-1,{}
65105,551,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=200;zawakeStage=408;advance=15},-1,{}
65106,551,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=10;equipAwakeSum=4},-1,{}
65107,551,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=250;zawakeStage=608;advance=16},-1,{}
65108,551,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=12;zawakeStage=708;nvalueSum=140},-1,{}
66101,561,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
66102,561,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
66103,561,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=160;zawakeStage=208;advance=15},-1,{}
66104,561,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=9;zawakeStage=308;nvalueSum=140},-1,{}
66105,561,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=220;zawakeStage=408;advance=16},-1,{}
66106,561,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=12;equipAwakeSum=4},-1,{}
66107,561,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=300;zawakeStage=608;advance=17},-1,{}
66108,561,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=15;zawakeStage=708;nvalueSum=140},-1,{}
67101,571,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
67102,571,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
67103,571,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=160;zawakeStage=208;advance=15},-1,{}
67104,571,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=9;zawakeStage=308;nvalueSum=140},-1,{}
67105,571,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=220;zawakeStage=408;advance=16},-1,{}
67106,571,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=12;equipAwakeSum=4},-1,{}
67107,571,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=300;zawakeStage=608;advance=17},-1,{}
67108,571,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=15;zawakeStage=708;nvalueSum=140},-1,{}
67201,572,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
67202,572,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
67203,572,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=160;zawakeStage=208;advance=15},-1,{}
67204,572,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=9;zawakeStage=308;nvalueSum=140},-1,{}
67205,572,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=220;zawakeStage=408;advance=16},-1,{}
67206,572,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=12;equipAwakeSum=4},-1,{}
67207,572,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=300;zawakeStage=608;advance=17},-1,{}
67208,572,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=15;zawakeStage=708;nvalueSum=140},-1,{}
69101,591,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
69102,591,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
69103,591,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=160;zawakeStage=208;advance=15},-1,{}
69104,591,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=9;zawakeStage=308;nvalueSum=140},-1,{}
69105,591,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=220;zawakeStage=408;advance=16},-1,{}
69106,591,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=12;equipAwakeSum=4},-1,{}
69107,591,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=300;zawakeStage=608;advance=17},-1,{}
69108,591,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=15;zawakeStage=708;nvalueSum=140},-1,{}
70101,601,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
70102,601,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
70103,601,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=160;zawakeStage=208;advance=15},-1,{}
70104,601,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=9;zawakeStage=308;nvalueSum=140},-1,{}
70105,601,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=220;zawakeStage=408;advance=16},-1,{}
70106,601,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=12;equipAwakeSum=4},-1,{}
70107,601,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=300;zawakeStage=608;advance=17},-1,{}
70108,601,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=15;zawakeStage=708;nvalueSum=140},-1,{}
71101,611,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
71102,611,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
71103,611,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=160;zawakeStage=208;advance=15},-1,{}
71104,611,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=9;zawakeStage=308;nvalueSum=140},-1,{}
71105,611,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=220;zawakeStage=408;advance=16},-1,{}
71106,611,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=12;equipAwakeSum=4},-1,{}
71107,611,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=300;zawakeStage=608;advance=17},-1,{}
71108,611,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=15;zawakeStage=708;nvalueSum=140},-1,{}
73101,631,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
73102,631,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
73103,631,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=160;zawakeStage=208;advance=15},-1,{}
73104,631,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=9;zawakeStage=308;nvalueSum=140},-1,{}
73105,631,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=220;zawakeStage=408;advance=16},-1,{}
73106,631,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=12;equipAwakeSum=4},-1,{}
73107,631,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=300;zawakeStage=608;advance=17},-1,{}
73108,631,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=15;zawakeStage=708;nvalueSum=140},-1,{}
73201,632,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
73202,632,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
73203,632,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=160;zawakeStage=208;advance=15},-1,{}
73204,632,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=9;zawakeStage=308;nvalueSum=140},-1,{}
73205,632,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=220;zawakeStage=408;advance=16},-1,{}
73206,632,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=12;equipAwakeSum=4},-1,{}
73207,632,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=300;zawakeStage=608;advance=17},-1,{}
73208,632,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=15;zawakeStage=708;nvalueSum=140},-1,{}
74101,641,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
74102,641,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
74103,641,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=160;zawakeStage=208;advance=15},-1,{}
74104,641,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=9;zawakeStage=308;nvalueSum=140},-1,{}
74105,641,,5,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=10;goodFeel=220;zawakeStage=408;advance=16},-1,{}
74106,641,,6,{},0.5,大招技能获得强化提升!,終極技能獲得強化提升！,Ultimate skill has been enhanced!,Kỹ năng tối thượng đã được tăng cường!,궁극 스킬이 강화되었습니다!,Habilidade suprema foi fortalecida!,สกิลอัลติเมตได้รับการเสริมพลัง!,1,-1,{effort=11;zawakeStage=508;equipStarSum=12;equipAwakeSum=4},-1,{}
74107,641,,7,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=11;goodFeel=300;zawakeStage=608;advance=17},-1,{}
74108,641,,8,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{effort=13;equipStarSum=15;zawakeStage=708;nvalueSum=140},-1,{}
79101,691,,1,{},0.5,属性获得增强,屬性獲得增強,Attribute has been enhanced,Thuộc tính đã được tăng cường,속성이 강화되었습니다,Atributo foi aprimorado,คุณสมบัติได้รับการเสริมพลัง,1,-1,{star=8;advance=13;goodFeel=100},-1,{}
79102,691,,2,{},0.5,普攻技能获得强化提升!,普攻技能獲得強化提升！,Normal skill has been enhanced!,Kỹ năng thường đã được tăng cường!,일반 스킬이 강화되었습니다!,Habilidade normal foi fortalecida!,สกิลปกติได้รับการเสริมพลัง!,1,-1,{effort=7;zawakeStage=108;equipStarSum=6;equipAwakeSum=2},-1,{}
79103,691,,3,{},0.5,小技能获得强化提升!,小技能獲得強化提升！,Minor skill has been enhanced!,Kỹ năng nhỏ đã được tăng cường!,소형 스킬이 강화되었습니다!,Habilidade menor foi aprimorada!,สกิลย่อยได้รับการเสริมพลัง!,1,-1,{star=9;goodFeel=150;zawakeStage=208;advance=14},-1,{}
79104,691,,4,{},0.5,被动技能获得强化提升!,被動技能獲得強化提升！,Passive skill has been enhanced!,Kỹ năng bị động đã được tăng cường!,패시브 스킬이 강화되었습니다!,Habilidade passiva foi fortalecida!,สกิลพาสซีฟได้รับการเสริมพลัง!,1,-1,{effort=9;equipStarSum=8;zawakeStage=308;nvalueSum=140},-1,{}
