变量名,itemID,coordinate,componentPosID,componentLine,componentsize,attrTarget,attrNumType1,attrNum1,attrNumType2,attrNum2,attrNumType3,attrNum3,attrNumType4,attrNum4,strengthCostSeq
31,4094,{y=848;x=1535},3,{y=819;flip=3;x=1224},505,<>,7,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205;10126;11138;12252;13477;14825;16307;17938;19732;21705;23875;26263;28889;31778;34956;38452;42297;46526;51179;56297;61927;68119;74931;82424;90667;99733;109707;120677;132745;146020;160622>,9,<58;128;197;276;355;446;537;641;745;864;983;1119;1256;1413;1569;1748;1926;2131;2336;2570;2827;3110;3421;3763;4139;4553;5008;5509;6060;6666;7333;8066;8872;9760;10736;11809;12990;14289;15718;17290;19019;20921;23013;25314;27845;30630;33693;37062;40768>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004;8804;9685;10653;11719;12891;14180;15598;17157;18873;20760;22836;25120;27632;30395;33435;36778;40456;44502;48952;53847;59232;65155;71670;78837;86721;95393;104932;115426;126968;139665>,10,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024;3326;3659;4025;4427;4870;5357;5893;6482;7130;7843;8628;9491;10440;11484;12632;13895;15285;16813;18495;20344;22378;24616;27078;29786;32764;36041;39645;43609;47970;52767>,38
32,4095,{y=582;x=1535},4,{y=550;flip=3;x=1274},400,<>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178;196;215;237;261;287;315;347;382;420;462;508;559;615;676;744;818;900;990;1089;1197;1317;1449;1594;1753;1929;2121;2334;2567;2824;3106>,7,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004;8804;9685;10653;11719;12891;14180;15598;17157;18873;20760;22836;25120;27632;30395;33435;36778;40456;44502;48952;53847;59232;65155;71670;78837;86721;95393;104932;115426;126968>,9,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024;3326;3659;4025;4427;4870;5357;5893;6482;7130;7843;8628;9491;10440;11484;12632;13895;15285;16813;18495;20344;22378;24616;27078;29786;32764;36041;39645;43609;47970;52767>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004;8804;9685;10653;11719;12891;14180;15598;17157;18873;20760;22836;25120;27632;30395;33435;36778;40456;44502;48952;53847;59232;65155;71670;78837;86721;95393;104932;115426;126968;139665>,39
33,4096,{y=308;x=1533},5,{y=313;flip=1;x=1389},160,<>,1,<776;1708;2639;3705;4771;5993;7214;8612;10011;11612;13212;15044;16876;18974;21071;23474;25876;28626;31375;34524;37976;41774;45951;50547;55601;61161;67278;74005;81406;89546;98501;108351;119186;131105;144215;158637;174501;191951;211146;232260;255486;281035;309138;340052;374057;411463;452609;497870;547657;602423>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178;196;215;237;261;287;315;347;382;420;462;508;559;615;676;744;818;900;990;1089;1197;1317;1449;1594;1753;1929;2121;2334;2567;2824>,7,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004;8804;9685;10653;11719;12891;14180;15598;17157;18873;20760;22836;25120;27632;30395;33435;36778;40456;44502;48952;53847;59232;65155;71670;78837;86721;95393;104932;115426;126968;139665>,9,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024;3326;3659;4025;4427;4870;5357;5893;6482;7130;7843;8628;9491;10440;11484;12632;13895;15285;16813;18495;20344;22378;24616;27078;29786;32764;36041;39645;43609;47970;52767>,40
34,4034,{y=791;x=183},4,{y=760;flip=4;x=410},330,<>,1,<251;451;651;872;1093;1336;1580;1849;2118;2415;2712;3038;3365;3725;4085>,7,<49;88;128;171;214;262;309;362;415;473;532;597;661;732;802>,8,<58;104;150;201;252;308;364;426;488;557;626;702;778;861;944>,0,<>,10
35,4044,{y=349;x=1539},4,{y=315;flip=3;x=1325},290,<>,9,<25;46;67;89;110;135;159;186;214;244;274;307;340;377;414>,10,<19;34;49;65;82;99;117;138;158;180;202;227;252;279;306>,13,<5;8;10;13;15;18;20;23;26;28;31;33;36;38;41>,0,<>,14
36,4054,{y=503;x=198},4,{y=472;flip=4;x=471},460,<>,1,<204;367;530;711;891;1089;1287;1505;1724;1965;2207;2473;2739;3032;3325>,7,<74;132;191;255;320;391;462;542;621;708;796;891;987;1093;1198>,8,<74;132;191;255;320;391;462;542;621;708;796;891;987;1093;1198>,0,<>,15
37,4055,{y=248;x=198},5,{y=271;flip=2;x=463},390,<>,8,<54;98;141;189;236;289;342;400;459;524;588;659;729;808;886>,15,<50;75;100;130;160;195;230;270;310;355;400;450;500;555;610>,13,<6;8;11;13;16;18;21;24;26;29;31;34;36;39;41>,0,<>,16
38,4065,{y=465;x=1503},5,{y=437;flip=3;x=1187},500,<>,7,<74;132;191;255;320;391;462;542;621;708;796;891;987;1093;1198>,9,<24;43;62;83;104;127;150;176;202;230;258;289;320;354;388>,10,<20;37;53;71;88;108;128;150;172;196;219;246;272;301;330>,0,<>,24
39,4075,{y=799;x=1489},5,{y=776;flip=3;x=1267},350,<>,8,<64;115;166;222;278;340;402;471;540;616;692;775;858;950;1042>,10,<28;49;71;95;120;146;173;202;232;265;297;332;368;407;446>,13,<7;10;13;16;19;22;25;28;31;34;37;40;43;46;49>,0,<>,29
40,4086,{y=775;x=58},6,{y=750;flip=4;x=440},650,<>,7,<81;145;209;281;352;430;508;595;681;776;872;976;1081;1197;1313>,9,<22;40;58;77;97;118;139;163;187;213;240;269;298;329;360>,8,<70;126;182;244;306;374;442;517;592;675;758;849;940;1041;1142>,10,<26;47;68;91;114;139;164;192;220;251;282;316;350;387;424>,35
41,4091,{y=732;x=252},6,{y=707;flip=4;x=541},450,<>,1,<224;404;583;781;979;1198;1416;1657;1897;2162;2428;2720;3012;3335;3657>,8,<60;107;155;207;260;318;376;439;503;574;644;722;799;885;971>,9,<30;54;78;105;131;160;189;221;253;289;324;363;403;445;488>,10,<30;54;78;105;131;160;189;221;253;289;324;363;403;445;488>,36
