30,{4011=18;4000=1999},{4012=18;4000=1999},{4013=18;4000=1999},{4021=18;4000=1999},{4022=18;4000=1999},{4023=18;4000=1999},{4000=3993;4031=17},{4000=3993;4032=17},{4000=3993;4033=17},{4000=3993;4034=17},{4041=17;4000=3993},{4042=17;4000=3993},{4043=17;4000=3993},{4044=17;4000=3993},{4051=17;4000=3993},{4052=17;4000=3993},{4053=17;4000=3993},{4054=17;4000=3993},{4000=6993;4061=16},{4000=6993;4062=16},{4000=6993;4063=16},{4000=6993;4064=16},{4000=6993;4065=16},{4000=6993;4071=16},{4072=16;4000=6993},{4073=16;4000=6993},{4074=16;4000=6993},{4075=16;4000=6993},{4081=14;4000=11981},{4082=14;4000=11981},{4083=14;4000=11981},{4084=14;4000=11981},{4085=14;4000=11981},{4086=14;4000=11981},{4000=11981;4091=14},{4000=11981;4092=14},{4000=11981;4093=14},{4000=11981;4094=14},{4000=11981;4095=14},{4096=14;4000=11981}
31,{4011=19;4000=2199},{4012=19;4000=2199},{4013=19;4000=2199},{4021=19;4000=2199},{4022=19;4000=2199},{4023=19;4000=2199},{4000=4392;4031=18},{4000=4392;4032=18},{4000=4392;4033=18},{4000=4392;4034=18},{4041=18;4000=4392},{4042=18;4000=4392},{4043=18;4000=4392},{4044=18;4000=4392},{4051=18;4000=4392},{4052=18;4000=4392},{4053=18;4000=4392},{4054=18;4000=4392},{4000=7692;4061=17},{4000=7692;4062=17},{4000=7692;4063=17},{4000=7692;4064=17},{4000=7692;4065=17},{4000=7692;4071=17},{4072=17;4000=7692},{4073=17;4000=7692},{4074=17;4000=7692},{4075=17;4000=7692},{4081=15;4000=13179},{4082=15;4000=13179},{4083=15;4000=13179},{4084=15;4000=13179},{4085=15;4000=13179},{4086=15;4000=13179},{4000=13179;4091=15},{4000=13179;4092=15},{4000=13179;4093=15},{4000=13179;4094=15},{4000=13179;4095=15},{4096=15;4000=13179}
32,{4011=20;4000=2419},{4012=20;4000=2419},{4013=20;4000=2419},{4021=20;4000=2419},{4022=20;4000=2419},{4023=20;4000=2419},{4000=4831;4031=19},{4000=4831;4032=19},{4000=4831;4033=19},{4000=4831;4034=19},{4041=19;4000=4831},{4042=19;4000=4831},{4043=19;4000=4831},{4044=19;4000=4831},{4051=19;4000=4831},{4052=19;4000=4831},{4053=19;4000=4831},{4054=19;4000=4831},{4000=8461;4061=18},{4000=8461;4062=18},{4000=8461;4063=18},{4000=8461;4064=18},{4000=8461;4065=18},{4000=8461;4071=18},{4072=18;4000=8461},{4073=18;4000=8461},{4074=18;4000=8461},{4075=18;4000=8461},{4081=16;4000=14497},{4082=16;4000=14497},{4083=16;4000=14497},{4084=16;4000=14497},{4085=16;4000=14497},{4086=16;4000=14497},{4000=14497;4091=16},{4000=14497;4092=16},{4000=14497;4093=16},{4000=14497;4094=16},{4000=14497;4095=16},{4096=16;4000=14497}
33,{4011=21;4000=2661},{4012=21;4000=2661},{4013=21;4000=2661},{4021=21;4000=2661},{4022=21;4000=2661},{4023=21;4000=2661},{4000=5314;4031=20},{4000=5314;4032=20},{4000=5314;4033=20},{4000=5314;4034=20},{4041=20;4000=5314},{4042=20;4000=5314},{4043=20;4000=5314},{4044=20;4000=5314},{4051=20;4000=5314},{4052=20;4000=5314},{4053=20;4000=5314},{4054=20;4000=5314},{4000=9307;4061=19},{4000=9307;4062=19},{4000=9307;4063=19},{4000=9307;4064=19},{4000=9307;4065=19},{4000=9307;4071=19},{4072=19;4000=9307},{4073=19;4000=9307},{4074=19;4000=9307},{4075=19;4000=9307},{4081=17;4000=15947},{4082=17;4000=15947},{4083=17;4000=15947},{4084=17;4000=15947},{4085=17;4000=15947},{4086=17;4000=15947},{4000=15947;4091=17},{4000=15947;4092=17},{4000=15947;4093=17},{4000=15947;4094=17},{4000=15947;4095=17},{4096=17;4000=15947}
34,{4011=22;4000=2927},{4012=22;4000=2927},{4013=22;4000=2927},{4021=22;4000=2927},{4022=22;4000=2927},{4023=22;4000=2927},{4000=5845;4031=21},{4000=5845;4032=21},{4000=5845;4033=21},{4000=5845;4034=21},{4041=21;4000=5845},{4042=21;4000=5845},{4043=21;4000=5845},{4044=21;4000=5845},{4051=21;4000=5845},{4052=21;4000=5845},{4053=21;4000=5845},{4054=21;4000=5845},{4000=10238;4061=20},{4000=10238;4062=20},{4000=10238;4063=20},{4000=10238;4064=20},{4000=10238;4065=20},{4000=10238;4071=20},{4072=20;4000=10238},{4073=20;4000=10238},{4074=20;4000=10238},{4075=20;4000=10238},{4081=18;4000=17542},{4082=18;4000=17542},{4083=18;4000=17542},{4084=18;4000=17542},{4085=18;4000=17542},{4086=18;4000=17542},{4000=17542;4091=18},{4000=17542;4092=18},{4000=17542;4093=18},{4000=17542;4094=18},{4000=17542;4095=18},{4096=18;4000=17542}
35,{4011=23;4000=3220},{4012=23;4000=3220},{4013=23;4000=3220},{4021=23;4000=3220},{4022=23;4000=3220},{4023=23;4000=3220},{4000=6430;4031=22},{4000=6430;4032=22},{4000=6430;4033=22},{4000=6430;4034=22},{4041=22;4000=6430},{4042=22;4000=6430},{4043=22;4000=6430},{4044=22;4000=6430},{4051=22;4000=6430},{4052=22;4000=6430},{4053=22;4000=6430},{4054=22;4000=6430},{4000=11262;4061=21},{4000=11262;4062=21},{4000=11262;4063=21},{4000=11262;4064=21},{4000=11262;4065=21},{4000=11262;4071=21},{4072=21;4000=11262},{4073=21;4000=11262},{4074=21;4000=11262},{4075=21;4000=11262},{4081=19;4000=19296},{4082=19;4000=19296},{4083=19;4000=19296},{4084=19;4000=19296},{4085=19;4000=19296},{4086=19;4000=19296},{4000=19296;4091=19},{4000=19296;4092=19},{4000=19296;4093=19},{4000=19296;4094=19},{4000=19296;4095=19},{4096=19;4000=19296}
36,{4011=24;4000=3542},{4012=24;4000=3542},{4013=24;4000=3542},{4021=24;4000=3542},{4022=24;4000=3542},{4023=24;4000=3542},{4000=7073;4031=23},{4000=7073;4032=23},{4000=7073;4033=23},{4000=7073;4034=23},{4041=23;4000=7073},{4042=23;4000=7073},{4043=23;4000=7073},{4044=23;4000=7073},{4051=23;4000=7073},{4052=23;4000=7073},{4053=23;4000=7073},{4054=23;4000=7073},{4000=12388;4061=22},{4000=12388;4062=22},{4000=12388;4063=22},{4000=12388;4064=22},{4000=12388;4065=22},{4000=12388;4071=22},{4072=22;4000=12388},{4073=22;4000=12388},{4074=22;4000=12388},{4075=22;4000=12388},{4081=20;4000=21226},{4082=20;4000=21226},{4083=20;4000=21226},{4084=20;4000=21226},{4085=20;4000=21226},{4086=20;4000=21226},{4000=21226;4091=20},{4000=21226;4092=20},{4000=21226;4093=20},{4000=21226;4094=20},{4000=21226;4095=20},{4096=20;4000=21226}
37,{4011=25;4000=3896},{4012=25;4000=3896},{4013=25;4000=3896},{4021=25;4000=3896},{4022=25;4000=3896},{4023=25;4000=3896},{4000=7780;4031=24},{4000=7780;4032=24},{4000=7780;4033=24},{4000=7780;4034=24},{4041=24;4000=7780},{4042=24;4000=7780},{4043=24;4000=7780},{4044=24;4000=7780},{4051=24;4000=7780},{4052=24;4000=7780},{4053=24;4000=7780},{4054=24;4000=7780},{4000=13627;4061=23},{4000=13627;4062=23},{4000=13627;4063=23},{4000=13627;4064=23},{4000=13627;4065=23},{4000=13627;4071=23},{4072=23;4000=13627},{4073=23;4000=13627},{4074=23;4000=13627},{4075=23;4000=13627},{4081=21;4000=23349},{4082=21;4000=23349},{4083=21;4000=23349},{4084=21;4000=23349},{4085=21;4000=23349},{4086=21;4000=23349},{4000=23349;4091=21},{4000=23349;4092=21},{4000=23349;4093=21},{4000=23349;4094=21},{4000=23349;4095=21},{4096=21;4000=23349}
38,{4011=26;4000=4286},{4012=26;4000=4286},{4013=26;4000=4286},{4021=26;4000=4286},{4022=26;4000=4286},{4023=26;4000=4286},{4000=8558;4031=25},{4000=8558;4032=25},{4000=8558;4033=25},{4000=8558;4034=25},{4041=25;4000=8558},{4042=25;4000=8558},{4043=25;4000=8558},{4044=25;4000=8558},{4051=25;4000=8558},{4052=25;4000=8558},{4053=25;4000=8558},{4054=25;4000=8558},{4000=14990;4061=24},{4000=14990;4062=24},{4000=14990;4063=24},{4000=14990;4064=24},{4000=14990;4065=24},{4000=14990;4071=24},{4072=24;4000=14990},{4073=24;4000=14990},{4074=24;4000=14990},{4075=24;4000=14990},{4081=22;4000=25684},{4082=22;4000=25684},{4083=22;4000=25684},{4084=22;4000=25684},{4085=22;4000=25684},{4086=22;4000=25684},{4000=25684;4091=22},{4000=25684;4092=22},{4000=25684;4093=22},{4000=25684;4094=22},{4000=25684;4095=22},{4096=22;4000=25684}
39,{4011=27;4000=4715},{4012=27;4000=4715},{4013=27;4000=4715},{4021=27;4000=4715},{4022=27;4000=4715},{4023=27;4000=4715},{4000=9414;4031=26},{4000=9414;4032=26},{4000=9414;4033=26},{4000=9414;4034=26},{4041=26;4000=9414},{4042=26;4000=9414},{4043=26;4000=9414},{4044=26;4000=9414},{4051=26;4000=9414},{4052=26;4000=9414},{4053=26;4000=9414},{4054=26;4000=9414},{4000=16489;4061=25},{4000=16489;4062=25},{4000=16489;4063=25},{4000=16489;4064=25},{4000=16489;4065=25},{4000=16489;4071=25},{4072=25;4000=16489},{4073=25;4000=16489},{4074=25;4000=16489},{4075=25;4000=16489},{4081=23;4000=28252},{4082=23;4000=28252},{4083=23;4000=28252},{4084=23;4000=28252},{4085=23;4000=28252},{4086=23;4000=28252},{4000=28252;4091=23},{4000=28252;4092=23},{4000=28252;4093=23},{4000=28252;4094=23},{4000=28252;4095=23},{4096=23;4000=28252}
40,{4011=28;4000=5187},{4012=28;4000=5187},{4013=28;4000=5187},{4021=28;4000=5187},{4022=28;4000=5187},{4023=28;4000=5187},{4000=10355;4031=27},{4000=10355;4032=27},{4000=10355;4033=27},{4000=10355;4034=27},{4041=27;4000=10355},{4042=27;4000=10355},{4043=27;4000=10355},{4044=27;4000=10355},{4051=27;4000=10355},{4052=27;4000=10355},{4053=27;4000=10355},{4054=27;4000=10355},{4000=18138;4061=26},{4000=18138;4062=26},{4000=18138;4063=26},{4000=18138;4064=26},{4000=18138;4065=26},{4000=18138;4071=26},{4072=26;4000=18138},{4073=26;4000=18138},{4074=26;4000=18138},{4075=26;4000=18138},{4081=24;4000=31077},{4082=24;4000=31077},{4083=24;4000=31077},{4084=24;4000=31077},{4085=24;4000=31077},{4086=24;4000=31077},{4000=31077;4091=24},{4000=31077;4092=24},{4000=31077;4093=24},{4000=31077;4094=24},{4000=31077;4095=24},{4096=24;4000=31077}
41,{4011=29;4000=5706},{4012=29;4000=5706},{4013=29;4000=5706},{4021=29;4000=5706},{4022=29;4000=5706},{4023=29;4000=5706},{4000=11391;4031=28},{4000=11391;4032=28},{4000=11391;4033=28},{4000=11391;4034=28},{4041=28;4000=11391},{4042=28;4000=11391},{4043=28;4000=11391},{4044=28;4000=11391},{4051=28;4000=11391},{4052=28;4000=11391},{4053=28;4000=11391},{4054=28;4000=11391},{4000=19952;4061=27},{4000=19952;4062=27},{4000=19952;4063=27},{4000=19952;4064=27},{4000=19952;4065=27},{4000=19952;4071=27},{4072=27;4000=19952},{4073=27;4000=19952},{4074=27;4000=19952},{4075=27;4000=19952},{4081=25;4000=34185},{4082=25;4000=34185},{4083=25;4000=34185},{4084=25;4000=34185},{4085=25;4000=34185},{4086=25;4000=34185},{4000=34185;4091=25},{4000=34185;4092=25},{4000=34185;4093=25},{4000=34185;4094=25},{4000=34185;4095=25},{4096=25;4000=34185}
42,{4011=30;4000=6277},{4012=30;4000=6277},{4013=30;4000=6277},{4021=30;4000=6277},{4022=30;4000=6277},{4023=30;4000=6277},{4000=12530;4031=29},{4000=12530;4032=29},{4000=12530;4033=29},{4000=12530;4034=29},{4041=29;4000=12530},{4042=29;4000=12530},{4043=29;4000=12530},{4044=29;4000=12530},{4051=29;4000=12530},{4052=29;4000=12530},{4053=29;4000=12530},{4054=29;4000=12530},{4000=21947;4061=28},{4000=21947;4062=28},{4000=21947;4063=28},{4000=21947;4064=28},{4000=21947;4065=28},{4000=21947;4071=28},{4072=28;4000=21947},{4073=28;4000=21947},{4074=28;4000=21947},{4075=28;4000=21947},{4081=26;4000=37604},{4082=26;4000=37604},{4083=26;4000=37604},{4084=26;4000=37604},{4085=26;4000=37604},{4086=26;4000=37604},{4000=37604;4091=26},{4000=37604;4092=26},{4000=37604;4093=26},{4000=37604;4094=26},{4000=37604;4095=26},{4096=26;4000=37604}
43,{4011=31;4000=6905},{4012=31;4000=6905},{4013=31;4000=6905},{4021=31;4000=6905},{4022=31;4000=6905},{4023=31;4000=6905},{4000=13783;4031=30},{4000=13783;4032=30},{4000=13783;4033=30},{4000=13783;4034=30},{4041=30;4000=13783},{4042=30;4000=13783},{4043=30;4000=13783},{4044=30;4000=13783},{4051=30;4000=13783},{4052=30;4000=13783},{4053=30;4000=13783},{4054=30;4000=13783},{4000=24142;4061=29},{4000=24142;4062=29},{4000=24142;4063=29},{4000=24142;4064=29},{4000=24142;4065=29},{4000=24142;4071=29},{4072=29;4000=24142},{4073=29;4000=24142},{4074=29;4000=24142},{4075=29;4000=24142},{4081=27;4000=41364},{4082=27;4000=41364},{4083=27;4000=41364},{4084=27;4000=41364},{4085=27;4000=41364},{4086=27;4000=41364},{4000=41364;4091=27},{4000=41364;4092=27},{4000=41364;4093=27},{4000=41364;4094=27},{4000=41364;4095=27},{4096=27;4000=41364}
44,{4011=32;4000=7596},{4012=32;4000=7596},{4013=32;4000=7596},{4021=32;4000=7596},{4022=32;4000=7596},{4023=32;4000=7596},{4000=15161;4031=31},{4000=15161;4032=31},{4000=15161;4033=31},{4000=15161;4034=31},{4041=31;4000=15161},{4042=31;4000=15161},{4043=31;4000=15161},{4044=31;4000=15161},{4051=31;4000=15161},{4052=31;4000=15161},{4053=31;4000=15161},{4054=31;4000=15161},{4000=26556;4061=30},{4000=26556;4062=30},{4000=26556;4063=30},{4000=26556;4064=30},{4000=26556;4065=30},{4000=26556;4071=30},{4072=30;4000=26556},{4073=30;4000=26556},{4074=30;4000=26556},{4075=30;4000=26556},{4081=28;4000=45500},{4082=28;4000=45500},{4083=28;4000=45500},{4084=28;4000=45500},{4085=28;4000=45500},{4086=28;4000=45500},{4000=45500;4091=28},{4000=45500;4092=28},{4000=45500;4093=28},{4000=45500;4094=28},{4000=45500;4095=28},{4096=28;4000=45500}
45,{4011=33;4000=8356},{4012=33;4000=8356},{4013=33;4000=8356},{4021=33;4000=8356},{4022=33;4000=8356},{4023=33;4000=8356},{4000=16677;4031=32},{4000=16677;4032=32},{4000=16677;4033=32},{4000=16677;4034=32},{4041=32;4000=16677},{4042=32;4000=16677},{4043=32;4000=16677},{4044=32;4000=16677},{4051=32;4000=16677},{4052=32;4000=16677},{4053=32;4000=16677},{4054=32;4000=16677},{4000=29212;4061=31},{4000=29212;4062=31},{4000=29212;4063=31},{4000=29212;4064=31},{4000=29212;4065=31},{4000=29212;4071=31},{4072=31;4000=29212},{4073=31;4000=29212},{4074=31;4000=29212},{4075=31;4000=29212},{4081=29;4000=50050},{4082=29;4000=50050},{4083=29;4000=50050},{4084=29;4000=50050},{4085=29;4000=50050},{4086=29;4000=50050},{4000=50050;4091=29},{4000=50050;4092=29},{4000=50050;4093=29},{4000=50050;4094=29},{4000=50050;4095=29},{4096=29;4000=50050}
46,{4011=34;4000=9192},{4012=34;4000=9192},{4013=34;4000=9192},{4021=34;4000=9192},{4022=34;4000=9192},{4023=34;4000=9192},{4000=18345;4031=33},{4000=18345;4032=33},{4000=18345;4033=33},{4000=18345;4034=33},{4041=33;4000=18345},{4042=33;4000=18345},{4043=33;4000=18345},{4044=33;4000=18345},{4051=33;4000=18345},{4052=33;4000=18345},{4053=33;4000=18345},{4054=33;4000=18345},{4000=32133;4061=32},{4000=32133;4062=32},{4000=32133;4063=32},{4000=32133;4064=32},{4000=32133;4065=32},{4000=32133;4071=32},{4072=32;4000=32133},{4073=32;4000=32133},{4074=32;4000=32133},{4075=32;4000=32133},{4081=30;4000=55055},{4082=30;4000=55055},{4083=30;4000=55055},{4084=30;4000=55055},{4085=30;4000=55055},{4086=30;4000=55055},{4000=55055;4091=30},{4000=55055;4092=30},{4000=55055;4093=30},{4000=55055;4094=30},{4000=55055;4095=30},{4096=30;4000=55055}
47,{4011=35;4000=10111},{4012=35;4000=10111},{4013=35;4000=10111},{4021=35;4000=10111},{4022=35;4000=10111},{4023=35;4000=10111},{4000=20180;4031=34},{4000=20180;4032=34},{4000=20180;4033=34},{4000=20180;4034=34},{4041=34;4000=20180},{4042=34;4000=20180},{4043=34;4000=20180},{4044=34;4000=20180},{4051=34;4000=20180},{4052=34;4000=20180},{4053=34;4000=20180},{4054=34;4000=20180},{4000=35346;4061=33},{4000=35346;4062=33},{4000=35346;4063=33},{4000=35346;4064=33},{4000=35346;4065=33},{4000=35346;4071=33},{4072=33;4000=35346},{4073=33;4000=35346},{4074=33;4000=35346},{4075=33;4000=35346},{4081=31;4000=60561},{4082=31;4000=60561},{4083=31;4000=60561},{4084=31;4000=60561},{4085=31;4000=60561},{4086=31;4000=60561},{4000=60561;4091=31},{4000=60561;4092=31},{4000=60561;4093=31},{4000=60561;4094=31},{4000=60561;4095=31},{4096=31;4000=60561}
48,{4011=36;4000=11122},{4012=36;4000=11122},{4013=36;4000=11122},{4021=36;4000=11122},{4022=36;4000=11122},{4023=36;4000=11122},{4000=22198;4031=35},{4000=22198;4032=35},{4000=22198;4033=35},{4000=22198;4034=35},{4041=35;4000=22198},{4042=35;4000=22198},{4043=35;4000=22198},{4044=35;4000=22198},{4051=35;4000=22198},{4052=35;4000=22198},{4053=35;4000=22198},{4054=35;4000=22198},{4000=38881;4061=34},{4000=38881;4062=34},{4000=38881;4063=34},{4000=38881;4064=34},{4000=38881;4065=34},{4000=38881;4071=34},{4072=34;4000=38881},{4073=34;4000=38881},{4074=34;4000=38881},{4075=34;4000=38881},{4081=32;4000=66617},{4082=32;4000=66617},{4083=32;4000=66617},{4084=32;4000=66617},{4085=32;4000=66617},{4086=32;4000=66617},{4000=66617;4091=32},{4000=66617;4092=32},{4000=66617;4093=32},{4000=66617;4094=32},{4000=66617;4095=32},{4096=32;4000=66617}
49,{4011=37;4000=12234},{4012=37;4000=12234},{4013=37;4000=12234},{4021=37;4000=12234},{4022=37;4000=12234},{4023=37;4000=12234},{4000=24418;4031=36},{4000=24418;4032=36},{4000=24418;4033=36},{4000=24418;4034=36},{4041=36;4000=24418},{4042=36;4000=24418},{4043=36;4000=24418},{4044=36;4000=24418},{4051=36;4000=24418},{4052=36;4000=24418},{4053=36;4000=24418},{4054=36;4000=24418},{4000=42769;4061=35},{4000=42769;4062=35},{4000=42769;4063=35},{4000=42769;4064=35},{4000=42769;4065=35},{4000=42769;4071=35},{4072=35;4000=42769},{4073=35;4000=42769},{4074=35;4000=42769},{4075=35;4000=42769},{4081=33;4000=73279},{4082=33;4000=73279},{4083=33;4000=73279},{4084=33;4000=73279},{4085=33;4000=73279},{4086=33;4000=73279},{4000=73279;4091=33},{4000=73279;4092=33},{4000=73279;4093=33},{4000=73279;4094=33},{4000=73279;4095=33},{4096=33;4000=73279}
50,{4011=38;4000=13457},{4012=38;4000=13457},{4013=38;4000=13457},{4021=38;4000=13457},{4022=38;4000=13457},{4023=38;4000=13457},{4000=26860;4031=37},{4000=26860;4032=37},{4000=26860;4033=37},{4000=26860;4034=37},{4041=37;4000=26860},{4042=37;4000=26860},{4043=37;4000=26860},{4044=37;4000=26860},{4051=37;4000=26860},{4052=37;4000=26860},{4053=37;4000=26860},{4054=37;4000=26860},{4000=47046;4061=36},{4000=47046;4062=36},{4000=47046;4063=36},{4000=47046;4064=36},{4000=47046;4065=36},{4000=47046;4071=36},{4072=36;4000=47046},{4073=36;4000=47046},{4074=36;4000=47046},{4075=36;4000=47046},{4081=34;4000=80607},{4082=34;4000=80607},{4083=34;4000=80607},{4084=34;4000=80607},{4085=34;4000=80607},{4086=34;4000=80607},{4000=80607;4091=34},{4000=80607;4092=34},{4000=80607;4093=34},{4000=80607;4094=34},{4000=80607;4095=34},{4096=34;4000=80607}
