±äÁ¿Ãû,level,randomWeight,card1,skillMap1,card2,skillMap2,card3,skillMap3,card4,skillMap4,card5,skillMap5,card6,skillMap6
124,20,100,{id=2591},{25911=13;25912=13;25913=13},{star=3;id=11},{112=13;111=13;113=13},{star=3;id=1171},{11712=13;11713=13;11711=13},{star=3;id=781},{7811=13;7812=13;7813=13},{star=3;id=91},{912=13;911=13;913=13},{},{}
125,20,100,{id=781},{7811=13;7812=13;7813=13},{star=3;id=2071},{20712=13;20713=13;20711=13},{star=3;id=2611},{26113=13;26111=13;26112=13},{star=3;id=371},{3712=13;3711=13;3713=13},{star=3;id=2821},{28211=13;28212=13;28213=13},{},{}
126,20,100,{id=2011},{20112=13;20111=13;20113=13},{star=3;id=2681},{26811=13;26812=13;26813=13},{star=3;id=691},{6912=13;6913=13;6911=13},{star=3;id=3411},{34113=13;34111=13;34112=13},{star=3;id=3291},{32912=13;32911=13;32913=13},{},{}
127,20,100,{id=2271},{22712=13;22711=13;22713=13},{star=3;id=2871},{28712=13;28713=13;28711=13},{star=3;id=2611},{26113=13;26111=13;26112=13},{star=3;id=2921},{29212=13;29211=13;29213=13},{star=3;id=491},{4913=13;4911=13;4912=13},{},{}
128,20,100,{id=2871},{28712=13;28713=13;28711=13},{star=3;id=2071},{20712=13;20713=13;20711=13},{star=3;id=3281},{32812=13;32811=13;32813=13},{star=3;id=3471},{34711=13;34713=13;34712=13},{star=3;id=371},{3712=13;3711=13;3713=13},{},{}
129,20,100,{id=2961},{29612=13;29611=13;29613=13},{star=3;id=2271},{22712=13;22711=13;22713=13},{star=3;id=3281},{32812=13;32811=13;32813=13},{star=3;id=691},{6912=13;6913=13;6911=13},{star=3;id=801},{8011=13;8013=13;8012=13},{},{}
130,20,100,{id=2071},{20712=13;20713=13;20711=13},{star=3;id=2961},{29612=13;29611=13;29613=13},{star=3;id=781},{7811=13;7812=13;7813=13},{star=3;id=281},{2813=13;2811=13;2812=13},{star=3;id=2681},{26811=13;26812=13;26813=13},{},{}
131,20,100,{id=2591},{25911=13;25912=13;25913=13},{star=3;id=2921},{29212=13;29211=13;29213=13},{star=3;id=3471},{34711=13;34713=13;34712=13},{star=3;id=3411},{34113=13;34111=13;34112=13},{star=3;id=3011},{30113=13;30111=13;30112=13},{},{}
132,20,100,{id=2871},{28712=13;28713=13;28711=13},{star=3;id=781},{7811=13;7812=13;7813=13},{star=3;id=301},{3013=13;3012=13;3011=13},{star=3;id=1171},{11712=13;11713=13;11711=13},{star=3;id=1861},{18612=13;18611=13;18613=13},{},{}
133,20,100,{id=3341},{33412=13;33413=13;33411=13},{star=3;id=3501},{35012=13;35011=13;35013=13},{star=3;id=791},{7912=13;7913=13;7911=13},{star=3;id=1841},{18411=13;18413=13;18412=13},{star=3;id=471},{4713=13;4711=13;4712=13},{},{}
134,20,100,{id=2071},{20712=13;20713=13;20711=13},{star=3;id=371},{3712=13;3711=13;3713=13},{star=3;id=271},{2713=13;2712=13;2711=13},{star=3;id=471},{4713=13;4711=13;4712=13},{star=3;id=2961},{29612=13;29611=13;29613=13},{},{}
135,20,100,{id=3291},{32912=13;32911=13;32913=13},{star=3;id=1611},{16113=13;16111=13;16112=13},{star=3;id=3011},{30113=13;30111=13;30112=13},{star=3;id=2481},{24813=13;24811=13;24812=13},{star=3;id=2011},{20112=13;20111=13;20113=13},{},{}
136,20,100,{id=801},{8011=13;8013=13;8012=13},{star=3;id=11},{112=13;111=13;113=13},{star=3;id=691},{6912=13;6913=13;6911=13},{star=3;id=2821},{28211=13;28212=13;28213=13},{star=3;id=2071},{20712=13;20713=13;20711=13},{},{}
137,20,100,{id=3281},{32812=13;32811=13;32813=13},{star=3;id=3011},{30113=13;30111=13;30112=13},{star=3;id=471},{4713=13;4711=13;4712=13},{star=3;id=2821},{28211=13;28212=13;28213=13},{star=3;id=3411},{34113=13;34111=13;34112=13},{},{}
138,20,100,{id=2921},{29212=13;29211=13;29213=13},{star=3;id=551},{5512=13;5511=13;5513=13},{star=3;id=2071},{20712=13;20713=13;20711=13},{star=3;id=2481},{24813=13;24811=13;24812=13},{star=3;id=491},{4913=13;4911=13;4912=13},{},{}
139,20,100,{id=1611},{16113=13;16111=13;16112=13},{star=3;id=2481},{24813=13;24811=13;24812=13},{star=3;id=3411},{34113=13;34111=13;34112=13},{star=3;id=2921},{29212=13;29211=13;29213=13},{star=3;id=281},{2813=13;2811=13;2812=13},{},{}
140,20,100,{id=781},{7811=13;7812=13;7813=13},{star=3;id=21},{212=13;211=13;213=13},{star=3;id=2301},{23012=13;23011=13;23013=13},{star=3;id=51},{512=13;513=13;511=13},{star=3;id=301},{3013=13;3012=13;3011=13},{},{}
141,20,100,{id=2011},{20112=15;20111=15;20113=15},{star=3;id=1441},{14411=15;14413=15;14412=15},{star=3;id=2871},{28712=15;28713=15;28711=15},{star=3;id=1},{11=15;13=15;12=15},{star=3;id=3281},{32812=15;32811=15;32813=15},{},{}
142,20,100,{id=51},{512=15;513=15;511=15},{star=3;id=271},{2713=15;2712=15;2711=15},{star=3;id=1861},{18612=15;18611=15;18613=15},{star=3;id=281},{2813=15;2811=15;2812=15},{star=3;id=3291},{32912=15;32911=15;32913=15},{},{}
143,20,100,{id=1171},{11712=15;11713=15;11711=15},{star=3;id=1441},{14411=15;14413=15;14412=15},{star=3;id=3281},{32812=15;32811=15;32813=15},{star=3;id=3011},{30113=15;30111=15;30112=15},{star=3;id=1611},{16113=15;16111=15;16112=15},{},{}
144,20,100,{id=2611},{26113=15;26111=15;26112=15},{star=3;id=281},{2813=15;2811=15;2812=15},{star=3;id=3341},{33412=15;33413=15;33411=15},{star=3;id=271},{2713=15;2712=15;2711=15},{star=3;id=551},{5512=15;5511=15;5513=15},{},{}
145,20,100,{id=281},{2813=15;2811=15;2812=15},{star=3;id=11},{112=15;111=15;113=15},{star=3;id=471},{4713=15;4711=15;4712=15},{star=3;id=2591},{25911=15;25912=15;25913=15},{star=3;id=3431},{34312=15;34313=15;34311=15},{},{}
146,20,100,{id=2871},{28712=15;28713=15;28711=15},{star=3;id=1171},{11712=15;11713=15;11711=15},{star=3;id=791},{7912=15;7913=15;7911=15},{star=3;id=781},{7811=15;7812=15;7813=15},{star=3;id=2681},{26811=15;26812=15;26813=15},{},{}
147,20,100,{id=3341},{33412=15;33413=15;33411=15},{star=3;id=21},{212=15;211=15;213=15},{star=3;id=271},{2713=15;2712=15;2711=15},{star=3;id=2921},{29212=15;29211=15;29213=15},{star=3;id=3431},{34312=15;34313=15;34311=15},{},{}
148,20,100,{id=2301},{23012=15;23011=15;23013=15},{star=3;id=2011},{20112=15;20111=15;20113=15},{star=3;id=2961},{29612=15;29611=15;29613=15},{star=3;id=2871},{28712=15;28713=15;28711=15},{star=3;id=3291},{32912=15;32911=15;32913=15},{},{}
149,20,100,{id=2481},{24813=15;24811=15;24812=15},{star=3;id=1441},{14411=15;14413=15;14412=15},{star=3;id=2591},{25911=15;25912=15;25913=15},{star=3;id=271},{2713=15;2712=15;2711=15},{star=3;id=2821},{28211=15;28212=15;28213=15},{},{}
150,20,100,{id=11},{112=15;111=15;113=15},{star=3;id=1611},{16113=15;16111=15;16112=15},{star=3;id=801},{8011=15;8013=15;8012=15},{star=3;id=281},{2813=15;2811=15;2812=15},{star=3;id=371},{3712=15;3711=15;3713=15},{},{}
151,20,100,{id=471},{4713=15;4711=15;4712=15},{star=3;id=2611},{26113=15;26111=15;26112=15},{star=3;id=3011},{30113=15;30111=15;30112=15},{star=3;id=91},{912=15;911=15;913=15},{star=3;id=2921},{29212=15;29211=15;29213=15},{},{}
152,20,100,{id=3471},{34711=15;34713=15;34712=15},{star=3;id=2871},{28712=15;28713=15;28711=15},{star=3;id=1611},{16113=15;16111=15;16112=15},{star=3;id=2071},{20712=15;20713=15;20711=15},{star=3;id=2631},{26312=15;26311=15;26313=15},{},{}
153,20,100,{id=3281},{32812=15;32811=15;32813=15},{star=3;id=281},{2813=15;2811=15;2812=15},{star=3;id=551},{5512=15;5511=15;5513=15},{star=3;id=781},{7811=15;7812=15;7813=15},{star=3;id=3411},{34113=15;34111=15;34112=15},{},{}
154,20,100,{id=2871},{28712=15;28713=15;28711=15},{star=3;id=1861},{18612=15;18611=15;18613=15},{star=3;id=1441},{14411=15;14413=15;14412=15},{star=3;id=2921},{29212=15;29211=15;29213=15},{star=3;id=1611},{16113=15;16111=15;16112=15},{},{}
155,20,100,{id=2271},{22712=15;22711=15;22713=15},{star=3;id=2681},{26811=15;26812=15;26813=15},{star=3;id=791},{7912=15;7913=15;7911=15},{star=3;id=2961},{29612=15;29611=15;29613=15},{star=3;id=301},{3013=15;3012=15;3011=15},{},{}
156,20,100,{id=2631},{26312=15;26311=15;26313=15},{star=3;id=781},{7811=15;7812=15;7813=15},{star=3;id=1611},{16113=15;16111=15;16112=15},{star=3;id=2921},{29212=15;29211=15;29213=15},{star=3;id=2681},{26811=15;26812=15;26813=15},{},{}
157,20,100,{id=3511},{35111=15;35113=15;35112=15},{star=3;id=801},{8011=15;8013=15;8012=15},{star=3;id=301},{3013=15;3012=15;3011=15},{star=3;id=481},{4811=15;4813=15;4812=15},{star=3;id=2071},{20712=15;20713=15;20711=15},{},{}
158,20,100,{id=3511},{35111=15;35113=15;35112=15},{star=3;id=2961},{29612=15;29611=15;29613=15},{star=3;id=3431},{34312=15;34313=15;34311=15},{star=3;id=1171},{11712=15;11713=15;11711=15},{star=3;id=1611},{16113=15;16111=15;16112=15},{},{}
159,20,100,{id=2921},{29212=15;29211=15;29213=15},{star=3;id=2681},{26811=15;26812=15;26813=15},{star=3;id=3341},{33412=15;33413=15;33411=15},{star=3;id=3281},{32812=15;32811=15;32813=15},{star=3;id=2071},{20712=15;20713=15;20711=15},{},{}
160,20,100,{id=281},{2813=15;2811=15;2812=15},{star=3;id=1841},{18411=15;18413=15;18412=15},{star=3;id=551},{5512=15;5511=15;5513=15},{star=3;id=301},{3013=15;3012=15;3011=15},{star=3;id=791},{7912=15;7913=15;7911=15},{},{}
161,20,100,{id=3511},{35111=17;35113=17;35112=17},{star=3;id=551},{5512=17;5511=17;5513=17},{star=3;id=2611},{26113=17;26111=17;26112=17},{star=3;id=2011},{20112=17;20111=17;20113=17},{star=3;id=1861},{18612=17;18611=17;18613=17},{},{}
162,20,100,{id=301},{3013=17;3012=17;3011=17},{star=3;id=1171},{11712=17;11713=17;11711=17},{star=3;id=281},{2813=17;2811=17;2812=17},{star=3;id=2481},{24813=17;24811=17;24812=17},{star=3;id=11},{112=17;111=17;113=17},{},{}
163,20,100,{id=2591},{25911=17;25912=17;25913=17},{star=3;id=791},{7912=17;7913=17;7911=17},{star=3;id=3021},{30211=17;30213=17;30212=17},{star=3;id=21},{212=17;211=17;213=17},{star=3;id=2011},{20112=17;20111=17;20113=17},{},{}
164,20,100,{id=3431},{34312=17;34313=17;34311=17},{star=3;id=3501},{35012=17;35011=17;35013=17},{star=3;id=2591},{25911=17;25912=17;25913=17},{star=3;id=2921},{29212=17;29211=17;29213=17},{star=3;id=2481},{24813=17;24811=17;24812=17},{},{}
165,20,100,{id=1861},{18612=17;18611=17;18613=17},{star=3;id=461},{4612=17;4611=17;4613=17},{star=3;id=11},{112=17;111=17;113=17},{star=3;id=2071},{20712=17;20713=17;20711=17},{star=3;id=301},{3013=17;3012=17;3011=17},{},{}
166,20,100,{id=1861},{18612=17;18611=17;18613=17},{star=3;id=2631},{26312=17;26311=17;26313=17},{star=3;id=491},{4913=17;4911=17;4912=17},{star=3;id=691},{6912=17;6913=17;6911=17},{star=3;id=91},{912=17;911=17;913=17},{},{}
167,20,100,{id=2301},{23012=17;23011=17;23013=17},{star=3;id=471},{4713=17;4711=17;4712=17},{star=3;id=2921},{29212=17;29211=17;29213=17},{star=3;id=2871},{28712=17;28713=17;28711=17},{star=3;id=781},{7811=17;7812=17;7813=17},{},{}
168,20,100,{id=1841},{18411=17;18413=17;18412=17},{star=3;id=2921},{29212=17;29211=17;29213=17},{star=3;id=1171},{11712=17;11713=17;11711=17},{star=3;id=461},{4612=17;4611=17;4613=17},{star=3;id=21},{212=17;211=17;213=17},{},{}
169,20,100,{id=491},{4913=17;4911=17;4912=17},{star=3;id=801},{8011=17;8013=17;8012=17},{star=3;id=2961},{29612=17;29611=17;29613=17},{star=3;id=3501},{35012=17;35011=17;35013=17},{star=3;id=2921},{29212=17;29211=17;29213=17},{},{}
170,20,100,{id=791},{7912=17;7913=17;7911=17},{star=3;id=21},{212=17;211=17;213=17},{star=3;id=2481},{24813=17;24811=17;24812=17},{star=3;id=1861},{18612=17;18611=17;18613=17},{star=3;id=2681},{26811=17;26812=17;26813=17},{},{}
171,20,100,{id=1171},{11712=17;11713=17;11711=17},{star=3;id=3021},{30211=17;30213=17;30212=17},{star=3;id=471},{4713=17;4711=17;4712=17},{star=3;id=21},{212=17;211=17;213=17},{star=3;id=1611},{16113=17;16111=17;16112=17},{},{}
172,20,100,{id=11},{112=17;111=17;113=17},{star=3;id=1},{11=17;13=17;12=17},{star=3;id=271},{2713=17;2712=17;2711=17},{star=3;id=3341},{33412=17;33413=17;33411=17},{star=3;id=2631},{26312=17;26311=17;26313=17},{},{}
173,20,100,{id=1861},{18612=17;18611=17;18613=17},{star=3;id=3431},{34312=17;34313=17;34311=17},{star=3;id=2011},{20112=17;20111=17;20113=17},{star=3;id=791},{7912=17;7913=17;7911=17},{star=3;id=2681},{26811=17;26812=17;26813=17},{},{}
174,20,100,{id=51},{512=17;513=17;511=17},{star=3;id=481},{4811=17;4813=17;4812=17},{star=3;id=1611},{16113=17;16111=17;16112=17},{star=3;id=2071},{20712=17;20713=17;20711=17},{star=3;id=11},{112=17;111=17;113=17},{},{}
175,20,100,{id=2481},{24813=17;24811=17;24812=17},{star=3;id=271},{2713=17;2712=17;2711=17},{star=3;id=2271},{22712=17;22711=17;22713=17},{star=3;id=691},{6912=17;6913=17;6911=17},{star=3;id=3411},{34113=17;34111=17;34112=17},{},{}
176,20,100,{id=371},{3712=17;3711=17;3713=17},{star=3;id=1441},{14411=17;14413=17;14412=17},{star=3;id=2591},{25911=17;25912=17;25913=17},{star=3;id=1171},{11712=17;11713=17;11711=17},{star=3;id=2481},{24813=17;24811=17;24812=17},{},{}
177,20,100,{id=3341},{33412=17;33413=17;33411=17},{star=3;id=801},{8011=17;8013=17;8012=17},{star=3;id=3011},{30113=17;30111=17;30112=17},{star=3;id=371},{3712=17;3711=17;3713=17},{star=3;id=691},{6912=17;6913=17;6911=17},{},{}
178,20,100,{id=91},{912=17;911=17;913=17},{star=3;id=3411},{34113=17;34111=17;34112=17},{star=3;id=3511},{35111=17;35113=17;35112=17},{star=3;id=51},{512=17;513=17;511=17},{star=3;id=1171},{11712=17;11713=17;11711=17},{},{}
179,20,100,{id=2631},{26312=17;26311=17;26313=17},{star=3;id=271},{2713=17;2712=17;2711=17},{star=3;id=1441},{14411=17;14413=17;14412=17},{star=3;id=281},{2813=17;2811=17;2812=17},{star=3;id=1171},{11712=17;11713=17;11711=17},{},{}
180,20,100,{id=3021},{30211=17;30213=17;30212=17},{star=3;id=2921},{29212=17;29211=17;29213=17},{star=3;id=1611},{16113=17;16111=17;16112=17},{star=3;id=2821},{28211=17;28212=17;28213=17},{star=3;id=2071},{20712=17;20713=17;20711=17},{},{}
181,20,100,{id=3471},{34711=19;34713=19;34712=19},{star=3;id=11},{112=19;111=19;113=19},{star=3;id=2271},{22712=19;22711=19;22713=19},{star=3;id=2921},{29212=19;29211=19;29213=19},{star=3;id=3291},{32912=19;32911=19;32913=19},{},{}
182,20,100,{id=551},{5512=19;5511=19;5513=19},{star=3;id=3411},{34113=19;34111=19;34112=19},{star=3;id=281},{2813=19;2811=19;2812=19},{star=3;id=691},{6912=19;6913=19;6911=19},{star=3;id=2071},{20712=19;20713=19;20711=19},{},{}
183,20,100,{id=551},{5512=19;5511=19;5513=19},{star=3;id=1441},{14411=19;14413=19;14412=19},{star=3;id=801},{8011=19;8013=19;8012=19},{star=3;id=3021},{30211=19;30213=19;30212=19},{star=3;id=3471},{34711=19;34713=19;34712=19},{},{}
184,20,100,{id=2961},{29612=19;29611=19;29613=19},{star=3;id=51},{512=19;513=19;511=19},{star=3;id=461},{4612=19;4611=19;4613=19},{star=3;id=551},{5512=19;5511=19;5513=19},{star=3;id=2301},{23012=19;23011=19;23013=19},{},{}
185,20,100,{id=1841},{18411=19;18413=19;18412=19},{star=3;id=791},{7912=19;7913=19;7911=19},{star=3;id=2961},{29612=19;29611=19;29613=19},{star=3;id=11},{112=19;111=19;113=19},{star=3;id=2011},{20112=19;20111=19;20113=19},{},{}
186,20,100,{id=3341},{33412=19;33413=19;33411=19},{star=3;id=3291},{32912=19;32911=19;32913=19},{star=3;id=3501},{35012=19;35011=19;35013=19},{star=3;id=301},{3013=19;3012=19;3011=19},{star=3;id=471},{4713=19;4711=19;4712=19},{},{}
187,20,100,{id=1611},{16113=19;16111=19;16112=19},{star=3;id=2271},{22712=19;22711=19;22713=19},{star=3;id=11},{112=19;111=19;113=19},{star=3;id=3431},{34312=19;34313=19;34311=19},{star=3;id=91},{912=19;911=19;913=19},{},{}
188,20,100,{id=2681},{26811=19;26812=19;26813=19},{star=3;id=371},{3712=19;3711=19;3713=19},{star=3;id=11},{112=19;111=19;113=19},{star=3;id=1441},{14411=19;14413=19;14412=19},{star=3;id=3471},{34711=19;34713=19;34712=19},{},{}
189,20,100,{id=11},{112=19;111=19;113=19},{star=3;id=91},{912=19;911=19;913=19},{star=3;id=781},{7811=19;7812=19;7813=19},{star=3;id=371},{3712=19;3711=19;3713=19},{star=3;id=2071},{20712=19;20713=19;20711=19},{},{}
190,20,100,{id=1171},{11712=19;11713=19;11711=19},{star=3;id=2921},{29212=19;29211=19;29213=19},{star=3;id=481},{4811=19;4813=19;4812=19},{star=3;id=461},{4612=19;4611=19;4613=19},{star=3;id=2961},{29612=19;29611=19;29613=19},{},{}
191,20,100,{id=3431},{34312=19;34313=19;34311=19},{star=3;id=371},{3712=19;3711=19;3713=19},{star=3;id=1441},{14411=19;14413=19;14412=19},{star=3;id=801},{8011=19;8013=19;8012=19},{star=3;id=11},{112=19;111=19;113=19},{},{}
192,20,100,{id=11},{112=19;111=19;113=19},{star=3;id=471},{4713=19;4711=19;4712=19},{star=3;id=301},{3013=19;3012=19;3011=19},{star=3;id=461},{4612=19;4611=19;4613=19},{star=3;id=2921},{29212=19;29211=19;29213=19},{},{}
193,20,100,{id=801},{8011=19;8013=19;8012=19},{star=3;id=301},{3013=19;3012=19;3011=19},{star=3;id=2871},{28712=19;28713=19;28711=19},{star=3;id=491},{4913=19;4911=19;4912=19},{star=3;id=471},{4713=19;4711=19;4712=19},{},{}
194,20,100,{id=2481},{24813=19;24811=19;24812=19},{star=3;id=271},{2713=19;2712=19;2711=19},{star=3;id=2301},{23012=19;23011=19;23013=19},{star=3;id=1611},{16113=19;16111=19;16112=19},{star=3;id=3471},{34711=19;34713=19;34712=19},{},{}
195,20,100,{id=2961},{29612=19;29611=19;29613=19},{star=3;id=1841},{18411=19;18413=19;18412=19},{star=3;id=2271},{22712=19;22711=19;22713=19},{star=3;id=781},{7811=19;7812=19;7813=19},{star=3;id=3411},{34113=19;34111=19;34112=19},{},{}
196,20,100,{id=3291},{32912=19;32911=19;32913=19},{star=3;id=1441},{14411=19;14413=19;14412=19},{star=3;id=2921},{29212=19;29211=19;29213=19},{star=3;id=461},{4612=19;4611=19;4613=19},{star=3;id=2591},{25911=19;25912=19;25913=19},{},{}
197,20,100,{id=2961},{29612=19;29611=19;29613=19},{star=3;id=3511},{35111=19;35113=19;35112=19},{star=3;id=271},{2713=19;2712=19;2711=19},{star=3;id=21},{212=19;211=19;213=19},{star=3;id=301},{3013=19;3012=19;3011=19},{},{}
198,20,100,{id=2271},{22712=19;22711=19;22713=19},{star=3;id=2961},{29612=19;29611=19;29613=19},{star=3;id=781},{7811=19;7812=19;7813=19},{star=3;id=1861},{18612=19;18611=19;18613=19},{star=3;id=2301},{23012=19;23011=19;23013=19},{},{}
199,20,100,{id=11},{112=19;111=19;113=19},{star=3;id=1},{11=19;13=19;12=19},{star=3;id=2591},{25911=19;25912=19;25913=19},{star=3;id=2921},{29212=19;29211=19;29213=19},{star=3;id=2011},{20112=19;20111=19;20113=19},{},{}
200,20,100,{id=1841},{18411=19;18413=19;18412=19},{star=3;id=2011},{20112=19;20111=19;20113=19},{star=3;id=21},{212=19;211=19;213=19},{star=3;id=51},{512=19;513=19;511=19},{star=3;id=2631},{26312=19;26311=19;26313=19},{},{}
201,20,100,{id=2921},{29212=21;29211=21;29213=21},{star=3;id=2591},{25911=21;25912=21;25913=21},{star=3;id=2271},{22712=21;22711=21;22713=21},{star=3;id=51},{512=21;513=21;511=21},{star=3;id=3341},{33412=21;33413=21;33411=21},{},{}
202,20,100,{id=2611},{26113=21;26111=21;26112=21},{star=3;id=781},{7811=21;7812=21;7813=21},{star=3;id=3501},{35012=21;35011=21;35013=21},{star=3;id=551},{5512=21;5511=21;5513=21},{star=3;id=2871},{28712=21;28713=21;28711=21},{},{}
203,20,100,{id=2611},{26113=21;26111=21;26112=21},{star=3;id=691},{6912=21;6913=21;6911=21},{star=3;id=271},{2713=21;2712=21;2711=21},{star=3;id=2871},{28712=21;28713=21;28711=21},{star=3;id=1861},{18612=21;18611=21;18613=21},{},{}
204,20,100,{id=781},{7811=21;7812=21;7813=21},{star=3;id=21},{212=21;211=21;213=21},{star=3;id=2271},{22712=21;22711=21;22713=21},{star=3;id=2961},{29612=21;29611=21;29613=21},{star=3;id=3411},{34113=21;34111=21;34112=21},{},{}
205,20,100,{id=461},{4612=21;4611=21;4613=21},{star=3;id=2591},{25911=21;25912=21;25913=21},{star=3;id=781},{7811=21;7812=21;7813=21},{star=3;id=1171},{11712=21;11713=21;11711=21},{star=3;id=801},{8011=21;8013=21;8012=21},{},{}
206,20,100,{id=471},{4713=21;4711=21;4712=21},{star=3;id=281},{2813=21;2811=21;2812=21},{star=3;id=51},{512=21;513=21;511=21},{star=3;id=21},{212=21;211=21;213=21},{star=3;id=491},{4913=21;4911=21;4912=21},{},{}
207,20,100,{id=2821},{28211=21;28212=21;28213=21},{star=3;id=301},{3013=21;3012=21;3011=21},{star=3;id=271},{2713=21;2712=21;2711=21},{star=3;id=2631},{26312=21;26311=21;26313=21},{star=3;id=1441},{14411=21;14413=21;14412=21},{},{}
208,20,100,{id=2011},{20112=21;20111=21;20113=21},{star=3;id=3511},{35111=21;35113=21;35112=21},{star=3;id=1611},{16113=21;16111=21;16112=21},{star=3;id=2921},{29212=21;29211=21;29213=21},{star=3;id=691},{6912=21;6913=21;6911=21},{},{}
209,20,100,{id=1441},{14411=21;14413=21;14412=21},{star=3;id=1},{11=21;13=21;12=21},{star=3;id=791},{7912=21;7913=21;7911=21},{star=3;id=461},{4612=21;4611=21;4613=21},{star=3;id=3341},{33412=21;33413=21;33411=21},{},{}
210,20,100,{id=1171},{11712=21;11713=21;11711=21},{star=3;id=281},{2813=21;2811=21;2812=21},{star=3;id=481},{4811=21;4813=21;4812=21},{star=3;id=1611},{16113=21;16111=21;16112=21},{star=3;id=21},{212=21;211=21;213=21},{},{}
211,20,100,{id=2011},{20112=21;20111=21;20113=21},{star=3;id=2631},{26312=21;26311=21;26313=21},{star=3;id=691},{6912=21;6913=21;6911=21},{star=3;id=2681},{26811=21;26812=21;26813=21},{star=3;id=491},{4913=21;4911=21;4912=21},{},{}
212,20,100,{id=2921},{29212=21;29211=21;29213=21},{star=3;id=3341},{33412=21;33413=21;33411=21},{star=3;id=2011},{20112=21;20111=21;20113=21},{star=3;id=3291},{32912=21;32911=21;32913=21},{star=3;id=2631},{26312=21;26311=21;26313=21},{},{}
213,20,100,{id=3341},{33412=21;33413=21;33411=21},{star=3;id=471},{4713=21;4711=21;4712=21},{star=3;id=791},{7912=21;7913=21;7911=21},{star=3;id=2611},{26113=21;26111=21;26112=21},{star=3;id=21},{212=21;211=21;213=21},{},{}
214,20,100,{id=3501},{35012=21;35011=21;35013=21},{star=3;id=2961},{29612=21;29611=21;29613=21},{star=3;id=491},{4913=21;4911=21;4912=21},{star=3;id=2921},{29212=21;29211=21;29213=21},{star=3;id=461},{4612=21;4611=21;4613=21},{},{}
215,20,100,{id=11},{112=21;111=21;113=21},{star=3;id=2591},{25911=21;25912=21;25913=21},{star=3;id=2961},{29612=21;29611=21;29613=21},{star=3;id=471},{4713=21;4711=21;4712=21},{star=3;id=2011},{20112=21;20111=21;20113=21},{},{}
216,20,100,{id=271},{2713=21;2712=21;2711=21},{star=3;id=3431},{34312=21;34313=21;34311=21},{star=3;id=1611},{16113=21;16111=21;16112=21},{star=3;id=2271},{22712=21;22711=21;22713=21},{star=3;id=481},{4811=21;4813=21;4812=21},{},{}
217,20,100,{id=2271},{22712=21;22711=21;22713=21},{star=3;id=301},{3013=21;3012=21;3011=21},{star=3;id=3501},{35012=21;35011=21;35013=21},{star=3;id=2871},{28712=21;28713=21;28711=21},{star=3;id=281},{2813=21;2811=21;2812=21},{},{}
218,20,100,{id=3281},{32812=21;32811=21;32813=21},{star=3;id=301},{3013=21;3012=21;3011=21},{star=3;id=2611},{26113=21;26111=21;26112=21},{star=3;id=2631},{26312=21;26311=21;26313=21},{star=3;id=1861},{18612=21;18611=21;18613=21},{},{}
219,20,100,{id=2921},{29212=21;29211=21;29213=21},{star=3;id=1},{11=21;13=21;12=21},{star=3;id=2871},{28712=21;28713=21;28711=21},{star=3;id=461},{4612=21;4611=21;4613=21},{star=3;id=301},{3013=21;3012=21;3011=21},{},{}
220,20,100,{id=301},{3013=21;3012=21;3011=21},{star=3;id=1171},{11712=21;11713=21;11711=21},{star=3;id=281},{2813=21;2811=21;2812=21},{star=3;id=2011},{20112=21;20111=21;20113=21},{star=3;id=3341},{33412=21;33413=21;33411=21},{},{}
221,20,100,{id=481},{4811=23;4813=23;4812=23},{star=3;id=2011},{20112=23;20111=23;20113=23},{star=3;id=461},{4612=23;4611=23;4613=23},{star=3;id=2271},{22712=23;22711=23;22713=23},{star=3;id=2921},{29212=23;29211=23;29213=23},{},{}
222,20,100,{id=1861},{18612=23;18611=23;18613=23},{star=3;id=2821},{28211=23;28212=23;28213=23},{star=3;id=2921},{29212=23;29211=23;29213=23},{star=3;id=301},{3013=23;3012=23;3011=23},{star=3;id=2011},{20112=23;20111=23;20113=23},{},{}
223,20,100,{id=1841},{18411=23;18413=23;18412=23},{star=3;id=801},{8011=23;8013=23;8012=23},{star=3;id=1611},{16113=23;16111=23;16112=23},{star=3;id=551},{5512=23;5511=23;5513=23},{star=3;id=1861},{18612=23;18611=23;18613=23},{},{}
224,20,100,{id=271},{2713=23;2712=23;2711=23},{star=3;id=2071},{20712=23;20713=23;20711=23},{star=3;id=791},{7912=23;7913=23;7911=23},{star=3;id=3501},{35012=23;35011=23;35013=23},{star=3;id=2681},{26811=23;26812=23;26813=23},{},{}
225,20,100,{id=781},{7811=23;7812=23;7813=23},{star=3;id=2071},{20712=23;20713=23;20711=23},{star=3;id=461},{4612=23;4611=23;4613=23},{star=3;id=281},{2813=23;2811=23;2812=23},{star=3;id=301},{3013=23;3012=23;3011=23},{},{}
226,20,100,{id=2611},{26113=23;26111=23;26112=23},{star=3;id=371},{3712=23;3711=23;3713=23},{star=3;id=271},{2713=23;2712=23;2711=23},{star=3;id=2301},{23012=23;23011=23;23013=23},{star=3;id=91},{912=23;911=23;913=23},{},{}
227,20,100,{id=3501},{35012=23;35011=23;35013=23},{star=3;id=301},{3013=23;3012=23;3011=23},{star=3;id=1441},{14411=23;14413=23;14412=23},{star=3;id=2301},{23012=23;23011=23;23013=23},{star=3;id=2011},{20112=23;20111=23;20113=23},{},{}
