变量名,effectType,target,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6,effectDesc,effectDesc_tw,effectDesc_en,effectDesc_vn,effectDesc_kr,effectDesc_pt,effectDesc_th
25,1,<>,,7,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,8,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,<>,,<>,,<>,,<>,"#C0x5B545B##F40#+27时激活: 全体精灵%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40# Activate at+3:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가","#C0x5B545B##F40# Ativar em +3: %s aumenta em #F50##C0x5C9970#%s#C0x5B545B##F40#, %s aumenta em #F50##C0x5C9970#%s para todos os Pokémons","#C0x5B545B##F40# เปิดใช้งานที่ +3: %s เพิ่มขึ้น #F50##C0x5C9970#%s#C0x5B545B##F40#, %s เพิ่มขึ้น #F50##C0x5C9970#%s สำหรับโปเกมอนทั้งหมด"
26,1,<>,,7,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,8,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,<>,,<>,,<>,,<>,"#C0x5B545B##F40#+30时激活: 全体精灵%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40# Activate at+6:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가","#C0x5B545B##F40# Ativar em +6: %s aumenta em #F50##C0x5C9970#%s#C0x5B545B##F40#, %s aumenta em #F50##C0x5C9970#%s para todos os Pokémons","#C0x5B545B##F40# เปิดใช้งานที่ +6: %s เพิ่มขึ้น #F50##C0x5C9970#%s#C0x5B545B##F40#, %s เพิ่มขึ้น #F50##C0x5C9970#%s สำหรับโปเกมอนทั้งหมด"
27,1,<>,,7,<2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%>,8,<2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%;2%>,,<>,,<>,,<>,,<>,"#C0x5B545B##F40#+35时激活: 全体精灵%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40# Activate at+9:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가","#C0x5B545B##F40# Ativar em +9: %s aumenta em #F50##C0x5C9970#%s#C0x5B545B##F40#, %s aumenta em #F50##C0x5C9970#%s para todos os Pokémons","#C0x5B545B##F40# เปิดใช้งานที่ +9: %s เพิ่มขึ้น #F50##C0x5C9970#%s#C0x5B545B##F40#, %s เพิ่มขึ้น #F50##C0x5C9970#%s สำหรับโปเกมอนทั้งหมด"
28,1,<>,,7,<3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%>,8,<3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%;3%>,,<>,,<>,,<>,,<>,"#C0x5B545B##F40#+40时激活: 全体精灵%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s#C0x5B545B##F40#, %s提升#F50##C0x5C9970#%s","#C0x5B545B##F40# Activate at+12:  %s increases by #F50##C0x5C9970#%s#C0x5B545B##F40#, %s increases by #F50##C0x5C9970#%s for all Pokémons ","#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng #F50##C0x5C9970#%s","#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가, %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가","#C0x5B545B##F40# Ativar em +12: %s aumenta em #F50##C0x5C9970#%s#C0x5B545B##F40#, %s aumenta em #F50##C0x5C9970#%s para todos os Pokémons","#C0x5B545B##F40# เปิดใช้งานที่ +12: %s เพิ่มขึ้น #F50##C0x5C9970#%s#C0x5B545B##F40#, %s เพิ่มขึ้น #F50##C0x5C9970#%s สำหรับโปเกมอนทั้งหมด"
29,1,<>,,32,<250;300;350;400;450;500;550;600;650;700;750;800;850;900;950;1000;1050;1100;1150;1200;1250;1300;1350;1400;1450;1500;1550;1600;1650;1700;1750;1800;1850;1900;1950;2000;2050;2100;2150;2200;2250;2300;2350;2400;2450;2500;2550;2600;2650;2700>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#%s of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40#%s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40#%s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
30,1,<>,,1,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;3.15%;3.3%;3.45%;3.6%;3.75%;3.9%;4.05%;4.2%;4.35%;4.5%;4.65%;4.8%;4.95%;5.1%;5.25%;5.4%;5.55%;5.7%;5.85%;6%;6.15%;6.3%;6.45%;6.6%;6.75%;6.9%;7.05%;7.2%;7.35%;7.5%>,13,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;3.15%;3.3%;3.45%;3.6%;3.75%;3.9%;4.05%;4.2%;4.35%;4.5%;4.65%;4.8%;4.95%;5.1%;5.25%;5.4%;5.55%;5.7%;5.85%;6%;6.15%;6.3%;6.45%;6.6%;6.75%;6.9%;7.05%;7.2%;7.35%;7.5%>,7,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;3.15%;3.3%;3.45%;3.6%;3.75%;3.9%;4.05%;4.2%;4.35%;4.5%;4.65%;4.8%;4.95%;5.1%;5.25%;5.4%;5.55%;5.7%;5.85%;6%;6.15%;6.3%;6.45%;6.6%;6.75%;6.9%;7.05%;7.2%;7.35%;7.5%>,8,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;3.15%;3.3%;3.45%;3.6%;3.75%;3.9%;4.05%;4.2%;4.35%;4.5%;4.65%;4.8%;4.95%;5.1%;5.25%;5.4%;5.55%;5.7%;5.85%;6%;6.15%;6.3%;6.45%;6.6%;6.75%;6.9%;7.05%;7.2%;7.35%;7.5%>,9,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;3.15%;3.3%;3.45%;3.6%;3.75%;3.9%;4.05%;4.2%;4.35%;4.5%;4.65%;4.8%;4.95%;5.1%;5.25%;5.4%;5.55%;5.7%;5.85%;6%;6.15%;6.3%;6.45%;6.6%;6.75%;6.9%;7.05%;7.2%;7.35%;7.5%>,10,<0.15%;0.3%;0.45%;0.6%;0.75%;0.9%;1.05%;1.2%;1.35%;1.5%;1.65%;1.8%;1.95%;2.1%;2.25%;2.4%;2.55%;2.7%;2.85%;3%;3.15%;3.3%;3.45%;3.6%;3.75%;3.9%;4.05%;4.2%;4.35%;4.5%;4.65%;4.8%;4.95%;5.1%;5.25%;5.4%;5.55%;5.7%;5.85%;6%;6.15%;6.3%;6.45%;6.6%;6.75%;6.9%;7.05%;7.2%;7.35%;7.5%>,#C0x5B545B##F40#全体精灵基础属性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈基礎屬性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Thuộc tính cơ bản toàn bộ Pokémon tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 기본 스탯 #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40#Atributos base de todos os Pokémons aumentam em #F50##C0x5C9970#%s,#C0x5B545B##F40#ค่าสถานะพื้นฐานของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
31,1,<>,,32,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+3时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +3: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +3: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
32,1,<>,,32,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+6时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +6: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +6: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
33,1,<>,,32,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+9时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +9: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +9: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
34,1,<>,,32,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+12时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +12: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +12: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
35,1,<>,,32,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+15时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+15時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +15: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +15: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
36,1,<>,,32,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+18时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +3: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +3: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
37,1,<>,,32,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+21时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +6: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +6: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
38,1,<>,,32,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+24时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +9: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +9: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
39,1,<>,,32,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+27时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +12: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +12: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
40,1,<>,,32,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+30时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+15時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +15: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +15: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
41,1,<>,,32,<200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+35时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +12: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +12: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
42,1,<>,,32,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#+40时激活: 全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#+15時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40# Ativar em +15: %s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40# เปิดใช้งานที่ +15: %s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
43,1,<>,,34,<250;300;350;400;450;500;550;600;650;700;750;800;850;900;950;1000;1050;1100;1150;1200;1250;1300;1350;1400;1450;1500;1550;1600;1650;1700;1750;1800;1850;1900;1950;2000;2050;2100;2150;2200;2250;2300;2350;2400;2450;2500;2550;2600;2650;2700>,,<>,,<>,,<>,,<>,,<>,#C0x5B545B##F40#全体精灵%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40#%s of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가,#C0x5B545B##F40#%s de todos os Pokémons aumenta em #F50##C0x5C9970#%s,#C0x5B545B##F40#%s ของโปเกมอนทั้งหมดเพิ่มขึ้น #F50##C0x5C9970#%s
