变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6,costItemMap7,costItemMap8,costItemMap9,costItemMap10,costItemMap11,costItemMap12,costItemMap13,costItemMap14,costItemMap15,costItemMap16,costItemMap17,costItemMap18,costItemMap19,costItemMap20,costItemMap21,costItemMap22,costItemMap23,costItemMap24,costItemMap25,costItemMap26,costItemMap27,costItemMap28,costItemMap29,costItemMap30,costItemMap31,costItemMap32,costItemMap33,costItemMap34,costItemMap35,costItemMap36,costItemMap37,costItemMap38,costItemMap39,costItemMap40,costItemMap41,costItemMap42,costItemMap43,costItemMap44,costItemMap45,costItemMap46,costItemMap47,costItemMap48
52,{200=20},{201=20},{202=20},{203=20},{204=20},{205=20},{210=20},{211=20},{212=20},{213=20},{214=20},{215=20},{220=20},{221=20},{222=20},{223=20},{224=20},{225=20},{230=20},{231=20},{232=20},{233=20},{234=20},{235=20},{200=21},{201=21},{202=21},{203=21},{204=21},{205=21},{210=21},{211=21},{212=21},{213=21},{214=21},{215=21},{220=21},{221=21},{222=21},{223=21},{224=21},{225=21},{230=21},{231=21},{232=21},{233=21},{234=21},{235=21}
53,{200=20},{201=20},{202=20},{203=20},{204=20},{205=20},{210=20},{211=20},{212=20},{213=20},{214=20},{215=20},{220=20},{221=20},{222=20},{223=20},{224=20},{225=20},{230=20},{231=20},{232=20},{233=20},{234=20},{235=20},{200=21},{201=21},{202=21},{203=21},{204=21},{205=21},{210=21},{211=21},{212=21},{213=21},{214=21},{215=21},{220=21},{221=21},{222=21},{223=21},{224=21},{225=21},{230=21},{231=21},{232=21},{233=21},{234=21},{235=21}
54,{200=20},{201=20},{202=20},{203=20},{204=20},{205=20},{210=20},{211=20},{212=20},{213=20},{214=20},{215=20},{220=20},{221=20},{222=20},{223=20},{224=20},{225=20},{230=20},{231=20},{232=20},{233=20},{234=20},{235=20},{200=21},{201=21},{202=21},{203=21},{204=21},{205=21},{210=21},{211=21},{212=21},{213=21},{214=21},{215=21},{220=21},{221=21},{222=21},{223=21},{224=21},{225=21},{230=21},{231=21},{232=21},{233=21},{234=21},{235=21}
55,{200=20},{201=20},{202=20},{203=20},{204=20},{205=20},{210=20},{211=20},{212=20},{213=20},{214=20},{215=20},{220=20},{221=20},{222=20},{223=20},{224=20},{225=20},{230=20},{231=20},{232=20},{233=20},{234=20},{235=20},{200=21},{201=21},{202=21},{203=21},{204=21},{205=21},{210=21},{211=21},{212=21},{213=21},{214=21},{215=21},{220=21},{221=21},{222=21},{223=21},{224=21},{225=21},{230=21},{231=21},{232=21},{233=21},{234=21},{235=21}
56,{200=22},{201=22},{202=22},{203=22},{204=22},{205=22},{210=22},{211=22},{212=22},{213=22},{214=22},{215=22},{220=22},{221=22},{222=22},{223=22},{224=22},{225=22},{230=22},{231=22},{232=22},{233=22},{234=22},{235=22},{200=23},{201=23},{202=23},{203=23},{204=23},{205=23},{210=23},{211=23},{212=23},{213=23},{214=23},{215=23},{220=23},{221=23},{222=23},{223=23},{224=23},{225=23},{230=23},{231=23},{232=23},{233=23},{234=23},{235=23}
57,{200=22},{201=22},{202=22},{203=22},{204=22},{205=22},{210=22},{211=22},{212=22},{213=22},{214=22},{215=22},{220=22},{221=22},{222=22},{223=22},{224=22},{225=22},{230=22},{231=22},{232=22},{233=22},{234=22},{235=22},{200=23},{201=23},{202=23},{203=23},{204=23},{205=23},{210=23},{211=23},{212=23},{213=23},{214=23},{215=23},{220=23},{221=23},{222=23},{223=23},{224=23},{225=23},{230=23},{231=23},{232=23},{233=23},{234=23},{235=23}
58,{200=22},{201=22},{202=22},{203=22},{204=22},{205=22},{210=22},{211=22},{212=22},{213=22},{214=22},{215=22},{220=22},{221=22},{222=22},{223=22},{224=22},{225=22},{230=22},{231=22},{232=22},{233=22},{234=22},{235=22},{200=23},{201=23},{202=23},{203=23},{204=23},{205=23},{210=23},{211=23},{212=23},{213=23},{214=23},{215=23},{220=23},{221=23},{222=23},{223=23},{224=23},{225=23},{230=23},{231=23},{232=23},{233=23},{234=23},{235=23}
59,{200=22},{201=22},{202=22},{203=22},{204=22},{205=22},{210=22},{211=22},{212=22},{213=22},{214=22},{215=22},{220=22},{221=22},{222=22},{223=22},{224=22},{225=22},{230=22},{231=22},{232=22},{233=22},{234=22},{235=22},{200=23},{201=23},{202=23},{203=23},{204=23},{205=23},{210=23},{211=23},{212=23},{213=23},{214=23},{215=23},{220=23},{221=23},{222=23},{223=23},{224=23},{225=23},{230=23},{231=23},{232=23},{233=23},{234=23},{235=23}
60,{200=22},{201=22},{202=22},{203=22},{204=22},{205=22},{210=22},{211=22},{212=22},{213=22},{214=22},{215=22},{220=22},{221=22},{222=22},{223=22},{224=22},{225=22},{230=22},{231=22},{232=22},{233=22},{234=22},{235=22},{200=23},{201=23},{202=23},{203=23},{204=23},{205=23},{210=23},{211=23},{212=23},{213=23},{214=23},{215=23},{220=23},{221=23},{222=23},{223=23},{224=23},{225=23},{230=23},{231=23},{232=23},{233=23},{234=23},{235=23}
61,{200=24},{201=24},{202=24},{203=24},{204=24},{205=24},{210=24},{211=24},{212=24},{213=24},{214=24},{215=24},{220=24},{221=24},{222=24},{223=24},{224=24},{225=24},{230=24},{231=24},{232=24},{233=24},{234=24},{235=24},{200=25},{201=25},{202=25},{203=25},{204=25},{205=25},{210=25},{211=25},{212=25},{213=25},{214=25},{215=25},{220=25},{221=25},{222=25},{223=25},{224=25},{225=25},{230=25},{231=25},{232=25},{233=25},{234=25},{235=25}
62,{200=24},{201=24},{202=24},{203=24},{204=24},{205=24},{210=24},{211=24},{212=24},{213=24},{214=24},{215=24},{220=24},{221=24},{222=24},{223=24},{224=24},{225=24},{230=24},{231=24},{232=24},{233=24},{234=24},{235=24},{200=25},{201=25},{202=25},{203=25},{204=25},{205=25},{210=25},{211=25},{212=25},{213=25},{214=25},{215=25},{220=25},{221=25},{222=25},{223=25},{224=25},{225=25},{230=25},{231=25},{232=25},{233=25},{234=25},{235=25}
63,{200=24},{201=24},{202=24},{203=24},{204=24},{205=24},{210=24},{211=24},{212=24},{213=24},{214=24},{215=24},{220=24},{221=24},{222=24},{223=24},{224=24},{225=24},{230=24},{231=24},{232=24},{233=24},{234=24},{235=24},{200=25},{201=25},{202=25},{203=25},{204=25},{205=25},{210=25},{211=25},{212=25},{213=25},{214=25},{215=25},{220=25},{221=25},{222=25},{223=25},{224=25},{225=25},{230=25},{231=25},{232=25},{233=25},{234=25},{235=25}
64,{200=24},{201=24},{202=24},{203=24},{204=24},{205=24},{210=24},{211=24},{212=24},{213=24},{214=24},{215=24},{220=24},{221=24},{222=24},{223=24},{224=24},{225=24},{230=24},{231=24},{232=24},{233=24},{234=24},{235=24},{200=25},{201=25},{202=25},{203=25},{204=25},{205=25},{210=25},{211=25},{212=25},{213=25},{214=25},{215=25},{220=25},{221=25},{222=25},{223=25},{224=25},{225=25},{230=25},{231=25},{232=25},{233=25},{234=25},{235=25}
65,{200=24},{201=24},{202=24},{203=24},{204=24},{205=24},{210=24},{211=24},{212=24},{213=24},{214=24},{215=24},{220=24},{221=24},{222=24},{223=24},{224=24},{225=24},{230=24},{231=24},{232=24},{233=24},{234=24},{235=24},{200=25},{201=25},{202=25},{203=25},{204=25},{205=25},{210=25},{211=25},{212=25},{213=25},{214=25},{215=25},{220=25},{221=25},{222=25},{223=25},{224=25},{225=25},{230=25},{231=25},{232=25},{233=25},{234=25},{235=25}
66,{200=26},{201=26},{202=26},{203=26},{204=26},{205=26},{210=26},{211=26},{212=26},{213=26},{214=26},{215=26},{220=26},{221=26},{222=26},{223=26},{224=26},{225=26},{230=26},{231=26},{232=26},{233=26},{234=26},{235=26},{200=27},{201=27},{202=27},{203=27},{204=27},{205=27},{210=27},{211=27},{212=27},{213=27},{214=27},{215=27},{220=27},{221=27},{222=27},{223=27},{224=27},{225=27},{230=27},{231=27},{232=27},{233=27},{234=27},{235=27}
67,{200=26},{201=26},{202=26},{203=26},{204=26},{205=26},{210=26},{211=26},{212=26},{213=26},{214=26},{215=26},{220=26},{221=26},{222=26},{223=26},{224=26},{225=26},{230=26},{231=26},{232=26},{233=26},{234=26},{235=26},{200=27},{201=27},{202=27},{203=27},{204=27},{205=27},{210=27},{211=27},{212=27},{213=27},{214=27},{215=27},{220=27},{221=27},{222=27},{223=27},{224=27},{225=27},{230=27},{231=27},{232=27},{233=27},{234=27},{235=27}
68,{200=26},{201=26},{202=26},{203=26},{204=26},{205=26},{210=26},{211=26},{212=26},{213=26},{214=26},{215=26},{220=26},{221=26},{222=26},{223=26},{224=26},{225=26},{230=26},{231=26},{232=26},{233=26},{234=26},{235=26},{200=27},{201=27},{202=27},{203=27},{204=27},{205=27},{210=27},{211=27},{212=27},{213=27},{214=27},{215=27},{220=27},{221=27},{222=27},{223=27},{224=27},{225=27},{230=27},{231=27},{232=27},{233=27},{234=27},{235=27}
69,{200=26},{201=26},{202=26},{203=26},{204=26},{205=26},{210=26},{211=26},{212=26},{213=26},{214=26},{215=26},{220=26},{221=26},{222=26},{223=26},{224=26},{225=26},{230=26},{231=26},{232=26},{233=26},{234=26},{235=26},{200=27},{201=27},{202=27},{203=27},{204=27},{205=27},{210=27},{211=27},{212=27},{213=27},{214=27},{215=27},{220=27},{221=27},{222=27},{223=27},{224=27},{225=27},{230=27},{231=27},{232=27},{233=27},{234=27},{235=27}
70,{200=26},{201=26},{202=26},{203=26},{204=26},{205=26},{210=26},{211=26},{212=26},{213=26},{214=26},{215=26},{220=26},{221=26},{222=26},{223=26},{224=26},{225=26},{230=26},{231=26},{232=26},{233=26},{234=26},{235=26},{200=27},{201=27},{202=27},{203=27},{204=27},{205=27},{210=27},{211=27},{212=27},{213=27},{214=27},{215=27},{220=27},{221=27},{222=27},{223=27},{224=27},{225=27},{230=27},{231=27},{232=27},{233=27},{234=27},{235=27}
71,{200=28},{201=28},{202=28},{203=28},{204=28},{205=28},{210=28},{211=28},{212=28},{213=28},{214=28},{215=28},{220=28},{221=28},{222=28},{223=28},{224=28},{225=28},{230=28},{231=28},{232=28},{233=28},{234=28},{235=28},{200=29},{201=29},{202=29},{203=29},{204=29},{205=29},{210=29},{211=29},{212=29},{213=29},{214=29},{215=29},{220=29},{221=29},{222=29},{223=29},{224=29},{225=29},{230=29},{231=29},{232=29},{233=29},{234=29},{235=29}
72,{200=28},{201=28},{202=28},{203=28},{204=28},{205=28},{210=28},{211=28},{212=28},{213=28},{214=28},{215=28},{220=28},{221=28},{222=28},{223=28},{224=28},{225=28},{230=28},{231=28},{232=28},{233=28},{234=28},{235=28},{200=29},{201=29},{202=29},{203=29},{204=29},{205=29},{210=29},{211=29},{212=29},{213=29},{214=29},{215=29},{220=29},{221=29},{222=29},{223=29},{224=29},{225=29},{230=29},{231=29},{232=29},{233=29},{234=29},{235=29}
73,{200=28},{201=28},{202=28},{203=28},{204=28},{205=28},{210=28},{211=28},{212=28},{213=28},{214=28},{215=28},{220=28},{221=28},{222=28},{223=28},{224=28},{225=28},{230=28},{231=28},{232=28},{233=28},{234=28},{235=28},{200=29},{201=29},{202=29},{203=29},{204=29},{205=29},{210=29},{211=29},{212=29},{213=29},{214=29},{215=29},{220=29},{221=29},{222=29},{223=29},{224=29},{225=29},{230=29},{231=29},{232=29},{233=29},{234=29},{235=29}
74,{200=28},{201=28},{202=28},{203=28},{204=28},{205=28},{210=28},{211=28},{212=28},{213=28},{214=28},{215=28},{220=28},{221=28},{222=28},{223=28},{224=28},{225=28},{230=28},{231=28},{232=28},{233=28},{234=28},{235=28},{200=29},{201=29},{202=29},{203=29},{204=29},{205=29},{210=29},{211=29},{212=29},{213=29},{214=29},{215=29},{220=29},{221=29},{222=29},{223=29},{224=29},{225=29},{230=29},{231=29},{232=29},{233=29},{234=29},{235=29}
75,{200=28},{201=28},{202=28},{203=28},{204=28},{205=28},{210=28},{211=28},{212=28},{213=28},{214=28},{215=28},{220=28},{221=28},{222=28},{223=28},{224=28},{225=28},{230=28},{231=28},{232=28},{233=28},{234=28},{235=28},{200=29},{201=29},{202=29},{203=29},{204=29},{205=29},{210=29},{211=29},{212=29},{213=29},{214=29},{215=29},{220=29},{221=29},{222=29},{223=29},{224=29},{225=29},{230=29},{231=29},{232=29},{233=29},{234=29},{235=29}
76,{200=30},{201=30},{202=30},{203=30},{204=30},{205=30},{210=30},{211=30},{212=30},{213=30},{214=30},{215=30},{220=30},{221=30},{222=30},{223=30},{224=30},{225=30},{230=30},{231=30},{232=30},{233=30},{234=30},{235=30},{200=31},{201=31},{202=31},{203=31},{204=31},{205=31},{210=31},{211=31},{212=31},{213=31},{214=31},{215=31},{220=31},{221=31},{222=31},{223=31},{224=31},{225=31},{230=31},{231=31},{232=31},{233=31},{234=31},{235=31}
77,{200=30},{201=30},{202=30},{203=30},{204=30},{205=30},{210=30},{211=30},{212=30},{213=30},{214=30},{215=30},{220=30},{221=30},{222=30},{223=30},{224=30},{225=30},{230=30},{231=30},{232=30},{233=30},{234=30},{235=30},{200=31},{201=31},{202=31},{203=31},{204=31},{205=31},{210=31},{211=31},{212=31},{213=31},{214=31},{215=31},{220=31},{221=31},{222=31},{223=31},{224=31},{225=31},{230=31},{231=31},{232=31},{233=31},{234=31},{235=31}
78,{200=30},{201=30},{202=30},{203=30},{204=30},{205=30},{210=30},{211=30},{212=30},{213=30},{214=30},{215=30},{220=30},{221=30},{222=30},{223=30},{224=30},{225=30},{230=30},{231=30},{232=30},{233=30},{234=30},{235=30},{200=31},{201=31},{202=31},{203=31},{204=31},{205=31},{210=31},{211=31},{212=31},{213=31},{214=31},{215=31},{220=31},{221=31},{222=31},{223=31},{224=31},{225=31},{230=31},{231=31},{232=31},{233=31},{234=31},{235=31}
79,{200=30},{201=30},{202=30},{203=30},{204=30},{205=30},{210=30},{211=30},{212=30},{213=30},{214=30},{215=30},{220=30},{221=30},{222=30},{223=30},{224=30},{225=30},{230=30},{231=30},{232=30},{233=30},{234=30},{235=30},{200=31},{201=31},{202=31},{203=31},{204=31},{205=31},{210=31},{211=31},{212=31},{213=31},{214=31},{215=31},{220=31},{221=31},{222=31},{223=31},{224=31},{225=31},{230=31},{231=31},{232=31},{233=31},{234=31},{235=31}
80,{200=30},{201=30},{202=30},{203=30},{204=30},{205=30},{210=30},{211=30},{212=30},{213=30},{214=30},{215=30},{220=30},{221=30},{222=30},{223=30},{224=30},{225=30},{230=30},{231=30},{232=30},{233=30},{234=30},{235=30},{200=31},{201=31},{202=31},{203=31},{204=31},{205=31},{210=31},{211=31},{212=31},{213=31},{214=31},{215=31},{220=31},{221=31},{222=31},{223=31},{224=31},{225=31},{230=31},{231=31},{232=31},{233=31},{234=31},{235=31}
81,{200=32},{201=32},{202=32},{203=32},{204=32},{205=32},{210=32},{211=32},{212=32},{213=32},{214=32},{215=32},{220=32},{221=32},{222=32},{223=32},{224=32},{225=32},{230=32},{231=32},{232=32},{233=32},{234=32},{235=32},{200=33},{201=33},{202=33},{203=33},{204=33},{205=33},{210=33},{211=33},{212=33},{213=33},{214=33},{215=33},{220=33},{221=33},{222=33},{223=33},{224=33},{225=33},{230=33},{231=33},{232=33},{233=33},{234=33},{235=33}
82,{200=32},{201=32},{202=32},{203=32},{204=32},{205=32},{210=32},{211=32},{212=32},{213=32},{214=32},{215=32},{220=32},{221=32},{222=32},{223=32},{224=32},{225=32},{230=32},{231=32},{232=32},{233=32},{234=32},{235=32},{200=33},{201=33},{202=33},{203=33},{204=33},{205=33},{210=33},{211=33},{212=33},{213=33},{214=33},{215=33},{220=33},{221=33},{222=33},{223=33},{224=33},{225=33},{230=33},{231=33},{232=33},{233=33},{234=33},{235=33}
83,{200=32},{201=32},{202=32},{203=32},{204=32},{205=32},{210=32},{211=32},{212=32},{213=32},{214=32},{215=32},{220=32},{221=32},{222=32},{223=32},{224=32},{225=32},{230=32},{231=32},{232=32},{233=32},{234=32},{235=32},{200=33},{201=33},{202=33},{203=33},{204=33},{205=33},{210=33},{211=33},{212=33},{213=33},{214=33},{215=33},{220=33},{221=33},{222=33},{223=33},{224=33},{225=33},{230=33},{231=33},{232=33},{233=33},{234=33},{235=33}
84,{200=32},{201=32},{202=32},{203=32},{204=32},{205=32},{210=32},{211=32},{212=32},{213=32},{214=32},{215=32},{220=32},{221=32},{222=32},{223=32},{224=32},{225=32},{230=32},{231=32},{232=32},{233=32},{234=32},{235=32},{200=33},{201=33},{202=33},{203=33},{204=33},{205=33},{210=33},{211=33},{212=33},{213=33},{214=33},{215=33},{220=33},{221=33},{222=33},{223=33},{224=33},{225=33},{230=33},{231=33},{232=33},{233=33},{234=33},{235=33}
85,{200=32},{201=32},{202=32},{203=32},{204=32},{205=32},{210=32},{211=32},{212=32},{213=32},{214=32},{215=32},{220=32},{221=32},{222=32},{223=32},{224=32},{225=32},{230=32},{231=32},{232=32},{233=32},{234=32},{235=32},{200=33},{201=33},{202=33},{203=33},{204=33},{205=33},{210=33},{211=33},{212=33},{213=33},{214=33},{215=33},{220=33},{221=33},{222=33},{223=33},{224=33},{225=33},{230=33},{231=33},{232=33},{233=33},{234=33},{235=33}
86,{200=34},{201=34},{202=34},{203=34},{204=34},{205=34},{210=34},{211=34},{212=34},{213=34},{214=34},{215=34},{220=34},{221=34},{222=34},{223=34},{224=34},{225=34},{230=34},{231=34},{232=34},{233=34},{234=34},{235=34},{200=35},{201=35},{202=35},{203=35},{204=35},{205=35},{210=35},{211=35},{212=35},{213=35},{214=35},{215=35},{220=35},{221=35},{222=35},{223=35},{224=35},{225=35},{230=35},{231=35},{232=35},{233=35},{234=35},{235=35}
87,{200=34},{201=34},{202=34},{203=34},{204=34},{205=34},{210=34},{211=34},{212=34},{213=34},{214=34},{215=34},{220=34},{221=34},{222=34},{223=34},{224=34},{225=34},{230=34},{231=34},{232=34},{233=34},{234=34},{235=34},{200=35},{201=35},{202=35},{203=35},{204=35},{205=35},{210=35},{211=35},{212=35},{213=35},{214=35},{215=35},{220=35},{221=35},{222=35},{223=35},{224=35},{225=35},{230=35},{231=35},{232=35},{233=35},{234=35},{235=35}
88,{200=34},{201=34},{202=34},{203=34},{204=34},{205=34},{210=34},{211=34},{212=34},{213=34},{214=34},{215=34},{220=34},{221=34},{222=34},{223=34},{224=34},{225=34},{230=34},{231=34},{232=34},{233=34},{234=34},{235=34},{200=35},{201=35},{202=35},{203=35},{204=35},{205=35},{210=35},{211=35},{212=35},{213=35},{214=35},{215=35},{220=35},{221=35},{222=35},{223=35},{224=35},{225=35},{230=35},{231=35},{232=35},{233=35},{234=35},{235=35}
89,{200=34},{201=34},{202=34},{203=34},{204=34},{205=34},{210=34},{211=34},{212=34},{213=34},{214=34},{215=34},{220=34},{221=34},{222=34},{223=34},{224=34},{225=34},{230=34},{231=34},{232=34},{233=34},{234=34},{235=34},{200=35},{201=35},{202=35},{203=35},{204=35},{205=35},{210=35},{211=35},{212=35},{213=35},{214=35},{215=35},{220=35},{221=35},{222=35},{223=35},{224=35},{225=35},{230=35},{231=35},{232=35},{233=35},{234=35},{235=35}
90,{200=34},{201=34},{202=34},{203=34},{204=34},{205=34},{210=34},{211=34},{212=34},{213=34},{214=34},{215=34},{220=34},{221=34},{222=34},{223=34},{224=34},{225=34},{230=34},{231=34},{232=34},{233=34},{234=34},{235=34},{200=35},{201=35},{202=35},{203=35},{204=35},{205=35},{210=35},{211=35},{212=35},{213=35},{214=35},{215=35},{220=35},{221=35},{222=35},{223=35},{224=35},{225=35},{230=35},{231=35},{232=35},{233=35},{234=35},{235=35}
91,{200=36},{201=36},{202=36},{203=36},{204=36},{205=36},{210=36},{211=36},{212=36},{213=36},{214=36},{215=36},{220=36},{221=36},{222=36},{223=36},{224=36},{225=36},{230=36},{231=36},{232=36},{233=36},{234=36},{235=36},{200=37},{201=37},{202=37},{203=37},{204=37},{205=37},{210=37},{211=37},{212=37},{213=37},{214=37},{215=37},{220=37},{221=37},{222=37},{223=37},{224=37},{225=37},{230=37},{231=37},{232=37},{233=37},{234=37},{235=37}
92,{200=36},{201=36},{202=36},{203=36},{204=36},{205=36},{210=36},{211=36},{212=36},{213=36},{214=36},{215=36},{220=36},{221=36},{222=36},{223=36},{224=36},{225=36},{230=36},{231=36},{232=36},{233=36},{234=36},{235=36},{200=37},{201=37},{202=37},{203=37},{204=37},{205=37},{210=37},{211=37},{212=37},{213=37},{214=37},{215=37},{220=37},{221=37},{222=37},{223=37},{224=37},{225=37},{230=37},{231=37},{232=37},{233=37},{234=37},{235=37}
93,{200=36},{201=36},{202=36},{203=36},{204=36},{205=36},{210=36},{211=36},{212=36},{213=36},{214=36},{215=36},{220=36},{221=36},{222=36},{223=36},{224=36},{225=36},{230=36},{231=36},{232=36},{233=36},{234=36},{235=36},{200=37},{201=37},{202=37},{203=37},{204=37},{205=37},{210=37},{211=37},{212=37},{213=37},{214=37},{215=37},{220=37},{221=37},{222=37},{223=37},{224=37},{225=37},{230=37},{231=37},{232=37},{233=37},{234=37},{235=37}
94,{200=36},{201=36},{202=36},{203=36},{204=36},{205=36},{210=36},{211=36},{212=36},{213=36},{214=36},{215=36},{220=36},{221=36},{222=36},{223=36},{224=36},{225=36},{230=36},{231=36},{232=36},{233=36},{234=36},{235=36},{200=37},{201=37},{202=37},{203=37},{204=37},{205=37},{210=37},{211=37},{212=37},{213=37},{214=37},{215=37},{220=37},{221=37},{222=37},{223=37},{224=37},{225=37},{230=37},{231=37},{232=37},{233=37},{234=37},{235=37}
95,{200=36},{201=36},{202=36},{203=36},{204=36},{205=36},{210=36},{211=36},{212=36},{213=36},{214=36},{215=36},{220=36},{221=36},{222=36},{223=36},{224=36},{225=36},{230=36},{231=36},{232=36},{233=36},{234=36},{235=36},{200=37},{201=37},{202=37},{203=37},{204=37},{205=37},{210=37},{211=37},{212=37},{213=37},{214=37},{215=37},{220=37},{221=37},{222=37},{223=37},{224=37},{225=37},{230=37},{231=37},{232=37},{233=37},{234=37},{235=37}
96,{200=38},{201=38},{202=38},{203=38},{204=38},{205=38},{210=38},{211=38},{212=38},{213=38},{214=38},{215=38},{220=38},{221=38},{222=38},{223=38},{224=38},{225=38},{230=38},{231=38},{232=38},{233=38},{234=38},{235=38},{200=39},{201=39},{202=39},{203=39},{204=39},{205=39},{210=39},{211=39},{212=39},{213=39},{214=39},{215=39},{220=39},{221=39},{222=39},{223=39},{224=39},{225=39},{230=39},{231=39},{232=39},{233=39},{234=39},{235=39}
97,{200=38},{201=38},{202=38},{203=38},{204=38},{205=38},{210=38},{211=38},{212=38},{213=38},{214=38},{215=38},{220=38},{221=38},{222=38},{223=38},{224=38},{225=38},{230=38},{231=38},{232=38},{233=38},{234=38},{235=38},{200=39},{201=39},{202=39},{203=39},{204=39},{205=39},{210=39},{211=39},{212=39},{213=39},{214=39},{215=39},{220=39},{221=39},{222=39},{223=39},{224=39},{225=39},{230=39},{231=39},{232=39},{233=39},{234=39},{235=39}
98,{200=38},{201=38},{202=38},{203=38},{204=38},{205=38},{210=38},{211=38},{212=38},{213=38},{214=38},{215=38},{220=38},{221=38},{222=38},{223=38},{224=38},{225=38},{230=38},{231=38},{232=38},{233=38},{234=38},{235=38},{200=39},{201=39},{202=39},{203=39},{204=39},{205=39},{210=39},{211=39},{212=39},{213=39},{214=39},{215=39},{220=39},{221=39},{222=39},{223=39},{224=39},{225=39},{230=39},{231=39},{232=39},{233=39},{234=39},{235=39}
99,{200=38},{201=38},{202=38},{203=38},{204=38},{205=38},{210=38},{211=38},{212=38},{213=38},{214=38},{215=38},{220=38},{221=38},{222=38},{223=38},{224=38},{225=38},{230=38},{231=38},{232=38},{233=38},{234=38},{235=38},{200=39},{201=39},{202=39},{203=39},{204=39},{205=39},{210=39},{211=39},{212=39},{213=39},{214=39},{215=39},{220=39},{221=39},{222=39},{223=39},{224=39},{225=39},{230=39},{231=39},{232=39},{233=39},{234=39},{235=39}
100,{200=38},{201=38},{202=38},{203=38},{204=38},{205=38},{210=38},{211=38},{212=38},{213=38},{214=38},{215=38},{220=38},{221=38},{222=38},{223=38},{224=38},{225=38},{230=38},{231=38},{232=38},{233=38},{234=38},{235=38},{200=39},{201=39},{202=39},{203=39},{204=39},{205=39},{210=39},{211=39},{212=39},{213=39},{214=39},{215=39},{220=39},{221=39},{222=39},{223=39},{224=39},{225=39},{230=39},{231=39},{232=39},{233=39},{234=39},{235=39}
