变量名,sceneID,addMp1,addMp2,activeSkillMp1,lostBloodMp1,slayAddMp1Fix,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefence,defenceIgnoreC,specialDefenceIgnore,strikeLevelC,strikeDamageC,strikeResistanceC,blockLevelC,breakBlockLevelC,blockPowerC,dodgeC,hitC,damageAddC,damageSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,mainSkillAddC,mainSkillSubC,speedC,curePowerC,natureRestraintC,buffGroup
80222,-80222,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80223,-80223,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80224,-80224,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80225,-80225,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80226,-80226,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80231,-80231,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,<>
80232,-80232,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,<>
80233,-80233,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,<>
80234,-80234,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,<>
80235,-80235,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,<>
80236,-80236,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,<>
80241,-80241,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80242,-80242,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80243,-80243,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,1,1,1,3,3,1,1,1,1,2,3,1,1,3,<>
80244,-80244,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,1,1,1,3,3,1,1,1,1,3,2,1,1,3,<>
80245,-80245,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,3,1,1,1,3,3,1,1,1,1,3,2,1,1,3,<>
80246,-80246,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,1,1,1,3,3,1,1,1,1,3,2,1,1,3,<>
80251,-80251,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80301,-80301,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80302,-80302,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80303,-80303,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80304,-80304,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80305,-80305,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80306,-80306,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80311,-80311,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80312,-80312,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80313,-80313,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80314,-80314,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80315,-80315,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80316,-80316,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80321,-80321,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80322,-80322,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80323,-80323,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80324,-80324,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80325,-80325,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80326,-80326,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80331,-80331,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,<>
80332,-80332,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,<>
80333,-80333,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,<>
80334,-80334,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,<>
80335,-80335,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,<>
80336,-80336,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,<>
80341,-80341,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80342,-80342,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80343,-80343,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80344,-80344,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80345,-80345,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80346,-80346,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,2,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80351,-80351,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80401,-80401,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80402,-80402,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80403,-80403,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80404,-80404,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80405,-80405,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80406,-80406,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80411,-80411,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80412,-80412,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80413,-80413,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80414,-80414,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80415,-80415,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80416,-80416,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80421,-80421,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80422,-80422,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80423,-80423,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80424,-80424,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80425,-80425,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80426,-80426,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80431,-80431,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,2,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80432,-80432,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80433,-80433,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80434,-80434,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,2,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80435,-80435,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80436,-80436,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80441,-80441,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,2,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80442,-80442,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80443,-80443,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,2,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80444,-80444,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,2,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80445,-80445,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80446,-80446,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80451,-80451,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,1,1,1,5,5,1,1,1,1,5,5,1,1,5,<>
80501,-80501,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80502,-80502,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80503,-80503,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80504,-80504,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80505,-80505,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80506,-80506,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80511,-80511,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80512,-80512,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80513,-80513,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80514,-80514,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80515,-80515,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80516,-80516,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80521,-80521,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80522,-80522,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80523,-80523,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80524,-80524,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80525,-80525,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80526,-80526,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80531,-80531,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80532,-80532,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80533,-80533,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,2,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80534,-80534,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80535,-80535,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80536,-80536,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,3,<>
80541,-80541,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80542,-80542,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80543,-80543,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80544,-80544,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80545,-80545,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80546,-80546,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80551,-80551,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,1,1,1,5,5,1,1,1,1,5,5,1,1,5,<>
80601,-80601,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80602,-80602,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80603,-80603,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80604,-80604,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80605,-80605,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80606,-80606,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80611,-80611,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80612,-80612,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80613,-80613,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80614,-80614,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80615,-80615,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80616,-80616,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80621,-80621,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80622,-80622,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80623,-80623,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80624,-80624,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80625,-80625,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80626,-80626,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80631,-80631,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,1,1,1,4,2,1,1,1,1,4,4,1,1,4,<>
80632,-80632,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80633,-80633,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,1,1,1,4,2,1,1,1,1,4,4,1,1,4,<>
80634,-80634,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,4,1,1,1,4,4,1,1,1,1,2,4,1,1,4,<>
80635,-80635,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,4,4,1,1,1,4,2,1,1,1,1,4,4,1,1,4,<>
80636,-80636,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,2,1,1,1,2,4,1,1,1,1,4,4,1,1,4,<>
80641,-80641,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,1,1,1,5,5,1,1,1,1,2,2,1,1,5,<>
80642,-80642,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,1,1,1,5,5,1,1,1,1,5,5,1,1,5,<>
80643,-80643,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,2,5,1,1,1,5,5,1,1,1,1,5,2,1,1,5,<>
80644,-80644,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,5,5,1,1,1,5,5,1,1,1,1,5,2,1,1,5,<>
80645,-80645,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,1,1,1,5,5,1,1,1,1,5,2,1,1,5,<>
80646,-80646,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,5,5,1,1,1,5,5,1,1,1,1,5,2,1,1,5,<>
80651,-80651,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,6,6,1,1,1,6,6,1,1,1,1,6,6,1,1,6,<>
80701,-80701,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80702,-80702,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80703,-80703,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80704,-80704,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80705,-80705,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80706,-80706,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80711,-80711,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80712,-80712,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80713,-80713,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80714,-80714,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80715,-80715,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80716,-80716,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80721,-80721,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80722,-80722,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80723,-80723,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80724,-80724,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80725,-80725,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
