变量名,_name,_preBehaviour,preBehaviour,damageHit,nature,damageAdd,damageDeepen,dmgDelta,natureDelta,gateDelta,reduce,strikeBlock,extraAdd,fatal,behead,damageByHpRate,finalSkillAdd,ultimateAdd,skillPower,buffAdd,randFix,limit,calcInternalDamageFinish,ignoreRoundDamage,stealth,leave,immuneAllDamage,immuneDamage,immunePhysicalDamage,immuneSpecialDamage,keepHpUnChanged,groupShield,delayDamage,damageAllocate,damageLink,protection,shield,freeze,finalRate,lockHp,rebound,suckblood,result
23611,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(more(attacker:specialDefence(),target:specialDefence()),attacker:damageRateAdd()+(moreThan(div((attacker:specialDefence()-target:specialDefence()),attacker:specialDefence(),attacker:specialDefence()/1000)*1,0.03) and 0.03 or div((attacker:specialDefence()-target:specialDefence()),attacker:specialDefence(),attacker:specialDefence()/1000)*1),attacker:damageRateAdd())))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
23612,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
24421,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(attacker:specialDefenceIgnore()*10000+1000))>;damageAdd=<setValue(list(""damageSub""),list(ifElse(more(target:damageSub(),attacker:damageAdd()),target:damageSub()*10000-1000,target:damageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
24422,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
24811,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(target:hasBuffGroup(11),attacker:damageRateAdd()+0.3+(attacker:skillLv(24816,24826,24836) or 0)*0.002-0.002+ifElse(moreEqualThan(attacker:star(), 8),0.2,0),attacker:damageRateAdd())))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
24812,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
29911,,,"{strike=<setValue(list(""strike""),list(ifElse(more(attacker:star(),11) and target:hasBuff(2991127),attacker:strike()*10000+2000,attacker:strike()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
29912,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
30111,,,"{strike=<setValue(list(""strike"",""strikeDamage""),list(ifElse(more(attacker:speed(),target:speed()),attacker:strike()*10000+(self:flagZ3() and 5000 or 3000),attacker:strike()*10000),ifElse(more(attacker:speed(),target:speed()),attacker:strikeDamage()*10000+3000,attacker:strikeDamage()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
30112,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
31411,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
31412,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),12) and (1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),10) and (1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),8) and (1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),6) and (1+0.01*random(1,4))*(1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),4) and (1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),2) and 1 or 1))))))))>}",,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
32611,,,"{damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117),attacker:ignoreDamageSub()*10000+3000,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
32612,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
32613,,,"{damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117),attacker:ignoreDamageSub()*10000+3000,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
32614,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
32615,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuffGroup(36),attacker:damageRateAdd()+0.5,attacker:damageRateAdd())))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117),attacker:ignoreDamageSub()*10000+3000,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
32616,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
32711,,,"{strike=<setValue(list(""strike""),list(ifElse(more(attacker:star(),10),attacker:strike()*10000+500,attacker:strike()*10000)))>;reduce=<setValue(list(""damage"",""specialDamage""),list(ifElse(more(target:specialDefence(),target:defence()),attacker:damage()*(1.3+0.003*(attacker:skillLv(32716) or 0)-0.003),attacker:damage()),ifElse(more(target:specialDefence(),target:defence()),attacker:specialDamage(),attacker:specialDamage()*(1.3+0.003*(attacker:skillLv(32716) or 0)-0.003))))>;init=<setValue(list(""damageType""),list(ifElse(more(target:specialDefence(),target:defence()),0,1)))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(more(attacker:star(),11),attacker:ignoreDamageSub()*10000+1000,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
32712,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
32713,,,"{init=<setValue(list(""damageType""),list(ifElse(more(target:specialDefence(),target:defence()),0,1)))>;reduce=<setValue(list(""damage"",""specialDamage""),list(ifElse(more(target:specialDefence(),target:defence()),attacker:damage()*(1.2+0.002*(attacker:skillLv(32716) or 0)-0.002),attacker:damage()),ifElse(more(target:specialDefence(),target:defence()),attacker:specialDamage(),attacker:specialDamage()*(1.2+0.002*(attacker:skillLv(32716) or 0)-0.002))))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
32714,,,"{init=<setValue(list(""damageType""),list(ifElse(more(target:specialDefence(),target:defence()),0,1)))>;reduce=<setValue(list(""damage"",""specialDamage""),list(ifElse(more(target:specialDefence(),target:defence()),attacker:damage()*(1.05+0.0015*(attacker:skillLv(32716) or 0)-0.0015),attacker:damage()),ifElse(more(target:specialDefence(),target:defence()),attacker:specialDamage(),attacker:specialDamage()*(1.05+0.0015*(attacker:skillLv(32716) or 0)-0.0015))))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
33011,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(more(attacker:speed(),target:speed()),attacker:damageRateAdd()+(moreThan(div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2,0.6) and 0.6 or div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2),attacker:damageRateAdd())))>;reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+1000+(attacker:skillLv(33016,33026,33036) or 0)*10,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
33012,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
33021,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(more(attacker:speed(),target:speed()),attacker:damageRateAdd()+(moreThan(div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2,0.6) and 0.6 or div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2),attacker:damageRateAdd())))>;reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+1000+(attacker:skillLv(33016,33026,33036) or 0)*10,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
33022,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
33031,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+1000+(attacker:skillLv(33016,33026,33036) or 0)*10,attacker:specialDefenceIgnore()*10000)))>;strike=<setValue(list(""strike"",""strikeDamage""),list(ifElse(more(attacker:star() , 10) and target:hasBuffGroup(1301,1311,1321),attacker:strike()*10000+1000,attacker:strike()*10000),ifElse(more(attacker:star() , 10) and target:hasBuffGroup(1301,1311,1321),attacker:strikeDamage()*10000+1500,attacker:strikeDamage()*10000)))>;buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(more(attacker:speed(),target:speed()),attacker:damageRateAdd()+(moreThan(div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2,0.6) and 0.6 or div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*2),attacker:damageRateAdd())))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
33032,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
33041,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+2000+(attacker:skillLv(33046) or 0)*10,attacker:specialDefenceIgnore()*10000)))>;buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(more(attacker:speed(),target:speed()),attacker:damageRateAdd()+(moreThan(div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*3,1) and 1 or div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*3),attacker:damageRateAdd())))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(more(attacker:speed(),target:speed()),attacker:ignoreDamageSub()*10000+2,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
33042,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
33043,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
33044,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
35111,,,"{reduce=<setValue(list(""defenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:defenceIgnore()*10000+(30+(attacker:skillLv(35116) or 0)*0.2-0.2)*100,attacker:defenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
35112,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
36111,,,"{damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(target:hasBuffGroup(20),attacker:ignoreDamageSub()*10000+3000,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
36112,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
36211,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
36212,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
36311,,,"{damageAdd=<setValue(list(""damageSub""),list(ifElse(more(target:damageSub(),attacker:damageAdd()),target:damageSub()*(5000+attacker:level()*50),target:damageSub()*10000)))>;reduce=<setValue(list(""specialDefenceIgnore""),list(attacker:specialDefenceIgnore()*10000+(6000-attacker:level()*60)))>;damageDeepen=<setValue(list(""damageReduce""),list(ifElse(less(target:damageDeepen(),attacker:damageReduce()),attacker:damageReduce()*(5000+attacker:level()*50),attacker:damageReduce()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
36312,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
36337,,,,,,,,,,,,,,,,,,,,,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
36338,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,jump,run,run,run,run
36521,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
36522,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
39771,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
39772,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
40231,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,run,run,run,run,run,run,run,run,run,run,jump,run,run,run,run,run,run,run,run,run
40232,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,jump,run,run,run,run,run,run,run,run,run
40241,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
40242,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
41011,,,"{damageAdd=<setValue(list(""damageSub""),list(target:damageSub()*10000-5000))>;reduce=<setValue(list(""specialDefenceIgnore""),list(attacker:specialDefenceIgnore()*10000+5000))>;finalRate=<setValue(list(""finalDamageSub""),list(target:finalDamageSub()*10000-5000))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
41012,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(1+0.05*attacker:getBuffOverlayCount(4101131))))>}",,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
41211,,,"{damageHit=<setValue(list(""damageHit""),list(attacker:damageHit()*10000+2500*attacker:getBuffOverlayCount(4121652)))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(less(target:mp1(),target:mp1Max()),attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652)+2000,attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652))))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,jump,run,run,jump,run,run,run,run,run,run
41212,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(1+0.05*attacker:getBuffOverlayCount(4121652))))>}",,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,jump,run,run,jump,run,run,run,run,run,run
41221,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,run,run,run,run,run,run,run,run,run,run,jump,run,run,jump,run,run,run,run,run,run
41222,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(1+0.05*attacker:getBuffOverlayCount(4121652))))>}",,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,jump,run,run,jump,run,run,run,run,run,run
41231,,,"{damageHit=<setValue(list(""damageHit""),list(attacker:damageHit()*10000+2500*attacker:getBuffOverlayCount(4121652)))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(less(target:mp1(),target:mp1Max()),attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652)+2000,attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652))))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
41232,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(1+0.05*attacker:getBuffOverlayCount(4121652))))>}",,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
41241,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
41242,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(1+0.05*attacker:getBuffOverlayCount(4121652))))>}",,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
41711,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
41712,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
41721,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
41722,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
70481,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
70482,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
70511,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
1972212,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3651334,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3651335,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
3651609,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
