变量名,sceneName,sceneName_tw,sceneName_en,sceneName_vn,sceneName_kr,sceneName_pt,sceneName_th,_beizhu,monsters,boss,icon,gateType,sceneType,sceneCount,roundLimit,deployType,deployCardNumLimit,deployNum,deployNatureLimit,backMusic,backGround,bg_boss,bg_boss_pos,ownerId,onlyClassify,openLevel,preGateID,stars,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,dayChallengeMax,staminaCost,cardExp,roleExp,dropIds,gold,desc,desc_tw,desc_en,desc_vn,desc_kr,sandangAward,worldLevelSaodangAward,forbidMarkID,winAward,star3Award,kssdFlag,chestAward,pos,awardPos,frontWay,monsterRange,finishPoint,isWheel,isQuickSweep,tag
13204,白铸镇,白铸镇,Blancast Town,Thị trấn Blancast,백주 마을,Vila Blancast,เมืองบลองคาสต์,,<{level=920;unitId=60111;advance=70};{level=920;unitId=61902;advance=70};{level=920;unitId=60472;advance=70};{level=920;unitId=60803;advance=70}>,<{level=920;unitId=71241;advance=70}>,config/portrait/simple/img_245_sj@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_245_sj@.png,{y=70;x=0},42,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,920,1255,1255,,,,9999,6,120,6,{5067=0;5000=0},6100,,,,,,{14=7;13=2},{14=8;13=2},,{},{},0,{gold=10000;talent_point=1;rmb=10},{y=345;x=1034},{y=444;x=776},<<1417;349>;<1302;262>;<1034;345>>,{},,FALSE,0,{}
13205,白铸镇,白铸镇,Blancast Town,Thị trấn Blancast,백주 마을,Vila Blancast,เมืองบลองคาสต์,,<{level=925;unitId=60333;advance=70};{level=925;unitId=60102;advance=70};{level=925;unitId=60792;advance=70}>,<{level=925;unitId=72233;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_445_lyls@.png,{y=70;x=0},42,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,925,1260,1260,,,,9999,6,120,6,{5000=0;5068=0},6100,,,,,,{14=7;13=2},{14=8;13=2},,{},{},1,{},{y=549;x=625},,<<1034;345>;<923;420>;<776;444>;<759;518>;<625;549>>,{},,FALSE,1,{}
13206,白铸镇,白铸镇,Blancast Town,Thị trấn Blancast,백주 마을,Vila Blancast,เมืองบลองคาสต์,,<{level=930;unitId=52481;advance=70};{level=930;unitId=60133;advance=70};{level=930;unitId=52681;advance=70};{level=930;unitId=60493;advance=70};{level=930;unitId=60062;advance=70}>,<{level=930;unitId=71303;advance=70}>,config/portrait/simple/img_257_hyj@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_257_hyj@.png,{y=70;x=0},42,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,930,1265,1265,,,,9999,6,120,6,{5000=0;5068=0},6100,,,,,,{14=7;13=2},{14=8;13=2},,{},{},0,{gold=10000;talent_point=1;rmb=10},{y=631;x=856},{y=663;x=1015},<<625;549>;<770;629>;<856;631>>,{},,FALSE,0,{}
13207,白铸镇,白铸镇,Blancast Town,Thị trấn Blancast,백주 마을,Vila Blancast,เมืองบลองคาสต์,,<{level=935;unitId=60093;advance=70};{level=935;unitId=60262;advance=70}>,<{level=935;unitId=181082;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_461_mnl@.png,{y=70;x=0},42,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,935,1270,1270,,,,9999,6,120,6,{5000=0;5068=0},6100,,,,,,{14=7;13=2},{14=8;13=2},,{},{},0,{},{y=942;x=971},,<<856;631>;<1015;663>;<971;942>>,{},,FALSE,0,{}
13208,白铸镇,白铸镇,Blancast Town,Thị trấn Blancast,백주 마을,Vila Blancast,เมืองบลองคาสต์,,<{level=940;unitId=62633;advance=70};{level=940;unitId=60081;advance=70};{level=940;unitId=60272;advance=70};{level=940;unitId=60001;advance=70}>,<{level=940;unitId=73021;advance=70}>,config/portrait/simple/img_615_jhxh@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_615_jhxh@.png,{y=70;x=0},42,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,940,1275,1275,,,,9999,6,120,6,{5000=0;5069=0},6100,,,,,,{14=7;13=2},{14=8;13=2},,{},{},1,{gold=10000;talent_point=1;rmb=10},{y=774;x=1204},{y=788;x=1402},<<971;942>;<1204;774>>,{},,FALSE,1,{}
13209,白铸镇,白铸镇,Blancast Town,Thị trấn Blancast,백주 마을,Vila Blancast,เมืองบลองคาสต์,,<{level=945;unitId=62073;advance=70};{level=945;unitId=63011;advance=70};{level=945;unitId=61261;advance=70}>,<{level=945;unitId=180721;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_144_jdn@.png,{y=70;x=0},42,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,945,1280,1280,,,,9999,6,120,6,{5000=0;5069=0},6100,,,,,,{14=7;13=2},{14=8;13=2},,{},{},0,{},{y=950;x=1484},,<<1204;774>;<1402;788>;<1484;950>>,{},,FALSE,0,{}
13210,白铸镇,白铸镇,Blancast Town,Thị trấn Blancast,백주 마을,Vila Blancast,เมืองบลองคาสต์,,<{level=950;unitId=50022;advance=70};{level=950;unitId=60192;advance=70};{level=950;unitId=50023;advance=70};{level=950;unitId=61861;advance=70};{level=950;unitId=60131;advance=70}>,<{level=950;unitId=181961;advance=70}>,config/portrait/simple/img_382_gok@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_382_gok@.png,{y=70;x=0},42,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,950,1285,1285,,,,9999,6,120,6,{5000=0;5069=0},6100,,,,,,{14=7;13=2},{14=8;13=2},,{},{},0,{},{y=1066;x=1302},,<<1484;950>;<1458;1036>;<1302;1066>>,{},,FALSE,0,{}
13301,安溪镇,安溪镇,Anxi Town,Thị trấn Anxi,안계 마을,Vila Anxi,เมืองอันซี,,<{level=955;unitId=60392;advance=70};{level=955;unitId=63292;advance=70};{level=955;unitId=63281;advance=70}>,<{level=955;unitId=73562;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_709_xmy@.png,{y=70;x=0},43,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,955,1290,1290,,,,9999,6,120,6,{5070=0;5000=0},6310,,,,,,{14=8},{14=9},,{},{},1,{},{y=747;x=2071},,<<2071;747>>,{},,FALSE,1,{}
13302,安溪镇,安溪镇,Anxi Town,Thị trấn Anxi,안계 마을,Vila Anxi,เมืองอันซี,,<{level=960;unitId=52012;advance=70};{level=960;unitId=50022;advance=70};{level=960;unitId=60593;advance=70};{level=960;unitId=63542;advance=70}>,<{level=960;unitId=73353;advance=70}>,config/portrait/simple/img_671_hjfr@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_671_hjfr@.png,{y=70;x=0},43,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,960,1295,1295,,,,9999,6,120,6,{5070=0;5000=0},6310,,,,,,{14=8},{14=9},,{},{},0,{gold=10000;talent_point=1;rmb=10},{y=540;x=1782},{y=331;x=1747},<<2071;747>;<1914;683>;<1914;581>;<1782;540>>,{},,FALSE,0,{}
13303,安溪镇,安溪镇,Anxi Town,Thị trấn Anxi,안계 마을,Vila Anxi,เมืองอันซี,,<{level=965;unitId=60471;advance=70};{level=965;unitId=62012;advance=70};{level=965;unitId=60392;advance=70};{level=965;unitId=63292;advance=70}>,<{level=965;unitId=70891;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_298_lll@.png,{y=70;x=0},43,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,965,1300,1300,,,,9999,6,120,6,{5070=0;5000=0},6310,,,,,,{14=8},{14=9},,{},{},0,{},{y=349;x=1417},,<<1782;540>;<1687;478>;<1838;359>;<1747;331>;<1561;289>;<1417;349>>,{},,FALSE,0,{}
13304,安溪镇,安溪镇,Anxi Town,Thị trấn Anxi,안계 마을,Vila Anxi,เมืองอันซี,,<{level=970;unitId=60271;advance=70};{level=970;unitId=60602;advance=70};{level=970;unitId=60092;advance=70};{level=970;unitId=62012;advance=70}>,<{level=970;unitId=71813;advance=70}>,config/portrait/simple/img_477_hyml@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_477_hyml@.png,{y=70;x=0},43,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,970,1305,1305,,,,9999,6,120,6,{5070=0;5000=0},6310,,,,,,{14=8},{14=9},,{},{},0,{gold=10000;talent_point=1;rmb=10},{y=345;x=1034},{y=444;x=776},<<1417;349>;<1302;262>;<1034;345>>,{},,FALSE,0,{}
13305,安溪镇,安溪镇,Anxi Town,Thị trấn Anxi,안계 마을,Vila Anxi,เมืองอันซี,,<{level=975;unitId=60072;advance=70};{level=975;unitId=61421;advance=70};{level=975;unitId=60692;advance=70}>,<{level=975;unitId=70131;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_173_pbb@.png,{y=70;x=0},43,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,975,1310,1310,,,,9999,6,120,6,{5071=0;5000=0},6310,,,,,,{14=8},{14=9},,{},{},1,{},{y=549;x=625},,<<1034;345>;<923;420>;<776;444>;<759;518>;<625;549>>,{},,FALSE,1,{}
13306,安溪镇,安溪镇,Anxi Town,Thị trấn Anxi,안계 마을,Vila Anxi,เมืองอันซี,,<{level=980;unitId=53541;advance=70};{level=980;unitId=60092;advance=70};{level=980;unitId=50331;advance=70};{level=980;unitId=60033;advance=70};{level=980;unitId=60461;advance=70}>,<{level=980;unitId=70393;advance=70}>,config/portrait/simple/img_94_gg@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_94_gg@.png,{y=70;x=0},43,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,980,1315,1315,,,,9999,6,120,6,{5071=0;5000=0},6310,,,,,,{14=8},{14=9},,{},{},0,{gold=10000;talent_point=1;rmb=10},{y=631;x=856},{y=663;x=1015},<<625;549>;<770;629>;<856;631>>,{},,FALSE,0,{}
13307,安溪镇,安溪镇,Anxi Town,Thị trấn Anxi,안계 마을,Vila Anxi,เมืองอันซี,,<{level=985;unitId=60452;advance=70};{level=985;unitId=61421;advance=70}>,<{level=985;unitId=181392;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_281_qlla@.png,{y=70;x=0},43,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,985,1320,1320,,,,9999,6,120,6,{5071=0;5000=0},6310,,,,,,{14=8},{14=9},,{},{},0,{},{y=942;x=971},,<<856;631>;<1015;663>;<971;942>>,{},,FALSE,0,{}
13308,安溪镇,安溪镇,Anxi Town,Thị trấn Anxi,안계 마을,Vila Anxi,เมืองอันซี,,<{level=990;unitId=61612;advance=70};{level=990;unitId=60071;advance=70};{level=990;unitId=62301;advance=70};{level=990;unitId=62301;advance=70}>,<{level=990;unitId=71394;advance=70}>,config/portrait/simple/img_475_alld@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_475_alld@.png,{y=70;x=0},43,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,990,1325,1325,,,,9999,6,120,6,{5072=0;5000=0},6310,,,,,,{14=8},{14=9},,{},{},1,{gold=10000;talent_point=1;rmb=10},{y=774;x=1204},{y=788;x=1402},<<971;942>;<1204;774>>,{},,FALSE,1,{}
13309,安溪镇,安溪镇,Anxi Town,Thị trấn Anxi,안계 마을,Vila Anxi,เมืองอันซี,,<{level=995;unitId=62482;advance=70};{level=995;unitId=61231;advance=70};{level=995;unitId=61612;advance=70}>,<{level=995;unitId=180263;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_65_hd@.png,{y=70;x=0},43,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,995,1330,1330,,,,9999,6,120,6,{5072=0;5000=0},6310,,,,,,{14=8},{14=9},,{},{},0,{},{y=950;x=1484},,<<1204;774>;<1402;788>;<1484;950>>,{},,FALSE,0,{}
13310,安溪镇,安溪镇,Anxi Town,Thị trấn Anxi,안계 마을,Vila Anxi,เมืองอันซี,,<{level=1000;unitId=51292;advance=70};{level=1000;unitId=63341;advance=70};{level=1000;unitId=50602;advance=70};{level=1000;unitId=61812;advance=70}>,<{level=1000;unitId=180761;advance=70}>,config/portrait/simple/img_150_cm@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_150_cm@.png,{y=70;x=0},43,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,1000,1335,1335,,,,9999,6,120,6,{5072=0;5000=0},6310,,,,,,{14=8},{14=9},,{},{},0,{},{y=1066;x=1302},,<<1484;950>;<1458;1036>;<1302;1066>>,{},,FALSE,0,{}
13401,橙花学院,橙花学院,Naranja Academy,Học viện Naranja,오렌지아카데미,Academia Laranja,สถาบันอคาเดมีส้ม,,<{level=455;unitId=63302;advance=70};{level=455;unitId=63302;advance=70};{level=455;unitId=63302;advance=70}>,<{level=455;unitId=70013;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_6_phl@.png,{y=70;x=0},44,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,455,790,790,,,,9999,6,120,6,{5073=0;5000=0},6520,,,,,,{14=8;13=2},{14=9;13=2},,{},{},1,{},{y=747;x=2071},,<<2071;747>>,{},,FALSE,1,{}
13402,橙花学院,橙花学院,Naranja Academy,Học viện Naranja,오렌지아카데미,Academia Laranja,สถาบันอคาเดมีส้ม,,<{level=460;unitId=52271;advance=70};{level=460;unitId=60272;advance=70};{level=460;unitId=52271;advance=70};{level=460;unitId=60002;advance=70};{level=460;unitId=60002;advance=70}>,<{level=460;unitId=70053;advance=70}>,config/portrait/simple/img_18_dbn@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_18_dbn@.png,{y=70;x=0},44,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,460,795,795,,,,9999,6,120,6,{5073=0;5000=0},6520,,,,,,{14=8;13=2},{14=9;13=2},,{},{},0,{gold=10000;talent_point=1;rmb=10},{y=540;x=1782},{y=331;x=1747},<<2071;747>;<1914;683>;<1914;581>;<1782;540>>,{},,FALSE,0,{}
13403,橙花学院,橙花学院,Naranja Academy,Học viện Naranja,오렌지아카데미,Academia Laranja,สถาบันอคาเดมีส้ม,,<{level=465;unitId=60092;advance=70};{level=465;unitId=63542;advance=70};{level=465;unitId=60092;advance=70};{level=465;unitId=63542;advance=70}>,<{level=465;unitId=71394;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_475_alld@.png,{y=70;x=0},44,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,465,800,800,,,,9999,6,120,6,{5073=0;5000=0},6520,,,,,,{14=8;13=2},{14=9;13=2},,{},{},0,{},{y=349;x=1417},,<<1782;540>;<1687;478>;<1838;359>;<1747;331>;<1561;289>;<1417;349>>,{},,FALSE,0,{}
13404,橙花学院,橙花学院,Naranja Academy,Học viện Naranja,오렌지아카데미,Academia Laranja,สถาบันอคาเดมีส้ม,,<{level=470;unitId=60792;advance=70};{level=470;unitId=60792;advance=70};{level=470;unitId=60571;advance=70};{level=470;unitId=60571;advance=70}>,<{level=470;unitId=72013;advance=70}>,config/portrait/simple/img_389_ttg@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_389_ttg@.png,{y=70;x=0},44,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,470,805,805,,,,9999,6,120,6,{5073=0;5000=0},6520,,,,,,{14=8;13=2},{14=9;13=2},,{},{},0,{gold=10000;talent_point=1;rmb=10},{y=345;x=1034},{y=444;x=776},<<1417;349>;<1302;262>;<1034;345>>,{},,FALSE,0,{}
13405,橙花学院,橙花学院,Naranja Academy,Học viện Naranja,오렌지아카데미,Academia Laranja,สถาบันอคาเดมีส้ม,,<{level=475;unitId=63302;advance=70};{level=475;unitId=60262;advance=70};{level=475;unitId=63302;advance=70}>,<{level=475;unitId=70552;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_121_bshx@.png,{y=70;x=0},44,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,475,810,810,,,,9999,6,120,6,{5074=0;5000=0},6520,,,,,,{14=8;13=2},{14=9;13=2},,{},{},1,{},{y=549;x=625},,<<1034;345>;<923;420>;<776;444>;<759;518>;<625;549>>,{},,FALSE,1,{}
13406,橙花学院,橙花学院,Naranja Academy,Học viện Naranja,오렌지아카데미,Academia Laranja,สถาบันอคาเดมีส้ม,,<{level=480;unitId=51421;advance=70};{level=480;unitId=60262;advance=70};{level=480;unitId=51421;advance=70};{level=480;unitId=60593;advance=70};{level=480;unitId=60593;advance=70}>,<{level=480;unitId=180333;advance=70}>,config/portrait/simple/img_462_zbcg@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_462_zbcg@.png,{y=70;x=0},44,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,480,815,815,,,,9999,6,120,6,{5074=0;5000=0},6520,,,,,,{14=8;13=2},{14=9;13=2},,{},{},0,{gold=10000;talent_point=1;rmb=10},{y=631;x=856},{y=663;x=1015},<<625;549>;<770;629>;<856;631>>,{},,FALSE,0,{}
13407,橙花学院,橙花学院,Naranja Academy,Học viện Naranja,오렌지아카데미,Academia Laranja,สถาบันอคาเดมีส้ม,,<{level=485;unitId=61422;advance=70};{level=485;unitId=60002;advance=70};{level=485;unitId=61422;advance=70};{level=485;unitId=60002;advance=70}>,<{level=485;unitId=70464;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_237_zwl@.png,{y=70;x=0},44,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,485,820,820,,,,9999,6,120,6,{5074=0;5000=0},6520,,,,,,{14=8;13=2},{14=9;13=2},,{},{},0,{},{y=942;x=971},,<<856;631>;<1015;663>;<971;942>>,{},,FALSE,0,{}
13408,橙花学院,橙花学院,Naranja Academy,Học viện Naranja,오렌지아카데미,Academia Laranja,สถาบันอคาเดมีส้ม,,<{level=490;unitId=60072;advance=70};{level=490;unitId=60072;advance=70};{level=490;unitId=60692;advance=70};{level=490;unitId=60692;advance=70}>,<{level=490;unitId=70793;advance=70}>,config/portrait/simple/img_157_hbs@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_157_hbs@.png,{y=70;x=0},44,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,490,825,825,,,,9999,6,120,6,{5075=0;5000=0},6520,,,,,,{14=8;13=2},{14=9;13=2},,{},{},1,{gold=10000;talent_point=1;rmb=10},{y=774;x=1204},{y=788;x=1402},<<971;942>;<1204;774>>,{},,FALSE,1,{}
13409,橙花学院,橙花学院,Naranja Academy,Học viện Naranja,오렌지아카데미,Academia Laranja,สถาบันอคาเดมีส้ม,,<{level=495;unitId=63302;advance=70};{level=495;unitId=60333;advance=70};{level=495;unitId=63302;advance=70}>,<{level=495;unitId=181303;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_257_hyj@.png,{y=70;x=0},44,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,495,830,830,,,,9999,6,120,6,{5075=0;5000=0},6520,,,,,,{14=8;13=2},{14=9;13=2},,{},{},0,{},{y=950;x=1484},,<<1204;774>;<1402;788>;<1484;950>>,{},,FALSE,0,{}
13410,橙花学院,橙花学院,Naranja Academy,Học viện Naranja,오렌지아카데미,Academia Laranja,สถาบันอคาเดมีส้ม,,<>,<{level=500;unitId=180753;advance=70}>,config/portrait/simple/img_149_kl@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_149_kl@.png,{y=70;x=0},44,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,500,835,835,,,,9999,6,120,6,{5075=0;5000=0},6520,,,,,,{14=8;13=2},{14=9;13=2},,{},{},0,{},{y=1066;x=1302},,<<1484;950>;<1458;1036>;<1302;1066>>,{},,FALSE,0,{}
13501,橙华镇,橙华镇,Petalburg City,Thành phố Petalburg,등화도시,Cidade de Petalburg,เมืองโทกะ,,<{level=505;unitId=60472;advance=70};{level=505;unitId=60132;advance=70};{level=505;unitId=60472;advance=70}>,<{level=505;unitId=72073;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_405_lqm@.png,{y=70;x=0},45,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,505,840,840,,,,9999,6,120,6,{5076=0;5000=0},6730,,,,,,{14=8;13=2},{14=9;13=2},,{},{},1,{},{y=747;x=2071},,<<2071;747>>,{},,FALSE,1,{}
13502,橙华镇,橙华镇,Petalburg City,Thành phố Petalburg,등화도시,Cidade de Petalburg,เมืองโทกะ,,<{level=510;unitId=53301;advance=70};{level=510;unitId=61252;advance=70};{level=510;unitId=53301;advance=70};{level=510;unitId=60022;advance=70};{level=510;unitId=60022;advance=70}>,<{level=510;unitId=72683;advance=70}>,config/portrait/simple/img_545_wgw@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_545_wgw@.png,{y=70;x=0},45,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,510,845,845,,,,9999,6,120,6,{5076=0;5000=0},6730,,,,,,{14=8;13=2},{14=9;13=2},,{},{},0,{gold=10000;talent_point=1;rmb=10},{y=540;x=1782},{y=331;x=1747},<<2071;747>;<1914;683>;<1914;581>;<1782;540>>,{},,FALSE,0,{}
13503,橙华镇,橙华镇,Petalburg City,Thành phố Petalburg,등화도시,Cidade de Petalburg,เมืองโทกะ,,<{level=515;unitId=60472;advance=70};{level=515;unitId=60262;advance=70};{level=515;unitId=60472;advance=70};{level=515;unitId=60262;advance=70}>,<{level=515;unitId=71423;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_289_qjw@.png,{y=70;x=0},45,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,515,850,850,,,,9999,6,120,6,{5076=0;5000=0},6730,,,,,,{14=8;13=2},{14=9;13=2},,{},{},0,{},{y=349;x=1417},,<<1782;540>;<1687;478>;<1838;359>;<1747;331>;<1561;289>;<1417;349>>,{},,FALSE,0,{}
13504,橙华镇,橙华镇,Petalburg City,Thành phố Petalburg,등화도시,Cidade de Petalburg,เมืองโทกะ,,<{level=520;unitId=60552;advance=70};{level=520;unitId=60552;advance=70};{level=520;unitId=61172;advance=70};{level=520;unitId=61172;advance=70}>,<{level=520;unitId=70463;advance=70}>,config/portrait/simple/img_107_kql@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_107_kql@.png,{y=70;x=0},45,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,520,855,855,,,,9999,6,120,6,{5076=0;5000=0},6730,,,,,,{14=8;13=2},{14=9;13=2},,{},{},0,{gold=10000;talent_point=1;rmb=10},{y=345;x=1034},{y=444;x=776},<<1417;349>;<1302;262>;<1034;345>>,{},,FALSE,0,{}
13505,橙华镇,橙华镇,Petalburg City,Thành phố Petalburg,등화도시,Cidade de Petalburg,เมืองโทกะ,,<{level=525;unitId=60552;advance=70};{level=525;unitId=60792;advance=70};{level=525;unitId=60552;advance=70}>,<{level=525;unitId=73293;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_655_yhhh@.png,{y=70;x=0},45,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,525,860,860,,,,9999,6,120,6,{5077=0;5000=0},6730,,,,,,{14=8;13=2},{14=9;13=2},,{},{},1,{},{y=549;x=625},,<<1034;345>;<923;420>;<776;444>;<759;518>;<625;549>>,{},,FALSE,1,{}
13506,橙华镇,橙华镇,Petalburg City,Thành phố Petalburg,등화도시,Cidade de Petalburg,เมืองโทกะ,,<{level=530;unitId=50021;advance=70};{level=530;unitId=60392;advance=70};{level=530;unitId=50021;advance=70};{level=530;unitId=62012;advance=70};{level=530;unitId=62012;advance=70}>,<{level=530;unitId=180771;advance=70}>,config/portrait/simple/img_151_mh@.png,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_151_mh@.png,{y=70;x=0},45,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,530,865,865,,,,9999,6,120,6,{5077=0;5000=0},6730,,,,,,{14=8;13=2},{14=9;13=2},,{},{},0,{gold=10000;talent_point=1;rmb=10},{y=631;x=856},{y=663;x=1015},<<625;549>;<770;629>;<856;631>>,{},,FALSE,0,{}
13507,橙华镇,橙华镇,Petalburg City,Thành phố Petalburg,등화도시,Cidade de Petalburg,เมืองโทกะ,,<{level=535;unitId=60092;advance=70};{level=535;unitId=60592;advance=70};{level=535;unitId=60092;advance=70};{level=535;unitId=60592;advance=70}>,<{level=535;unitId=70273;advance=70}>,,1,4,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_xcdg.jpg,config/big_hero/normal/img_68_gl@.png,{y=70;x=0},45,,1,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,535,870,870,,,,9999,6,120,6,{5077=0;5000=0},6730,,,,,,{14=8;13=2},{14=9;13=2},,{},{},0,{},{y=942;x=971},,<<856;631>;<1015;663>;<971;942>>,{},,FALSE,0,{}
