变量名,markID,level,addType,addScene,natureType,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
57005,571,100,1,0,0,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,0,,0,,0,,0,
57006,571,150,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,9,0.60%,10,0.60%,0,,0,,0,,0,
57007,571,200,1,0,0,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,0,,0,,0,,0,
57008,571,250,1,0,0,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,0,,0,,0,,0,
57009,571,300,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,7,0.60%,8,0.60%,0,,0,,0,,0,
57010,571,350,1,0,0,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,0,,0,,0,,0,
57011,571,400,1,0,0,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,0,,0,,0,,0,
57012,571,450,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,7,0.60%,8,0.60%,0,,0,,0,,0,
57013,571,500,1,0,0,%s,%s,%s,%s,%s,%s,%s,24,500,0,,0,,0,,0,,0,
59001,591,20,1,0,0,所有基础属性%s,所有基礎屬性%s,All base stats %s,Tất cả chỉ số cơ bản %s,모든 기본 능력치 %s,Todos os status base %s,ค่าสถานะพื้นฐานทั้งหมด %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
59002,591,40,1,0,0,%s,%s,%s,%s,%s,%s,%s,1,3%,0,,0,,0,,0,,0,
59003,591,60,1,0,0,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,0,,0,,0,,0,
59004,591,80,2,0,5,第一属性%s精灵所有基础属性%s,第一屬性%s精灵所有基礎屬性%s,All base stats of %s Pokémon with main type %s,Tất cả chỉ số cơ bản của Pokémon %s thuộc loại %s,첫 속성 %s 포켓몬 기본 능력치 모두 %s,Todos os status base do Pokémon %s do tipo %s,ค่าสถานะพื้นฐานของโปเกมอน %s ประเภท %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
59005,591,100,1,0,0,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,0,,0,,0,,0,
59006,591,150,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,9,0.60%,10,0.60%,0,,0,,0,,0,
59007,591,200,1,0,0,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,0,,0,,0,,0,
59008,591,250,1,0,0,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,0,,0,,0,,0,
59009,591,300,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,7,0.60%,8,0.60%,0,,0,,0,,0,
59010,591,350,1,0,0,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,0,,0,,0,,0,
59011,591,400,1,0,0,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,0,,0,,0,,0,
59012,591,450,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,9,0.60%,10,0.60%,0,,0,,0,,0,
59013,591,500,1,0,0,%s,%s,%s,%s,%s,%s,%s,24,500,0,,0,,0,,0,,0,
60001,601,20,1,0,0,所有基础属性%s,所有基礎屬性%s,All base stats %s,Tất cả chỉ số cơ bản %s,모든 기본 능력치 %s,Todos os status base %s,ค่าสถานะพื้นฐานทั้งหมด %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
60002,601,40,1,0,0,%s,%s,%s,%s,%s,%s,%s,1,3%,0,,0,,0,,0,,0,
60003,601,60,1,0,0,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,0,,0,,0,,0,
60004,601,80,2,0,2,第一属性%s精灵所有基础属性%s,第一屬性%s精灵所有基礎屬性%s,All base stats of %s Pokémon with main type %s,Tất cả chỉ số cơ bản của Pokémon %s thuộc loại %s,첫 속성 %s 포켓몬 기본 능력치 모두 %s,Todos os status base do Pokémon %s do tipo %s,ค่าสถานะพื้นฐานของโปเกมอน %s ประเภท %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
60005,601,100,1,0,0,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,0,,0,,0,,0,
60006,601,150,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,7,0.60%,8,0.60%,0,,0,,0,,0,
60007,601,200,1,0,0,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,0,,0,,0,,0,
60008,601,250,1,0,0,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,0,,0,,0,,0,
60009,601,300,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,1,0.60%,0,,0,,0,,0,,0,
60010,601,350,1,0,0,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,0,,0,,0,,0,
60011,601,400,1,0,0,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,0,,0,,0,,0,
60012,601,450,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,9,0.60%,10,0.60%,0,,0,,0,,0,
60013,601,500,1,0,0,%s,%s,%s,%s,%s,%s,%s,24,500,0,,0,,0,,0,,0,
61001,611,20,1,0,0,所有基础属性%s,所有基礎屬性%s,All base stats %s,Tất cả chỉ số cơ bản %s,모든 기본 능력치 %s,Todos os status base %s,ค่าสถานะพื้นฐานทั้งหมด %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
61002,611,40,1,0,0,%s,%s,%s,%s,%s,%s,%s,1,3%,0,,0,,0,,0,,0,
61003,611,60,1,0,0,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,0,,0,,0,,0,
61004,611,80,2,0,12,第一属性%s精灵所有基础属性%s,第一屬性%s精灵所有基礎屬性%s,All base stats of %s Pokémon with main type %s,Tất cả chỉ số cơ bản của Pokémon %s thuộc loại %s,첫 속성 %s 포켓몬 기본 능력치 모두 %s,Todos os status base do Pokémon %s do tipo %s,ค่าสถานะพื้นฐานของโปเกมอน %s ประเภท %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
61005,611,100,1,0,0,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,0,,0,,0,,0,
61006,611,150,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,1,0.60%,0,,0,,0,,0,,0,
61007,611,200,1,0,0,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,0,,0,,0,,0,
61008,611,250,1,0,0,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,0,,0,,0,,0,
61009,611,300,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,9,0.60%,10,0.60%,0,,0,,0,,0,
61010,611,350,1,0,0,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,0,,0,,0,,0,
61011,611,400,1,0,0,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,0,,0,,0,,0,
61012,611,450,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,1,0.60%,0,,0,,0,,0,,0,
61013,611,500,1,0,0,%s,%s,%s,%s,%s,%s,%s,24,500,0,,0,,0,,0,,0,
63001,631,20,1,0,0,所有基础属性%s,所有基礎屬性%s,All base stats %s,Tất cả chỉ số cơ bản %s,모든 기본 능력치 %s,Todos os status base %s,ค่าสถานะพื้นฐานทั้งหมด %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
63002,631,40,1,0,0,%s,%s,%s,%s,%s,%s,%s,1,3%,0,,0,,0,,0,,0,
63003,631,60,1,0,0,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,0,,0,,0,,0,
63004,631,80,2,0,3,第一属性%s精灵所有基础属性%s,第一屬性%s精灵所有基礎屬性%s,All base stats of %s Pokémon with main type %s,Tất cả chỉ số cơ bản của Pokémon %s thuộc loại %s,첫 속성 %s 포켓몬 기본 능력치 모두 %s,Todos os status base do Pokémon %s do tipo %s,ค่าสถานะพื้นฐานของโปเกมอน %s ประเภท %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
63005,631,100,1,0,0,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,0,,0,,0,,0,
63006,631,150,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,9,0.60%,10,0.60%,0,,0,,0,,0,
63007,631,200,1,0,0,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,0,,0,,0,,0,
63008,631,250,1,0,0,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,0,,0,,0,,0,
63009,631,300,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,7,0.60%,8,0.60%,0,,0,,0,,0,
63010,631,350,1,0,0,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,0,,0,,0,,0,
63011,631,400,1,0,0,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,0,,0,,0,,0,
63012,631,450,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,1,0.60%,0,,0,,0,,0,,0,
63013,631,500,1,0,0,%s,%s,%s,%s,%s,%s,%s,24,500,0,,0,,0,,0,,0,
64001,641,20,1,0,0,所有基础属性%s,所有基礎屬性%s,All base stats %s,Tất cả chỉ số cơ bản %s,모든 기본 능력치 %s,Todos os status base %s,ค่าสถานะพื้นฐานทั้งหมด %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
64002,641,40,1,0,0,%s,%s,%s,%s,%s,%s,%s,1,3%,0,,0,,0,,0,,0,
64003,641,60,1,0,0,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,0,,0,,0,,0,
64004,641,80,2,0,3,第一属性%s精灵所有基础属性%s,第一屬性%s精灵所有基礎屬性%s,All base stats of %s Pokémon with main type %s,Tất cả chỉ số cơ bản của Pokémon %s thuộc loại %s,첫 속성 %s 포켓몬 기본 능력치 모두 %s,Todos os status base do Pokémon %s do tipo %s,ค่าสถานะพื้นฐานของโปเกมอน %s ประเภท %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
64005,641,100,1,0,0,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,0,,0,,0,,0,
64006,641,150,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,7,0.60%,8,0.60%,0,,0,,0,,0,
64007,641,200,1,0,0,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,0,,0,,0,,0,
64008,641,250,1,0,0,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,0,,0,,0,,0,
64009,641,300,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,1,0.60%,0,,0,,0,,0,,0,
64010,641,350,1,0,0,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,0,,0,,0,,0,
64011,641,400,1,0,0,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,0,,0,,0,,0,
64012,641,450,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,9,0.60%,10,0.60%,0,,0,,0,,0,
64013,641,500,1,0,0,%s,%s,%s,%s,%s,%s,%s,24,500,0,,0,,0,,0,,0,
69001,691,20,1,0,0,所有基础属性%s,所有基礎屬性%s,All base stats %s,Tất cả chỉ số cơ bản %s,모든 기본 능력치 %s,Todos os status base %s,ค่าสถานะพื้นฐานทั้งหมด %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
69002,691,40,1,0,0,%s,%s,%s,%s,%s,%s,%s,1,3%,0,,0,,0,,0,,0,
69003,691,60,1,0,0,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,0,,0,,0,,0,
69004,691,80,2,0,13,第一属性%s精灵所有基础属性%s,第一屬性%s精灵所有基礎屬性%s,All base stats of %s Pokémon with main type %s,Tất cả chỉ số cơ bản của Pokémon %s thuộc loại %s,첫 속성 %s 포켓몬 기본 능력치 모두 %s,Todos os status base do Pokémon %s do tipo %s,ค่าสถานะพื้นฐานของโปเกมอน %s ประเภท %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
69005,691,100,1,0,0,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,0,,0,,0,,0,
69006,691,150,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,9,0.50%,10,0.50%,0,,0,,0,,0,
69007,691,200,1,0,0,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,0,,0,,0,,0,
69008,691,250,1,0,0,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,0,,0,,0,,0,
69009,691,300,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,7,0.50%,8,0.50%,0,,0,,0,,0,
69010,691,350,1,0,0,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,0,,0,,0,,0,
69011,691,400,1,0,0,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,0,,0,,0,,0,
69012,691,450,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,1,0.50%,0,,0,,0,,0,,0,
69013,691,500,1,0,0,%s,%s,%s,%s,%s,%s,%s,24,500,0,,0,,0,,0,,0,
70001,701,20,1,0,0,所有基础属性%s,所有基礎屬性%s,All base stats %s,Tất cả chỉ số cơ bản %s,모든 기본 능력치 %s,Todos os status base %s,ค่าสถานะพื้นฐานทั้งหมด %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
70002,701,40,1,0,0,%s,%s,%s,%s,%s,%s,%s,1,3%,0,,0,,0,,0,,0,
70003,701,60,1,0,0,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,0,,0,,0,,0,
70004,701,80,2,0,13,第一属性%s精灵所有基础属性%s,第一屬性%s精灵所有基礎屬性%s,All base stats of %s Pokémon with main type %s,Tất cả chỉ số cơ bản của Pokémon %s thuộc loại %s,첫 속성 %s 포켓몬 기본 능력치 모두 %s,Todos os status base do Pokémon %s do tipo %s,ค่าสถานะพื้นฐานของโปเกมอน %s ประเภท %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
70005,701,100,1,0,0,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,0,,0,,0,,0,
70006,701,150,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,1,0.60%,0,,0,,0,,0,,0,
70007,701,200,1,0,0,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,0,,0,,0,,0,
70008,701,250,1,0,0,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,0,,0,,0,,0,
70009,701,300,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,9,0.60%,10,0.60%,0,,0,,0,,0,
70010,701,350,1,0,0,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,0,,0,,0,,0,
70011,701,400,1,0,0,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,0,,0,,0,,0,
70012,701,450,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,7,0.60%,8,0.60%,0,,0,,0,,0,
70013,701,500,1,0,0,%s,%s,%s,%s,%s,%s,%s,24,500,0,,0,,0,,0,,0,
71001,711,20,1,0,0,所有基础属性%s,所有基礎屬性%s,All base stats %s,Tất cả chỉ số cơ bản %s,모든 기본 능력치 %s,Todos os status base %s,ค่าสถานะพื้นฐานทั้งหมด %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
71002,711,40,1,0,0,%s,%s,%s,%s,%s,%s,%s,1,3%,0,,0,,0,,0,,0,
71003,711,60,1,0,0,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,0,,0,,0,,0,
71004,711,80,2,0,1,第一属性%s精灵所有基础属性%s,第一屬性%s精灵所有基礎屬性%s,All base stats of %s Pokémon with main type %s,Tất cả chỉ số cơ bản của Pokémon %s thuộc loại %s,첫 속성 %s 포켓몬 기본 능력치 모두 %s,Todos os status base do Pokémon %s do tipo %s,ค่าสถานะพื้นฐานของโปเกมอน %s ประเภท %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
71005,711,100,1,0,0,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,0,,0,,0,,0,
71006,711,150,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,1,0.60%,0,,0,,0,,0,,0,
71007,711,200,1,0,0,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,0,,0,,0,,0,
71008,711,250,1,0,0,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,0,,0,,0,,0,
71009,711,300,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,9,0.60%,10,0.60%,0,,0,,0,,0,
71010,711,350,1,0,0,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,0,,0,,0,,0,
71011,711,400,1,0,0,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,0,,0,,0,,0,
71012,711,450,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,9,0.60%,10,0.60%,0,,0,,0,,0,
71013,711,500,1,0,0,%s,%s,%s,%s,%s,%s,%s,24,500,0,,0,,0,,0,,0,
72001,721,20,1,0,0,所有基础属性%s,所有基礎屬性%s,All base stats %s,Tất cả chỉ số cơ bản %s,모든 기본 능력치 %s,Todos os status base %s,ค่าสถานะพื้นฐานทั้งหมด %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
72002,721,40,1,0,0,%s,%s,%s,%s,%s,%s,%s,1,3%,0,,0,,0,,0,,0,
72003,721,60,1,0,0,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,0,,0,,0,,0,
72004,721,80,2,0,6,第一属性%s精灵所有基础属性%s,第一屬性%s精灵所有基礎屬性%s,All base stats of %s Pokémon with main type %s,Tất cả chỉ số cơ bản của Pokémon %s thuộc loại %s,첫 속성 %s 포켓몬 기본 능력치 모두 %s,Todos os status base do Pokémon %s do tipo %s,ค่าสถานะพื้นฐานของโปเกมอน %s ประเภท %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
72005,721,100,1,0,0,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,0,,0,,0,,0,
72006,721,150,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,1,0.60%,0,,0,,0,,0,,0,
72007,721,200,1,0,0,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,0,,0,,0,,0,
72008,721,250,1,0,0,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,0,,0,,0,,0,
72009,721,300,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,9,0.60%,10,0.60%,0,,0,,0,,0,
72010,721,350,1,0,0,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,0,,0,,0,,0,
72011,721,400,1,0,0,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,0,,0,,0,,0,
72012,721,450,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,9,0.60%,10,0.60%,0,,0,,0,,0,
72013,721,500,1,0,0,%s,%s,%s,%s,%s,%s,%s,24,500,0,,0,,0,,0,,0,
73001,731,20,1,0,0,所有基础属性%s,所有基礎屬性%s,All base stats %s,Tất cả chỉ số cơ bản %s,모든 기본 능력치 %s,Todos os status base %s,ค่าสถานะพื้นฐานทั้งหมด %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
73002,731,40,1,0,0,%s,%s,%s,%s,%s,%s,%s,1,3%,0,,0,,0,,0,,0,
73003,731,60,1,0,0,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,0,,0,,0,,0,
73004,731,80,2,0,5,第一属性%s精灵所有基础属性%s,第一屬性%s精灵所有基礎屬性%s,All base stats of %s Pokémon with main type %s,Tất cả chỉ số cơ bản của Pokémon %s thuộc loại %s,첫 속성 %s 포켓몬 기본 능력치 모두 %s,Todos os status base do Pokémon %s do tipo %s,ค่าสถานะพื้นฐานของโปเกมอน %s ประเภท %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
73005,731,100,1,0,0,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,0,,0,,0,,0,
73006,731,150,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,9,0.60%,10,0.60%,0,,0,,0,,0,
73007,731,200,1,0,0,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,0,,0,,0,,0,
73008,731,250,1,0,0,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,0,,0,,0,,0,
73009,731,300,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,7,0.60%,8,0.60%,0,,0,,0,,0,
73010,731,350,1,0,0,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,0,,0,,0,,0,
73011,731,400,1,0,0,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,0,,0,,0,,0,
73012,731,450,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,9,0.60%,10,0.60%,0,,0,,0,,0,
73013,731,500,1,0,0,%s,%s,%s,%s,%s,%s,%s,24,500,0,,0,,0,,0,,0,
74001,741,20,1,0,0,所有基础属性%s,所有基礎屬性%s,All base stats %s,Tất cả chỉ số cơ bản %s,모든 기본 능력치 %s,Todos os status base %s,ค่าสถานะพื้นฐานทั้งหมด %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
74002,741,40,1,0,0,%s,%s,%s,%s,%s,%s,%s,1,3%,0,,0,,0,,0,,0,
74003,741,60,1,0,0,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,0,,0,,0,,0,
74004,741,80,2,0,2,第一属性%s精灵所有基础属性%s,第一屬性%s精灵所有基礎屬性%s,All base stats of %s Pokémon with main type %s,Tất cả chỉ số cơ bản của Pokémon %s thuộc loại %s,첫 속성 %s 포켓몬 기본 능력치 모두 %s,Todos os status base do Pokémon %s do tipo %s,ค่าสถานะพื้นฐานของโปเกมอน %s ประเภท %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
74005,741,100,1,0,0,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,0,,0,,0,,0,
74006,741,150,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,7,0.60%,8,0.60%,0,,0,,0,,0,
74007,741,200,1,0,0,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,0,,0,,0,,0,
74008,741,250,1,0,0,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,0,,0,,0,,0,
74009,741,300,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,1,0.60%,0,,0,,0,,0,,0,
74010,741,350,1,0,0,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,0,,0,,0,,0,
74011,741,400,1,0,0,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,0,,0,,0,,0,
74012,741,450,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,7,0.60%,8,0.60%,0,,0,,0,,0,
74013,741,500,1,0,0,%s,%s,%s,%s,%s,%s,%s,24,500,0,,0,,0,,0,,0,
75001,751,20,1,0,0,所有基础属性%s,所有基礎屬性%s,All base stats %s,Tất cả chỉ số cơ bản %s,모든 기본 능력치 %s,Todos os status base %s,ค่าสถานะพื้นฐานทั้งหมด %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
75002,751,40,1,0,0,%s,%s,%s,%s,%s,%s,%s,1,3%,0,,0,,0,,0,,0,
75003,751,60,1,0,0,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,0,,0,,0,,0,
75004,751,80,2,0,15,第一属性%s精灵所有基础属性%s,第一屬性%s精灵所有基礎屬性%s,All base stats of %s Pokémon with main type %s,Tất cả chỉ số cơ bản của Pokémon %s thuộc loại %s,첫 속성 %s 포켓몬 기본 능력치 모두 %s,Todos os status base do Pokémon %s do tipo %s,ค่าสถานะพื้นฐานของโปเกมอน %s ประเภท %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
