变量名,name,_desc,_mark1,_mark2,easyEffectFunc,_effect,_easy,skillTimePos,group,groupPower,ignoreControlVal,immuneBuff,dispelBuff,dispelType,overlayType,overlayLimit,skin,isShow,iconResPath,isIconFrame,effectResPath,effectAniName,effectAniChoose,effectResDelay,effectPos,effectAssignLayer,effectOffsetPos,effectShowOnAttack,onceEffectResPath,onceEffectAniName,onceEffectDelay,onceEffectPos,onceEffectAssignLayer,onceEffectOffsetPos,onceEffectWait,linkEffect,effectOnEnd,holderActionType,textResPath,deepCorrect,triggerPriority,specialVal,specialTarget,ignoreHolder,ignoreCaster,triggerBehaviors,limitTimes,lifeRoundType,lifeTimeEnd,buffshader,waveInherit,craftTriggerLimit,gateLimit,noDelWhenFakeDeath,showExplorer,explorerID,showHeldItem,heldItemID,buffActionEffect,stageArgs,na
1972420,【大日照】,,,,buff1,,,1,0,101,0,<>,<>,<>,0,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,"<{effectFuncs=<castBuff>;triggerPoint=3;funcArgs=<<{prob=1;caster=2;value=3;lifeRound=4;holder={input=all;process=random(12)};cfgId=1972421}>>;onSomeFlag=<ifElse(moreE(max(sumBuffOverlayByGroupInForce(1,99997,99998),sumBuffOverlayByGroupInForce(2,99997,99998)),1),false,ifElse(getNowRound()==1,ifElse(more(random(1,10),2),false,true),ifElse(more(random(1,100),4),false,true)))>;nodeId=1}>",,2,1,{},TRUE,,,1,FALSE,,FALSE,,,,
1972421,,,,,buff1,,,1,99997,101,0,<>,<>,<>,0,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{effectFuncs=<castBuff>;triggerPoint=1;funcArgs=<<{caster=2;value=6;lifeRound=buff:getValue();holder=1;cfgId=1972422}>>;nodeId=1}>,,2,1,{},TRUE,,,1,FALSE,,FALSE,,,,
1972422,大日照,,,,weather,,,2,99998,101,0,<>,<>,<>,0,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{triggerPoint=1;nodeId=0};{effectFuncs=<castBuff>;triggerPoint=1;funcArgs=<<{bond=1;prob=(target:nature(1)==2 or target:nature(2)==2) and 1 or 0;caster=2;value=2000;lifeRound=99;cfgId=1972423;holder=1}>>;nodeId=1};{effectFuncs=<castBuff>;triggerPoint=4;funcArgs=<<{prob=(target:nature(1)==2 or target:nature(2)==2) and 1 or 0;caster=2;value=2000;lifeRound=1;holder=1;cfgId=1972424}>>;nodeId=2};{effectFuncs=<castBuff>;triggerPoint=1;funcArgs=<<{bond=1;prob=(target:nature(1)==3 or target:nature(2)==3) and 1 or 0;caster=2;value=-2000;lifeRound=99;cfgId=1972425;holder=1}>>;nodeId=3}>,,2,0,{},TRUE,,,1,FALSE,,FALSE,,,,
1972423,大日照,,,,damageAdd,,,1,1202,103,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_shjc_up.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_shtg.png,12,,,,0,0,,,2,0,{},TRUE,,,1,FALSE,,FALSE,,,,
1972424,大日照,,,,strikeDamage,,,1,1222,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_bjsh_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_bjshtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1972425,大日照,,,,damageReduce,,,1,1203,103,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_shjc_down.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_shjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981110,离场预告,,,,leave2,,,1,100,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981111,裂空座,,,,leave,,,2,101,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{typ=move;args={y=2000;x=0;speed=1500}},battle/txt/txt_cf1.png,12,,,,0,0,<{triggerPoint=1;nodeId=0};{effectFuncs=<castBuff;castBuff;castBuff>;triggerPoint=19;funcArgs=<<{prob=0.7+0.1*getObjNearCount(target);caster=2;value=0;lifeRound=1;holder=1;cfgId=1981112}>;<{prob=self:flagZ2() and 1 or 0;caster=2;value=1000;lifeRound=2;holder=4;cfgId=1981132}>;<{prob=self:flagZ2() and 1 or 0;caster=2;value=1000;lifeRound=2;holder=1;cfgId=1981132}>>;nodeId=1}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981112,裂空座,,,,stun,,,1,21,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_xy.png,0,buff/xuanyun/xuanyun.skel,<xuanyun_loop>,{type=0},0,1,1,{y=-320;x=0},FALSE,koudai_liekongzuo/hero_liekongzuo.skel,luodi,500,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_xy.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981113,物攻提高,,,,damage,,,1,1222,102,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_wgtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981114,特攻提高,,,,specialDamage,,,1,1222,102,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tgtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981115,目标防御转化,,,,calDmgKeepDefence,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{triggerPoint=1;delSelfWhenTriggered=2;nodeId=0}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981116,废弃,,,,specialDefenceIgnore,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981117,前置无视,,,,buff5,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{effectFuncs=<castBuff>;triggerPoint=7;funcArgs=<<{caster=2;value=1;lifeRound=1;holder=8;cfgId=1981115}>>;nodeId=1}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981118,物攻提高,,,,damage,,,1,1222,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_wg_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_wgtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981119,特攻提高,,,,specialDamage,,,1,1222,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_tg_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tgtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981120,裂空座,,,,lockMp1Add,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_fn.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_fn.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981121,无视特防,,,,specialDefenceIgnore,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981122,无视物防,,,,defenceIgnore,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981123,前置无视,,,,buff5,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,"<{effectFuncs=<castBuff>;triggerPoint=7;funcArgs=<<{caster=2;value=list(list(c.groupbuff_oc()),-1,2);lifeRound=1;holder=8;cfgId=1981124}>>;nodeId=1}>",,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981124,裂空座,,,,otherBuffEnhance,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981125,裂空座,,,,buff5,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{effectFuncs=<castBuff>;triggerPoint=8;funcArgs=<<{caster=8;value=0;lifeRound=1;holder=8;cfgId=1981126}>>;nodeId=1}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981126,裂空座,,,,buff1,,,1,0,101,0,<>,<1981115;1981124>,<>,0,999999,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981127,裂空座,,,,defence,,,2,1203,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_wf_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_wfjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981128,裂空座,,,,specialDefence,,,2,1203,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_tf_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tfjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981129,裂空座,,,,damageRateAdd,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_shtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981130,裂空座,,,,buffDamage,,,2,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,<{damageType=2;processId=8}>,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981131,裂空座,,,,buff1,,,1,50020,101,0,<>,<>,<>,0,999999,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981132,裂空座,,,,damageDeepen,,,2,1303,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_shjm_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_ys.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1981133,裂空座,,,,suckBlood,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_xx.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_xx.png,12,,,,0,0,,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
1981134,裂空座,,,,strike,,,1,1222,102,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_bjl_up.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_bjltg.png,12,,,,0,0,,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
1981135,裂空座,,,,suckBlood,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_xx.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_xx.png,12,,,,0,0,,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
1982121,超级裂空座,,,,damage,,,1,1222,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_wg_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_wgtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982122,超级裂空座,,,,specialDamage,,,1,1222,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_tg_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tgtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982123,超级裂空座,,,,speed,,,1,1221,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_sd_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_sdtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982124,超级裂空座,,,,leave2,,,1,100,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982125,超级裂空座,,,,leave,,,2,101,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{typ=move;args={y=2000;x=0;speed=1500}},battle/txt/txt_cf1.png,12,,,,0,0,<{triggerPoint=1;nodeId=0};{effectFuncs=<castBuff>;triggerPoint=19;funcArgs=<<{prob=0.7+0.1*getObjNearCount(target);caster=2;value=0;lifeRound=1;holder=1;cfgId=1982126}>>;nodeId=1}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982126,超级裂空座,,,,stun,,,1,21,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_xy.png,0,buff/xuanyun/xuanyun.skel,<xuanyun_loop>,{type=0},0,1,1,{y=-320;x=0},FALSE,koudai_liekongzuo/hero_liekongzuo.skel,luodi,500,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_xy.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982127,超级裂空座,,,,shield,,,2,11,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_fd.png,1,koudai_liekongzuo_mega/hero_liekongzuo_mega.skel,<fengdun_loop>,{type=0},0,0,-1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_fd.png,12,,,,0,0,"<{triggerPoint=1;nodeId=0};{effectFuncs=<castBuff;castBuff>;triggerPoint=19;funcArgs=<<{prob=1;caster=2;value=0;lifeRound=1;holder=2;cfgId=1982128}>;<{prob=1;caster=2;value=buff:getValue();lifeRound=1;holder=7;cfgId=1982129}>>;onSomeFlag=<moreThan(buff:getFinalLifeRound(),0)>;nodeId=1}>",,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982128,超级裂空座,,,,buff22,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,koudai_liekongzuo_mega/hero_liekongzuo_mega.skel,fengdun_effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982129,超级裂空座,,,,buffDamage,,,2,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,<{damageType=1;processId=14}>,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982130,超级裂空座,,,,lockMp1Add,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_fn.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_fn.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982131,超级裂空座,,,,suckBlood,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_xx.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982132,超级裂空座,,,,strikeDamage,,,1,1222,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_bjsh_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_bjshtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982133,超级裂空座,,,,defence,,,2,1323,102,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_wf_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_wfjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982134,超级裂空座,,,,specialDefence,,,2,1323,102,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_tf_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tfjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982135,超级裂空座,,,,buffDamage,,,2,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,<{damageType=2;processId=8}>,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982136,超级裂空座,,,,buff1,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,koudai_liekongzuo_mega/hero_liekongzuo_mega.skel,jianshe,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982137,无视特防,,,,specialDefenceIgnore,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
1982138,无视物防,,,,defenceIgnore,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
1982139,超级裂空座,,,,suckBlood,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_xx.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
1982141,超级裂空座,,,,damage,,,1,1222,102,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_wgtg.png,12,,,,0,0,,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
1982142,超级裂空座,,,,specialDamage,,,1,1222,102,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tgtg.png,12,,,,0,0,,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
1982143,超级裂空座,,,,strike,,,1,1222,102,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_bjl_up.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_bjltg.png,12,,,,0,0,,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
1982144,超级裂空座,,,,buff5,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{effectFuncs=<castBuff>;triggerPoint=7;funcArgs=<<{caster=2;value=1;lifeRound=1;holder=8;cfgId=1982145}>>;nodeId=1};{effectFuncs=<castBuff>;triggerPoint=7;funcArgs=<<{caster=2;value=1;lifeRound=1;holder=8;cfgId=1982145}>>;nodeId=2;onSomeFlag=<target:getExAttackMode()==5>;extraAttackTrigger=2}>,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
1982145,超级裂空座,,,,calDmgKeepDefence,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{triggerPoint=1;delSelfWhenTriggered=2;nodeId=0}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982146,超级裂空座,,,,buff5,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,"<{effectFuncs=<castBuff>;triggerPoint=7;funcArgs=<<{caster=2;value=list(list(c.groupbuff_oc()),-1,2);lifeRound=1;holder=8;cfgId=1982147}>>;nodeId=1};{effectFuncs=<castBuff>;triggerPoint=7;funcArgs=<<{caster=2;value=list(list(c.groupbuff_oc()),-1,2);lifeRound=1;holder=8;cfgId=1982147}>>;nodeId=2;onSomeFlag=<target:getExAttackMode()==5>;extraAttackTrigger=2}>",,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
1982147,超级裂空座,,,,otherBuffEnhance,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982148,超级裂空座,,,,buff5,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{effectFuncs=<castBuff>;triggerPoint=8;funcArgs=<<{caster=2;value=0;lifeRound=1;holder=8;cfgId=1982149}>>;nodeId=1};{effectFuncs=<castBuff>;triggerPoint=8;funcArgs=<<{caster=2;value=0;lifeRound=1;holder=8;cfgId=1982149}>>;nodeId=2;onSomeFlag=<target:getExAttackMode()==5>;extraAttackTrigger=2}>,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
1982149,超级裂空座,,,,buff1,,,1,0,101,0,<>,<1982145;1982147>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
1982150,超级裂空座,,,,buff1,,,1,0,101,0,<>,<>,<>,8,6,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,9,,,1,1,"<{effectFuncs=<castBuff;castBuff>;triggerPoint=8;funcArgs=<<{prob=1;caster=2;value=1;lifeRound=99;holder=2;cfgId=1982151}>;<{prob=target:id() == target2:id() and 1 or 0;caster=1;value=1;lifeRound=99;holder=2;cfgId=1982151}>>;onSomeFlag=<(target:cardID()~=2361) and (not target:curSkill():getDamageState('strike') )  and  less(self:getBuffOverlayCount(1982158),2)>;nodeId=1};{effectFuncs=<castBuff;castBuff;castBuff>;triggerPoint=8;funcArgs=<<{prob=1;caster=2;value=1;lifeRound=99;holder=2;cfgId=1982151}>;<{prob=1;caster=2;value=1;lifeRound=99;holder=2;cfgId=1982151}>;<{prob=target:id() == target2:id() and 1 or 0;caster=1;value=1;lifeRound=99;holder=2;cfgId=1982151}>>;onSomeFlag=<(target:cardID()~=2361) and target:curSkill():getDamageState('strike') and  less(self:getBuffOverlayCount(1982158),2)>;nodeId=2}>",,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
