变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,headIcon,treeID,attrDesc,attrDesc_tw,attrDesc_en,attrDesc_vn,attrDesc_kr,attrDesc_pt,attrDesc_th,attrAddDesc1,attrAddDesc1_tw,attrAddDesc1_en,attrAddDesc1_vn,attrAddDesc1_kr,attrAddDesc1_pt,attrAddDesc1_th,attrAddDesc2,attrAddDesc2_tw,attrAddDesc2_en,attrAddDesc2_vn,attrAddDesc2_kr,attrAddDesc2_pt,attrAddDesc2_th,levelUp,preTalentID,preTalentLevel,roleLevel,costID,addType1,natureType1,damageRelation1,attrType1,attrNum1,addType2,natureType2,damageRelation2,attrType2,attrNum2
311,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_cx.png,3,提升所有精灵草系技能伤害减免,提升所有精靈草系技能傷害減免,Boosts the damage of Grass-type moves of all Pokémons,Tăng sát thương của các chiêu thức hệ Cỏ của tất cả Pokémon,모든 포켓몬의 풀 타입 스킬의 피해 감소를 증가시킨다,Aumenta o dano dos movimentos do tipo Grama de todos os Pokémons,เพิ่มความเสียหายของท่าประเภทพืชของโปเกมอนทั้งหมด,草系技能伤害减免增加,草系技能傷害減免增加,Grass-type damage reduction increases,Tăng giảm sát thương hệ Cỏ,풀 타입 스킬 피해 감소 증가,Redução de dano do tipo Grama aumenta,เพิ่มการลดความเสียหายประเภทพืช,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,310,7,65,7,3,,<>,57,100,,,<>,,
312,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_dq.png,3,提升所有电系精灵的生命,提升所有電系精靈的生命,Increase HP of all Electric-type Pokémons,Tăng HP của tất cả Pokémon hệ Điện,모든 전기 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Elétrico,เพิ่ม HP ของโปเกมอนประเภทไฟฟ้าทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,5,<>,1,0.50%,,,<>,,
313,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_dq.png,3,提升所有精灵电系技能伤害加成,提升所有精靈電系技能傷害加成,Boosts the damage bonus of Electric-type moves of all Pokémons,Tăng thưởng sát thương của các chiêu thức hệ Điện của tất cả Pokémon,모든 포켓몬의 전기 타입 스킬 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Elétrico de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทไฟฟ้าของโปเกมอนทั้งหมด,电系技能伤害加成增加,電系技能傷害加成增加,Increases damage bonus of Electric-type moves,Tăng thưởng sát thương của các chiêu thức hệ Điện,전기 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Elétrico,เพิ่มโบนัสความเสียหายของท่าประเภทไฟฟ้า,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,312,7,65,6,3,,<>,40,100,,,<>,,
314,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_dq.png,3,提升所有精灵电系技能伤害减免,提升所有精靈電系技能傷害減免,Boosts the damage of Electric-type moves of all Pokémons,Tăng sát thương của các chiêu thức hệ Điện của tất cả Pokémon,모든 포켓몬의 전기 타입 스킬의 피해 감소를 증가시킨다,Aumenta o dano dos movimentos do tipo Elétrico de todos os Pokémons,เพิ่มความเสียหายของท่าประเภทไฟฟ้าของโปเกมอนทั้งหมด,电系技能伤害减免增加,電系技能傷害減免增加,Electric-type damage reduction increases,Tăng giảm sát thương hệ Điện,전기 타입 스킬 피해 감소 증가,Redução de dano do tipo Elétrico aumenta,เพิ่มการลดความเสียหายประเภทไฟฟ้า,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,313,7,65,7,3,,<>,58,100,,,<>,,
315,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_bx.png,3,提升所有冰系精灵的生命,提升所有冰系精靈的生命,Increase HP of all Ice-type Pokémons,Tăng HP của tất cả Pokémon hệ Băng,모든 얼음 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Gelo,เพิ่ม HP ของโปเกมอนประเภทน้ำแข็งทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,6,<>,1,0.50%,,,<>,,
316,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_bx.png,3,提升所有精灵冰系技能伤害加成,提升所有精靈冰系技能傷害加成,Boosts the damage bonus of Ice-type moves of all Pokémons,Tăng thưởng sát thương của các chiêu thức hệ Băng của tất cả Pokémon,모든 포켓몬의 얼음 타입 스킬 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Gelo de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทน้ำแข็งของโปเกมอนทั้งหมด,冰系技能伤害加成增加,冰系技能傷害加成增加,Increases damage bonus of Ice-type moves,Tăng thưởng sát thương của các chiêu thức hệ Băng,얼음 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Gelo,เพิ่มโบนัสความเสียหายของท่าประเภทน้ำแข็ง,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,315,7,65,6,3,,<>,41,100,,,<>,,
317,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_bx.png,3,提升所有精灵冰系技能伤害减免,提升所有精靈冰系技能傷害減免,Boosts the damage of Ice-type moves of all Pokémons,Tăng sát thương của các chiêu thức hệ Băng của tất cả Pokémon,모든 포켓몬의 얼음 타입 스킬의 피해 감소를 증가시킨다,Aumenta o dano dos movimentos do tipo Gelo de todos os Pokémons,เพิ่มความเสียหายของท่าประเภทน้ำแข็งของโปเกมอนทั้งหมด,冰系技能伤害减免增加,冰系技能傷害減免增加,Ice-type damage reduction increases,Tăng giảm sát thương hệ Băng,얼음 타입 스킬 피해 감소 증가,Redução de dano do tipo Gelo aumenta,เพิ่มการลดความเสียหายประเภทน้ำแข็ง,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,316,7,65,7,3,,<>,59,100,,,<>,,
318,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_gd.png,3,提升所有格斗系精灵的生命,提升所有格鬥系精靈的生命,Increase HP of all Fighting-type Pokémons,Tăng HP của tất cả Pokémon hệ Giác đấu,모든 격투 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Lutador,เพิ่ม HP ของโปเกมอนประเภทต่อสู้ทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,7,<>,1,0.50%,,,<>,,
319,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_gd.png,3,提升所有精灵格斗系技能伤害加成,提升所有精靈格鬥系技能傷害加成,Boosts the damage bonus of Fighting-type moves of all Pokémons,Tăng thưởng sát thương của các chiêu thức hệ Giác đấu của tất cả Pokémon,모든 포켓몬의 격투 타입 스킬 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Lutador de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทต่อสู้ของโปเกมอนทั้งหมด,格斗系技能伤害加成增加,格鬥系技能傷害加成增加,Increases damage bonus of Fighting-type moves,Tăng thưởng sát thương của các chiêu thức hệ Giác đấu,격투 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Lutador,เพิ่มโบนัสความเสียหายของท่าประเภทต่อสู้,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,318,7,65,6,3,,<>,42,100,,,<>,,
320,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_gd.png,3,提升所有精灵格斗系技能伤害减免,提升所有精靈格鬥系技能傷害減免,Boosts the damage reduction of Fighting-type moves of all Pokémons,Tăng giảm sát thương của các chiêu thức hệ Giác đấu của tất cả Pokémon,모든 포켓몬의 격투 타입 스킬의 피해 감소를 증가시킨다,Aumenta a redução de dano dos movimentos do tipo Lutador de todos os Pokémons,เพิ่มการลดความเสียหายของท่าประเภทต่อสู้ของโปเกมอนทั้งหมด,格斗系技能伤害减免增加,格鬥系技能傷害減免增加,Fighting-type damage reduction increases,Tăng giảm sát thương hệ Giác đấu,격투 타입 스킬 피해 감소 증가,Redução de dano do tipo Lutador aumenta,เพิ่มการลดความเสียหายประเภทต่อสู้,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,319,7,65,7,3,,<>,60,100,,,<>,,
321,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_dx.png,3,提升所有毒系精灵的生命,提升所有毒系精靈的生命,Increase HP of all Poison-type Pokémons,Tăng HP của tất cả Pokémon hệ Độc,모든 독 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Veneno,เพิ่ม HP ของโปเกมอนประเภทพิษทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,8,<>,1,0.50%,,,<>,,
322,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_dx.png,3,提升所有精灵毒系技能伤害加成,提升所有精靈毒系技能傷害加成,Increases damage bonus of all Poison-type moves,Tăng thưởng sát thương của tất cả các chiêu thức hệ Độc,모든 포켓몬의 독 타입 스킬 피해 보너스를 증가시킨다,Aumenta o bônus de dano de todos os movimentos do tipo Veneno,เพิ่มโบนัสความเสียหายของท่าประเภทพิษทั้งหมด,毒系技能伤害加成增加,毒系技能傷害加成增加,Increases damage bonus of Poison-type moves,Tăng thưởng sát thương của các chiêu thức hệ Độc,독 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Veneno,เพิ่มโบนัสความเสียหายของท่าประเภทพิษ,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,321,7,65,6,3,,<>,43,100,,,<>,,
323,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_dx.png,3,提升所有精灵毒系技能伤害减免,提升所有精靈毒系技能傷害減免,Boosts the damage of Poison-type moves of all Pokémons,Tăng sát thương của các chiêu thức hệ Độc của tất cả Pokémon,모든 포켓몬의 독 타입 스킬의 피해 감소를 증가시킨다,Aumenta o dano dos movimentos do tipo Veneno de todos os Pokémons,เพิ่มความเสียหายของท่าประเภทพิษของโปเกมอนทั้งหมด,毒系技能伤害减免增加,毒系技能傷害減免增加,Poison-type damage reduction increases,Tăng giảm sát thương hệ Độc,독 타입 스킬 피해 감소 증가,Redução de dano do tipo Veneno aumenta,เพิ่มการลดความเสียหายประเภทพิษ,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,322,7,65,7,3,,<>,61,100,,,<>,,
324,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_dm.png,3,提升所有地面系精灵的生命,提升所有地面系精靈的生命,Increase HP of all Ground-type Pokémons,Tăng HP của tất cả Pokémon hệ Đất,모든 땅 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Terrestre,เพิ่ม HP ของโปเกมอนประเภทดินทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,9,<>,1,0.50%,,,<>,,
325,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_dm.png,3,提升所有精灵地面系技能伤害加成,提升所有精靈地面系技能傷害加成,Increases the damage bonus of all Pokémons' Ground-type moves,Tăng thưởng sát thương của các chiêu thức hệ Đất của tất cả Pokémon,모든 포켓몬의 땅 타입 스킬 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Terrestre de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทดินของโปเกมอนทั้งหมด,地面系技能伤害加成增加,地面系技能傷害加成增加,Increases damage bonus of Ground-type moves,Tăng thưởng sát thương của các chiêu thức hệ Đất,땅 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Terrestre,เพิ่มโบนัสความเสียหายของท่าประเภทดิน,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,324,7,65,6,3,,<>,44,100,,,<>,,
326,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_dm.png,3,提升所有精灵地面系技能伤害减免,提升所有精靈地面系技能傷害減免,Boosts the damage of Ground-type moves of all Pokémons,Tăng sát thương của các chiêu thức hệ Đất của tất cả Pokémon,모든 포켓몬의 땅 타입 스킬의 피해 감소를 증가시킨다,Aumenta o dano dos movimentos do tipo Terrestre de todos os Pokémons,เพิ่มความเสียหายของท่าประเภทดินของโปเกมอนทั้งหมด,地面系技能伤害减免增加,地面系技能傷害減免增加,Ground-type damage reduction increases,Tăng giảm sát thương hệ Đất,땅 타입 스킬 피해 감소 증가,Redução de dano do tipo Terrestre aumenta,เพิ่มการลดความเสียหายประเภทดิน,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,325,7,65,7,3,,<>,62,100,,,<>,,
327,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_fx.png,3,提升所有飞行系精灵的生命,提升所有飛行系精靈的生命,Increase HP of all Flying-type Pokémons,Tăng HP của tất cả Pokémon hệ Bay,모든 비행 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Voador,เพิ่ม HP ของโปเกมอนประเภทบินทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,10,<>,1,0.50%,,,<>,,
328,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_fx.png,3,提升所有精灵飞行系技能伤害加成,提升所有精靈飛行系技能傷害加成,Boosts the damage bonus of Flying-type moves of all Pokémons,Tăng thưởng sát thương của các chiêu thức hệ Bay của tất cả Pokémon,모든 포켓몬의 비행 타입 스킬 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Voador de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทบินของโปเกมอนทั้งหมด,飞行系技能伤害加成增加,飛行系技能傷害加成增加,Increases damage bonus of Flying-type moves,Tăng thưởng sát thương của các chiêu thức hệ Bay,비행 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Voador,เพิ่มโบนัสความเสียหายของท่าประเภทบิน,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,327,7,65,6,3,,<>,45,100,,,<>,,
329,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_fx.png,3,提升所有精灵飞行系技能伤害减免,提升所有精靈飛行系技能傷害減免,Boosts the damage reduction of Flying-type moves of all Pokémons,Tăng giảm sát thương của các chiêu thức hệ Bay của tất cả Pokémon,모든 포켓몬의 비행 타입 스킬의 피해 감소를 증가시킨다,Aumenta a redução de dano dos movimentos do tipo Voador de todos os Pokémons,เพิ่มการลดความเสียหายของท่าประเภทบินของโปเกมอนทั้งหมด,飞行系技能伤害减免增加,飛行系技能傷害減免增加,Flying-type damage reduction increases,Tăng giảm sát thương hệ Bay,비행 타입 스킬 피해 감소 증가,Redução de dano do tipo Voador aumenta,เพิ่มการลดความเสียหายประเภทบิน,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,328,7,65,7,3,,<>,63,100,,,<>,,
330,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_cn.png,3,提升所有超能系精灵的生命,提升所有超能系精靈的生命,Increase HP of all Psychic-type Pokémons,Tăng HP của tất cả Pokémon hệ Siêu linh,모든 에스퍼 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Psíquico,เพิ่ม HP ของโปเกมอนประเภทพลังจิตทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,11,<>,1,0.50%,,,<>,,
331,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_cn.png,3,提升所有精灵超能系技能伤害加成,提升所有精靈超能系技能傷害加成,Boosts the damage bonus of Psychic-type moves of all Pokémons,Tăng thưởng sát thương của các chiêu thức hệ Siêu linh của tất cả Pokémon,모든 포켓몬의 에스퍼 타입 스킬 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Psíquico de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทพลังจิตของโปเกมอนทั้งหมด,超能系技能伤害加成增加,超能系技能傷害加成增加,Increases damage bonus of Psychic-type moves,Tăng thưởng sát thương của các chiêu thức hệ Siêu linh,에스퍼 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Psíquico,เพิ่มโบนัสความเสียหายของท่าประเภทพลังจิต,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,330,7,65,6,3,,<>,46,100,,,<>,,
332,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_cn.png,3,提升所有精灵超能系技能伤害减免,提升所有精靈超能系技能傷害減免,Boosts the damage of Psychic-type moves of all Pokémons,Tăng sát thương của các chiêu thức hệ Siêu linh của tất cả Pokémon,모든 포켓몬의 에스퍼 타입 스킬의 피해 감소를 증가시킨다,Aumenta o dano dos movimentos do tipo Psíquico de todos os Pokémons,เพิ่มความเสียหายของท่าประเภทพลังจิตของโปเกมอนทั้งหมด,超能系技能伤害减免增加,超能系技能傷害減免增加,Psychic-type damage reduction increases,Tăng giảm sát thương hệ Siêu linh,에스퍼 타입 스킬 피해 감소 증가 스킬,Redução de dano do tipo Psíquico aumenta,เพิ่มการลดความเสียหายประเภทพลังจิต,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,331,7,65,7,3,,<>,64,100,,,<>,,
333,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_cx1.png,3,提升所有虫系精灵的生命,提升所有蟲系精靈的生命,Increase HP of all Bug-type Pokémons,Tăng HP của tất cả Pokémon hệ Bọ,모든 벌레 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Inseto,เพิ่ม HP ของโปเกมอนประเภทแมลงทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,12,<>,1,0.50%,,,<>,,
334,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_cx1.png,3,提升所有精灵虫系技能伤害加成,提升所有精靈蟲系技能傷害加成,Boosts the damage bonus of Bug-type moves of all Pokémons,Tăng thưởng sát thương của các chiêu thức hệ Bọ của tất cả Pokémon,모든 포켓몬의 벌레 타입 스킬 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Inseto de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทแมลงของโปเกมอนทั้งหมด,虫系技能伤害加成增加,蟲系技能傷害加成增加,Increases damage bonus of Bug-type moves,Tăng thưởng sát thương của các chiêu thức hệ Bọ,벌레 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Inseto,เพิ่มโบนัสความเสียหายของท่าประเภทแมลง,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,333,7,65,6,3,,<>,47,100,,,<>,,
335,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_cx1.png,3,提升所有精灵虫系技能伤害减免,提升所有精靈蟲系技能傷害減免,Increase damage reductions of all Bug-type moves,Tăng giảm sát thương của tất cả các chiêu thức hệ Bọ,모든 포켓몬의 벌레 타입 스킬의 피해 감소를 증가시킨다,Aumenta a redução de dano de todos os movimentos do tipo Inseto,เพิ่มการลดความเสียหายของท่าประเภทแมลงทั้งหมด,虫系技能伤害减免增加,蟲系技能傷害減免增加,Bug-type damage reduction increases,Tăng giảm sát thương của các chiêu thức hệ Bọ,벌레 타입 스킬 피해 감소 증가,Redução de dano de todos os movimentos do tipo Inseto aumenta,เพิ่มการลดความเสียหายของท่าประเภทแมลงทั้งหมด,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,334,7,65,7,3,,<>,65,100,,,<>,,
336,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_ys1.png,3,提升所有岩石系精灵的生命,提升所有岩石系精靈的生命,Increase HP of all Rock-type Pokémons,Tăng HP của tất cả Pokémon hệ Đá,모든 바위 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Pedra,เพิ่ม HP ของโปเกมอนประเภทหินทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,13,<>,1,0.50%,,,<>,,
337,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_ys1.png,3,提升所有精灵岩石系技能伤害加成,提升所有精靈岩石系技能傷害加成,Boosts the damage bonus of Rock-type moves of all Pokémons,Tăng thưởng sát thương của các chiêu thức hệ Đá của tất cả Pokémon,모든 포켓몬의 바위 타입 스킬 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Pedra de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทหินของโปเกมอนทั้งหมด,岩石系技能伤害加成增加,岩石系技能傷害加成增加,Increases damage bonus of Rock-type moves,Tăng thưởng sát thương của các chiêu thức hệ Đá,바위 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Pedra,เพิ่มโบนัสความเสียหายของท่าประเภทหิน,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,336,7,65,6,3,,<>,48,100,,,<>,,
