变量名,type,_yyId,card,helditem,item,desc
48,6,,<2441;2381>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;22441;22381;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
49,6,,<1981;1261>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;21981;21261;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
50,6,,<3641;2351>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;23641;22351;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
51,6,,<3211;2361>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;23211;22361;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
52,6,,<1981;2431>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;21981;22431;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
53,6,,<3221;2391>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;23221;22391;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
54,6,,<1971;2431>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;21971;22431;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
55,6,,<1961;2381>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;21961;22381;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
56,6,,<3241;2441>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;23241;22441;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
57,6,,<2381;3631>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;22381;23631;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
58,12,,,,,<<rarityChip5;1.5>;<rarityChip4;8.5>;<rarityChip3;25>;<rarityChip2;50>;<normalItem;15>>
59,13,,,,,<<rarityChip6;0.85>;<rarityChip5;2.5>;<rarityChip4;10>;<rarityChip3;35>;<rarityChip2;40>;<normalItem;11.65>>
60,6,,<1961;1261>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;21961;21261;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
61,6,,<3261;3641>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;23261;23641;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
62,1,,<101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
63,6,,<1991;3211>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;21991;23211;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
64,6,,<3631;1261>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;23631;21261;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
65,6,,<2361;2431>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;22361;22431;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
66,6,,<4171;3221>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;24171;23221;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
67,6,,<1981;1971>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;21981;21971;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
68,6,,<2391;2381>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;22391;22381;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
69,6,,<3611;3241>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;23611;23241;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
70,6,,<1961;3631>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;21961;23631;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
71,6,,<2441;2351>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;22441;22351;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
72,6,,<1281;3261>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;21281;23261;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
73,6,,<2431>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;22431;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
74,6,,<2461;2421>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;22461;22421;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
75,6,,<4111;4121>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;24111;24121;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
76,6,,<3621>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;23621;5000;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
77,6,,<4161;4023>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;24161;24023;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
78,6,,<4024;7101>,,<20261;20331;20391;20571;20591;20601;20631;20721;20731;20741;20881;21071;21171;21221;21231;21241;21251;21291;21311;21391;21421;21501;21811;22721;23001;23021;23141;23301;23351;23541;20001;20011;20021;20051;20091;20131;20271;20281;20301;20371;20461;20471;20481;20551;20781;20791;20801;21441;21611;21841;21861;22011;22071;22271;22301;22481;22631;22681;22871;23011;23281;23291;23341;23411;23431;23471;23501;20031;20041;20061;20071;20081;20101;20111;20121;20191;20351;20451;20541;21351;23561;20241;22961;23511;21851;22591;20401;22611;22841;20221;20151;22991;20341;23661;21801;20161;22031;20491;22921;22922;20891;20171;20231;21911;21921;21931;22471;23151;23591;502;521;501;24024;27101;14;452;602;603;604;605;930;gold>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
79,6,魂匣=帝牙卢卡 时拉比,<2351;1281;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;22351;21281;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
80,6,魂匣=雷吉奇卡斯  谢米,<2381;2441;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;22381;22441;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
81,6,魂匣=裂空座 盖欧卡,<1981;1961;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21981;21961;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
82,6,魂匣=捷克罗姆 酋雷姆,<3221;3241;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23221;23241;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
83,6,魂匣=莱希拉姆 基拉祈,<3211;1991;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23211;21991;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
