变量名,name,name_tw,name_en,name_kr,name_vn,name_pt,name_th,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,targetType,targetArg,targetArg2,attrNatureType,attrType,attrValue,languages
32,收集12全体精灵,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,Collect 12 of all Pokémons,Collect 12 of all Pokémons,สะสมโปเกมอนทั้งหมด 12 ตัว,#C0xFF5B545B#全体精灵冰系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈冰系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Băng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 얼음 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ice-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทน้ำแข็งทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,12,6,0,41,100,
33,收集3全体精灵,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,Collect 3 of all Pokémons,Collect 3 of all Pokémons,สะสมโปเกมอนทั้งหมด 3 ตัว,#C0xFF5B545B#全体精灵格斗系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈格鬥系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đấu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 격투 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทต่อสู้ทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,3,7,0,42,100,
34,收集6全体精灵,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,Collect 6 of all Pokémons,Collect 6 of all Pokémons,สะสมโปเกมอนทั้งหมด 6 ตัว,#C0xFF5B545B#全体精灵格斗系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈格鬥系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đấu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 격투 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทต่อสู้ทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,6,7,0,42,100,
35,收集12全体精灵,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,Collect 12 of all Pokémons,Collect 12 of all Pokémons,สะสมโปเกมอนทั้งหมด 12 ตัว,#C0xFF5B545B#全体精灵格斗系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈格鬥系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đấu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 격투 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทต่อสู้ทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,12,7,0,42,100,
36,收集18全体精灵,收集18全體精靈,Collect 18 of all Pokémons,전체 포켓몬 18마리 수집,Collect 18 of all Pokémons,Collect 18 of all Pokémons,สะสมโปเกมอนทั้งหมด 18 ตัว,#C0xFF5B545B#全体精灵格斗系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈格鬥系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đấu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 격투 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fighting-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทต่อสู้ทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,18,7,0,42,100,
37,收集5全体精灵,收集5全體精靈,Collect 5 of all Pokémons,전체 포켓몬 5마리 수집,Collect 5 of all Pokémons,Collect 5 of all Pokémons,สะสมโปเกมอนทั้งหมด 5 ตัว,#C0xFF5B545B#全体精灵毒系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈毒系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Độc tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 독 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพิษทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,5,8,0,43,100,
38,收集10全体精灵,收集10全體精靈,Collect 10 of all Pokémons,전체 포켓몬 10마리 수집,Collect 10 of all Pokémons,Collect 10 of all Pokémons,สะสมโปเกมอนทั้งหมด 10 ตัว,#C0xFF5B545B#全体精灵毒系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈毒系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Độc tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 독 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพิษทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,10,8,0,43,100,
39,收集15全体精灵,收集15全體精靈,Collect 15 of all Pokémons,전체 포켓몬 15마리 수집,Collect 15 of all Pokémons,Collect 15 of all Pokémons,สะสมโปเกมอนทั้งหมด 15 ตัว,#C0xFF5B545B#全体精灵毒系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈毒系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Độc tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 독 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพิษทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,15,8,0,43,100,
40,收集25全体精灵,收集25全體精靈,Collect 25 of all Pokémons,전체 포켓몬 25마리 수집,Collect 25 of all Pokémons,Collect 25 of all Pokémons,สะสมโปเกมอนทั้งหมด 25 ตัว,#C0xFF5B545B#全体精灵毒系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈毒系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Độc tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 독 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Poison-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพิษทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,25,8,0,43,100,
41,收集5全体精灵,收集5全體精靈,Collect 5 of all Pokémons,전체 포켓몬 5마리 수집,Collect 5 of all Pokémons,Collect 5 of all Pokémons,สะสมโปเกมอนทั้งหมด 5 ตัว,#C0xFF5B545B#全体精灵地面系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈地面系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đất tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 땅 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทดินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,5,9,0,44,100,
42,收集10全体精灵,收集10全體精靈,Collect 10 of all Pokémons,전체 포켓몬 10마리 수집,Collect 10 of all Pokémons,Collect 10 of all Pokémons,สะสมโปเกมอนทั้งหมด 10 ตัว,#C0xFF5B545B#全体精灵地面系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈地面系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đất tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 땅 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทดินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,10,9,0,44,100,
43,收集15全体精灵,收集15全體精靈,Collect 15 of all Pokémons,전체 포켓몬 15마리 수집,Collect 15 of all Pokémons,Collect 15 of all Pokémons,สะสมโปเกมอนทั้งหมด 15 ตัว,#C0xFF5B545B#全体精灵地面系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈地面系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đất tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 땅 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทดินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,15,9,0,44,100,
44,收集25全体精灵,收集25全體精靈,Collect 25 of all Pokémons,전체 포켓몬 25마리 수집,Collect 25 of all Pokémons,Collect 25 of all Pokémons,สะสมโปเกมอนทั้งหมด 25 ตัว,#C0xFF5B545B#全体精灵地面系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈地面系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đất tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 땅 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ground-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทดินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,25,9,0,44,100,
45,收集3全体精灵,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,Collect 3 of all Pokémons,Collect 3 of all Pokémons,สะสมโปเกมอนทั้งหมด 3 ตัว,#C0xFF5B545B#全体精灵飞行系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈飛行系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bay tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 비행 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทบินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,3,10,0,45,100,
46,收集6全体精灵,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,Collect 6 of all Pokémons,Collect 6 of all Pokémons,สะสมโปเกมอนทั้งหมด 6 ตัว,#C0xFF5B545B#全体精灵飞行系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈飛行系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bay tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 비행 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทบินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,6,10,0,45,100,
47,收集12全体精灵,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,Collect 12 of all Pokémons,Collect 12 of all Pokémons,สะสมโปเกมอนทั้งหมด 12 ตัว,#C0xFF5B545B#全体精灵飞行系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈飛行系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bay tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 비행 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทบินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,12,10,0,45,100,
48,收集18全体精灵,收集18全體精靈,Collect 18 of all Pokémons,전체 포켓몬 18마리 수집,Collect 18 of all Pokémons,Collect 18 of all Pokémons,สะสมโปเกมอนทั้งหมด 18 ตัว,#C0xFF5B545B#全体精灵飞行系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈飛行系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bay tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 비행 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Flying-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทบินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,18,10,0,45,100,
49,收集3全体精灵,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,Collect 3 of all Pokémons,Collect 3 of all Pokémons,สะสมโปเกมอนทั้งหมด 3 ตัว,#C0xFF5B545B#全体精灵超能系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈超能系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Siêu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 에스퍼 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพลังจิตทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,3,11,0,46,100,
50,收集6全体精灵,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,Collect 6 of all Pokémons,Collect 6 of all Pokémons,สะสมโปเกมอนทั้งหมด 6 ตัว,#C0xFF5B545B#全体精灵超能系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈超能系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Siêu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 에스퍼 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพลังจิตทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,6,11,0,46,100,
51,收集12全体精灵,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,Collect 12 of all Pokémons,Collect 12 of all Pokémons,สะสมโปเกมอนทั้งหมด 12 ตัว,#C0xFF5B545B#全体精灵超能系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈超能系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Siêu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 에스퍼 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพลังจิตทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,12,11,0,46,100,
52,收集3全体精灵,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,Collect 3 of all Pokémons,Collect 3 of all Pokémons,สะสมโปเกมอนทั้งหมด 3 ตัว,#C0xFF5B545B#全体精灵虫系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈蟲系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bọ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 벌레 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทแมลงทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,3,12,0,47,100,
53,收集6全体精灵,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,Collect 6 of all Pokémons,Collect 6 of all Pokémons,สะสมโปเกมอนทั้งหมด 6 ตัว,#C0xFF5B545B#全体精灵虫系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈蟲系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bọ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 벌레 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทแมลงทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,6,12,0,47,100,
54,收集12全体精灵,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,Collect 12 of all Pokémons,Collect 12 of all Pokémons,สะสมโปเกมอนทั้งหมด 12 ตัว,#C0xFF5B545B#全体精灵虫系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈蟲系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bọ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 벌레 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทแมลงทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,12,12,0,47,100,
55,收集3全体精灵,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,Collect 3 of all Pokémons,Collect 3 of all Pokémons,สะสมโปเกมอนทั้งหมด 3 ตัว,#C0xFF5B545B#全体精灵岩石系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈岩石系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đá tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 바위 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทหินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,3,13,0,48,100,
56,收集6全体精灵,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,Collect 6 of all Pokémons,Collect 6 of all Pokémons,สะสมโปเกมอนทั้งหมด 6 ตัว,#C0xFF5B545B#全体精灵岩石系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈岩石系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đá tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 바위 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทหินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,6,13,0,48,100,
57,收集12全体精灵,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,Collect 12 of all Pokémons,Collect 12 of all Pokémons,สะสมโปเกมอนทั้งหมด 12 ตัว,#C0xFF5B545B#全体精灵岩石系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈岩石系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đá tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 바위 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทหินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,12,13,0,48,100,
58,收集18全体精灵,收集18全體精靈,Collect 18 of all Pokémons,전체 포켓몬 18마리 수집,Collect 18 of all Pokémons,Collect 18 of all Pokémons,สะสมโปเกมอนทั้งหมด 18 ตัว,#C0xFF5B545B#全体精灵岩石系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈岩石系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đá tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 바위 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทหินทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,18,13,0,48,100,
59,收集3全体精灵,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,Collect 3 of all Pokémons,Collect 3 of all Pokémons,สะสมโปเกมอนทั้งหมด 3 ตัว,#C0xFF5B545B#全体精灵幽灵系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈幽靈系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Ma tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 고스트 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทผีทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,3,14,0,49,100,
60,收集6全体精灵,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,Collect 6 of all Pokémons,Collect 6 of all Pokémons,สะสมโปเกมอนทั้งหมด 6 ตัว,#C0xFF5B545B#全体精灵幽灵系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈幽靈系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Ma tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 고스트 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทผีทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,6,14,0,49,100,
61,收集9全体精灵,收集9全體精靈,Collect 9 of all Pokémons,전체 포켓몬 9마리 수집,Collect 9 of all Pokémons,Collect 9 of all Pokémons,สะสมโปเกมอนทั้งหมด 9 ตัว,#C0xFF5B545B#全体精灵幽灵系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈幽靈系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Ma tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 고스트 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทผีทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,9,14,0,49,100,
62,收集12全体精灵,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,Collect 12 of all Pokémons,Collect 12 of all Pokémons,สะสมโปเกมอนทั้งหมด 12 ตัว,#C0xFF5B545B#全体精灵幽灵系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈幽靈系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Ma tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 고스트 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทผีทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,12,14,0,49,100,
