变量名,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8
默认值,{151=5;gold=50000},{151=14;gold=50000},{151=18;gold=50000},{151=22;gold=50000},{151=26;gold=50000},{151=30;gold=50000},{151=35;gold=50000},{151=40;gold=50000}
150,{151=1054;gold=457000},{151=1054;gold=457000},{151=1054;gold=457000},{151=1054;gold=457000},{151=1054;gold=457000},{151=1054;gold=457000},{151=1054;gold=457000},{151=1054;gold=457000}
151,{151=1062;gold=460000},{151=1062;gold=460000},{151=1062;gold=460000},{151=1062;gold=460000},{151=1062;gold=460000},{151=1062;gold=460000},{151=1062;gold=460000},{151=1062;gold=460000}
152,{151=1070;gold=463000},{151=1070;gold=463000},{151=1070;gold=463000},{151=1070;gold=463000},{151=1070;gold=463000},{151=1070;gold=463000},{151=1070;gold=463000},{151=1070;gold=463000}
153,{151=1078;gold=466000},{151=1078;gold=466000},{151=1078;gold=466000},{151=1078;gold=466000},{151=1078;gold=466000},{151=1078;gold=466000},{151=1078;gold=466000},{151=1078;gold=466000}
154,{151=1086;gold=469000},{151=1086;gold=469000},{151=1086;gold=469000},{151=1086;gold=469000},{151=1086;gold=469000},{151=1086;gold=469000},{151=1086;gold=469000},{151=1086;gold=469000}
155,{151=1094;gold=472000},{151=1094;gold=472000},{151=1094;gold=472000},{151=1094;gold=472000},{151=1094;gold=472000},{151=1094;gold=472000},{151=1094;gold=472000},{151=1094;gold=472000}
156,{151=1102;gold=475000},{151=1102;gold=475000},{151=1102;gold=475000},{151=1102;gold=475000},{151=1102;gold=475000},{151=1102;gold=475000},{151=1102;gold=475000},{151=1102;gold=475000}
157,{151=1110;gold=478000},{151=1110;gold=478000},{151=1110;gold=478000},{151=1110;gold=478000},{151=1110;gold=478000},{151=1110;gold=478000},{151=1110;gold=478000},{151=1110;gold=478000}
158,{151=1118;gold=481000},{151=1118;gold=481000},{151=1118;gold=481000},{151=1118;gold=481000},{151=1118;gold=481000},{151=1118;gold=481000},{151=1118;gold=481000},{151=1118;gold=481000}
159,{151=1126;gold=484000},{151=1126;gold=484000},{151=1126;gold=484000},{151=1126;gold=484000},{151=1126;gold=484000},{151=1126;gold=484000},{151=1126;gold=484000},{151=1126;gold=484000}
160,{151=1134;gold=487000},{151=1134;gold=487000},{151=1134;gold=487000},{151=1134;gold=487000},{151=1134;gold=487000},{151=1134;gold=487000},{151=1134;gold=487000},{151=1134;gold=487000}
161,{151=1142;gold=490000},{151=1142;gold=490000},{151=1142;gold=490000},{151=1142;gold=490000},{151=1142;gold=490000},{151=1142;gold=490000},{151=1142;gold=490000},{151=1142;gold=490000}
162,{151=1150;gold=493000},{151=1150;gold=493000},{151=1150;gold=493000},{151=1150;gold=493000},{151=1150;gold=493000},{151=1150;gold=493000},{151=1150;gold=493000},{151=1150;gold=493000}
163,{151=1158;gold=496000},{151=1158;gold=496000},{151=1158;gold=496000},{151=1158;gold=496000},{151=1158;gold=496000},{151=1158;gold=496000},{151=1158;gold=496000},{151=1158;gold=496000}
164,{151=1166;gold=499000},{151=1166;gold=499000},{151=1166;gold=499000},{151=1166;gold=499000},{151=1166;gold=499000},{151=1166;gold=499000},{151=1166;gold=499000},{151=1166;gold=499000}
165,{151=1174;gold=502000},{151=1174;gold=502000},{151=1174;gold=502000},{151=1174;gold=502000},{151=1174;gold=502000},{151=1174;gold=502000},{151=1174;gold=502000},{151=1174;gold=502000}
166,{151=1182;gold=505000},{151=1182;gold=505000},{151=1182;gold=505000},{151=1182;gold=505000},{151=1182;gold=505000},{151=1182;gold=505000},{151=1182;gold=505000},{151=1182;gold=505000}
167,{151=1190;gold=508000},{151=1190;gold=508000},{151=1190;gold=508000},{151=1190;gold=508000},{151=1190;gold=508000},{151=1190;gold=508000},{151=1190;gold=508000},{151=1190;gold=508000}
168,{151=1198;gold=511000},{151=1198;gold=511000},{151=1198;gold=511000},{151=1198;gold=511000},{151=1198;gold=511000},{151=1198;gold=511000},{151=1198;gold=511000},{151=1198;gold=511000}
169,{151=1206;gold=514000},{151=1206;gold=514000},{151=1206;gold=514000},{151=1206;gold=514000},{151=1206;gold=514000},{151=1206;gold=514000},{151=1206;gold=514000},{151=1206;gold=514000}
170,{151=1214;gold=517000},{151=1214;gold=517000},{151=1214;gold=517000},{151=1214;gold=517000},{151=1214;gold=517000},{151=1214;gold=517000},{151=1214;gold=517000},{151=1214;gold=517000}
171,{151=1222;gold=520000},{151=1222;gold=520000},{151=1222;gold=520000},{151=1222;gold=520000},{151=1222;gold=520000},{151=1222;gold=520000},{151=1222;gold=520000},{151=1222;gold=520000}
172,{151=1230;gold=523000},{151=1230;gold=523000},{151=1230;gold=523000},{151=1230;gold=523000},{151=1230;gold=523000},{151=1230;gold=523000},{151=1230;gold=523000},{151=1230;gold=523000}
173,{151=1238;gold=526000},{151=1238;gold=526000},{151=1238;gold=526000},{151=1238;gold=526000},{151=1238;gold=526000},{151=1238;gold=526000},{151=1238;gold=526000},{151=1238;gold=526000}
174,{151=1246;gold=529000},{151=1246;gold=529000},{151=1246;gold=529000},{151=1246;gold=529000},{151=1246;gold=529000},{151=1246;gold=529000},{151=1246;gold=529000},{151=1246;gold=529000}
175,{151=1254;gold=532000},{151=1254;gold=532000},{151=1254;gold=532000},{151=1254;gold=532000},{151=1254;gold=532000},{151=1254;gold=532000},{151=1254;gold=532000},{151=1254;gold=532000}
176,{151=1262;gold=535000},{151=1262;gold=535000},{151=1262;gold=535000},{151=1262;gold=535000},{151=1262;gold=535000},{151=1262;gold=535000},{151=1262;gold=535000},{151=1262;gold=535000}
177,{151=1270;gold=538000},{151=1270;gold=538000},{151=1270;gold=538000},{151=1270;gold=538000},{151=1270;gold=538000},{151=1270;gold=538000},{151=1270;gold=538000},{151=1270;gold=538000}
178,{151=1278;gold=541000},{151=1278;gold=541000},{151=1278;gold=541000},{151=1278;gold=541000},{151=1278;gold=541000},{151=1278;gold=541000},{151=1278;gold=541000},{151=1278;gold=541000}
179,{151=1286;gold=544000},{151=1286;gold=544000},{151=1286;gold=544000},{151=1286;gold=544000},{151=1286;gold=544000},{151=1286;gold=544000},{151=1286;gold=544000},{151=1286;gold=544000}
180,{151=1294;gold=547000},{151=1294;gold=547000},{151=1294;gold=547000},{151=1294;gold=547000},{151=1294;gold=547000},{151=1294;gold=547000},{151=1294;gold=547000},{151=1294;gold=547000}
181,{151=1302;gold=550000},{151=1302;gold=550000},{151=1302;gold=550000},{151=1302;gold=550000},{151=1302;gold=550000},{151=1302;gold=550000},{151=1302;gold=550000},{151=1302;gold=550000}
182,{151=1310;gold=553000},{151=1310;gold=553000},{151=1310;gold=553000},{151=1310;gold=553000},{151=1310;gold=553000},{151=1310;gold=553000},{151=1310;gold=553000},{151=1310;gold=553000}
183,{151=1318;gold=556000},{151=1318;gold=556000},{151=1318;gold=556000},{151=1318;gold=556000},{151=1318;gold=556000},{151=1318;gold=556000},{151=1318;gold=556000},{151=1318;gold=556000}
184,{151=1326;gold=559000},{151=1326;gold=559000},{151=1326;gold=559000},{151=1326;gold=559000},{151=1326;gold=559000},{151=1326;gold=559000},{151=1326;gold=559000},{151=1326;gold=559000}
185,{151=1334;gold=562000},{151=1334;gold=562000},{151=1334;gold=562000},{151=1334;gold=562000},{151=1334;gold=562000},{151=1334;gold=562000},{151=1334;gold=562000},{151=1334;gold=562000}
186,{151=1342;gold=565000},{151=1342;gold=565000},{151=1342;gold=565000},{151=1342;gold=565000},{151=1342;gold=565000},{151=1342;gold=565000},{151=1342;gold=565000},{151=1342;gold=565000}
187,{151=1350;gold=568000},{151=1350;gold=568000},{151=1350;gold=568000},{151=1350;gold=568000},{151=1350;gold=568000},{151=1350;gold=568000},{151=1350;gold=568000},{151=1350;gold=568000}
188,{151=1358;gold=571000},{151=1358;gold=571000},{151=1358;gold=571000},{151=1358;gold=571000},{151=1358;gold=571000},{151=1358;gold=571000},{151=1358;gold=571000},{151=1358;gold=571000}
189,{151=1366;gold=574000},{151=1366;gold=574000},{151=1366;gold=574000},{151=1366;gold=574000},{151=1366;gold=574000},{151=1366;gold=574000},{151=1366;gold=574000},{151=1366;gold=574000}
190,{151=1374;gold=577000},{151=1374;gold=577000},{151=1374;gold=577000},{151=1374;gold=577000},{151=1374;gold=577000},{151=1374;gold=577000},{151=1374;gold=577000},{151=1374;gold=577000}
191,{151=1382;gold=580000},{151=1382;gold=580000},{151=1382;gold=580000},{151=1382;gold=580000},{151=1382;gold=580000},{151=1382;gold=580000},{151=1382;gold=580000},{151=1382;gold=580000}
192,{151=1390;gold=583000},{151=1390;gold=583000},{151=1390;gold=583000},{151=1390;gold=583000},{151=1390;gold=583000},{151=1390;gold=583000},{151=1390;gold=583000},{151=1390;gold=583000}
193,{151=1398;gold=586000},{151=1398;gold=586000},{151=1398;gold=586000},{151=1398;gold=586000},{151=1398;gold=586000},{151=1398;gold=586000},{151=1398;gold=586000},{151=1398;gold=586000}
194,{151=1406;gold=589000},{151=1406;gold=589000},{151=1406;gold=589000},{151=1406;gold=589000},{151=1406;gold=589000},{151=1406;gold=589000},{151=1406;gold=589000},{151=1406;gold=589000}
195,{151=1414;gold=592000},{151=1414;gold=592000},{151=1414;gold=592000},{151=1414;gold=592000},{151=1414;gold=592000},{151=1414;gold=592000},{151=1414;gold=592000},{151=1414;gold=592000}
196,{151=1422;gold=595000},{151=1422;gold=595000},{151=1422;gold=595000},{151=1422;gold=595000},{151=1422;gold=595000},{151=1422;gold=595000},{151=1422;gold=595000},{151=1422;gold=595000}
197,{151=1430;gold=598000},{151=1430;gold=598000},{151=1430;gold=598000},{151=1430;gold=598000},{151=1430;gold=598000},{151=1430;gold=598000},{151=1430;gold=598000},{151=1430;gold=598000}
198,{151=1438;gold=601000},{151=1438;gold=601000},{151=1438;gold=601000},{151=1438;gold=601000},{151=1438;gold=601000},{151=1438;gold=601000},{151=1438;gold=601000},{151=1438;gold=601000}
199,{151=1446;gold=604000},{151=1446;gold=604000},{151=1446;gold=604000},{151=1446;gold=604000},{151=1446;gold=604000},{151=1446;gold=604000},{151=1446;gold=604000},{151=1446;gold=604000}
200,{151=1454;gold=607000},{151=1454;gold=607000},{151=1454;gold=607000},{151=1454;gold=607000},{151=1454;gold=607000},{151=1454;gold=607000},{151=1454;gold=607000},{151=1454;gold=607000}
