变量名,huodongID,rank,award,pointLeast,desc,desc_en
424,1043,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
425,1044,1,{502=188;539=128;2089=1;card={id=7021}},20000,闪光超级耿鬼+万能碎片+头像框,无奖励吗
426,1044,2,{521=158;539=108;card={id=7021}},15000,闪光超级耿鬼+万能碎片,无奖励吗
427,1044,3,{521=158;539=88;card={id=7021}},10000,闪光超级耿鬼+万能碎片,无奖励吗
428,1044,6,{502=158;539=88;card={id=7021}},8000,闪光超级耿鬼+万能碎片,无奖励吗
429,1044,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
430,1044,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
431,1044,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
432,1045,1,{502=188;8203=1;539=128;card={id=9051}},20000,闪光超级巨金怪+万能碎片+头像框,无奖励吗
433,1045,2,{521=158;539=108;card={id=9051}},15000,闪光超级巨金怪+万能碎片,无奖励吗
434,1045,3,{521=158;539=88;card={id=9051}},10000,闪光超级巨金怪+万能碎片,无奖励吗
435,1045,6,{502=158;539=88;card={id=9051}},8000,闪光超级巨金怪+万能碎片,无奖励吗
436,1045,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
437,1045,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
438,1045,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
439,1046,1,{502=188;539=128;9002=1;card={id=9061}},20000,闪光超级路卡利欧+万能碎片+头像框,无奖励吗
440,1046,2,{521=158;539=108;card={id=9061}},15000,闪光超级路卡利欧+万能碎片,无奖励吗
441,1046,3,{521=158;539=88;card={id=9061}},10000,闪光超级路卡利欧+万能碎片,无奖励吗
442,1046,6,{502=158;539=88;card={id=9061}},8000,闪光超级路卡利欧+万能碎片,无奖励吗
443,1046,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
444,1046,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
445,1046,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
446,1047,1,{502=188;539=128;card={id=1981};2013=1},20000,裂空座+万能碎片+头像框,无奖励吗
447,1047,2,{521=158;539=108;card={id=1981}},15000,裂空座+万能碎片,无奖励吗
448,1047,3,{521=158;539=88;card={id=1981}},10000,裂空座+万能碎片,无奖励吗
449,1047,6,{502=158;539=88;card={id=1981}},8000,裂空座+万能碎片,无奖励吗
450,1047,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
451,1047,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
452,1047,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
453,1048,1,{502=188;539=128;2047=1;card={id=3211}},20000,莱希拉姆+万能碎片+头像框,无奖励吗
454,1048,2,{521=158;539=108;card={id=3211}},15000,莱希拉姆+万能碎片,无奖励吗
455,1048,3,{521=158;539=88;card={id=3211}},10000,莱希拉姆+万能碎片,无奖励吗
456,1048,6,{502=158;539=88;card={id=3211}},8000,莱希拉姆+万能碎片,无奖励吗
457,1048,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
458,1048,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
459,1048,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
460,1049,1,{502=188;539=128;2087=1;card={id=4101}},20000,奈克洛兹玛+万能碎片+头像框,无奖励吗
461,1049,2,{521=158;539=108;card={id=4101}},15000,奈克洛兹玛+万能碎片,无奖励吗
462,1049,3,{521=158;539=88;card={id=4101}},10000,奈克洛兹玛+万能碎片,无奖励吗
463,1049,6,{502=158;539=88;card={id=4101}},8000,奈克洛兹玛+万能碎片,无奖励吗
464,1049,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
465,1049,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
466,1049,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
467,1050,1,{2084=1;539=128;502=188;card={id=4024}},20000,露奈雅拉+万能碎片+头像框,无奖励吗
468,1050,2,{521=158;539=108;card={id=4024}},15000,露奈雅拉+万能碎片,无奖励吗
469,1050,3,{521=158;539=88;card={id=4024}},10000,露奈雅拉+万能碎片,无奖励吗
470,1050,6,{502=158;539=88;card={id=4024}},8000,露奈雅拉+万能碎片,无奖励吗
471,1050,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
472,1050,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
473,1050,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
474,1051,1,{502=188;539=128;2096=1;card={id=7081}},20000,起源梦幻+万能碎片+头像框,无奖励吗
475,1051,2,{521=158;539=108;card={id=7081}},15000,起源梦幻+万能碎片,无奖励吗
476,1051,3,{521=158;539=88;card={id=7081}},10000,起源梦幻+万能碎片,无奖励吗
477,1051,6,{502=158;539=88;card={id=7081}},8000,起源梦幻+万能碎片,无奖励吗
478,1051,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
479,1051,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
480,1051,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
481,1052,1,{502=188;539=128;2090=1;card={id=4023}},20000,索尔迦雷欧+万能碎片+头像框,无奖励吗
482,1052,2,{521=158;539=108;card={id=4023}},15000,索尔迦雷欧+万能碎片,无奖励吗
483,1052,3,{521=158;539=88;card={id=4023}},10000,索尔迦雷欧+万能碎片,无奖励吗
484,1052,6,{502=158;539=88;card={id=4023}},8000,索尔迦雷欧+万能碎片,无奖励吗
485,1052,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
486,1052,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
487,1052,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
488,1053,1,{502=188;539=128;2097=1;card={id=7111}},20000,闪光超级艾路雷朵+万能碎片+头像框,无奖励吗
489,1053,2,{521=158;539=108;card={id=7111}},15000,闪光超级艾路雷朵+万能碎片,无奖励吗
490,1053,3,{521=158;539=88;card={id=7111}},10000,闪光超级艾路雷朵+万能碎片,无奖励吗
491,1053,6,{502=158;539=88;card={id=7111}},8000,闪光超级艾路雷朵+万能碎片,无奖励吗
492,1053,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
493,1053,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
494,1053,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
495,1054,1,{502=188;539=128;2088=1;card={id=1254}},20000,闪光超级班基拉斯+万能碎片+头像框,无奖励吗
496,1054,2,{521=158;539=108;card={id=1254}},15000,闪光超级班基拉斯+万能碎片,无奖励吗
497,1054,3,{521=158;539=88;card={id=1254}},10000,闪光超级班基拉斯+万能碎片,无奖励吗
498,1054,6,{502=158;539=88;card={id=1254}},8000,闪光超级班基拉斯+万能碎片,无奖励吗
499,1054,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
500,1054,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
501,1054,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
502,1055,1,{502=188;539=128;2089=1;card={id=7021}},20000,闪光超级耿鬼+万能碎片+头像框,无奖励吗
503,1055,2,{521=158;539=108;card={id=7021}},15000,闪光超级耿鬼+万能碎片,无奖励吗
504,1055,3,{521=158;539=88;card={id=7021}},10000,闪光超级耿鬼+万能碎片,无奖励吗
505,1055,6,{502=158;539=88;card={id=7021}},8000,闪光超级耿鬼+万能碎片,无奖励吗
506,1055,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
507,1055,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
508,1055,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
509,1056,1,{502=188;539=128;2099=1;card={id=7091}},20000,闪光超级沙奈朵+万能碎片+头像框,无奖励吗
510,1056,2,{521=158;539=108;card={id=7091}},15000,闪光超级沙奈朵+万能碎片,无奖励吗
511,1056,3,{521=158;539=88;card={id=7091}},10000,闪光超级沙奈朵+万能碎片,无奖励吗
512,1056,6,{502=158;539=88;card={id=7091}},8000,闪光超级沙奈朵+万能碎片,无奖励吗
513,1056,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
514,1056,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
515,1056,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
516,1057,1,{2081=1;539=128;502=188;card={id=3651}},20000,波尔凯尼恩+万能碎片+头像框,无奖励吗
517,1057,2,{521=158;539=108;card={id=3651}},15000,波尔凯尼恩+万能碎片,无奖励吗
518,1057,3,{521=158;539=88;card={id=3651}},10000,波尔凯尼恩+万能碎片,无奖励吗
519,1057,6,{502=158;539=88;card={id=3651}},8000,波尔凯尼恩+万能碎片,无奖励吗
520,1057,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
521,1057,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
522,1057,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
523,1058,1,{2080=1;539=128;502=188;card={id=2461}},20000,比克提尼+万能碎片+头像框,无奖励吗
524,1058,2,{521=158;539=108;card={id=2461}},15000,比克提尼+万能碎片,无奖励吗
525,1058,3,{521=158;539=88;card={id=2461}},10000,比克提尼+万能碎片,无奖励吗
526,1058,6,{502=158;539=88;card={id=2461}},8000,比克提尼+万能碎片,无奖励吗
527,1058,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
528,1058,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
529,1058,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
530,1059,1,{502=188;539=128;8194=1;card={id=7102}},20000,苍响+万能碎片+头像框,无奖励吗
531,1059,2,{521=158;539=108;card={id=7102}},15000,苍响+万能碎片,无奖励吗
532,1059,3,{521=158;539=88;card={id=7102}},10000,苍响+万能碎片,无奖励吗
533,1059,6,{502=158;539=88;card={id=7102}},8000,苍响+万能碎片,无奖励吗
534,1059,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
535,1059,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
536,1059,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
537,1060,1,{2040=1;539=128;502=188;card={id=2431}},20000,达克莱伊+万能碎片+头像框,无奖励吗
538,1060,2,{521=158;539=108;card={id=2431}},15000,达克莱伊+万能碎片,无奖励吗
539,1060,3,{521=158;539=88;card={id=2431}},10000,达克莱伊+万能碎片,无奖励吗
540,1060,6,{502=158;539=88;card={id=2431}},8000,达克莱伊+万能碎片,无奖励吗
541,1060,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
542,1060,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
543,1060,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
544,1061,1,{2042=1;539=128;502=188;card={id=2351}},20000,帝牙卢卡+万能碎片+头像框,无奖励吗
545,1061,2,{521=158;539=108;card={id=2351}},15000,帝牙卢卡+万能碎片,无奖励吗
546,1061,3,{521=158;539=88;card={id=2351}},10000,帝牙卢卡+万能碎片,无奖励吗
547,1061,6,{502=158;539=88;card={id=2351}},8000,帝牙卢卡+万能碎片,无奖励吗
548,1061,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
549,1061,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
550,1061,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
551,1062,1,{502=188;539=128;2033=1;card={id=1971}},20000,固拉多+万能碎片+头像框,无奖励吗
552,1062,2,{521=158;539=108;card={id=1971}},15000,固拉多+万能碎片,无奖励吗
553,1062,3,{521=158;539=88;card={id=1971}},10000,固拉多+万能碎片,无奖励吗
554,1062,6,{502=158;539=88;card={id=1971}},8000,固拉多+万能碎片,无奖励吗
555,1062,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
556,1062,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
557,1062,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
558,1063,1,{502=188;539=128;2056=1;card={id=3271}},20000,盖诺赛克特+万能碎片+头像框,无奖励吗
559,1063,2,{521=158;539=108;card={id=3271}},15000,盖诺赛克特+万能碎片,无奖励吗
560,1063,3,{521=158;539=88;card={id=3271}},10000,盖诺赛克特+万能碎片,无奖励吗
561,1063,6,{502=158;539=88;card={id=3271}},8000,盖诺赛克特+万能碎片,无奖励吗
562,1063,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
563,1063,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
564,1063,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
565,1064,1,{502=188;539=128;card={id=3641};2046=1},20000,惩戒胡帕+万能碎片+头像框,无奖励吗
566,1064,2,{521=158;539=108;card={id=3641}},15000,惩戒胡帕+万能碎片,无奖励吗
567,1064,3,{521=158;539=88;card={id=3641}},10000,惩戒胡帕+万能碎片,无奖励吗
568,1064,6,{502=158;539=88;card={id=3641}},8000,惩戒胡帕+万能碎片,无奖励吗
569,1064,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
570,1064,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
571,1064,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
572,1065,1,{502=188;2092=1;539=128;card={id=3623}},20000,基格尔德+万能碎片+头像框,无奖励吗
573,1065,2,{521=158;539=108;card={id=3623}},15000,基格尔德+万能碎片,无奖励吗
574,1065,3,{521=158;539=88;card={id=3623}},10000,基格尔德+万能碎片,无奖励吗
575,1065,6,{502=158;539=88;card={id=3623}},8000,基格尔德+万能碎片,无奖励吗
576,1065,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
577,1065,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
578,1065,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
579,1066,1,{502=188;539=128;2048=1;card={id=3221}},20000,捷克罗姆+万能碎片+头像框,无奖励吗
580,1066,2,{521=158;539=108;card={id=3221}},15000,捷克罗姆+万能碎片,无奖励吗
581,1066,3,{521=158;539=88;card={id=3221}},10000,捷克罗姆+万能碎片,无奖励吗
582,1066,6,{502=158;539=88;card={id=3221}},8000,捷克罗姆+万能碎片,无奖励吗
583,1066,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
584,1066,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
585,1066,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
586,1067,1,{502=188;539=128;2058=1;card={id=4161}},20000,捷拉奥拉+万能碎片+头像框,无奖励吗
587,1067,2,{521=158;539=108;card={id=4161}},15000,捷拉奥拉+万能碎片,无奖励吗
588,1067,3,{521=158;539=88;card={id=4161}},10000,捷拉奥拉+万能碎片,无奖励吗
589,1067,6,{502=158;539=88;card={id=4161}},8000,捷拉奥拉+万能碎片,无奖励吗
590,1067,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
591,1067,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
592,1067,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
593,1068,1,{502=188;2052=1;539=128;card={id=1991}},20000,基拉祈+万能碎片+头像框,无奖励吗
594,1068,2,{521=158;539=108;card={id=1991}},15000,基拉祈+万能碎片,无奖励吗
595,1068,3,{521=158;539=88;card={id=1991}},10000,基拉祈+万能碎片,无奖励吗
596,1068,6,{502=158;539=88;card={id=1991}},8000,基拉祈+万能碎片,无奖励吗
597,1068,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
598,1068,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
599,1068,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
600,1069,1,{502=188;8195=1;539=128;card={id=3252}},20000,凯路迪欧·觉悟+万能碎片+头像框,无奖励吗
601,1069,2,{521=158;539=108;card={id=3252}},15000,凯路迪欧·觉悟+万能碎片,无奖励吗
602,1069,3,{521=158;539=88;card={id=3252}},10000,凯路迪欧·觉悟+万能碎片,无奖励吗
603,1069,6,{502=158;539=88;card={id=3252}},8000,凯路迪欧·觉悟+万能碎片,无奖励吗
604,1069,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
605,1069,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
606,1069,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
607,1070,1,{502=188;539=128;2085=1;card={id=4111}},20000,玛机雅娜+万能碎片+头像框,无奖励吗
608,1070,2,{521=158;539=108;card={id=4111}},15000,玛机雅娜+万能碎片,无奖励吗
609,1070,3,{521=158;539=88;card={id=4111}},10000,玛机雅娜+万能碎片,无奖励吗
610,1070,6,{502=158;539=88;card={id=4111}},8000,玛机雅娜+万能碎片,无奖励吗
611,1070,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
612,1070,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
613,1070,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
614,1071,1,{502=188;539=128;2091=1;card={id=2421}},20000,玛纳霏+万能碎片+头像框,无奖励吗
615,1071,2,{521=158;539=108;card={id=2421}},15000,玛纳霏+万能碎片,无奖励吗
616,1071,3,{521=158;539=88;card={id=2421}},10000,玛纳霏+万能碎片,无奖励吗
617,1071,6,{502=158;539=88;card={id=2421}},8000,玛纳霏+万能碎片,无奖励吗
618,1071,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
619,1071,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
620,1071,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
621,1072,1,{502=188;539=128;2086=1;card={id=4121}},20000,玛夏多+万能碎片+头像框,无奖励吗
622,1072,2,{521=158;539=108;card={id=4121}},15000,玛夏多+万能碎片,无奖励吗
623,1072,3,{521=158;539=88;card={id=4121}},10000,玛夏多+万能碎片,无奖励吗
624,1072,6,{502=158;539=88;card={id=4121}},8000,玛夏多+万能碎片,无奖励吗
625,1072,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
626,1072,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
627,1072,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
628,1073,1,{502=188;539=128;2043=1;card={id=2361}},20000,帕路奇亚+万能碎片+头像框,无奖励吗
629,1073,2,{521=158;539=108;card={id=2361}},15000,帕路奇亚+万能碎片,无奖励吗
630,1073,3,{521=158;539=88;card={id=2361}},10000,帕路奇亚+万能碎片,无奖励吗
631,1073,6,{502=158;539=88;card={id=2361}},8000,帕路奇亚+万能碎片,无奖励吗
632,1073,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
633,1073,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
634,1073,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
635,1074,1,{502=188;539=128;card={id=2391};2044=1},20000,骑拉帝纳+万能碎片+头像框,无奖励吗
636,1074,2,{521=158;539=108;card={id=2391}},15000,骑拉帝纳+万能碎片,无奖励吗
637,1074,3,{521=158;539=88;card={id=2391}},10000,骑拉帝纳+万能碎片,无奖励吗
638,1074,6,{502=158;539=88;card={id=2391}},8000,骑拉帝纳+万能碎片,无奖励吗
639,1074,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
640,1074,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
641,1074,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
642,1075,1,{502=188;539=128;2049=1;card={id=3241}},20000,酋雷姆+万能碎片+头像框,无奖励吗
643,1075,2,{521=158;539=108;card={id=3241}},15000,酋雷姆+万能碎片,无奖励吗
644,1075,3,{521=158;539=88;card={id=3241}},10000,酋雷姆+万能碎片,无奖励吗
645,1075,6,{502=158;539=88;card={id=3241}},8000,酋雷姆+万能碎片,无奖励吗
646,1075,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
647,1075,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
648,1075,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
649,1076,1,{502=188;539=128;2055=1;card={id=1281}},20000,时拉比+万能碎片+头像框,无奖励吗
650,1076,2,{521=158;539=108;card={id=1281}},15000,时拉比+万能碎片,无奖励吗
651,1076,3,{521=158;539=88;card={id=1281}},10000,时拉比+万能碎片,无奖励吗
652,1076,6,{502=158;539=88;card={id=1281}},8000,时拉比+万能碎片,无奖励吗
653,1076,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
654,1076,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
655,1076,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
656,1077,1,{502=188;539=128;card={id=2441};2045=1},20000,谢米+万能碎片+头像框,无奖励吗
657,1077,2,{521=158;539=108;card={id=2441}},15000,谢米+万能碎片,无奖励吗
658,1077,3,{521=158;539=88;card={id=2441}},10000,谢米+万能碎片,无奖励吗
659,1077,6,{502=158;539=88;card={id=2441}},8000,谢米+万能碎片,无奖励吗
660,1077,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
661,1077,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
662,1077,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
663,1078,1,{502=188;539=128;9046=1;card={id=9121}},20000,假面超级火焰鸡+万能碎片+头像框,无奖励吗
664,1078,2,{521=158;539=108;card={id=9121}},15000,假面超级火焰鸡+万能碎片,无奖励吗
665,1078,3,{521=158;539=88;card={id=9121}},10000,假面超级火焰鸡+万能碎片,无奖励吗
666,1078,6,{521=108;539=88;502=188},8000,升星必备万能碎片,无奖励吗
667,1078,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
668,1078,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
669,1078,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
670,1079,1,{502=188;539=128;9005=1;card={id=9101}},20000,蕾冠王·黑马+万能碎片+头像框,无奖励吗
671,1079,2,{521=158;539=108;card={id=9101}},15000,蕾冠王·黑马+万能碎片,无奖励吗
672,1079,3,{521=158;539=88;card={id=9101}},10000,蕾冠王·黑马+万能碎片,无奖励吗
673,1079,6,{521=108;539=88;502=188},8000,升星必备万能碎片,无奖励吗
674,1079,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
675,1079,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
676,1079,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
677,1080,1,{502=188;539=128;9006=1;card={id=9111}},20000,蕾冠王·白马+万能碎片+头像框,无奖励吗
678,1080,2,{521=158;539=108;card={id=9111}},15000,蕾冠王·白马+万能碎片,无奖励吗
679,1080,3,{521=158;539=88;card={id=9111}},10000,蕾冠王·白马+万能碎片,无奖励吗
680,1080,6,{521=108;539=88;502=188},8000,升星必备万能碎片,无奖励吗
681,1080,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
682,1080,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
683,1080,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
684,1081,1,{502=188;539=128;9050=1;card={id=9131}},20000,无极汰那+万能碎片+头像框,无奖励吗
685,1081,2,{521=158;539=108;card={id=9131}},15000,无极汰那+万能碎片,无奖励吗
686,1081,3,{521=158;539=88;card={id=9131}},10000,无极汰那+万能碎片,无奖励吗
687,1081,6,{521=108;539=88;502=188},8000,升星必备万能碎片,无奖励吗
688,1081,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
689,1081,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
690,1081,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
691,1082,1,{502=188;539=128;9049=1;card={id=9141}},20000,闪光超级蜥蜴王+万能碎片+头像框,无奖励吗
692,1082,2,{521=158;539=108;card={id=9141}},15000,闪光超级蜥蜴王+万能碎片,无奖励吗
693,1082,3,{521=158;539=88;card={id=9141}},10000,闪光超级蜥蜴王+万能碎片,无奖励吗
694,1082,6,{521=108;539=88;502=188},8000,升星必备万能碎片,无奖励吗
695,1082,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
696,1082,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
697,1082,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
698,1083,1,{502=188;539=128;9054=1;card={id=9191}},20000,故勒顿+万能碎片+头像框,无奖励吗
699,1083,2,{521=158;539=108;card={id=9191}},15000,故勒顿+万能碎片,无奖励吗
700,1083,3,{521=158;539=88;card={id=9191}},10000,故勒顿+万能碎片,无奖励吗
701,1083,6,{521=108;539=88;502=188},8000,升星必备万能碎片,无奖励吗
702,1083,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
703,1083,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
704,1083,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
705,1084,1,{502=188;539=128;9051=1;card={id=9161}},20000,密勒敦+万能碎片+头像框,无奖励吗
706,1084,2,{521=158;539=108;card={id=9161}},15000,密勒敦+万能碎片,无奖励吗
707,1084,3,{521=158;539=88;card={id=9161}},10000,密勒敦+万能碎片,无奖励吗
708,1084,6,{521=108;539=88;502=188},8000,升星必备万能碎片,无奖励吗
709,1084,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
710,1084,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
711,1084,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
712,1085,1,{502=188;9048=1;539=128;card={id=9151}},20000,闪光超级妙蛙+万能碎片+头像框,无奖励吗
713,1085,2,{521=158;539=108;card={id=9151}},15000,闪光超级妙蛙+万能碎片,无奖励吗
714,1085,3,{521=158;539=88;card={id=9151}},10000,闪光超级妙蛙+万能碎片,无奖励吗
715,1085,6,{521=108;539=88;502=188},8000,升星必备万能碎片,无奖励吗
716,1085,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
717,1085,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
718,1085,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
719,1086,1,{502=188;539=128;9049=1;card={id=9141}},20000,闪光超级蜥蜴王+万能碎片+头像框,无奖励吗
720,1086,2,{521=158;539=108;card={id=9141}},15000,闪光超级蜥蜴王+万能碎片,无奖励吗
721,1086,3,{521=158;539=88;card={id=9141}},10000,闪光超级蜥蜴王+万能碎片,无奖励吗
722,1086,6,{521=108;539=88;502=188},8000,升星必备万能碎片,无奖励吗
723,1086,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
724,1086,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
725,1086,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
726,1087,1,{502=188;539=128;9050=1;card={id=9131}},20000,无极汰那+万能碎片+头像框,无奖励吗
727,1087,2,{521=158;539=108;card={id=9131}},15000,无极汰那+万能碎片,无奖励吗
728,1087,3,{521=158;539=88;card={id=9131}},10000,无极汰那+万能碎片,无奖励吗
729,1087,6,{521=108;539=88;502=188},8000,升星必备万能碎片,无奖励吗
730,1087,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
731,1087,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
