变量名,_beizhu,huodongID,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,award,vip
,,,,,,,,,,,,,,
1250,开服活动-抽卡送梦幻碎片,1009,51,10,,金币抽卡10次,金幣抽卡10次,Gold Draw 10 times,Gold Draw 10 times,코인 뽑기 10회,Sorteio de ouro 10 vezes,ลุ้นทอง 10 ครั้ง,{20771=2;gold=10000;13=10},
1251,开服活动-抽卡送梦幻碎片,1009,51,20,,金币抽卡20次,金幣抽卡20次,Gold Draw 20 times,Gold Draw 20 times,코인 뽑기 20회,Sorteio de ouro 20 vezes,ลุ้นทอง 20 ครั้ง,{20771=2;gold=20000;13=10},
1252,开服活动-抽卡送梦幻碎片,1009,50,2,,钻石抽卡2次,鑽石抽卡2次,Diamond Draw 2 times,Diamond Draw 2 times,다이아 뽑기 2회,Sorteio de diamante 2 vezes,ไดมอนด์ดรอว์ 2 ครั้ง,{20771=2;gold=20000;13=10},
1253,开服活动-抽卡送梦幻碎片,1009,50,10,,钻石抽卡10次,鑽石抽卡10次,Diamond Draw 10 times,Diamond Draw 10 times,다이아 뽑기 10회,Sorteio de diamante 10 vezes,ไดมอนด์ดรอว์ 10 ครั้ง,{20771=4;gold=30000;12=10},
1254,开服活动-抽卡送梦幻碎片,1009,50,20,,钻石抽卡20次,鑽石抽卡20次,Diamond Draw 20 times,Diamond Draw 20 times,다이아 뽑기 20회,Sorteio de diamantes 20 vezes,ไดมอนด์ดรอว์ 20 ครั้ง,{20771=4;gold=40000;12=10},
1255,开服活动-抽卡送梦幻碎片,1009,50,30,,钻石抽卡30次,鑽石抽卡30次,Diamond Draw 30 times,Diamond Draw 30 times,다이아 뽑기 30회,Sorteio de diamantes 30 vezes,ไดมอนด์ดรอว์ 30 ครั้ง,{20771=6;gold=50000;12=10;519=5},
1256,开服活动-抽卡送梦幻碎片,1009,50,40,,钻石抽卡40次,鑽石抽卡40次,Diamond Draw 40 times,Diamond Draw 40 times,다이아 뽑기 40회,Sorteio de diamantes 40 vezes,ไดมอนด์ดรอว์ 40 ครั้ง,{20771=6;gold=60000;13=10},
1257,开服活动-抽卡送梦幻碎片,1009,50,60,,钻石抽卡60次,鑽石抽卡60次,Diamond Draw 60 times,Diamond Draw 60 times,다이아 뽑기 60회,Sorteio de Diamantes 60 vezes,ไดมอนด์ดรอว์ 60 ครั้ง,{20771=8;gold=80000;13=10},
1258,开服活动-抽卡送梦幻碎片,1009,50,80,,钻石抽卡80次,鑽石抽卡80次,Diamond Draw 80 times,Diamond Draw 80 times,다이아 뽑기 80회,Sorteio de diamantes 80 vezes,ไดมอนด์ดรอว์ 80 ครั้ง,{20771=10;gold=100000;13=10},
1259,开服活动-抽卡送梦幻碎片,1009,50,100,,钻石抽卡100次,鑽石抽卡100次,Diamond Draw 100 times,Diamond Draw 100 times,다이아 뽑기 100회,Sorteio de diamantes 100 vezes,ไดมอนด์ดรอว์ 100 ครั้ง,{20771=15;gold=120000;13=10;519=10},
1260,开服活动-抽卡送梦幻碎片,1009,50,120,,钻石抽卡120次,鑽石抽卡120次,Diamond Draw 120 times,Diamond Draw 120 times,다이아 뽑기 120회,Sorteio de diamantes 120 vezes,ไดมอนด์ดรอว์ 120 ครั้ง,{20771=20;gold=150000;14=10},
1261,开服活动-抽卡送梦幻碎片,1009,50,150,,钻石抽卡150次,鑽石抽卡150次,Diamond Card Draw for 150 times,Rút Thẻ Diamond 150 lần,다이아 뽑기 150회,Sorteio de cartas diamante por 150 vezes,ไดมอนด์การ์ดจับฉลาก 150 ครั้ง,{20771=25;gold=150000;14=10},
,,,,,,,,,,,,,,
1271,开服活动-累积登录,1010,17,1,,累计登录1天,累計登錄1天,Login 1 days in total,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,Login 1 dia no total,เข้าสู่ระบบทั้งหมด 1 วัน,{rmb=50;520=1;gold=10000},
1272,开服活动-累积登录,1010,17,2,,累计登录2天,累計登錄2天,Login 2 days in total,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,Login 2 dias no total,เข้าสู่ระบบรวม 2 วัน,{rmb=50;503=1;gold=10000},
1273,开服活动-累积登录,1010,17,3,,累计登录3天,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,Login 3 dias no total,เข้าสู่ระบบรวม 3 วัน,{rmb=100;519=1;gold=12000},
1274,开服活动-累积登录,1010,17,4,,累计登录4天,累計登錄4天,Login 4 days in total,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,Login 4 dias no total,เข้าสู่ระบบรวม 4 วัน,{rmb=50;502=3;gold=12000},
1275,开服活动-累积登录,1010,17,5,,累计登录5天,累計登錄5天,Login 5 days in total,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,Login 5 dias no total,เข้าสู่ระบบทั้งหมด 5 วัน,{rmb=50;501=1;gold=15000},
1276,开服活动-累积登录,1010,17,6,,累计登录6天,累計登錄6天,Login 6 days in total,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,Login 6 dias no total,เข้าสู่ระบบทั้งหมด 6 วัน,{rmb=50;503=1;gold=20000},
1277,开服活动-累积登录,1010,17,7,,累计登录7天,累計登錄7天,Login 7 days in total,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,Login 7 dias no total,เข้าสู่ระบบทั้งหมด 7 วัน,{rmb=100;6050=1;gold=30000},
,,,,,,,,,,,,,,
1281,开服活动-抽探险器,1011,94,5,,探险寻宝5次,探險尋寶5次,Go for exploration and treasure hunt 5 times,Thám Hiểm Tầm Bảo 5 lần,보물찾기 5회 진행,Vá para exploração e caça ao tesouro 5 vezes,ออกสำรวจและล่าสมบัติ 5 ครั้ง,{gold=20000;4000=50;961=1},
1282,开服活动-抽探险器,1011,94,10,,探险寻宝10次,探險尋寶10次,Go for exploration and treasure hunt 10 times,Thám Hiểm Tầm Bảo 10 lần,보물찾기 10회 진행,Vá para exploração e caça ao tesouro 10 vezes,ออกสำรวจและล่าสมบัติ 10 ครั้ง,{gold=30000;4000=50;961=1},
1283,开服活动-抽探险器,1011,94,30,,探险寻宝30次,探險尋寶30次,Go for exploration and treasure hunt 30 times,Thám Hiểm Tầm Bảo 30 lần,보물찾기 30회 진행,Vá para exploração e caça ao tesouro 30 vezes,ออกสำรวจและล่าสมบัติ 30 ครั้ง,{gold=40000;4000=100;962=1},
1284,开服活动-抽探险器,1011,94,50,,探险寻宝50次,探險尋寶50次,Go for exploration and treasure hunt 50 times,Thám Hiểm Tầm Bảo 50 lần,보물찾기 50회 진행,Vá para exploração e caça ao tesouro 50 vezes,ออกสำรวจและล่าสมบัติ 50 ครั้ง,{gold=50000;4000=100;962=1},
1285,开服活动-抽探险器,1011,94,70,,探险寻宝70次,探險尋寶70次,Go for exploration and treasure hunt 70 times,Thám Hiểm Tầm Bảo 70 lần,보물찾기 70회 진행,Vá para exploração e caça ao tesouro 70 vezes,ออกสำรวจและล่าสมบัติ 70 ครั้ง,{gold=60000;4000=100;962=1},
1286,开服活动-抽探险器,1011,94,100,,探险寻宝100次,探險尋寶100次,Go for exploration and treasure hunt 100 times,Thám Hiểm Tầm Bảo 100 lần,보물찾기 100회 진행,Vá explorar e caçar tesouros 100 vezes,ออกสำรวจและล่าสมบัติ 100 ครั้ง,{gold=80000;4000=200;963=1},
1287,开服活动-抽探险器,1011,94,150,,探险寻宝150次,探險尋寶150次,Go for exploration and treasure hunt 150 times,Thám Hiểm Tầm Bảo 150 lần,보물찾기 150회 진행,Vá para exploração e caça ao tesouro 150 vezes,ออกสำรวจและล่าสมบัติ 150 ครั้ง,{gold=100000;4000=200;963=1},
,,,,,,,,,,,,,,
1291,开服活动-累积登录,1012,17,1,,累计登录1天,累計登錄1天,Login 1 days in total,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,Login 1 dia no total,เข้าสู่ระบบทั้งหมด 1 วัน,{rmb=50;502=2;gold=10000},
1292,开服活动-累积登录,1012,17,2,,累计登录2天,累計登錄2天,Login 2 days in total,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,Login 2 dias no total,เข้าสู่ระบบรวม 2 วัน,{rmb=50;503=1;gold=10000},
1293,开服活动-累积登录,1012,17,3,,累计登录3天,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,Login 3 dias no total,เข้าสู่ระบบรวม 3 วัน,{rmb=100;519=1;gold=12000},
1294,开服活动-累积登录,1012,17,4,,累计登录4天,累計登錄4天,Login 4 days in total,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,Login 4 dias no total,เข้าสู่ระบบรวม 4 วัน,{rmb=50;502=3;gold=12000},
1295,开服活动-累积登录,1012,17,5,,累计登录5天,累計登錄5天,Login 5 days in total,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,Login 5 dias no total,เข้าสู่ระบบทั้งหมด 5 วัน,{rmb=50;501=1;gold=15000},
1296,开服活动-累积登录,1012,17,6,,累计登录6天,累計登錄6天,Login 6 days in total,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,Login 6 dias no total,เข้าสู่ระบบทั้งหมด 6 วัน,{rmb=50;520=1;gold=20000},
1297,开服活动-累积登录,1012,17,7,,累计登录7天,累計登錄7天,Login 7 days in total,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,Login 7 dias no total,เข้าสู่ระบบทั้งหมด 7 วัน,{rmb=100;502=6;gold=30000},
,,,,,,,,,,,,,,
1300,开服活动-充值送水君-正式改版,1013,22,60,,充值60钻石,儲值60鑽石,Purchase 60 Diamonds,Purchase 60 Diamonds,60다이아 충전,Compre 60 diamantes,ซื้อเพชร 60 เม็ด,{gold=60000;rmb=60;5000=20;501=1},
1301,开服活动-充值送水君-正式改版,1013,22,300,,充值300钻石,儲值300鑽石,Purchase 300 Diamonds,Purchase 300 Diamonds,300다이아 충전,Compre 300 diamantes,ซื้อเพชร 300 เม็ด,{gold=80000;503=3;13=20;501=1},
1302,开服活动-充值送水君-正式改版,1013,22,600,,充值600钻石,儲值600鑽石,Purchase 600 Diamonds,Purchase 600 Diamonds,600다이아 충전,Compre 600 diamantes,ซื้อเพชร 600 เม็ด,{gold=100000;503=5;2102=3;930=30},
1303,开服活动-充值送水君-正式改版,1013,22,980,,充值980钻石,儲值980鑽石,Purchase 980 Diamonds,Purchase 980 Diamonds,980다이아 충전,Compre 980 diamantes,ซื้อเพชร 980 เม็ด,{gold=120000;901=20;2102=3;501=1},
1304,开服活动-充值送水君-正式改版,1013,22,1980,,充值1980钻石,儲值1980鑽石,Purchase 1980 Diamonds,Purchase 1980 Diamonds,1980다이아 충전,Compre diamantes de 1980,ซื้อเพชร 1980 เม็ด,{card={id=1241};gold=140000;902=30;2102=3},
1305,开服活动-充值送水君-正式改版,1013,22,3280,,充值3280钻石,儲值3280鑽石,Purchase 3280 Diamonds,Purchase 3280 Diamonds,3280다이아 충전,Compre 3280 diamantes,ซื้อเพชร 3280 เม็ด,{gold=160000;502=15;2103=1;501=3},
1306,开服活动-充值送水君-正式改版,1013,22,6480,,充值6480钻石,儲值6480鑽石,Purchase 6480 Diamonds,Purchase 6480 Diamonds,6480다이아 충전,Compre 6480 diamantes,ซื้อเพชร 6480 เม็ด,{gold=180000;21241=50;2103=1;14=20},
1307,开服活动-充值送水君-正式改版,1013,22,9680,,充值9680钻石,儲值9680鑽石,Purchase 9680 Diamonds,Purchase 9680 Diamonds,9680다이아 충전,Compre 9680 diamantes,ซื้อเพชร 9680 เม็ด,{gold=200000;212=1;222=1;14=20},
1308,开服活动-充值送水君-正式改版,1013,22,12000,,充值12000钻石,儲值12000鑽石,Purchase 12000 Diamonds,Purchase 12000 Diamonds,12000다이아 충전,Compre 12000 diamantes,"ซื้อเพชร 12,000 เม็ด",{gold=220000;21241=100;2103=2;14=30},
1309,开服活动-充值送水君-正式改版,1013,22,15000,,充值15000钻石,儲值15000鑽石,Purchase 12000 Diamonds,Purchase 12000 Diamonds,15000다이아 충전,Compre 12000 diamantes,"ซื้อเพชร 12,000 เม็ด",{gold=250000;202=1;232=1;14=50},
1310,开服活动-充值送水君-正式改版,1013,22,20000,,充值20000钻石,儲值20000鑽石,Purchase 20000 Diamonds,Purchase 20000 Diamonds,20000다이아 충전,Compre 20000 diamantes,"ซื้อเพชร 20,000 เม็ด",{gold=300000;21241=100;942=1;14=50},
1311,开服活动-充值送水君-正式改版,1013,22,25000,,充值25000钻石,儲值25000鑽石,Purchase 25000 Diamonds,Purchase 25000 Diamonds,25000다이아 충전,Compre 25000 diamantes,"ซื้อเพชร 25,000 เม็ด",{gold=500000;502=50;902=50;14=50},
,,,,,,,,,,,,,,
1321,开服活动-充值送炎帝-正式改版,1014,22,60,,充值60钻石,儲值60鑽石,Purchase 60 Diamonds,Purchase 60 Diamonds,60다이아 충전,Compre 60 diamantes,ซื้อเพชร 60 เม็ด,{gold=60000;rmb=60;5000=20;14=10},
1322,开服活动-充值送炎帝-正式改版,1014,22,300,,充值300钻石,儲值300鑽石,Purchase 300 Diamonds,Purchase 300 Diamonds,300다이아 충전,Compre 300 diamantes,ซื้อเพชร 300 เม็ด,{gold=80000;901=20;2102=3;14=10},
1323,开服活动-充值送炎帝-正式改版,1014,22,600,,充值600钻石,儲值600鑽石,Purchase 600 Diamonds,Purchase 600 Diamonds,600다이아 충전,Compre 600 diamantes,ซื้อเพชร 600 เม็ด,{gold=100000;501=2;2102=3;14=10},
1324,开服活动-充值送炎帝-正式改版,1014,22,1280,,充值1280钻石,儲值1280鑽石,Purchase 1280 Diamonds,Nạp 1280 Diamond,1280다이아 충전,Compre 1280 diamantes,ซื้อเพชร 1280 เม็ด,{gold=120000;519=10;2102=3;14=15},
1325,开服活动-充值送炎帝-正式改版,1014,22,1980,,充值1980钻石,儲值1980鑽石,Purchase 1980 Diamonds,Purchase 1980 Diamonds,1980다이아 충전,Compre diamantes de 1980,ซื้อเพชร 1980 เม็ด,{gold=140000;502=10;19=10;14=15},
1326,开服活动-充值送炎帝-正式改版,1014,22,3280,,充值3280钻石,儲值3280鑽石,Purchase 3280 Diamonds,Purchase 3280 Diamonds,3280다이아 충전,Compre 3280 diamantes,ซื้อเพชร 3280 เม็ด,{gold=160000;519=10;2103=1;14=20},
1327,开服活动-充值送炎帝-正式改版,1014,22,6480,,充值6480钻石,儲值6480鑽石,Purchase 6480 Diamonds,Purchase 6480 Diamonds,6480다이아 충전,Compre 6480 diamantes,ซื้อเพชร 6480 เม็ด,{card={id=1231};gold=180000;2103=1;14=20},
1328,开服活动-充值送炎帝-正式改版,1014,22,9680,,充值9680钻石,儲值9680鑽石,Purchase 9680 Diamonds,Purchase 9680 Diamonds,9680다이아 충전,Compre 9680 diamantes,ซื้อเพชร 9680 เม็ด,{gold=200000;213=1;223=1;14=20},
1329,开服活动-充值送炎帝-正式改版,1014,22,12000,,充值12000钻石,儲值12000鑽石,Purchase 12000 Diamonds,Purchase 12000 Diamonds,12000다이아 충전,Compre 12000 diamantes,"ซื้อเพชร 12,000 เม็ด",{gold=220000;21231=100;2103=2;14=30},
1330,开服活动-充值送炎帝-正式改版,1014,22,15000,,充值15000钻石,儲值15000鑽石,Purchase 12000 Diamonds,Purchase 12000 Diamonds,15000다이아 충전,Compre 12000 diamantes,"ซื้อเพชร 12,000 เม็ด",{gold=250000;203=1;233=1;14=40},
1331,开服活动-充值送炎帝-正式改版,1014,22,20000,,充值20000钻石,儲值20000鑽石,Purchase 20000 Diamonds,Purchase 20000 Diamonds,20000다이아 충전,Compre 20000 diamantes,"ซื้อเพชร 20,000 เม็ด",{gold=300000;21231=100;942=1;14=50},
1332,开服活动-充值送炎帝-正式改版,1014,22,25000,,充值25000钻石,儲值25000鑽石,Purchase 25000 Diamonds,Purchase 25000 Diamonds,25000다이아 충전,Compre 25000 diamantes,"ซื้อเพชร 25,000 เม็ด",{gold=500000;502=50;902=50;14=50},
,,,,,,,,,,,,,,
1341,开服8~10活动-抽卡送巨金怪,1015,51,10,,金币抽卡10次,金幣抽卡10次,Gold Draw 10 times,Gold Draw 10 times,코인 뽑기 10회,Sorteio de ouro 10 vezes,ลุ้นทอง 10 ครั้ง,{21901=2;gold=10000;13=10},
1342,开服8~10活动-抽卡送巨金怪,1015,51,20,,金币抽卡20次,金幣抽卡20次,Gold Draw 20 times,Gold Draw 20 times,코인 뽑기 20회,Sorteio de ouro 20 vezes,ลุ้นทอง 20 ครั้ง,{21901=2;gold=20000;13=10},
1343,开服8~10活动-抽卡送巨金怪,1015,50,2,,钻石抽卡2次,鑽石抽卡2次,Diamond Draw 2 times,Diamond Draw 2 times,다이아 뽑기 2회,Sorteio de diamante 2 vezes,ไดมอนด์ดรอว์ 2 ครั้ง,{21901=2;gold=20000;13=10},
1344,开服8~10活动-抽卡送巨金怪,1015,50,10,,钻石抽卡10次,鑽石抽卡10次,Diamond Draw 10 times,Diamond Draw 10 times,다이아 뽑기 10회,Sorteio de diamante 10 vezes,ไดมอนด์ดรอว์ 10 ครั้ง,{21901=4;gold=20000;13=10},
1345,开服8~10活动-抽卡送巨金怪,1015,50,20,,钻石抽卡20次,鑽石抽卡20次,Diamond Draw 20 times,Diamond Draw 20 times,다이아 뽑기 20회,Sorteio de diamantes 20 vezes,ไดมอนด์ดรอว์ 20 ครั้ง,{21901=6;gold=30000;13=10},
1346,开服8~10活动-抽卡送巨金怪,1015,50,30,,钻石抽卡30次,鑽石抽卡30次,Diamond Draw 30 times,Diamond Draw 30 times,다이아 뽑기 30회,Sorteio de diamantes 30 vezes,ไดมอนด์ดรอว์ 30 ครั้ง,{21901=6;gold=40000;13=10},
1347,开服8~10活动-抽卡送巨金怪,1015,50,40,,钻石抽卡40次,鑽石抽卡40次,Diamond Draw 40 times,Diamond Draw 40 times,다이아 뽑기 40회,Sorteio de diamantes 40 vezes,ไดมอนด์ดรอว์ 40 ครั้ง,{21901=8;gold=50000;14=10},
1348,开服8~10活动-抽卡送巨金怪,1015,50,60,,钻石抽卡60次,鑽石抽卡60次,Diamond Draw 60 times,Diamond Draw 60 times,다이아 뽑기 60회,Sorteio de Diamantes 60 vezes,ไดมอนด์ดรอว์ 60 ครั้ง,{card={id=1901};14=10;gold=60000},
1349,开服8~10活动-抽卡送巨金怪,1015,50,80,,钻石抽卡80次,鑽石抽卡80次,Diamond Draw 80 times,Diamond Draw 80 times,다이아 뽑기 80회,Sorteio de diamantes 80 vezes,ไดมอนด์ดรอว์ 80 ครั้ง,{talent_point=6;gold=80000;14=10},
1350,开服8~10活动-抽卡送巨金怪,1015,50,100,,钻石抽卡100次,鑽石抽卡100次,Diamond Draw 100 times,Diamond Draw 100 times,다이아 뽑기 100회,Sorteio de diamantes 100 vezes,ไดมอนด์ดรอว์ 100 ครั้ง,{21901=10;gold=100000;15=10},
1351,开服8~10活动-抽卡送巨金怪,1015,50,120,,钻石抽卡120次,鑽石抽卡120次,Diamond Draw 120 times,Diamond Draw 120 times,다이아 뽑기 120회,Sorteio de diamantes 120 vezes,ไดมอนด์ดรอว์ 120 ครั้ง,{21901=10;gold=120000;15=10},
1352,开服8~10活动-抽卡送巨金怪,1015,50,150,,钻石抽卡150次,鑽石抽卡150次,Diamond Card Draw for 150 times,Rút Thẻ Diamond 150 lần,다이아 뽑기 150회,Sorteio de cartas diamante por 150 vezes,ไดมอนด์การ์ดจับฉลาก 150 ครั้ง,{card={id=1901};15=10;gold=150000},
,,,,,,,,,,,,,,
1361,开服活动-充值送炎帝-正式改版替换up,1016,22,60,,充值60钻石,儲值60鑽石,Purchase 60 Diamonds,Purchase 60 Diamonds,60다이아 충전,Compre 60 diamantes,ซื้อเพชร 60 เม็ด,{gold=60000;rmb=60;5000=20;14=10},
1362,开服活动-充值送炎帝-正式改版替换up,1016,22,300,,充值300钻石,儲值300鑽石,Purchase 300 Diamonds,Purchase 300 Diamonds,300다이아 충전,Compre 300 diamantes,ซื้อเพชร 300 เม็ด,{gold=80000;901=20;2102=3;14=10},
1363,开服活动-充值送炎帝-正式改版替换up,1016,22,600,,充值600钻石,儲值600鑽石,Purchase 600 Diamonds,Purchase 600 Diamonds,600다이아 충전,Compre 600 diamantes,ซื้อเพชร 600 เม็ด,{gold=100000;501=2;2102=3;14=10},
1364,开服活动-充值送炎帝-正式改版替换up,1016,22,1280,,充值1280钻石,儲值1280鑽石,Purchase 1280 Diamonds,Nạp 1280 Diamond,1280다이아 충전,Compre 1280 diamantes,ซื้อเพชร 1280 เม็ด,{gold=120000;527=10;2102=3;14=15},
1365,开服活动-充值送炎帝-正式改版替换up,1016,22,1980,,充值1980钻石,儲值1980鑽石,Purchase 1980 Diamonds,Purchase 1980 Diamonds,1980다이아 충전,Compre diamantes de 1980,ซื้อเพชร 1980 เม็ด,{gold=140000;502=10;19=10;14=15},
1366,开服活动-充值送炎帝-正式改版替换up,1016,22,3280,,充值3280钻石,儲值3280鑽石,Purchase 3280 Diamonds,Purchase 3280 Diamonds,3280다이아 충전,Compre 3280 diamantes,ซื้อเพชร 3280 เม็ด,{gold=160000;527=10;2103=1;14=20},
1367,开服活动-充值送炎帝-正式改版替换up,1016,22,6480,,充值6480钻石,儲值6480鑽石,Purchase 6480 Diamonds,Purchase 6480 Diamonds,6480다이아 충전,Compre 6480 diamantes,ซื้อเพชร 6480 เม็ด,{card={id=1231};gold=180000;2103=1;14=20},
1368,开服活动-充值送炎帝-正式改版替换up,1016,22,9680,,充值9680钻石,儲值9680鑽石,Purchase 9680 Diamonds,Purchase 9680 Diamonds,9680다이아 충전,Compre 9680 diamantes,ซื้อเพชร 9680 เม็ด,{gold=200000;213=1;223=1;14=20},
1369,开服活动-充值送炎帝-正式改版替换up,1016,22,12000,,充值12000钻石,儲值12000鑽石,Purchase 12000 Diamonds,Purchase 12000 Diamonds,12000다이아 충전,Compre 12000 diamantes,"ซื้อเพชร 12,000 เม็ด",{gold=220000;21231=100;2103=2;14=30},
1370,开服活动-充值送炎帝-正式改版替换up,1016,22,15000,,充值15000钻石,儲值15000鑽石,Purchase 12000 Diamonds,Purchase 12000 Diamonds,15000다이아 충전,Compre 12000 diamantes,"ซื้อเพชร 12,000 เม็ด",{gold=250000;203=1;233=1;14=40},
1371,开服活动-充值送炎帝-正式改版替换up,1016,22,20000,,充值20000钻石,儲值20000鑽石,Purchase 20000 Diamonds,Purchase 20000 Diamonds,20000다이아 충전,Compre 20000 diamantes,"ซื้อเพชร 20,000 เม็ด",{gold=300000;21231=100;942=1;14=50},
1372,开服活动-充值送炎帝-正式改版替换up,1016,22,25000,,充值25000钻石,儲值25000鑽石,Purchase 25000 Diamonds,Purchase 25000 Diamonds,25000다이아 충전,Compre 25000 diamantes,"ซื้อเพชร 25,000 เม็ด",{gold=500000;502=50;902=50;14=50},
,,,,,,,,,,,,,,
1380,开服活动-充值送水君-正式改版-韩服提高到5000,1017,22,60,,充值60钻石,儲值60鑽石,Purchase 60 Diamonds,Purchase 60 Diamonds,60다이아 충전,Compre 60 diamantes,ซื้อเพชร 60 เม็ด,{gold=60000;rmb=60;5000=20;501=1},
1381,开服活动-充值送水君-正式改版-韩服提高到5000,1017,22,300,,充值300钻石,儲值300鑽石,Purchase 300 Diamonds,Purchase 300 Diamonds,300다이아 충전,Compre 300 diamantes,ซื้อเพชร 300 เม็ด,{gold=80000;503=3;13=20;501=1},
1382,开服活动-充值送水君-正式改版-韩服提高到5000,1017,22,600,,充值600钻石,儲值600鑽石,Purchase 600 Diamonds,Purchase 600 Diamonds,600다이아 충전,Compre 600 diamantes,ซื้อเพชร 600 เม็ด,{gold=100000;503=5;2102=3;930=30},
1383,开服活动-充值送水君-正式改版-韩服提高到5000,1017,22,980,,充值980钻石,儲值980鑽石,Purchase 980 Diamonds,Purchase 980 Diamonds,980다이아 충전,Compre 980 diamantes,ซื้อเพชร 980 เม็ด,{gold=120000;901=20;2102=3;501=1},
1384,开服活动-充值送水君-正式改版-韩服提高到5000,1017,22,1980,,充值1980钻石,儲值1980鑽石,Purchase 1980 Diamonds,Purchase 1980 Diamonds,1980다이아 충전,Compre diamantes de 1980,ซื้อเพชร 1980 เม็ด,{card={id=1241};gold=140000;902=30;2102=3},
1385,开服活动-充值送水君-正式改版-韩服提高到5000,1017,22,3280,,充值3280钻石,儲值3280鑽石,Purchase 3280 Diamonds,Purchase 3280 Diamonds,3280다이아 충전,Compre 3280 diamantes,ซื้อเพชร 3280 เม็ด,{gold=160000;502=15;2103=1;501=3},
1386,开服活动-充值送水君-正式改版-韩服提高到5000,1017,22,6480,,充值6480钻石,儲值6480鑽石,Purchase 6480 Diamonds,Purchase 6480 Diamonds,6480다이아 충전,Compre 6480 diamantes,ซื้อเพชร 6480 เม็ด,{gold=180000;21241=50;2103=1;14=20},
1387,开服活动-充值送水君-正式改版-韩服提高到5000,1017,22,9680,,充值9680钻石,儲值9680鑽石,Purchase 9680 Diamonds,Purchase 9680 Diamonds,9680다이아 충전,Compre 9680 diamantes,ซื้อเพชร 9680 เม็ด,{gold=200000;212=1;222=1;14=20},
1388,开服活动-充值送水君-正式改版-韩服提高到5000,1017,22,12000,,充值12000钻石,儲值12000鑽石,Purchase 12000 Diamonds,Purchase 12000 Diamonds,12000다이아 충전,Compre 12000 diamantes,"ซื้อเพชร 12,000 เม็ด",{gold=220000;21241=100;2103=2;14=30},
1389,开服活动-充值送水君-正式改版-韩服提高到5000,1017,22,15000,,充值15000钻石,儲值15000鑽石,Purchase 12000 Diamonds,Purchase 12000 Diamonds,15000다이아 충전,Compre 12000 diamantes,"ซื้อเพชร 12,000 เม็ด",{gold=250000;202=1;232=1;14=50},
1390,开服活动-充值送水君-正式改版-韩服提高到5000,1017,22,20000,,充值20000钻石,儲值20000鑽石,Purchase 20000 Diamonds,Purchase 20000 Diamonds,20000다이아 충전,Compre 20000 diamantes,"ซื้อเพชร 20,000 เม็ด",{gold=300000;21241=100;942=1;14=50},
1391,开服活动-充值送水君-正式改版-韩服提高到5000,1017,22,25000,,充值25000钻石,儲值25000鑽石,Purchase 25000 Diamonds,Purchase 25000 Diamonds,25000다이아 충전,Compre 25000 diamantes,"ซื้อเพชร 25,000 เม็ด",{gold=500000;502=50;902=50;14=50},
1392,开服活动-充值送水君-正式改版-韩服提高到5000,1017,22,30000,,充值30000钻石,儲值30000鑽石,Purchase 30000 Diamonds,Purchase 30000 Diamonds,30000다이아 충전,Compre 30000 diamantes,"ซื้อเพชร 30,000 เม็ด",{gold=500000;902=50;963=2;14=70},
1393,开服活动-充值送水君-正式改版-韩服提高到5000,1017,22,40000,,充值40000钻石,儲值40000鑽石,Purchase 40000 Diamonds,Purchase 40000 Diamonds,40000다이아 충전,Compre 40000 diamantes,ซื้อเพชร 40000 เม็ด,{gold=500000;2152=3;501=5;14=70},
1394,开服活动-充值送水君-正式改版-韩服提高到5000,1017,22,50000,,充值50000钻石,儲值50000鑽石,Purchase 50000 Diamonds,Purchase 50000 Diamonds,50000다이아 충전,Compre 50000 diamantes,"ซื้อเพชร 50,000 เม็ด",{gold=500000;521=30;604=50;14=100},
,,,,,,,,,,,,,,
1400,开服活动-充值送炎帝-正式改版-韩服提高到5000,1018,22,60,,充值60钻石,儲值60鑽石,Purchase 60 Diamonds,Purchase 60 Diamonds,60다이아 충전,Compre 60 diamantes,ซื้อเพชร 60 เม็ด,{gold=60000;rmb=60;5000=20;14=10},
1401,开服活动-充值送炎帝-正式改版-韩服提高到5000,1018,22,300,,充值300钻石,儲值300鑽石,Purchase 300 Diamonds,Purchase 300 Diamonds,300다이아 충전,Compre 300 diamantes,ซื้อเพชร 300 เม็ด,{gold=80000;901=20;2102=3;14=10},
