变量名,huodongID,daySum,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,award
10216,10014,6,累计登录6天,累計登錄6天,Cumulative Login for 6 days,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,Conectado por 6 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 6 วัน,{rmb=1000;519=20;521=10;501=15}
10217,10014,7,累计登录7天,累計登錄7天,Cumulative Login for 7 days,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,Conectado por 7 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 7 วัน,{rmb=1888;519=30;521=15;501=20}
,,,,,,,,,,
10221,10015,1,累计登录1天,累計登錄1天,Cumulative Login for 1 day,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,Faça login por 1 dia no total,เข้าสู่ระบบรวม 1 วัน,{rmb=100;520=2;gold=100000;2320=1}
10222,10015,2,累计登录2天,累計登錄2天,Cumulative Login for 2 days,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,Faça login por 2 dias no total,เข้าสู่ระบบรวม 2 วัน,{rmb=100;503=3;gold=100000;13=10}
10223,10015,3,累计登录3天,累計登錄3天,Cumulative Login for 3 days,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,Faça login por 3 dias no total,เข้าสู่ระบบรวม 3 วัน,{rmb=100;519=2;gold=100000;13=15}
10224,10015,4,累计登录4天,累計登錄4天,Cumulative Login for 4 days,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,Conectado por 4 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 4 วัน,{rmb=188;502=3;gold=100000;2021=1}
10225,10015,5,累计登录5天,累計登錄5天,Cumulative Login for 5 days,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,Faça login por 5 dias no total,เข้าสู่ระบบรวม 5 วัน,{rmb=100;19=5;gold=100000;13=20}
10226,10015,6,累计登录6天,累計登錄6天,Cumulative Login for 6 days,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,Conectado por 6 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 6 วัน,{rmb=100;501=2;gold=100000;13=20}
10227,10015,7,累计登录7天,累計登錄7天,Cumulative Login for 7 days,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,Conectado por 7 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 7 วัน,{rmb=188;502=6;gold=100000;2410=1}
,,,,,,,,,,
10230,10016,1,累计登录1天,累計登錄1天,Cumulative Login for 1 day,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,Faça login por 1 dia no total,เข้าสู่ระบบรวม 1 วัน,{rmb=188;520=2;gold=100000;2321=1}
10231,10016,2,累计登录2天,累計登錄2天,Cumulative Login for 2 days,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,Faça login por 2 dias no total,เข้าสู่ระบบรวม 2 วัน,{rmb=188;503=3;gold=100000;13=10}
10232,10016,3,累计登录3天,累計登錄3天,Cumulative Login for 3 days,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,Faça login por 3 dias no total,เข้าสู่ระบบรวม 3 วัน,{rmb=188;519=2;gold=100000;2023=1}
10233,10016,4,累计登录4天,累計登錄4天,Cumulative Login for 4 days,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,Conectado por 4 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 4 วัน,{rmb=188;502=3;gold=100000;13=15}
10234,10016,5,累计登录5天,累計登錄5天,Cumulative Login for 5 days,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,Faça login por 5 dias no total,เข้าสู่ระบบรวม 5 วัน,{rmb=188;19=5;gold=100000;13=20}
10235,10016,6,累计登录6天,累計登錄6天,Cumulative Login for 6 days,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,Conectado por 6 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 6 วัน,{rmb=188;6050=1;gold=100000;13=20}
10236,10016,7,累计登录7天,累計登錄7天,Cumulative Login for 7 days,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,Conectado por 7 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 7 วัน,{rmb=188;501=2;gold=100000;2412=1}
10237,10016,8,累计登录8天,累計登錄8天,Cumulative Login for 8 days,Tích luỹ đăng nhập 8 ngày,누적 8일 로그인,Conectado por 8 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 8 วัน,{card={id=9002};rmb=188;gold=100000;13=25}
10238,10016,9,累计登录9天,累計登錄9天,Cumulative Login for 9 days,Tích luỹ đăng nhập 9 ngày,누적 9일 로그인,Conectado por 9 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 9 วัน,{rmb=188;502=10;gold=100000;13=30}
,,,,,,,,,,
10240,10017,1,周年庆登录大礼领一次,周年慶登錄大禮領一次,Claim Anniversary Login Gift Once,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,Presente de login de aniversário para receber uma vez,ของขวัญล็อกอินวันครบรอบที่จะได้รับหนึ่งครั้ง,{gold=3880000;rmb=388;502=10;519=10}
,,,,,,,,,,
10250,10018,1,累计登录1天,累計登錄1天,Cumulative Login for 1 day,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,Faça login por 1 dia no total,เข้าสู่ระบบรวม 1 วัน,{rmb=1000;520=2;gold=100000;23961=5}
10251,10018,2,累计登录2天,累計登錄2天,Cumulative Login for 2 days,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,Faça login por 2 dias no total,เข้าสู่ระบบรวม 2 วัน,{rmb=1000;503=3;gold=100000;23961=10}
10252,10018,3,累计登录3天,累計登錄3天,Cumulative Login for 3 days,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,Faça login por 3 dias no total,เข้าสู่ระบบรวม 3 วัน,{rmb=1000;519=2;gold=100000;23961=15}
10253,10018,4,累计登录4天,累計登錄4天,Cumulative Login for 4 days,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,Conectado por 4 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 4 วัน,{rmb=1888;502=3;gold=100000;23961=20}
10254,10018,5,累计登录5天,累計登錄5天,Cumulative Login for 5 days,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,Faça login por 5 dias no total,เข้าสู่ระบบรวม 5 วัน,{rmb=1000;519=15;521=5;501=10}
10255,10018,6,累计登录6天,累計登錄6天,Cumulative Login for 6 days,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,Conectado por 6 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 6 วัน,{rmb=1000;519=20;521=10;501=15}
10256,10018,7,累计登录7天,累計登錄7天,Cumulative Login for 7 days,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,Conectado por 7 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 7 วัน,{rmb=1888;519=30;521=15;501=20}
,,,,,,,,,,
10260,10019,1,累计登录1天,累計登錄1天,Cumulative Login for 1 day,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,Faça login por 1 dia no total,เข้าสู่ระบบรวม 1 วัน,{rmb=100;520=2;gold=100000;2328=1}
10261,10019,2,累计登录2天,累計登錄2天,Cumulative Login for 2 days,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,Faça login por 2 dias no total,เข้าสู่ระบบรวม 2 วัน,{rmb=100;503=3;gold=100000;13=10}
10262,10019,3,累计登录3天,累計登錄3天,Cumulative Login for 3 days,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,Faça login por 3 dias no total,เข้าสู่ระบบรวม 3 วัน,{rmb=100;519=2;gold=100000;13=15}
10263,10019,4,累计登录4天,累計登錄4天,Cumulative Login for 4 days,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,Conectado por 4 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 4 วัน,{rmb=188;502=3;gold=100000;13=15}
10264,10019,5,累计登录5天,累計登錄5天,Cumulative Login for 5 days,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,Faça login por 5 dias no total,เข้าสู่ระบบรวม 5 วัน,{rmb=100;19=5;gold=100000;13=20}
10265,10019,6,累计登录6天,累計登錄6天,Cumulative Login for 6 days,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,Conectado por 6 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 6 วัน,{rmb=100;501=2;gold=100000;13=20}
10266,10019,7,累计登录7天,累計登錄7天,Cumulative Login for 7 days,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,Conectado por 7 dias no total,เข้าสู่ระบบเป็นเวลาทั้งหมด 7 วัน,{rmb=188;521=3;gold=100000;13=20}
