变量名,name,_name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage,cardSpine,cardSpinePos,cardSpineScale,cardSpineNeedStar,bagCardSpinePos,bagCardSpineScale
默认值,宠物,宠物,宠物,宠物,宠物,宠物,宠物,宠物,,1,1,,FALSE,<>,{x=250;y=300},1000,0,,0,config/portrait/speedranktouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang1/img_25_pkq@.png,config/portrait/simple/img_25_pkq@.png,config/big_hero/normal/img_25_pkq@.png,1,{x=0;y=0},koudai_pikaqiu/pikaqiu.skel,,config/big_hero/standby/img_791_sejla@.png,1.4,{x=100;y=0},<>,<>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=320};'headPos'={'x'=0;'y'=280};'namePos'={'x'=0;'y'=320}},1,<>,0,2,1,1,2,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,{x=0;y=0},1.6,1,{x=0;y=0},1
60051,Pidgey,波波,波波,Pidgey,Pidgey,구구,Pidgey,ป็อปโปะ,common,2,1,10,FALSE,<99>,{y=300;x=250},1000,0,51,0,config/portrait/speedranktouxiang/img_16_bb@.png,config/portrait/jinglingtouxiang/img_16_bb@.png,config/portrait/jinglingtouxiang1/img_16_bb@.png,config/portrait/simple/img_16_bb@.png,config/big_hero/normal/img_16_bb@.png,1.1,{y=10;x=-15},koudai_bobo/hero_bobo.skel,,config/big_hero/standby/img_16_bb@.png,1.4,{y=0;x=150},<>,<511;512;513>,,,{lifePos={y=400;x=0};hitPos={y=190;x=0};headPos={y=360;x=0};namePos={y=400;x=0}},1,<>,0,2.2,1,1,1.32,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60052,Pidgeotto,比比鸟,比比鳥,Pidgeotto,Pidgeotto,피죤,Pidgeotto,พิเจียน,common,2,1,10,FALSE,<99>,{y=300;x=250},1000,0,52,0,config/portrait/speedranktouxiang/img_17_bbn@.png,config/portrait/jinglingtouxiang/img_17_bbn@.png,config/portrait/jinglingtouxiang1/img_17_bbn@.png,config/portrait/simple/img_17_bbn@.png,config/big_hero/normal/img_17_bbn@.png,1.1,{y=15;x=10},koudai_bibiniao/hero_bibiniao.skel,,config/big_hero/standby/img_17_bbn@.png,1.4,{y=0;x=100},<>,<521;522;523>,,,{lifePos={y=340;x=0};hitPos={y=160;x=0};headPos={y=300;x=0};namePos={y=340;x=0}},1,<>,0,2.2,1,1,1.32,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60053,Pidgeot,大比鸟,大比鳥,Pidgeot,Pidgeot,피죤투,Pidgeot,พิเจียต,common,2,1,10,FALSE,<99>,{y=300;x=250},1000,0,53,0,config/portrait/speedranktouxiang/img_18_dbn@.png,config/portrait/jinglingtouxiang/img_18_dbn@.png,config/portrait/jinglingtouxiang1/img_18_dbn@.png,config/portrait/simple/img_18_dbn@.png,config/big_hero/normal/img_18_dbn@.png,1.5,{y=60;x=60},koudai_dabiniao/hero_dabiniao.skel,,config/big_hero/standby/img_18_dbn@.png,1.4,{y=0;x=120},<>,<531;532;533>,,,{lifePos={y=340;x=0};hitPos={y=160;x=0};headPos={y=300;x=0};namePos={y=340;x=0}},1,<>,0,2.3,1,1,1.38,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60061,Rattata,小拉达,小拉達,Rattata,Rattata,꼬렛,Rattata,โครัตตา,common,1,1,,FALSE,<99>,{y=300;x=250},1000,0,61,0,config/portrait/speedranktouxiang/img_19_xld@.png,config/portrait/jinglingtouxiang/img_19_xld@.png,config/portrait/jinglingtouxiang1/img_19_xld@.png,config/portrait/simple/img_19_xld@.png,config/big_hero/normal/img_19_xld@.png,1,{y=35;x=10},koudai_xiaolada/hero_xiaolada.skel,,config/big_hero/standby/img_19_xld@.png,1.4,{y=0;x=100},<>,<611;612;613>,,,{lifePos={y=240;x=0};hitPos={y=110;x=0};headPos={y=200;x=0};namePos={y=240;x=0}},1,<>,0,1.7,1,1,1.02,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60062,Raticate,拉达,拉達,Raticate,Raticate,레트라,Raticate,รัตตา,common,1,1,,FALSE,<99>,{y=300;x=250},1000,0,62,0,config/portrait/speedranktouxiang/img_20_ld@.png,config/portrait/jinglingtouxiang/img_20_ld@.png,config/portrait/jinglingtouxiang1/img_20_ld@.png,config/portrait/simple/img_20_ld@.png,config/big_hero/normal/img_20_ld@.png,0.95,{y=10;x=20},koudai_lada/hero_lada.skel,,config/big_hero/standby/img_20_ld@.png,1.4,{y=0;x=100},<>,<621;622;623>,,,{lifePos={y=260;x=0};hitPos={y=120;x=0};headPos={y=220;x=0};namePos={y=260;x=0}},1,<>,0,2.2,1,1,1.32,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60071,Spearow,烈雀,烈雀,Spearow,Spearow,깨비참,Spearow,โอนิสึซึเมะ,common,1,1,10,FALSE,<99>,{y=300;x=250},1000,0,71,0,config/portrait/speedranktouxiang/img_21_lq@.png,config/portrait/jinglingtouxiang/img_21_lq@.png,config/portrait/jinglingtouxiang1/img_21_lq@.png,config/portrait/simple/img_21_lq@.png,config/big_hero/normal/img_21_lq@.png,1,{y=15;x=20},koudai_lieque/hero_lieque.skel,,config/big_hero/standby/img_21_lq@.png,1.4,{y=0;x=100},<>,<711;712;713>,,,{lifePos={y=300;x=0};hitPos={y=140;x=0};headPos={y=260;x=0};namePos={y=300;x=0}},1,<>,0,1.4,1,1,0.9,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60072,Fearow,大嘴雀,大嘴雀,Fearow,Fearow,깨비드릴조,Fearow,โอนิดริล,common,1,1,10,FALSE,<99>,{y=300;x=250},1000,0,72,0,config/portrait/speedranktouxiang/img_22_dzq@.png,config/portrait/jinglingtouxiang/img_22_dzq@.png,config/portrait/jinglingtouxiang1/img_22_dzq@.png,config/portrait/simple/img_22_dzq@.png,config/big_hero/normal/img_22_dzq@.png,1.6,{y=100;x=30},koudai_dazuique/hero_dazuique.skel,,config/big_hero/standby/img_22_dzq@.png,1.4,{y=0;x=100},<>,<721;722;723>,,,{lifePos={y=300;x=0};hitPos={y=140;x=0};headPos={y=260;x=0};namePos={y=300;x=0}},1,<>,0,2.1,1,1,1.26,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60081,Ekans,阿柏蛇,阿柏蛇,Ekans,Ekans,아보,Ekans,อาโบ,common,1,8,,FALSE,<99>,{y=300;x=250},1000,0,81,0,config/portrait/speedranktouxiang/img_23_abs@.png,config/portrait/jinglingtouxiang/img_23_abs@.png,config/portrait/jinglingtouxiang1/img_23_abs@.png,config/portrait/simple/img_23_abs@.png,config/big_hero/normal/img_23_abs@.png,1,{y=15;x=10},koudai_aboshe/hero_aboshe.skel,,config/big_hero/standby/img_23_abs@.png,1.4,{y=0;x=150},<>,<811;812;813>,,,{lifePos={y=260;x=0};hitPos={y=120;x=0};headPos={y=220;x=0};namePos={y=260;x=0}},1,<>,0,2.3,1,1,1.56,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60082,Arbok,阿柏怪,阿柏怪,Arbok,Arbok,아보크,Arbok,อาบ็อก,common,1,8,,FALSE,<99>,{y=300;x=250},1000,0,82,0,config/portrait/speedranktouxiang/img_24_abg@.png,config/portrait/jinglingtouxiang/img_24_abg@.png,config/portrait/jinglingtouxiang1/img_24_abg@.png,config/portrait/simple/img_24_abg@.png,config/big_hero/normal/img_24_abg@.png,1,{y=5;x=10},koudai_aboguai/hero_aboguai.skel,,config/big_hero/standby/img_24_abg@.png,1.4,{y=0;x=150},<>,<821;822;823>,,,{lifePos={y=340;x=0};hitPos={y=160;x=0};headPos={y=300;x=0};namePos={y=340;x=0}},1,<>,0,2.4,1,1,1.44,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60091,Pichu,皮丘,皮丘,Pichu,Pichu,피츄,Pichu,พิชู,common,2,5,,FALSE,<99>,{y=300;x=250},1000,0,91,0,config/portrait/speedranktouxiang/img_172_pq@.png,config/portrait/jinglingtouxiang/img_172_pq@.png,config/portrait/jinglingtouxiang1/img_172_pq@.png,config/portrait/simple/img_172_pq@.png,config/big_hero/normal/img_172_pq@.png,1,{y=35;x=30},koudai_piqiu/hero_piqiu.skel,,config/big_hero/standby/img_172_pq@.png,1.4,{y=-20;x=140},<914>,<911;912;913>,,,{lifePos={y=260;x=0};hitPos={y=120;x=0};headPos={y=220;x=0};namePos={y=260;x=0}},1,<>,0,2.1,1,1,1.38,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60092,Pikachu,皮卡丘,皮卡丘,Pikachu,Pikachu,피카츄,Pikachu,พิคาชู,common,2,5,,FALSE,<99>,{y=300;x=250},1000,0,92,0,config/portrait/speedranktouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang1/img_25_pkq@.png,config/portrait/simple/img_25_pkq@.png,config/big_hero/normal/img_25_pkq@.png,1.1,{y=30;x=-20},koudai_pikaqiu/hero_pikaqiu.skel,,config/big_hero/standby/img_25_pkq@.png,1.4,{y=-20;x=140},<924>,<921;922;923>,,,{lifePos={y=240;x=0};hitPos={y=110;x=0};headPos={y=200;x=0};namePos={y=240;x=0}},1,<>,0,2,1,1,1.2,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60093,Raichu,雷丘,雷丘,Raichu,Raichu,라이츄,Raichu,ไรชู,common,2,5,,FALSE,<99>,{y=300;x=250},1000,0,93,0,config/portrait/speedranktouxiang/img_26_lq@.png,config/portrait/jinglingtouxiang/img_26_lq@.png,config/portrait/jinglingtouxiang1/img_26_lq@.png,config/portrait/simple/img_26_lq@.png,config/big_hero/normal/img_26_lq@.png,1,{y=30;x=30},koudai_leiqiu/hero_leiqiu.skel,,config/big_hero/standby/img_26_lq@.png,1.4,{y=-20;x=140},<934>,<931;932;933>,,,{lifePos={y=280;x=0};hitPos={y=130;x=0};headPos={y=240;x=0};namePos={y=280;x=0}},1,<>,0,2.6,1,1,1.56,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60101,Sandshrew,穿山鼠,穿山鼠,Sandshrew,Sandshrew,모래두지,Sandshrew,แซนด์,common,1,9,,FALSE,<99>,{y=300;x=250},1000,0,101,0,config/portrait/speedranktouxiang/img_27_css@.png,config/portrait/jinglingtouxiang/img_27_css@.png,config/portrait/jinglingtouxiang1/img_27_css@.png,config/portrait/simple/img_27_css@.png,config/big_hero/normal/img_27_css@.png,0.95,{y=20;x=0},koudai_chuanshanshu/hero_chuanshanshu.skel,,config/big_hero/standby/img_27_css@.png,1.4,{y=-20;x=140},<>,<1011;1012;1013>,,,{lifePos={y=240;x=0};hitPos={y=110;x=0};headPos={y=200;x=0};namePos={y=240;x=0}},1,<>,0,1.6,1,1,0.96,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60102,Sandslash,穿山王,穿山王,Sandslash,Sandslash,고지,Sandslash,แซนด์แพน,common,1,9,,FALSE,<99>,{y=300;x=250},1000,0,102,0,config/portrait/speedranktouxiang/img_28_csw@.png,config/portrait/jinglingtouxiang/img_28_csw@.png,config/portrait/jinglingtouxiang1/img_28_csw@.png,config/portrait/simple/img_28_csw@.png,config/big_hero/normal/img_28_csw@.png,1,{y=10;x=10},koudai_chuanshanwang/hero_chuanshanwang.skel,,config/big_hero/standby/img_28_csw@.png,1.4,{y=0;x=100},<>,<1021;1022;1023>,,,{lifePos={y=320;x=0};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},1,<>,0,1.8,1,1,1.08,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60111,Nidoran♀,尼多兰,尼多蘭,Nidoran♀,Nidoran♀,니드런♀,Nidoran♀,นิโดรัน♀,common,1,8,,FALSE,<99;111>,{y=300;x=250},1000,0,111,0,config/portrait/speedranktouxiang/img_29_ndl@.png,config/portrait/jinglingtouxiang/img_29_ndl@.png,config/portrait/jinglingtouxiang1/img_29_ndl@.png,config/portrait/simple/img_29_ndl@.png,config/big_hero/normal/img_29_ndl@.png,1,{y=15;x=10},koudai_niduolan/hero_niduolan.skel,,config/big_hero/standby/img_29_ndl@.png,1.4,{y=-20;x=140},<>,<1111;1112;1113>,,,{lifePos={y=240;x=0};hitPos={y=110;x=0};headPos={y=200;x=0};namePos={y=240;x=0}},1,<>,0,2.1,1,1,1.26,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60112,Nidorina,尼多娜,尼多娜,Nidorina,Nidorina,니드리나,Nidorina,นิโดรีนา,common,1,8,,FALSE,<99;111>,{y=300;x=250},1000,0,112,0,config/portrait/speedranktouxiang/img_30_ndn@.png,config/portrait/jinglingtouxiang/img_30_ndn@.png,config/portrait/jinglingtouxiang1/img_30_ndn@.png,config/portrait/simple/img_30_ndn@.png,config/big_hero/normal/img_30_ndn@.png,1,{y=30;x=0},koudai_niduona/hero_niduona.skel,,config/big_hero/standby/img_30_ndn@.png,1.4,{y=-20;x=140},<>,<1121;1122;1123>,,,{lifePos={y=240;x=0};hitPos={y=110;x=0};headPos={y=200;x=0};namePos={y=240;x=0}},1,<>,0,2.2,1,1,1.32,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60113,Nidoqueen,尼多后,尼多后,Nidoqueen,Nidoqueen,니드퀸,Nidoqueen,นิโดควีน,common,1,8,9,FALSE,<99;111>,{y=300;x=250},1000,0,113,0,config/portrait/speedranktouxiang/img_31_ndh@.png,config/portrait/jinglingtouxiang/img_31_ndh@.png,config/portrait/jinglingtouxiang1/img_31_ndh@.png,config/portrait/simple/img_31_ndh@.png,config/big_hero/normal/img_31_ndh@.png,1,{y=10;x=0},koudai_niduohou/hero_niduohou.skel,,config/big_hero/standby/img_31_ndh@.png,1.4,{y=-20;x=140},<>,<1131;1132;1133>,,,{lifePos={y=330;x=0};hitPos={y=155;x=0};headPos={y=290;x=0};namePos={y=330;x=0}},1,<>,0,2.3,1,1,1.44,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60121,Nidoran♂,尼多朗,尼多朗,Nidoran♂,Nidoran♂,니드런♂,Nidoran♂,นิโดรัน♂,common,1,8,,FALSE,<99;121>,{y=300;x=250},1000,0,121,0,config/portrait/speedranktouxiang/img_32_ndl@.png,config/portrait/jinglingtouxiang/img_32_ndl@.png,config/portrait/jinglingtouxiang1/img_32_ndl@.png,config/portrait/simple/img_32_ndl@.png,config/big_hero/normal/img_32_ndl@.png,1,{y=10;x=-5},koudai_niduolang/hero_niduolang.skel,,config/big_hero/standby/img_32_ndl@.png,1.4,{y=-20;x=140},<>,<1211;1212;1213>,,,{lifePos={y=240;x=0};hitPos={y=110;x=0};headPos={y=200;x=0};namePos={y=240;x=0}},1,<>,0,2.4,1,1,1.44,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60122,Nidorino,尼多力诺,尼多力諾,Nidorino,Nidorino,니드리노,Nidorino,นิโดรีโน,common,1,8,,FALSE,<99;121>,{y=300;x=250},1000,0,122,0,config/portrait/speedranktouxiang/img_33_ndln@.png,config/portrait/jinglingtouxiang/img_33_ndln@.png,config/portrait/jinglingtouxiang1/img_33_ndln@.png,config/portrait/simple/img_33_ndln@.png,config/big_hero/normal/img_33_ndln@.png,1,{y=20;x=15},koudai_niduolinuo/hero_niduolinuo.skel,,config/big_hero/standby/img_33_ndln@.png,1.4,{y=-20;x=140},<>,<1221;1222;1223>,,,{lifePos={y=240;x=0};hitPos={y=110;x=0};headPos={y=200;x=0};namePos={y=240;x=0}},1,<>,0,2.2,1,1,1.32,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60123,Nidoking,尼多王,尼多王,Nidoking,Nidoking,니드킹,Nidoking,นิโดคิง,common,1,8,9,FALSE,<99;121>,{y=300;x=250},1000,0,123,0,config/portrait/speedranktouxiang/img_34_ndw@.png,config/portrait/jinglingtouxiang/img_34_ndw@.png,config/portrait/jinglingtouxiang1/img_34_ndw@.png,config/portrait/simple/img_34_ndw@.png,config/big_hero/normal/img_34_ndw@.png,1.2,{y=-20;x=15},koudai_niduowang/hero_niduowang.skel,,config/big_hero/standby/img_34_ndw@.png,1.4,{y=-20;x=140},<>,<1231;1232;1233>,,,{lifePos={y=340;x=0};hitPos={y=160;x=0};headPos={y=300;x=0};namePos={y=340;x=0}},1,<>,0,2.5,1,1,1.56,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60131,Cleffa,皮宝宝,皮寶寶,Cleffa,Cleffa,삐,Cleffa,พี,common,2,18,,FALSE,<99>,{y=300;x=250},1000,0,131,0,config/portrait/speedranktouxiang/img_173_pbb@.png,config/portrait/jinglingtouxiang/img_173_pbb@.png,config/portrait/jinglingtouxiang1/img_173_pbb@.png,config/portrait/simple/img_173_pbb@.png,config/big_hero/normal/img_173_pbb@.png,0.8,{y=30;x=30},koudai_pibaobao/hero_pibaobao.skel,,config/big_hero/standby/img_173_pbb@.png,1.4,{y=0;x=150},<>,<1311;1312;1313>,,,{lifePos={y=240;x=0};hitPos={y=110;x=0};headPos={y=200;x=0};namePos={y=240;x=0}},1,<>,0,2.3,1,1,1.38,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60132,Clefairy,皮皮,皮皮,Clefairy,Clefairy,삐삐,Clefairy,ピッピ,common,2,18,,FALSE,<99>,{y=300;x=250},1000,0,132,0,config/portrait/speedranktouxiang/img_35_pp@.png,config/portrait/jinglingtouxiang/img_35_pp@.png,config/portrait/jinglingtouxiang1/img_35_pp@.png,config/portrait/simple/img_35_pp@.png,config/big_hero/normal/img_35_pp@.png,1,{y=20;x=5},koudai_pipi/hero_pipi.skel,,config/big_hero/standby/img_35_pp@.png,1.4,{y=-20;x=140},<>,<1321;1322;1323>,,,{lifePos={y=260;x=0};hitPos={y=120;x=0};headPos={y=220;x=0};namePos={y=260;x=0}},1,<>,0,2.3,1,1,1.38,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60133,Clefable,皮可西,皮可西,Clefable,Clefable,픽시,Clefable,พิกซี่,common,2,18,,FALSE,<99>,{y=300;x=250},1000,0,133,0,config/portrait/speedranktouxiang/img_36_pkx@.png,config/portrait/jinglingtouxiang/img_36_pkx@.png,config/portrait/jinglingtouxiang1/img_36_pkx@.png,config/portrait/simple/img_36_pkx@.png,config/big_hero/normal/img_36_pkx@.png,1.1,{y=5;x=15},koudai_pikexi/hero_pikexi.skel,,config/big_hero/standby/img_36_pkx@.png,1.4,{y=-20;x=140},<>,<1331;1332;1333>,,,{lifePos={y=260;x=0};hitPos={y=120;x=0};headPos={y=220;x=0};namePos={y=260;x=0}},1,<>,0,2.3,1,1,1.38,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60151,Igglybuff,宝宝丁,寶寶丁,Igglybuff,Igglybuff,푸푸린,Igglybuff,พูพูริน,common,2,1,18,FALSE,<99>,{y=300;x=250},1000,0,151,0,config/portrait/speedranktouxiang/img_174_bbd@.png,config/portrait/jinglingtouxiang/img_174_bbd@.png,config/portrait/jinglingtouxiang1/img_174_bbd@.png,config/portrait/simple/img_174_bbd@.png,config/big_hero/normal/img_174_bbd@.png,1,{y=0;x=0},koudai_baobaoding/hero_baobaoding.skel,,config/big_hero/standby/img_174_bbd@.png,1.4,{y=0;x=100},<>,<1511;1512;1513>,,,{lifePos={y=240;x=0};hitPos={y=110;x=0};headPos={y=200;x=0};namePos={y=240;x=0}},1,<>,0,2.3,1,1,1.1,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
60152,Jigglypuff,胖丁,胖丁,Jigglypuff,Jigglypuff,푸린,Jigglypuff,พูริน,common,2,1,18,FALSE,<99>,{y=300;x=250},1000,0,152,0,config/portrait/speedranktouxiang/img_39_pd@.png,config/portrait/jinglingtouxiang/img_39_pd@.png,config/portrait/jinglingtouxiang1/img_39_pd@.png,config/portrait/simple/img_39_pd@.png,config/big_hero/normal/img_39_pd@.png,1,{y=0;x=0},koudai_pangding/hero_pangding.skel,,config/big_hero/standby/img_39_pd@.png,1.4,{y=0;x=100},<>,<1521;1522;1523>,,,{lifePos={y=260;x=0};hitPos={y=120;x=0};headPos={y=220;x=0};namePos={y=260;x=0}},1,<>,0,2.3,1,1,1.2,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,,,,,,
