变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,cardID,itemID,roleID,skinID,languages,unlockDesc,unlockDesc_tw,unlockDesc_en,unlockDesc_vn,unlockDesc_kr,unlockDesc_pt,unlockDesc_th
973,太极离火,太極離火,Tai Chi Raging Fire,Thái Cực Ly Hỏa,태극 이화,Fogo Furioso do Tai Chi,ไทเก็กเพลิงพิโรธ,config/portrait/speedranktouxiang/img_888_cxpf@.png,,,,144,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
974,摩诃伽罗,摩訶迦羅,Mahakala,Mahakala,마하칼라,Mahakala,มหากาฬ,config/portrait/speedranktouxiang/img_720_jfhppf@.png,,,,145,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
975,星际吞噬,星際吞噬,Interstellar Devourer,Kẻ nuốt chửng giữa các vì sao,인터스텔라 포식,Devorador Interestelar,ผู้กลืนกินดวงดาว,config/portrait/speedranktouxiang/img_718_jgedpf10@.png,,,,146,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
976,星际吞噬,星際吞噬,Interstellar Devourer,Kẻ nuốt chửng giữa các vì sao,인터스텔라 포식,Devorador Interestelar,ผู้กลืนกินดวงดาว,config/portrait/speedranktouxiang/img_718_jgedpf50@.png,,,,147,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
977,星际吞噬,星際吞噬,Interstellar Devourer,Kẻ nuốt chửng giữa các vì sao,인터스텔라 포식,Devorador Interestelar,ผู้กลืนกินดวงดาว,config/portrait/speedranktouxiang/img_718_jgedpf100@.png,,,,148,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
978,沧海明珠,滄海明珠,Pearl of the Vast Sea,Ngọc trai biển xanh,창해의 진주,Pérola do Mar Vasto,ไข่มุกทะเลคราม,config/portrait/speedranktouxiang/img_647_kldojwxtpf@.png,,,,149,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
979,恶魔侍卫,惡魔侍衛,Demon Guard,Hộ vệ ác quỷ,악마의 시위,Guarda Demônio,องครักษ์ปีศาจ,config/portrait/speedranktouxiang/img_475_sgcjalldpf@.png,,,,150,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
980,奶爸拳魂,奶爸拳魂,Daddy Boxer Soul,Linh hồn võ sĩ làm bố,아빠 권투 영혼,Alma de Boxeador Paizão,วิญญาณนักสู้คุณพ่อ,config/portrait/speedranktouxiang/img_893_sldpf@.png,,,,151,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
981,般若鬼武,般若鬼武,Prajna Oni-Samurai,Chiến binh quỷ Prajna,반야 귀무사,Oni-guerreiro Prajna,ยักษ์ปรัชญา,config/portrait/speedranktouxiang/img_94_yscjggpf@.png,,,,152,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
982,梵天烈焰,梵天烈焰,Brahma's Raging Flames,Lửa thiêng Phạm Thiên,범천의 불꽃,Chamas Furiosas de Brahma,เพลิงพรหม,config/portrait/speedranktouxiang/img_646_ybqlmpf@.png,,,,153,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
983,竹林刀影,竹林刀影,Bamboo Forest Blade Shadow,Bóng đao rừng trúc,대나무 숲의 칼 그림자,Sombra da Lâmina no Bambuzal,เงาดาบในป่าไผ่,config/portrait/speedranktouxiang/img_254_sgcjxywpf@.png,,,,154,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
984,白羽圣骑,白羽聖騎,White Feather Paladin,Hiệp sĩ lông vũ trắng,백우 성기사,Paladino da Pena Branca,อัศวินศักดิ์สิทธิ์ขนนกขาว,config/portrait/speedranktouxiang/img_898_lgwbmpf@.png,,,,155,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
985,幻海潮生,幻海潮生,Illusory Sea Tide,Thủy triều ảo mộng,환상의 바다 파도,Maré do Mar Ilusório,กระแสคลื่นมายา,config/portrait/speedranktouxiang/img_490_mnfpf2@.png,,,,156,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
986,义海军魂,義海軍魂,Righteous Navy Soul,Linh hồn hải quân chính nghĩa,의로운 해군의 혼,Alma da Marinha Justa,วิญญาณทหารเรือผู้ภักดี,config/portrait/speedranktouxiang/img_807_jlalpf2@.png,,,,157,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
987,亢金龙,亢金龍,Horned Golden Dragon,Rồng Vàng Kangs,항금룡,Dragão Dourado com Chifres,มังกรทองเขากวาง,config/portrait/speedranktouxiang/img_1008_mldpf@.png,,,,158,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
988,释天龙王,釋天龍王,Śakra Dragon King,Thiên Long Vương,석천룡왕,Rei Dragão Śakra,ท้าวสักกะเทวราช,config/portrait/speedranktouxiang/img_646_ahqlmpf@.png,,,,159,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
989,告白·沙奈朵,告白·沙奈朵,Confession - Gardevoir,Tỏ tình - Gardevoir,고백·가디안,Confissão - Gardevoir,สารภาพรัก·เซอร์ไนท์,config/portrait/toptouxiang/icon_24qx.png,,2333,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
990,一眼万年,一眼萬年,A Glimpse for Ten Thousand Years,Một ánh nhìn vạn năm,첫눈에 반하다,Um Olhar por Dez Mil Anos,รักแรกพบ,config/portrait/toptouxiang/icon_24qrj_tx.png,,2334,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
991,圆圆如意,圓圓如意,Round and Perfect,Tròn đầy như ý,둥글고 뜻대로,Redondo e Perfeito,กลมกล่อมสมปรารถนา,config/portrait/toptouxiang/icon_xllxtx.png,,2335,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
992,吉星高照,吉星高照,Auspicious Star Shining Brightly,Sao may mắn chiếu rọi,길성이 높이 비추다,Estrela da Sorte Brilhando Intensamente,ดาวนำโชคส่องสว่าง,config/portrait/toptouxiang/img_qllltx.png,,2336,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
993,螣螣蛇·新年快乐,藤藤蛇·新年快樂,Snivy - Happy New Year,Snivy - Chúc mừng năm mới,주리비얀·새해 복 많이 받아,Snivy - Feliz Ano Novo,ซึทาจา·สวัสดีปีใหม่,config/portrait/toptouxiang/icon_25cj.png,,2337,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
994,螣螣蛇·好多钱钱,藤藤蛇·好多錢錢,Snivy - Lots of Money,Snivy - Thật nhiều tiền,주리비얀·돈 많이 벌어,Snivy - Muito Dinheiro,ซึทาจา·เงินทองมากมาย,config/portrait/toptouxiang/icon_25yd.png,,2338,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
995,欢乐元旦·小火龙,歡樂元旦·小火龍,Happy New Year's Day - Charmander,Năm mới vui vẻ - Charmander,즐거운 신년·파이리,Feliz Ano Novo - Charmander,สุขสันต์วันปีใหม่·ฮิโตคาเงะ,config/portrait/toptouxiang/icon_24yd.png,,2339,,,,获得头像后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1001,妙蛙种子,妙蛙種子,Bulbasaur,Bulbasaur,이상해씨,Bulbasaur,บูลบาซอร์,config/portrait/speedranktouxiang/img_1_mwzz@.png,1,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1002,妙蛙草,妙蛙草,Ivysaur,Ivysaur,이상해풀,Ivysaur,บูลบาซอร์,config/portrait/speedranktouxiang/img_2_mwc@.png,2,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1003,妙蛙花,妙蛙花,Venusaur,Venusaur,이상해꽃,Venusaur,บูลบาซอร์,config/portrait/speedranktouxiang/img_3_mwh@.png,3,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1004,小火龙,小火龍,Charmander,Charmander,파이리,Charmander,ชาร์แมนเดอร์,config/portrait/speedranktouxiang/img_4_xhl@.png,11,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1005,火恐龙,火恐龍,Charmeleon,Charmeleon,리자드,Charmeleon,ไดโนเสาร์ไฟ,config/portrait/speedranktouxiang/img_5_hkl@.png,12,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1006,喷火龙,噴火龍,Charizard,Charizard,리자몽,Charizard,ชาริซาร์ด,config/portrait/speedranktouxiang/img_6_phl@.png,13,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1009,杰尼龟,傑尼龜,Squirtle,Squirtle,꼬부기,Squirtle,สควิร์ทเทิล,config/portrait/speedranktouxiang/img_7_jng@.png,21,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1010,卡咪龟,卡咪龜,Wartortle,Wartortle,어니부기,Wartortle,การ์ดสควิร์ทเทิล,config/portrait/speedranktouxiang/img_8_kmg@.png,22,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1011,水箭龟,水箭龜,Blastoise,Blastoise,거북왕,Blastoise,บลาสต์,config/portrait/speedranktouxiang/img_9_sjg@.png,23,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1012,绿毛虫,綠毛蟲,Caterpie,Caterpie,캐터피,Caterpie,หนอนผีเสื้อสีเขียว,config/portrait/speedranktouxiang/img_10_lmc@.png,31,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1014,巴大蝶,巴大蝶,Butterfree,Butterfree,버터플,Butterfree,ผีเสื้อ,config/portrait/speedranktouxiang/img_12_bdd@.png,33,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1017,大针蜂,大針蜂,Beedrill,Beedrill,독침붕,Beedrill,บีดริล,config/portrait/speedranktouxiang/img_15_dzf@.png,41,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1018,波波,波波,Pidgey,Pidgey,구구,Pidgey,โบโบ้,config/portrait/speedranktouxiang/img_16_bb@.png,51,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1019,比比鸟,比比鳥,Pidgeotto,Pidgeotto,피죤,Pidgeotto,พิดจ์อต,config/portrait/speedranktouxiang/img_17_bbn@.png,52,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1020,大比鸟,大比鳥,Pidgeot,Pidgeot,피죤투,Pidgeot,นกใหญ่,config/portrait/speedranktouxiang/img_18_dbn@.png,53,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1021,小拉达,小拉達,Rattata,Rattata,꼬렛,Rattata,รดา,config/portrait/speedranktouxiang/img_19_xld@.png,61,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1022,拉达,拉達,Raticate,Raticate,레트라,Raticate,ลาดา,config/portrait/speedranktouxiang/img_20_ld@.png,62,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1023,烈雀,烈雀,Spearow,Spearow,깨비참,Spearow,สเปียโรว์,config/portrait/speedranktouxiang/img_21_lq@.png,71,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1024,大嘴雀,大嘴雀,Fearow,Fearow,깨비드릴조,Fearow,นกทูแคน,config/portrait/speedranktouxiang/img_22_dzq@.png,72,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1025,阿柏蛇,阿柏蛇,Ekans,Ekans,아보,Ekans,อาร์บอก,config/portrait/speedranktouxiang/img_23_abs@.png,81,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1026,阿柏怪,阿柏怪,Arbok,Arbok,아보크,Arbok,อาร์บอก,config/portrait/speedranktouxiang/img_24_abg@.png,82,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1027,皮丘,皮丘,Pichu,Pichu,피츄,Pichu,ปิชู,config/portrait/speedranktouxiang/img_172_pq@.png,91,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1028,皮卡丘,皮卡丘,Pikachu,Pikachu,피카츄,Pikachu,ปิกาจู,config/portrait/speedranktouxiang/img_25_pkq@.png,92,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1029,雷丘,雷丘,Raichu,Raichu,라이츄,Raichu,ไรชู,config/portrait/speedranktouxiang/img_26_lq@.png,93,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1030,穿山鼠,穿山鼠,Sandshrew,Sandshrew,모래두지,Sandshrew,แซนเดรต,config/portrait/speedranktouxiang/img_27_css@.png,101,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1031,穿山王,穿山王,Sandslash,Sandslash,고지,Sandslash,กษัตริย์ชวนซาน,config/portrait/speedranktouxiang/img_28_csw@.png,102,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1032,尼多兰,尼多蘭,Nidoran,Nidoran,니드런♀,Nidoran,นิโดรัน,config/portrait/speedranktouxiang/img_29_ndl@.png,111,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1033,尼多娜,尼多娜,Nidorina,Nidorina,니드리나,Nidorina,นิดอลลา,config/portrait/speedranktouxiang/img_30_ndn@.png,112,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1034,尼多后,尼多後,Nidoqueen,Nidoqueen,니드퀸,Nidoqueen,นิโดควีน,config/portrait/speedranktouxiang/img_31_ndh@.png,113,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1035,尼多朗,尼多朗,Nidoran,Nidoran,니드런♂,Nidoran,นิโดรัน,config/portrait/speedranktouxiang/img_32_ndl@.png,121,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1036,尼多力诺,尼多力諾,Nidorino,Nidorino,니드리노,Nidorino,นิโดริโน,config/portrait/speedranktouxiang/img_33_ndln@.png,122,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1037,尼多王,尼多王,Nidoking,Nidoking,니드킹,Nidoking,นิโดคิง,config/portrait/speedranktouxiang/img_34_ndw@.png,123,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1038,皮宝宝,皮寶寶,Cleffa,Cleffa,삐,Cleffa,หนังเด็ก,config/portrait/speedranktouxiang/img_173_pbb@.png,131,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1039,皮皮,皮皮,Clefairy,Clefairy,삐삐,Clefairy,ปิ๊ปปี้,config/portrait/speedranktouxiang/img_35_pp@.png,132,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1040,皮可西,皮可西,Clefable,Clefable,픽시,Clefable,ปิโกซี่,config/portrait/speedranktouxiang/img_36_pkx@.png,133,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1041,走路草,走路草,Oddish,Oddish,뚜벅초,Oddish,หญ้าเดิน,config/portrait/speedranktouxiang/img_43_zlc@.png,171,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1042,臭臭花,臭臭花,Gloom,Gloom,냄새꼬,Gloom,ดอกไม้เหม็น,config/portrait/speedranktouxiang/img_44_cch@.png,172,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1043,霸王花,霸王花,Vileplume,Vileplume,라플레시아,Vileplume,ราชินีแห่งดอกไม้,config/portrait/speedranktouxiang/img_45_bwh@.png,173,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1044,毛球,毛球,Venonat,Venonat,콘팡,Venonat,ก้อนขน,config/portrait/speedranktouxiang/img_48_mq@.png,191,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1045,摩鲁蛾,摩魯蛾,Venomoth,Venomoth,도나리,Venomoth,มอดเห็ดมอเรล,config/portrait/speedranktouxiang/img_49_mle@.png,192,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1046,猴怪,猴怪,Mankey,Mankey,망키,Mankey,ลิงมอนสเตอร์,config/portrait/speedranktouxiang/img_56_hg@.png,231,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1047,火暴猴,火暴猴,Primeape,Primeape,성원숭,Primeape,ลิงไฟ,config/portrait/speedranktouxiang/img_57_hbh@.png,232,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1048,凯西,凱西,Abra,Abra,캐이시,Abra,แคธี่,config/portrait/speedranktouxiang/img_63_kx@.png,261,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1049,勇基拉,勇基拉,Kadabra,Kadabra,윤겔라,Kadabra,ยงจิลา,config/portrait/speedranktouxiang/img_64_yjl@.png,262,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1050,胡地,胡地,Alakazam,Alakazam,후딘,Alakazam,อาลาคาซัม,config/portrait/speedranktouxiang/img_65_hd@.png,263,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1052,腕力,腕力,Machop,Machop,알통몬,Machop,ความแข็งแรงของข้อมือ,config/portrait/speedranktouxiang/img_66_wl@.png,271,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1053,豪力,豪力,Machoke,Machoke,근육몬,Machoke,ห่าวลี่,config/portrait/speedranktouxiang/img_67_hl@.png,272,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1054,怪力,怪力,Machamp,Machamp,괴력몬,Machamp,ความแข็งแกร่งสุดยอด,config/portrait/speedranktouxiang/img_68_gl@.png,273,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1055,喇叭芽,喇叭芽,Bellsprout,Bellsprout,모다피,Bellsprout,ทรัมเป็ตตูม,config/portrait/speedranktouxiang/img_69_lby@.png,281,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1056,口呆花,口呆花,Weepinbell,Weepinbell,우츠동,Weepinbell,กุ๊ดไดฮัว,config/portrait/speedranktouxiang/img_70_kdh@.png,282,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1057,大食花,大食花,Victreebel,Victreebel,우츠보트,Victreebel,ปิรันย่า,config/portrait/speedranktouxiang/img_71_dsh@.png,283,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1058,小拳石,小拳石,Geodude,Geodude,꼬마돌,Geodude,หินกำปั้นเล็ก,config/portrait/speedranktouxiang/img_74_xqs@.png,301,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1059,隆隆石,隆隆石,Graveler,Graveler,데구리,Graveler,รัมเบิลสโตน,config/portrait/speedranktouxiang/img_75_lls@.png,302,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1060,小磁怪,小磁怪,Magnemite,Magnemite,코일,Magnemite,แมกเนไมต์,config/portrait/speedranktouxiang/img_81_xcg@.png,331,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1061,三合一磁怪,三合一磁怪,Magneton,Magneton,레어코일,Magneton,แม็กนีโต 3-อิน-1,config/portrait/speedranktouxiang/img_82_shycg@.png,332,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1062,自爆磁怪,自爆磁怪,Magnezone,Magnezone,자포코일,Magnezone,แม็กนีโต,config/portrait/speedranktouxiang/img_462_zbcg@.png,333,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1063,嘟嘟,嘟嘟,Doduo,Doduo,두두,Doduo,ตู๊ด,config/portrait/speedranktouxiang/img_84_dd@.png,351,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1064,嘟嘟利,嘟嘟利,Dodrio,Dodrio,두트리오,Dodrio,ดุดิลี,config/portrait/speedranktouxiang/img_85_ddl@.png,352,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1065,臭泥,臭泥,Grimer,Grimer,질퍽이,Grimer,โคลนเหม็น,config/portrait/speedranktouxiang/img_88_cn@.png,371,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1066,臭臭泥,臭臭泥,Muk,Muk,질뻐기,Muk,โคลนเหม็น,config/portrait/speedranktouxiang/img_89_ccn@.png,372,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1067,鬼斯,鬼斯,Gastly,Gastly,고오스,Gastly,กัสตี้,config/portrait/speedranktouxiang/img_92_gs@.png,391,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1068,鬼斯通,鬼斯通,Haunter,Haunter,고우스트,Haunter,ฮันเตอร์,config/portrait/speedranktouxiang/img_93_gst@.png,392,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1069,耿鬼,耿鬼,Gengar,Gengar,팬텀,Gengar,เกงการ์,config/portrait/speedranktouxiang/img_94_gg@.png,393,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1070,超级耿鬼,超級耿鬼,Mega Gengar,Mega Gengar,메가팬텀,Mega Gengar,เมก้าเกงก้า,config/portrait/speedranktouxiang/img_94_cjgg@.png,394,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1071,卡拉卡拉,卡拉卡拉,Cubone,Cubone,탕구리,Cubone,คาราคัลล่า,config/portrait/speedranktouxiang/img_104_klkl@.png,451,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1072,嘎啦嘎啦,嘎啦嘎啦,Marowak,Marowak,텅구리,Marowak,วิ่งควบ,config/portrait/speedranktouxiang/img_105_glgl@.png,452,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1073,无畏小子,無畏小子,Tyrogue,Tyrogue,배루키,Tyrogue,ไม่กลัว,config/portrait/speedranktouxiang/img_236_wwxz@.png,461,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1074,飞腿郎,飛腿郎,Hitmonlee,Hitmonlee,시라소몬,Hitmonlee,ขาบิน,config/portrait/speedranktouxiang/img_106_ftl@.png,462,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1075,快拳郎,快拳郎,Hitmonchan,Hitmonchan,홍수몬,Hitmonchan,นักมวยเร็ว,config/portrait/speedranktouxiang/img_107_kql@.png,463,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1076,战舞郎,戰舞郎,Hitmontop,Hitmontop,카포에라,Hitmontop,นักเต้นสงคราม,config/portrait/speedranktouxiang/img_237_zwl@.png,464,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1077,大舌头,大舌頭,Lickitung,Lickitung,내루미,Lickitung,ลิ้นใหญ่,config/portrait/speedranktouxiang/img_108_dst@.png,471,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1078,大舌舔,大舌舔,Lickilicky,Lickilicky,내룸벨트,Lickilicky,เลียลิ้นใหญ่ๆ,config/portrait/speedranktouxiang/img_463_dst@.png,472,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1079,瓦斯弹,瓦斯彈,Koffing,Koffing,또가스,Koffing,ระเบิดแก๊ส,config/portrait/speedranktouxiang/img_109_wsd@.png,481,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
1080,双弹瓦斯,雙彈瓦斯,Weezing,Weezing,또도가스,Weezing,แก๊สระเบิดคู่,config/portrait/speedranktouxiang/img_110_sdws@.png,482,,,,,解锁对应精灵图鉴后获得,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
