变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,type,group,groupWeight,quality,icon,weight,skillID,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th
26,光盾I,光盾I,Light Shield I,Khiên Ánh Sáng I,빛의 방패 I,Escudo de Luz I,โล่แสงฉัน,1101,9,300,3,city/adventure/random_tower/icon/icon_fy.png,,81026,己方全体精灵入场前获得10%自身最大生命值的的护盾#L0##C0xFF3D3D#（拥有其他相同系列的效果时，护盾系数提升5%）#L0##C0xFF3D3D#,己方全體精靈入場前獲得10%自身最大生命值的的護盾#L0##C0xFF3D3D#（擁有其他相同系列的效果時，護盾係數提升5%）#L0##C0xFF3D3D#,"All allied Pokémon gain a shield equal to 10% of their max HP before entering the field#L0##C0xFF3D3D#(When possessing other effects of the same series, the shield coefficient increases by 5%)#L0##C0xFF3D3D#","Toàn bộ Pokémon phe ta nhận khiên bằng 10% HP tối đa của bản thân trước khi vào sân#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hệ số khiên tăng 5%)#L0##C0xFF3D3D#","아군 전체 포켓몬이 입장 전 자신의 최대 생명력의 10%에 해당하는 보호막을 얻습니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 보호막 계수가 5% 증가)#L0##C0xFF3D3D#","Antes de entrar no campo de batalha, todos os seus elfos ganharão um escudo de 10% de sua saúde máxima #L0##C0xFF3D3D# (Quando você tiver outros efeitos da mesma série, o coeficiente de escudo aumentará em 5%) #L0##C0xFF3D3D#",ก่อนที่จะเข้าสู่สนามรบ เอลฟ์ของคุณทั้งหมดจะได้รับโล่ 10% ของพลังชีวิตสูงสุด #L0##C0xFF3D3D# (เมื่อคุณมีเอฟเฟกต์อื่นๆ จากซีรีส์เดียวกัน ค่าสัมประสิทธิ์ของโล่จะเพิ่มขึ้น 5%) #L0##C0xFF3D3D#
27,光盾II,光盾II,Light Shield II,Khiên Ánh Sáng II,빛의 방패 II,Escudo de Luz II,โล่แสง II,301,9,200,3,city/adventure/random_tower/icon/icon_fy.png,,81027,战斗开始己方血量最低的单位获得自身15%最大生命值的护盾#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果翻倍）#L0##C0xFF3D3D#,戰鬥開始己方血量最低的單位獲得自身15%最大生命值的護盾#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果翻倍）#L0##C0xFF3D3D#,"At the start of the battle, the allied unit with the lowest HP gains a shield equal to 15% of its max HP#L0##C0xFF3D3D#(The effect is doubled when possessing other effects of the same series)#L0##C0xFF3D3D#","Khi bắt đầu trận đấu, đơn vị có HP thấp nhất phe ta nhận khiên bằng 15% HP tối đa của bản thân#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hiệu quả tăng gấp đôi)#L0##C0xFF3D3D#","전투 시작 시 아군 체력이 가장 낮은 유닛이 자신의 최대 생명력의 15%에 해당하는 보호막을 얻습니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 효과 두 배)#L0##C0xFF3D3D#","No início da batalha, a unidade com menor saúde do seu lado ganhará um escudo de 15% da sua saúde máxima #L0##C0xFF3D3D# (Quando tiver outros efeitos da mesma série, o efeito será dobrado) #L0##C0xFF3D3D#",ในช่วงเริ่มต้นของการต่อสู้ หน่วยที่สุขภาพต่ำที่สุดในฝั่งของคุณจะได้รับโล่ 15% ของสุขภาพสูงสุด #L0##C0xFF3D3D# (เมื่อมีเอฟเฟกต์อื่นๆ ในซีรีส์เดียวกัน เอฟเฟกต์จะเพิ่มเป็นสองเท่า) #L0##C0xFF3D3D#
28,侵蚀I,侵蝕I,Erosion I,Xói Mòn I,침식 I,Erosão I,การกัดเซาะ 1,1201,10,300,6,city/develop/talent/icon_bsjc.png,,81028,敌方全体双攻降低15%，持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果翻倍）#L0##C0xFF3D3D#,敵方全體雙攻降低15%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果翻倍）#L0##C0xFF3D3D#,"Dual ATK of all enemy Pokémon decreases by 15%, lasts for the whole battle#L0##C0xFF3D3D#(The effect is doubled when possessing other effects of the same series)#L0##C0xFF3D3D#","Toàn bộ kẻ địch giảm 15% cả hai Công, kéo dài cả trận#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hiệu quả tăng gấp đôi)#L0##C0xFF3D3D#","적 전체의 양공이 15% 감소하며, 전투 내내 지속됩니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 효과 두 배)#L0##C0xFF3D3D#","Os ataques duplos de todos os inimigos são reduzidos em 15%, durando por todo o campo. #L0##C0xFF3D3D# (Quando você tem outros efeitos da mesma série, o efeito é dobrado) #L0##C0xFF3D3D#",การโจมตีสองครั้งของศัตรูทั้งหมดลดลง 15% ตลอดทั้งสนาม #L0##C0xFF3D3D# (เมื่อคุณมีเอฟเฟกต์อื่นๆ จากซีรีส์เดียวกัน เอฟเฟกต์จะเพิ่มเป็นสองเท่า) #L0##C0xFF3D3D#
29,侵蚀II,侵蝕II,Erosion II,Xói Mòn II,침식 II,Erosão II,การกัดเซาะ II,301,10,200,6,city/develop/talent/icon_bsjc.png,,81029,敌方双防降低20%，持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果翻倍）#L0##C0xFF3D3D#,敵方雙防降低20%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果翻倍）#L0##C0xFF3D3D#,"Dual DEF of all enemy Pokémon decreases by 20%, lasts for the whole battle#L0##C0xFF3D3D#(The effect is doubled when possessing other effects of the same series)#L0##C0xFF3D3D#","Cả hai Thủ của toàn bộ kẻ địch giảm 20%, kéo dài cả trận#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hiệu quả tăng gấp đôi)#L0##C0xFF3D3D#","적 전체의 양방이 20% 감소하며, 전투 내내 지속됩니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 효과 두 배)#L0##C0xFF3D3D#","A defesa dupla do inimigo é reduzida em 20%, durando por todo o campo #L0##C0xFF3D3D# (Quando possui outros efeitos da mesma série, o efeito é dobrado) #L0##C0xFF3D3D#",การป้องกันสองเท่าของศัตรูลดลง 20% มีผลตลอดทั้งสนาม #L0##C0xFF3D3D# (เมื่อมีเอฟเฟกต์อื่นๆ จากซีรีส์เดียวกัน เอฟเฟกต์จะเพิ่มเป็นสองเท่า) #L0##C0xFF3D3D#
30,掌控I,掌控I,Control I,Khống Chế I,제어 I,Controle I,การควบคุมฉัน,1201,11,200,5,city/develop/talent/icon_ysg.png,,81030,"己方全体精灵控制率提升10%,持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果翻倍）#L0##C0xFF3D3D#","己方全體精靈控制率提升10%,持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果翻倍）#L0##C0xFF3D3D#","Control Rate of all allied Pokémon increases by 10%, lasts for the whole battle#L0##C0xFF3D3D#(The effect is doubled when possessing other effects of the same series)#L0##C0xFF3D3D#","Tỷ lệ khống chế của toàn bộ Pokémon phe ta tăng 10%, kéo dài cả trận#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, hiệu quả tăng gấp đôi)#L0##C0xFF3D3D#","아군 전체 포켓몬의 제어율이 10% 증가하며, 전투 내내 지속됩니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 효과 두 배)#L0##C0xFF3D3D#","A taxa de controle de todos os seus elfos aumenta em 10%, durando por todo o campo #L0##C0xFF3D3D# (Quando você tem outros efeitos da mesma série, o efeito é dobrado) #L0##C0xFF3D3D#",อัตราการควบคุมเอลฟ์ทั้งหมดของคุณเพิ่มขึ้น 10% ตลอดทั้งสนาม #L0##C0xFF3D3D# (เมื่อคุณมีเอฟเฟกต์อื่นๆ จากซีรีส์เดียวกัน เอฟเฟกต์จะเพิ่มเป็นสองเท่า) #L0##C0xFF3D3D#
31,掌控II,掌控II,Control II,Khống Chế II,제어 II,Controle II,การควบคุม II,1301,11,200,5,city/develop/talent/icon_ysg.png,,81031,己方全体精灵攻击时有10%概率眩晕目标1回合#L0##C0xFF3D3D#（拥有其他相同系列的效果时，控制概率翻倍）#L0##C0xFF3D3D#,己方全體精靈攻擊時有10%概率眩暈目標1回合#L0##C0xFF3D3D#（擁有其他相同系列的效果時，控制概率翻倍）#L0##C0xFF3D3D#,"When an allied Pokémon attacks, it has a 10% chance to Stun the target for 1 round#L0##C0xFF3D3D#(The control chance is doubled when possessing other effects of the same series)#L0##C0xFF3D3D#","Khi Pokémon phe ta tấn công, có 10% xác suất làm choáng mục tiêu trong 1 lượt#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, xác suất khống chế tăng gấp đôi)#L0##C0xFF3D3D#","아군 포켓몬 공격 시 10% 확률로 대상을 1턴간 기절시킵니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 제어 확률 두 배)#L0##C0xFF3D3D#","Quando todos os elfos do seu lado atacam, há 10% de chance de atordoar o alvo por 1 rodada #L0##C0xFF3D3D# (Quando você tem outros efeitos da mesma série, a probabilidade de controle é dobrada) #L0##C0xFF3D3D#",เมื่อเอลฟ์ทั้งหมดในฝั่งของคุณโจมตี จะมีโอกาส 10% ที่จะทำให้เป้าหมายสตันเป็นเวลา 1 รอบ #L0##C0xFF3D3D# (เมื่อคุณมีเอฟเฟกต์อื่นๆ จากซีรีส์เดียวกัน ความน่าจะเป็นในการควบคุมจะเพิ่มเป็นสองเท่า) #L0##C0xFF3D3D#
32,掌控III,掌控III,Control III,Khống Chế III,제어 III,Controle III,การควบคุม III,1301,11,100,5,city/develop/talent/icon_ysg.png,,81032,己方全体精灵攻击时有10%概率混乱目标1回合#L0##C0xFF3D3D#（拥有其他相同系列的效果时，控制概率翻倍）#L0##C0xFF3D3D#,己方全體精靈攻擊時有10%概率混亂目標1回合#L0##C0xFF3D3D#（擁有其他相同系列的效果時，控制概率翻倍）#L0##C0xFF3D3D#,"When an allied Pokémon attacks, it has a 10% chance to Confuse the target for 1 round#L0##C0xFF3D3D#(The control chance is doubled when possessing other effects of the same series)#L0##C0xFF3D3D#","Khi Pokémon phe ta tấn công, có 10% xác suất làm hỗn loạn mục tiêu trong 1 lượt#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, xác suất khống chế tăng gấp đôi)#L0##C0xFF3D3D#","아군 포켓몬 공격 시 10% 확률로 대상을 1턴간 혼란시킵니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 제어 확률 두 배)#L0##C0xFF3D3D#","Quando todos os elfos amigáveis atacam, há 10% de chance de confundir o alvo por 1 turno #L0##C0xFF3D3D# (Quando há outros efeitos da mesma série, a probabilidade de controle é dobrada) #L0##C0xFF3D3D#",เมื่อเอลฟ์ฝ่ายเดียวกันทั้งหมดโจมตี จะมีโอกาส 10% ที่จะทำให้เป้าหมายสับสนเป็นเวลา 1 เทิร์น #L0##C0xFF3D3D# (เมื่อมีเอฟเฟกต์อื่นๆ จากซีรีส์เดียวกัน โอกาสในการควบคุมจะเพิ่มเป็นสองเท่า) #L0##C0xFF3D3D#
33,掌控IV,掌控IV,Control IV,Khống Chế IV,제어 IV,Controle IV,ชุดควบคุม IV,1301,11,100,5,city/develop/talent/icon_ysg.png,,81033,己方全体精灵攻击时有15%概率沉默目标1回合#L0##C0xFF3D3D#（拥有其他相同系列的效果时，控制概率翻倍）#L0##C0xFF3D3D#,己方全體精靈攻擊時有15%概率沉默目標1回合#L0##C0xFF3D3D#（擁有其他相同系列的效果時，控制概率翻倍）#L0##C0xFF3D3D#,"When an allied Pokémon attacks, it has a 15% chance to Silence the target for 1 round#L0##C0xFF3D3D#(The control chance is doubled when possessing other effects of the same series)#L0##C0xFF3D3D#","Khi Pokémon phe ta tấn công, có 15% xác suất làm câm lặng mục tiêu trong 1 lượt#L0##C0xFF3D3D#(Khi sở hữu hiệu ứng khác cùng sê-ri, xác suất khống chế tăng gấp đôi)#L0##C0xFF3D3D#","아군 포켓몬 공격 시 15% 확률로 대상을 1턴간 침묵시킵니다#L0##C0xFF3D3D#(다른 동일 시리즈의 효과를 보유 시, 제어 확률 두 배)#L0##C0xFF3D3D#","Quando todos os elfos amigáveis atacam, há 15% de chance de silenciar o alvo por 1 turno #L0##C0xFF3D3D# (Ao possuir outros efeitos da mesma série, a probabilidade de controle é dobrada) #L0##C0xFF3D3D#",เมื่อเอลฟ์ฝ่ายเดียวกันทั้งหมดโจมตี จะมีโอกาส 15% ที่จะทำให้เป้าหมายเงียบเป็นเวลา 1 เทิร์น #L0##C0xFF3D3D# (เมื่อมีเอฟเฟกต์อื่นๆ จากซีรีส์เดียวกัน ความน่าจะเป็นในการควบคุมจะเพิ่มเป็นสองเท่า) #L0##C0xFF3D3D#
,,,,,,,,,,,,,,,,,,,,,
101,无双MAX,無雙MAX,Warriors MAX,Chiến Binh MAX,전사 MAX,Guerreiros MAX,นักรบ แม็กซ์,301,1,50,7,city/adventure/random_tower/icon/icon_gj.png,0,81101,己方全体无视目标100%双防和免伤#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,己方全体无视目标100%双防和免伤#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,All allies ignore 100% of the target's dual DEF and damage reduction#L0##C0xFF3D3D#(Can only be activated when possessing at least one badge of the same series)#L0##C0xFF3D3D#,Toàn bộ phe ta bỏ qua 100% cả hai Thủ và miễn thương của mục tiêu#L0##C0xFF3D3D#(Cần sở hữu ít nhất một huy hiệu cùng sê-ri mới có thể kích hoạt)#L0##C0xFF3D3D#,아군 전체가 대상의 양방과 피해 면역을 100% 무시합니다#L0##C0xFF3D3D#(최소 하나의 동일 시리즈 배지를 보유해야 활성화 가능)#L0##C0xFF3D3D#,Todos os aliados ignoram a defesa dupla de 100% do alvo e evitam dano #L0##C0xFF3D3D# (só pode ser ativado se você tiver pelo menos um emblema da mesma série) #L0##C0xFF3D3D#,พันธมิตรทั้งหมดจะเพิกเฉยต่อการป้องกันสองเท่า 100% ของเป้าหมายและหลีกเลี่ยงความเสียหาย #L0##C0xFF3D3D# (สามารถใช้งานได้ก็ต่อเมื่อคุณมีตราอย่างน้อยหนึ่งอันจากซีรีส์เดียวกัน) #L0##C0xFF3D3D#
102,冷血MAX,冷血MAX,Cold Blood MAX,Máu Lạnh MAX,냉혈 MAX,Sangue Frio MAX,เลือดเย็นแม็กซ์,301,2,50,4,city/adventure/random_tower/icon/icon_bj.png,0,81102,己方全体开场获得60%暴击率和暴击伤害提升，每回合结束衰减20%效果#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,己方全体开场获得60%暴击率和暴击伤害提升，每回合结束衰减20%效果#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,"All allies gain a 60% increase in Crit Rate and Crit DMG at the start of the battle, the effect decays by 20% at the end of each round#L0##C0xFF3D3D#(Can only be activated when possessing at least one badge of the same series)#L0##C0xFF3D3D#","Toàn bộ phe ta khi bắt đầu trận đấu nhận 60% tăng Tỷ lệ Bạo kích và Sát thương Bạo kích, hiệu quả giảm 20% vào cuối mỗi lượt#L0##C0xFF3D3D#(Cần sở hữu ít nhất một huy hiệu cùng sê-ri mới có thể kích hoạt)#L0##C0xFF3D3D#","아군 전체가 전투 시작 시 치명타 확률과 치명타 피해 60% 증가를 얻고, 매 턴 종료 시 효과가 20% 감소합니다#L0##C0xFF3D3D#(최소 하나의 동일 시리즈 배지를 보유해야 활성화 가능)#L0##C0xFF3D3D#","Todos os aliados recebem um aumento de 60% na taxa de acerto crítico e no dano de acerto crítico no início, e o efeito é atenuado em 20% no final de cada rodada. #L0##C0xFF3D3D# (só pode ser ativado se você tiver pelo menos um emblema da mesma série) #L0##C0xFF3D3D#",พันธมิตรทุกคนจะได้รับอัตราการโจมตีคริติคอลและความเสียหายจากการโจมตีคริติคอลเพิ่มขึ้น 60% ในตอนเริ่มต้น และเอฟเฟกต์จะลดลง 20% ในตอนท้ายของแต่ละรอบ #L0##C0xFF3D3D# (สามารถใช้งานได้ก็ต่อเมื่อคุณมีตราอย่างน้อยหนึ่งอันจากซีรีส์เดียวกัน) #L0##C0xFF3D3D#
103,嗜血MAX,嗜血MAX,Bloodthirsty MAX,Khát Máu MAX,피의 갈증 MAX,MAX sanguinário,แม็กซ์กระหายเลือด,1301,3,50,7,city/adventure/random_tower/icon/icon_xx.png,0,81103,己方全体吸血率和怒气回复速率提升20%#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,己方全体吸血率和怒气回复速率提升20%#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,Lifesteal Rate and Rage recovery speed of all allies increase by 20%#L0##C0xFF3D3D#(Can only be activated when possessing at least one badge of the same series)#L0##C0xFF3D3D#,Tỷ lệ hút máu và tốc độ hồi Nộ khí của toàn bộ phe ta tăng 20%#L0##C0xFF3D3D#(Cần sở hữu ít nhất một huy hiệu cùng sê-ri mới có thể kích hoạt)#L0##C0xFF3D3D#,아군 전체의 흡혈률과 분노 회복 속도가 20% 증가합니다#L0##C0xFF3D3D#(최소 하나의 동일 시리즈 배지를 보유해야 활성화 가능)#L0##C0xFF3D3D#,A taxa de roubo de sangue e a taxa de recuperação de raiva de todo o grupo aumentam em 20%#L0##C0xFF3D3D# (só pode ser ativado se você tiver pelo menos um emblema da mesma série)#L0##C0xFF3D3D#,อัตราการขโมยเลือดและอัตราการฟื้นความโกรธของปาร์ตี้ทั้งหมดเพิ่มขึ้น 20%#L0##C0xFF3D3D# (เปิดใช้งานได้ก็ต่อเมื่อคุณมีตราอย่างน้อยหนึ่งอันจากซีรีส์เดียวกัน)#L0##C0xFF3D3D#
104,锋芒MAX,鋒芒MAX,Edge MAX,Sắc Bén MAX,칼날 MAX,Borda MAX,เอจแม็กซ์,301,4,50,7,city/adventure/random_tower/icon/icon_sh1.png,0,81104,己方主动技能攻击使敌方生命低于20%时会直接将其淘汰#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,己方主动技能攻击使敌方生命低于20%时会直接将其淘汰#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,"When an ally's active skill attack brings an enemy's HP below 20%, it will be directly eliminated#L0##C0xFF3D3D#(Can only be activated when possessing at least one badge of the same series)#L0##C0xFF3D3D#","Khi đòn tấn công kỹ năng chủ động của phe ta làm HP của kẻ địch xuống dưới 20%, sẽ trực tiếp loại bỏ nó#L0##C0xFF3D3D#(Cần sở hữu ít nhất một huy hiệu cùng sê-ri mới có thể kích hoạt)#L0##C0xFF3D3D#",아군의 액티브 스킬 공격이 적의 생명력을 20% 미만으로 만들면 즉시 제거합니다#L0##C0xFF3D3D#(최소 하나의 동일 시리즈 배지를 보유해야 활성화 가능)#L0##C0xFF3D3D#,"Quando seu próprio ataque de habilidade ativo reduzir a saúde do inimigo para menos de 20%, ele será eliminado diretamente #L0##C0xFF3D3D# (só pode ser ativado se você tiver pelo menos um emblema da mesma série) #L0##C0xFF3D3D#",เมื่อการโจมตีด้วยทักษะใช้งานของคุณเองทำให้สุขภาพของศัตรูลดลงเหลือต่ำกว่า 20% ศัตรูจะถูกกำจัดโดยตรง #L0##C0xFF3D3D# (เปิดใช้งานได้ก็ต่อเมื่อคุณมีตราอย่างน้อยหนึ่งอันจากซีรีส์เดียวกัน) #L0##C0xFF3D3D#
105,元素之力MAX,元素之力MAX,Element Force VMAX,Lực Lượng Nguyên Tố VMAX,원소의 힘 VMAX,Força Elementar VMAX,ธาตุแรง VMAX,1001,5,50,3,city/develop/talent/icon_sg.png,0,81105,己方所有元素之力的效果翻倍#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,己方所有元素之力的效果翻倍#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,The effects of all allied Element Forces are doubled#L0##C0xFF3D3D#(Can only be activated when possessing at least one badge of the same series)#L0##C0xFF3D3D#,Hiệu quả của tất cả Lực Lượng Nguyên Tố phe ta tăng gấp đôi#L0##C0xFF3D3D#(Cần sở hữu ít nhất một huy hiệu cùng sê-ri mới có thể kích hoạt)#L0##C0xFF3D3D#,아군의 모든 원소의 힘 효과가 두 배가 됩니다#L0##C0xFF3D3D#(최소 하나의 동일 시리즈 배지를 보유해야 활성화 가능)#L0##C0xFF3D3D#,Os efeitos de todos os seus poderes elementais são duplicados #L0##C0xFF3D3D# (só pode ser ativado se você tiver pelo menos um emblema da mesma série) #L0##C0xFF3D3D#,เอฟเฟกต์ของพลังธาตุทั้งหมดของคุณจะเพิ่มขึ้นเป็นสองเท่า #L0##C0xFF3D3D# (สามารถใช้งานได้ก็ต่อเมื่อคุณมีตราอย่างน้อยหนึ่งอันจากซีรีส์เดียวกัน) #L0##C0xFF3D3D#
106,灵山MAX,靈山MAX,Protection MAX,Bảo Vệ MAX,보호 MAX,Proteção MAX,การป้องกันสูงสุด,301,6,50,1,city/develop/talent/icon_wf.png,0,81106,战斗结束时所有存活精灵回复60%已损生命值#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,战斗结束时所有存活精灵回复60%已损生命值#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,"At the end of the battle, all surviving Pokémon recover 60% of their lost HP#L0##C0xFF3D3D#(Can only be activated when possessing at least one badge of the same series)#L0##C0xFF3D3D#","Khi kết thúc trận đấu, tất cả Pokémon còn sống sẽ hồi 60% HP đã mất#L0##C0xFF3D3D#(Cần sở hữu ít nhất một huy hiệu cùng sê-ri mới có thể kích hoạt)#L0##C0xFF3D3D#",전투 종료 시 모든 생존 포켓몬은 잃은 생명력의 60%를 회복합니다#L0##C0xFF3D3D#(최소 하나의 동일 시리즈 배지를 보유해야 활성화 가능)#L0##C0xFF3D3D#,"No final da batalha, todos os elfos sobreviventes recuperarão 60% da saúde perdida. #L0##C0xFF3D3D# (só pode ser ativado se você tiver pelo menos um emblema da mesma série) #L0##C0xFF3D3D#",เมื่อการต่อสู้สิ้นสุดลง เอลฟ์ที่รอดชีวิตทั้งหมดจะฟื้นฟูพลังชีวิตที่สูญเสียไป 60% #L0##C0xFF3D3D# (เปิดใช้งานได้ก็ต่อเมื่อคุณมีตราอย่างน้อยหนึ่งอันจากซีรีส์เดียวกัน) #L0##C0xFF3D3D#
107,御守MAX,禦守MAX,Block MAX,Chặn Đòn MAX,막기 MAX,Bloco MAX,บล็อคแม็กซ์,301,7,50,3,city/adventure/random_tower/icon/icon_jh.png,0,81107,己方全体抵御率和抵御强度提升60%#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,己方全体抵御率和抵御强度提升60%#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,Block Rate and Block Strength of all allies increase by 60%#L0##C0xFF3D3D#(Can only be activated when possessing at least one badge of the same series)#L0##C0xFF3D3D#,Tỷ lệ chặn đòn và Cường độ chặn đòn của toàn bộ phe ta tăng 60%#L0##C0xFF3D3D#(Cần sở hữu ít nhất một huy hiệu cùng sê-ri mới có thể kích hoạt)#L0##C0xFF3D3D#,아군 전체의 방어율과 방어 강도가 60% 증가합니다#L0##C0xFF3D3D#(최소 하나의 동일 시리즈 배지를 보유해야 활성화 가능)#L0##C0xFF3D3D#,A taxa de resistência geral e a força de resistência do grupo aumentam em 60%#L0##C0xFF3D3D# (só pode ser ativado se você tiver pelo menos um emblema da mesma série)#L0##C0xFF3D3D#,อัตราการต้านทานโดยรวมและความแข็งแกร่งในการต้านทานของปาร์ตี้จะเพิ่มขึ้น 60%#L0##C0xFF3D3D# (เปิดใช้งานได้ก็ต่อเมื่อคุณมีตราอย่างน้อยหนึ่งอันจากซีรีส์เดียวกัน)#L0##C0xFF3D3D#
108,荆棘MAX,荊棘MAX,Thorns MAX,Gai MAX,가시 MAX,Espinhos MAX,หนามแม็กซ์,1301,8,50,2,city/develop/talent/icon_shjm.png,0,81108,己方精灵阵亡时，会对敌方全体造成自身50%生命上限的伤害#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,己方精灵阵亡时，会对敌方全体造成自身50%生命上限的伤害#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,"When an allied Pokémon is defeated, it deals damage equal to 50% of its max HP to all enemies#L0##C0xFF3D3D#(Can only be activated when possessing at least one badge of the same series)#L0##C0xFF3D3D#","Khi một Pokémon phe ta bị đánh bại, sẽ gây sát thương bằng 50% HP tối đa của nó cho toàn bộ kẻ địch#L0##C0xFF3D3D#(Cần sở hữu ít nhất một huy hiệu cùng sê-ri mới có thể kích hoạt)#L0##C0xFF3D3D#","아군 포켓몬이 쓰러질 때, 적 전체에게 자신의 최대 생명력의 50%만큼 피해를 입힙니다#L0##C0xFF3D3D#(최소 하나의 동일 시리즈 배지를 보유해야 활성화 가능)#L0##C0xFF3D3D#","Quando seu próprio elfo morre, ele causará dano igual a 50% de sua saúde máxima a todos os inimigos. #L0##C0xFF3D3D# (só pode ser ativado se você tiver pelo menos um emblema da mesma série) #L0##C0xFF3D3D#",เมื่อเอลฟ์ของคุณเองตาย มันจะสร้างความเสียหายเท่ากับ 50% ของพลังชีวิตสูงสุดให้กับศัตรูทั้งหมด #L0##C0xFF3D3D# (สามารถใช้งานได้ก็ต่อเมื่อคุณมีตราอย่างน้อยหนึ่งอันจากซีรีส์เดียวกัน) #L0##C0xFF3D3D#
109,光盾MAX,光盾MAX,Light Shield MAX,Khiên Ánh Sáng MAX,빛의 방패 MAX,Escudo de Luz MAX,โล่แสงแม็กซ์,301,9,50,3,city/adventure/random_tower/icon/icon_fy.png,0,81109,己方全体每个大回合获得自身15%最大生命值的护盾#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,己方全体每个大回合获得自身15%最大生命值的护盾#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,All allies gain a shield equal to 15% of their max HP at the start of each major round#L0##C0xFF3D3D#(Can only be activated when possessing at least one badge of the same series)#L0##C0xFF3D3D#,Toàn bộ phe ta nhận khiên bằng 15% HP tối đa của bản thân vào đầu mỗi lượt lớn#L0##C0xFF3D3D#(Cần sở hữu ít nhất một huy hiệu cùng sê-ri mới có thể kích hoạt)#L0##C0xFF3D3D#,아군 전체가 매 큰 턴마다 자신의 최대 생명력의 15%에 해당하는 보호막을 얻습니다#L0##C0xFF3D3D#(최소 하나의 동일 시리즈 배지를 보유해야 활성화 가능)#L0##C0xFF3D3D#,Cada grupo amigo receberá um escudo equivalente a 15% de sua saúde máxima a cada rodada #L0##C0xFF3D3D# (só pode ser ativado se eles tiverem pelo menos um emblema da mesma série) #L0##C0xFF3D3D#,ฝ่ายมิตรแต่ละฝ่ายจะได้รับโล่ที่มูลค่า 15% ของพลังชีวิตสูงสุดในแต่ละรอบ #L0##C0xFF3D3D# (สามารถใช้งานได้ก็ต่อเมื่อมีตราอย่างน้อยหนึ่งอันจากซีรีส์เดียวกัน) #L0##C0xFF3D3D#
