变量名,huodongID,pointRequire,award,boxIcon,desc,desc_en
475,1034,200,{501=1;gold=120000;21891=3},2,无奖励吗,无奖励吗
476,1034,400,{501=2;gold=140000;21891=5},2,无奖励吗,无奖励吗
477,1034,600,{501=2;gold=160000;21891=5},2,无奖励吗,无奖励吗
478,1034,900,{501=2;gold=180000;21891=10},3,无奖励吗,无奖励吗
479,1034,1200,{501=2;gold=200000;21891=10},3,无奖励吗,无奖励吗
480,1034,1500,{501=3;gold=220000;21891=15},3,无奖励吗,无奖励吗
481,1035,30,{501=1;21251=2;gold=60000},1,无奖励吗,无奖励吗
482,1035,100,{501=2;21251=2;gold=80000},1,无奖励吗,无奖励吗
483,1035,300,{501=2;21251=3;gold=100000},1,无奖励吗,无奖励吗
484,1035,600,{501=3;21251=3;gold=120000},2,无奖励吗,无奖励吗
485,1035,1200,{501=3;21251=5;gold=140000},2,无奖励吗,无奖励吗
486,1035,1800,{501=4;21251=5;gold=160000},2,无奖励吗,无奖励吗
487,1035,2700,{501=5;21251=10;gold=180000},3,无奖励吗,无奖励吗
488,1035,3600,{501=6;21251=10;gold=200000},3,无奖励吗,无奖励吗
489,1035,5000,{501=8;21251=15;gold=220000},3,无奖励吗,无奖励吗
490,1036,30,{501=1;21421=2;gold=60000},1,无奖励吗,无奖励吗
491,1036,100,{501=2;21421=2;gold=80000},1,无奖励吗,无奖励吗
492,1036,300,{501=2;21421=3;gold=100000},1,无奖励吗,无奖励吗
493,1036,600,{501=3;21421=3;gold=120000},2,无奖励吗,无奖励吗
494,1036,1200,{501=3;21421=5;gold=140000},2,无奖励吗,无奖励吗
495,1036,1800,{501=4;21421=5;gold=160000},2,无奖励吗,无奖励吗
496,1036,2700,{501=5;21421=10;gold=180000},3,无奖励吗,无奖励吗
497,1036,3600,{501=6;21421=10;gold=200000},3,无奖励吗,无奖励吗
498,1036,5000,{501=8;21421=15;gold=220000},3,无奖励吗,无奖励吗
499,1037,30,{501=1;21901=2;gold=60000},1,无奖励吗,无奖励吗
500,1037,100,{501=2;21901=2;gold=80000},1,无奖励吗,无奖励吗
501,1037,300,{501=2;21901=3;gold=100000},1,无奖励吗,无奖励吗
502,1037,600,{501=3;21901=3;gold=120000},2,无奖励吗,无奖励吗
503,1037,1200,{501=3;21901=5;gold=140000},2,无奖励吗,无奖励吗
504,1037,1800,{501=4;21901=5;gold=160000},2,无奖励吗,无奖励吗
505,1037,2700,{501=5;21901=10;gold=180000},3,无奖励吗,无奖励吗
506,1037,3600,{501=6;21901=10;gold=200000},3,无奖励吗,无奖励吗
507,1037,5000,{501=8;21901=15;gold=220000},3,无奖励吗,无奖励吗
508,1038,30,{22231=3;501=1;gold=60000},1,无奖励吗,无奖励吗
509,1038,100,{22231=5;501=2;gold=80000},1,无奖励吗,无奖励吗
510,1038,300,{22231=5;501=2;gold=100000},1,无奖励吗,无奖励吗
511,1038,600,{22231=7;501=3;gold=120000},2,无奖励吗,无奖励吗
512,1038,1200,{22231=10;501=3;gold=140000},2,无奖励吗,无奖励吗
513,1038,1800,{22231=10;501=4;gold=160000},2,无奖励吗,无奖励吗
514,1038,2700,{22231=15;501=5;gold=180000},3,无奖励吗,无奖励吗
515,1038,3600,{22231=15;501=6;gold=200000},3,无奖励吗,无奖励吗
516,1038,5000,{22231=30;501=8;gold=220000},3,无奖励吗,无奖励吗
517,1039,30,{22241=3;501=1;gold=60000},1,无奖励吗,无奖励吗
518,1039,100,{22241=5;501=2;gold=80000},1,无奖励吗,无奖励吗
519,1039,300,{22241=5;501=2;gold=100000},1,无奖励吗,无奖励吗
520,1039,600,{22241=7;501=3;gold=120000},2,无奖励吗,无奖励吗
521,1039,1200,{22241=10;501=3;gold=140000},2,无奖励吗,无奖励吗
522,1039,1800,{22241=10;501=4;gold=160000},2,无奖励吗,无奖励吗
523,1039,2700,{22241=15;501=5;gold=180000},3,无奖励吗,无奖励吗
524,1039,3600,{22241=15;501=6;gold=200000},3,无奖励吗,无奖励吗
525,1039,5000,{22241=30;501=8;gold=220000},3,无奖励吗,无奖励吗
526,1040,30,{501=1;gold=60000;21921=3},1,无奖励吗,无奖励吗
527,1040,100,{501=2;gold=80000;21921=5},1,无奖励吗,无奖励吗
528,1040,300,{501=2;gold=100000;21921=5},1,无奖励吗,无奖励吗
529,1040,600,{501=3;gold=120000;21921=7},2,无奖励吗,无奖励吗
530,1040,1200,{501=3;gold=140000;21921=10},2,无奖励吗,无奖励吗
531,1040,1800,{501=4;gold=160000;21921=10},2,无奖励吗,无奖励吗
532,1040,2700,{501=5;gold=180000;21921=15},3,无奖励吗,无奖励吗
533,1040,3600,{501=6;gold=200000;21921=15},3,无奖励吗,无奖励吗
534,1040,5000,{501=8;gold=220000;21921=30},3,无奖励吗,无奖励吗
535,1041,30,{501=1;gold=60000;22401=3},1,无奖励吗,无奖励吗
536,1041,100,{501=2;gold=80000;22401=5},1,无奖励吗,无奖励吗
537,1041,300,{501=2;gold=100000;22401=5},1,无奖励吗,无奖励吗
538,1041,600,{501=3;gold=120000;22401=7},2,无奖励吗,无奖励吗
539,1041,1200,{501=3;gold=140000;22401=10},2,无奖励吗,无奖励吗
540,1041,1800,{501=4;gold=160000;22401=10},2,无奖励吗,无奖励吗
541,1041,2700,{501=5;gold=180000;22401=15},3,无奖励吗,无奖励吗
542,1041,3600,{501=6;gold=200000;22401=15},3,无奖励吗,无奖励吗
543,1041,5000,{501=8;gold=220000;22401=30},3,无奖励吗,无奖励吗
544,1042,30,{22471=3;501=1;gold=60000},1,无奖励吗,无奖励吗
545,1042,100,{22471=5;501=2;gold=80000},1,无奖励吗,无奖励吗
546,1042,300,{22471=5;501=2;gold=100000},1,无奖励吗,无奖励吗
547,1042,600,{22471=7;501=3;gold=120000},2,无奖励吗,无奖励吗
548,1042,1200,{22471=10;501=3;gold=140000},2,无奖励吗,无奖励吗
549,1042,1800,{22471=10;501=4;gold=160000},2,无奖励吗,无奖励吗
550,1042,2700,{22471=15;501=5;gold=180000},3,无奖励吗,无奖励吗
551,1042,3600,{22471=15;501=6;gold=200000},3,无奖励吗,无奖励吗
552,1042,5000,{22471=30;501=8;gold=220000},3,无奖励吗,无奖励吗
553,1043,30,{501=1;23151=3;gold=60000},1,无奖励吗,无奖励吗
554,1043,100,{501=2;23151=5;gold=80000},1,无奖励吗,无奖励吗
555,1043,300,{501=2;23151=5;gold=100000},1,无奖励吗,无奖励吗
556,1043,600,{501=3;23151=7;gold=120000},2,无奖励吗,无奖励吗
557,1043,1200,{501=3;23151=10;gold=140000},2,无奖励吗,无奖励吗
558,1043,1800,{501=4;23151=10;gold=160000},2,无奖励吗,无奖励吗
559,1043,2700,{501=5;23151=15;gold=180000},3,无奖励吗,无奖励吗
560,1043,3600,{501=6;23151=15;gold=200000},3,无奖励吗,无奖励吗
561,1043,5000,{501=8;23151=30;gold=220000},3,无奖励吗,无奖励吗
562,1044,30,{501=1;gold=60000;20641=3},1,无奖励吗,无奖励吗
563,1044,100,{501=2;gold=80000;20641=5},1,无奖励吗,无奖励吗
564,1044,300,{501=2;gold=100000;20641=5},1,无奖励吗,无奖励吗
565,1044,600,{501=3;gold=120000;20641=7},2,无奖励吗,无奖励吗
566,1044,1200,{501=3;gold=140000;20641=10},2,无奖励吗,无奖励吗
567,1044,1800,{501=4;gold=160000;20641=10},2,无奖励吗,无奖励吗
568,1044,2700,{501=5;gold=180000;20641=15},3,无奖励吗,无奖励吗
569,1044,3600,{501=6;gold=200000;20641=15},3,无奖励吗,无奖励吗
570,1044,5000,{501=8;gold=220000;20641=30},3,无奖励吗,无奖励吗
571,1045,30,{501=1;23771=3;gold=60000},1,无奖励吗,无奖励吗
572,1045,100,{501=2;23771=5;gold=80000},1,无奖励吗,无奖励吗
573,1045,300,{501=2;23771=5;gold=100000},1,无奖励吗,无奖励吗
574,1045,600,{501=3;23771=7;gold=120000},2,无奖励吗,无奖励吗
575,1045,1200,{501=3;23771=10;gold=140000},2,无奖励吗,无奖励吗
576,1045,1800,{501=4;23771=10;gold=160000},2,无奖励吗,无奖励吗
577,1045,2700,{501=5;23771=15;gold=180000},3,无奖励吗,无奖励吗
578,1045,3600,{501=6;23771=15;gold=200000},3,无奖励吗,无奖励吗
579,1045,5000,{501=8;23771=30;gold=220000},3,无奖励吗,无奖励吗
580,1046,30,{23841=3;501=1;gold=60000},1,无奖励吗,无奖励吗
581,1046,100,{23841=5;501=2;gold=80000},1,无奖励吗,无奖励吗
582,1046,300,{23841=5;501=2;gold=100000},1,无奖励吗,无奖励吗
583,1046,600,{23841=7;501=3;gold=120000},2,无奖励吗,无奖励吗
584,1046,1200,{23841=10;501=3;gold=140000},2,无奖励吗,无奖励吗
585,1046,1800,{23841=10;501=4;gold=160000},2,无奖励吗,无奖励吗
586,1046,2700,{23841=15;501=5;gold=180000},3,无奖励吗,无奖励吗
587,1046,3600,{23841=15;501=6;gold=200000},3,无奖励吗,无奖励吗
588,1046,5000,{23841=30;501=8;gold=220000},3,无奖励吗,无奖励吗
589,1047,30,{501=1;21031=3;gold=60000},1,无奖励吗,无奖励吗
590,1047,100,{501=2;21031=5;gold=80000},1,无奖励吗,无奖励吗
591,1047,300,{501=2;21031=5;gold=100000},1,无奖励吗,无奖励吗
592,1047,600,{501=3;21031=7;gold=120000},2,无奖励吗,无奖励吗
593,1047,1200,{501=3;21031=10;gold=140000},2,无奖励吗,无奖励吗
594,1047,1800,{501=4;21031=10;gold=160000},2,无奖励吗,无奖励吗
595,1047,2700,{501=5;21031=15;gold=180000},3,无奖励吗,无奖励吗
596,1047,3600,{501=6;21031=15;gold=200000},3,无奖励吗,无奖励吗
597,1047,5000,{501=8;21031=30;gold=220000},3,无奖励吗,无奖励吗
598,1048,30,{501=1;gold=60000;24131=3},1,无奖励吗,无奖励吗
599,1048,100,{501=2;gold=80000;24131=5},1,无奖励吗,无奖励吗
600,1048,300,{501=2;gold=100000;24131=5},1,无奖励吗,无奖励吗
601,1048,600,{501=3;gold=120000;24131=7},2,无奖励吗,无奖励吗
602,1048,1200,{501=3;gold=140000;24131=10},2,无奖励吗,无奖励吗
603,1048,1800,{501=4;gold=160000;24131=10},2,无奖励吗,无奖励吗
604,1048,2700,{501=5;gold=180000;24131=15},3,无奖励吗,无奖励吗
605,1048,3600,{501=6;gold=200000;24131=15},3,无奖励吗,无奖励吗
606,1048,5000,{501=8;gold=220000;24131=30},3,无奖励吗,无奖励吗
607,1049,30,{501=1;20861=3;gold=60000},1,无奖励吗,无奖励吗
608,1049,100,{501=2;20861=5;gold=80000},1,无奖励吗,无奖励吗
609,1049,300,{501=2;20861=5;gold=100000},1,无奖励吗,无奖励吗
610,1049,600,{501=3;20861=7;gold=120000},2,无奖励吗,无奖励吗
611,1049,1200,{501=3;20861=10;gold=140000},2,无奖励吗,无奖励吗
612,1049,1800,{501=4;20861=10;gold=160000},2,无奖励吗,无奖励吗
613,1049,2700,{501=5;20861=15;gold=180000},3,无奖励吗,无奖励吗
614,1049,3600,{501=6;20861=15;gold=200000},3,无奖励吗,无奖励吗
615,1049,5000,{501=8;20861=30;gold=220000},3,无奖励吗,无奖励吗
616,1050,30,{501=1;23251=3;gold=60000},1,无奖励吗,无奖励吗
617,1050,100,{501=2;23251=5;gold=80000},1,无奖励吗,无奖励吗
618,1050,300,{501=2;23251=5;gold=100000},1,无奖励吗,无奖励吗
619,1050,600,{501=3;23251=7;gold=120000},2,无奖励吗,无奖励吗
620,1050,1200,{501=3;23251=10;gold=140000},2,无奖励吗,无奖励吗
621,1050,1800,{501=4;23251=10;gold=160000},2,无奖励吗,无奖励吗
622,1050,2700,{501=5;23251=15;gold=180000},3,无奖励吗,无奖励吗
623,1050,3600,{501=6;23251=15;gold=200000},3,无奖励吗,无奖励吗
624,1050,5000,{501=8;23251=30;gold=220000},3,无奖励吗,无奖励吗
625,1051,30,{501=1;gold=60000;23161=3},1,无奖励吗,无奖励吗
626,1051,100,{501=2;gold=80000;23161=5},1,无奖励吗,无奖励吗
627,1051,300,{501=2;gold=100000;23161=5},1,无奖励吗,无奖励吗
628,1051,600,{501=3;gold=120000;23161=7},2,无奖励吗,无奖励吗
629,1051,1200,{501=3;gold=140000;23161=10},2,无奖励吗,无奖励吗
630,1051,1800,{501=4;gold=160000;23161=10},2,无奖励吗,无奖励吗
631,1051,2700,{501=5;gold=180000;23161=15},3,无奖励吗,无奖励吗
632,1051,3600,{501=6;gold=200000;23161=15},3,无奖励吗,无奖励吗
633,1051,5000,{501=8;gold=220000;23161=30},3,无奖励吗,无奖励吗
634,1052,30,{501=1;23171=3;gold=60000},1,无奖励吗,无奖励吗
635,1052,100,{501=2;23171=5;gold=80000},1,无奖励吗,无奖励吗
636,1052,300,{501=2;23171=5;gold=100000},1,无奖励吗,无奖励吗
637,1052,600,{501=3;23171=7;gold=120000},2,无奖励吗,无奖励吗
638,1052,1200,{501=3;23171=10;gold=140000},2,无奖励吗,无奖励吗
639,1052,1800,{501=4;23171=10;gold=160000},2,无奖励吗,无奖励吗
640,1052,2700,{501=5;23171=15;gold=180000},3,无奖励吗,无奖励吗
641,1052,3600,{501=6;23171=15;gold=200000},3,无奖励吗,无奖励吗
642,1052,5000,{501=8;23171=30;gold=220000},3,无奖励吗,无奖励吗
643,1053,30,{501=1;23181=3;gold=60000},1,无奖励吗,无奖励吗
644,1053,100,{501=2;23181=5;gold=80000},1,无奖励吗,无奖励吗
645,1053,300,{501=2;23181=5;gold=100000},1,无奖励吗,无奖励吗
646,1053,600,{501=3;23181=7;gold=120000},2,无奖励吗,无奖励吗
647,1053,1200,{501=3;23181=10;gold=140000},2,无奖励吗,无奖励吗
648,1053,1800,{501=4;23181=10;gold=160000},2,无奖励吗,无奖励吗
649,1053,2700,{501=5;23181=15;gold=180000},3,无奖励吗,无奖励吗
650,1053,3600,{501=6;23181=15;gold=200000},3,无奖励吗,无奖励吗
651,1053,5000,{501=8;23181=30;gold=220000},3,无奖励吗,无奖励吗
652,1053,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
653,1053,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
654,1053,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
655,1054,30,{20381=3;501=1;gold=60000},1,无奖励吗,无奖励吗
656,1054,100,{20381=5;501=2;gold=80000},1,无奖励吗,无奖励吗
657,1054,300,{20381=5;501=2;gold=100000},1,无奖励吗,无奖励吗
658,1054,600,{20381=7;501=3;gold=120000},2,无奖励吗,无奖励吗
659,1054,1200,{20381=10;501=3;gold=140000},2,无奖励吗,无奖励吗
660,1054,1800,{20381=10;501=4;gold=160000},2,无奖励吗,无奖励吗
661,1054,2700,{20381=15;501=5;gold=180000},3,无奖励吗,无奖励吗
662,1054,3600,{20381=15;501=6;gold=200000},3,无奖励吗,无奖励吗
663,1054,5000,{20381=30;501=8;gold=220000},3,无奖励吗,无奖励吗
664,1054,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
665,1054,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
666,1054,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
667,1055,30,{501=1;20501=3;gold=60000},1,无奖励吗,无奖励吗
668,1055,100,{501=2;20501=5;gold=80000},1,无奖励吗,无奖励吗
669,1055,300,{501=2;20501=5;gold=100000},1,无奖励吗,无奖励吗
670,1055,600,{501=3;20501=7;gold=120000},2,无奖励吗,无奖励吗
671,1055,1200,{501=3;20501=10;gold=140000},2,无奖励吗,无奖励吗
672,1055,1800,{501=4;20501=10;gold=160000},2,无奖励吗,无奖励吗
673,1055,2700,{501=5;20501=15;gold=180000},3,无奖励吗,无奖励吗
674,1055,3600,{501=6;20501=15;gold=200000},3,无奖励吗,无奖励吗
675,1055,5000,{501=8;20501=30;gold=220000},3,无奖励吗,无奖励吗
676,1055,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
677,1055,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
678,1055,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
679,1056,30,{501=1;gold=60000;20611=3},1,无奖励吗,无奖励吗
680,1056,100,{501=2;gold=80000;20611=5},1,无奖励吗,无奖励吗
681,1056,300,{501=2;gold=100000;20611=5},1,无奖励吗,无奖励吗
682,1056,600,{501=3;gold=120000;20611=7},2,无奖励吗,无奖励吗
683,1056,1200,{501=3;gold=140000;20611=10},2,无奖励吗,无奖励吗
684,1056,1800,{501=4;gold=160000;20611=10},2,无奖励吗,无奖励吗
685,1056,2700,{501=5;gold=180000;20611=15},3,无奖励吗,无奖励吗
686,1056,3600,{501=6;gold=200000;20611=15},3,无奖励吗,无奖励吗
687,1056,5000,{501=8;gold=220000;20611=30},3,无奖励吗,无奖励吗
688,1056,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
689,1056,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
690,1056,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
691,1057,30,{501=1;23681=3;gold=60000},1,无奖励吗,无奖励吗
692,1057,100,{501=2;23681=5;gold=80000},1,无奖励吗,无奖励吗
693,1057,300,{501=2;23681=5;gold=100000},1,无奖励吗,无奖励吗
694,1057,600,{501=3;23681=7;gold=120000},2,无奖励吗,无奖励吗
695,1057,1200,{501=3;23681=10;gold=140000},2,无奖励吗,无奖励吗
696,1057,1800,{501=4;23681=10;gold=160000},2,无奖励吗,无奖励吗
697,1057,2700,{501=5;23681=15;gold=180000},3,无奖励吗,无奖励吗
698,1057,3600,{501=6;23681=15;gold=200000},3,无奖励吗,无奖励吗
699,1057,5000,{501=8;23681=30;gold=220000},3,无奖励吗,无奖励吗
700,1057,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
701,1057,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
702,1057,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
703,1058,30,{501=1;23181=3;gold=60000},1,无奖励吗,无奖励吗
704,1058,100,{501=2;23181=5;gold=80000},1,无奖励吗,无奖励吗
705,1058,300,{501=2;23181=5;gold=100000},1,无奖励吗,无奖励吗
706,1058,600,{501=3;23181=7;gold=120000},2,无奖励吗,无奖励吗
707,1058,1200,{501=3;23181=10;gold=140000},2,无奖励吗,无奖励吗
708,1058,1800,{501=4;23181=10;gold=160000},2,无奖励吗,无奖励吗
709,1058,2700,{501=5;23181=15;gold=180000},3,无奖励吗,无奖励吗
710,1058,3600,{501=6;23181=15;gold=200000},3,无奖励吗,无奖励吗
711,1058,5000,{501=8;23181=30;gold=220000},3,无奖励吗,无奖励吗
712,1058,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
713,1058,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
714,1058,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
715,1059,30,{20381=3;501=1;gold=60000},1,无奖励吗,无奖励吗
716,1059,100,{20381=5;501=2;gold=80000},1,无奖励吗,无奖励吗
717,1059,300,{20381=5;501=2;gold=100000},1,无奖励吗,无奖励吗
718,1059,600,{20381=7;501=3;gold=120000},2,无奖励吗,无奖励吗
719,1059,1200,{20381=10;501=3;gold=140000},2,无奖励吗,无奖励吗
720,1059,1800,{20381=10;501=4;gold=160000},2,无奖励吗,无奖励吗
721,1059,2700,{20381=15;501=5;gold=180000},3,无奖励吗,无奖励吗
722,1059,3600,{20381=15;501=6;gold=200000},3,无奖励吗,无奖励吗
723,1059,5000,{20381=30;501=8;gold=220000},3,无奖励吗,无奖励吗
724,1059,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
725,1059,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
726,1059,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
727,1060,30,{501=1;20501=3;gold=60000},1,无奖励吗,无奖励吗
728,1060,100,{501=2;20501=5;gold=80000},1,无奖励吗,无奖励吗
729,1060,300,{501=2;20501=5;gold=100000},1,无奖励吗,无奖励吗
730,1060,600,{501=3;20501=7;gold=120000},2,无奖励吗,无奖励吗
731,1060,1200,{501=3;20501=10;gold=140000},2,无奖励吗,无奖励吗
732,1060,1800,{501=4;20501=10;gold=160000},2,无奖励吗,无奖励吗
733,1060,2700,{501=5;20501=15;gold=180000},3,无奖励吗,无奖励吗
734,1060,3600,{501=6;20501=15;gold=200000},3,无奖励吗,无奖励吗
735,1060,5000,{501=8;20501=30;gold=220000},3,无奖励吗,无奖励吗
736,1060,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
737,1060,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
738,1060,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
739,1061,30,{501=1;gold=60000;20611=3},1,无奖励吗,无奖励吗
740,1061,100,{501=2;gold=80000;20611=5},1,无奖励吗,无奖励吗
741,1061,300,{501=2;gold=100000;20611=5},1,无奖励吗,无奖励吗
742,1061,600,{501=3;gold=120000;20611=7},2,无奖励吗,无奖励吗
743,1061,1200,{501=3;gold=140000;20611=10},2,无奖励吗,无奖励吗
744,1061,1800,{501=4;gold=160000;20611=10},2,无奖励吗,无奖励吗
745,1061,2700,{501=5;gold=180000;20611=15},3,无奖励吗,无奖励吗
746,1061,3600,{501=6;gold=200000;20611=15},3,无奖励吗,无奖励吗
747,1061,5000,{501=8;gold=220000;20611=30},3,无奖励吗,无奖励吗
748,1061,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
749,1061,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
750,1061,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
751,1062,30,{501=1;23681=3;gold=60000},1,无奖励吗,无奖励吗
752,1062,100,{501=2;23681=5;gold=80000},1,无奖励吗,无奖励吗
753,1062,300,{501=2;23681=5;gold=100000},1,无奖励吗,无奖励吗
754,1062,600,{501=3;23681=7;gold=120000},2,无奖励吗,无奖励吗
755,1062,1200,{501=3;23681=10;gold=140000},2,无奖励吗,无奖励吗
756,1062,1800,{501=4;23681=10;gold=160000},2,无奖励吗,无奖励吗
757,1062,2700,{501=5;23681=15;gold=180000},3,无奖励吗,无奖励吗
758,1062,3600,{501=6;23681=15;gold=200000},3,无奖励吗,无奖励吗
759,1062,5000,{501=8;23681=30;gold=220000},3,无奖励吗,无奖励吗
760,1062,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
761,1062,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
762,1062,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
763,1063,30,{501=1;23201=3;gold=60000},1,无奖励吗,无奖励吗
764,1063,100,{501=2;23201=5;gold=80000},1,无奖励吗,无奖励吗
765,1063,300,{501=2;23201=5;gold=100000},1,无奖励吗,无奖励吗
766,1063,600,{501=3;23201=7;gold=120000},2,无奖励吗,无奖励吗
767,1063,1200,{501=3;23201=10;gold=140000},2,无奖励吗,无奖励吗
768,1063,1800,{501=4;23201=10;gold=160000},2,无奖励吗,无奖励吗
769,1063,2700,{501=5;23201=15;gold=180000},3,无奖励吗,无奖励吗
770,1063,3600,{501=6;23201=15;gold=200000},3,无奖励吗,无奖励吗
771,1063,5000,{501=8;23201=30;gold=220000},3,无奖励吗,无奖励吗
772,1063,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
773,1063,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
774,1063,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
775,1064,30,{501=1;23201=3;gold=60000},1,无奖励吗,无奖励吗
776,1064,100,{501=2;23201=5;gold=80000},1,无奖励吗,无奖励吗
777,1064,300,{501=2;23201=5;gold=100000},1,无奖励吗,无奖励吗
778,1064,600,{501=3;23201=7;gold=120000},2,无奖励吗,无奖励吗
779,1064,1200,{501=3;23201=10;gold=140000},2,无奖励吗,无奖励吗
780,1064,1800,{501=4;23201=10;gold=160000},2,无奖励吗,无奖励吗
781,1064,2700,{501=5;23201=15;gold=180000},3,无奖励吗,无奖励吗
782,1064,3600,{501=6;23201=15;gold=200000},3,无奖励吗,无奖励吗
783,1064,5000,{501=8;23201=30;gold=220000},3,无奖励吗,无奖励吗
784,1064,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
785,1064,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
786,1064,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
787,1065,30,{501=1;23201=3;gold=60000},1,无奖励吗,无奖励吗
788,1065,100,{501=2;23201=5;gold=80000},1,无奖励吗,无奖励吗
789,1065,300,{501=2;23201=5;gold=100000},1,无奖励吗,无奖励吗
790,1065,600,{501=3;23201=7;gold=120000},2,无奖励吗,无奖励吗
791,1065,1200,{501=3;23201=10;gold=140000},2,无奖励吗,无奖励吗
792,1065,1800,{501=4;23201=10;gold=160000},2,无奖励吗,无奖励吗
793,1065,2700,{501=5;23201=15;gold=180000},3,无奖励吗,无奖励吗
794,1065,3600,{501=6;23201=15;gold=200000},3,无奖励吗,无奖励吗
795,1065,5000,{501=8;23201=30;gold=220000},3,无奖励吗,无奖励吗
796,1065,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
797,1065,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
798,1065,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
799,1066,30,{501=1;23201=3;gold=60000},1,无奖励吗,无奖励吗
800,1066,100,{501=2;23201=5;gold=80000},1,无奖励吗,无奖励吗
801,1066,300,{501=2;23201=5;gold=100000},1,无奖励吗,无奖励吗
802,1066,600,{501=3;23201=7;gold=120000},2,无奖励吗,无奖励吗
803,1066,1200,{501=3;23201=10;gold=140000},2,无奖励吗,无奖励吗
804,1066,1800,{501=4;23201=10;gold=160000},2,无奖励吗,无奖励吗
805,1066,2700,{501=5;23201=15;gold=180000},3,无奖励吗,无奖励吗
806,1066,3600,{501=6;23201=15;gold=200000},3,无奖励吗,无奖励吗
807,1066,5000,{501=8;23201=30;gold=220000},3,无奖励吗,无奖励吗
808,1066,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
809,1066,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
810,1066,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
811,1067,30,{501=1;23201=3;gold=60000},1,无奖励吗,无奖励吗
812,1067,100,{501=2;23201=5;gold=80000},1,无奖励吗,无奖励吗
813,1067,300,{501=2;23201=5;gold=100000},1,无奖励吗,无奖励吗
814,1067,600,{501=3;23201=7;gold=120000},2,无奖励吗,无奖励吗
815,1067,1200,{501=3;23201=10;gold=140000},2,无奖励吗,无奖励吗
816,1067,1800,{501=4;23201=10;gold=160000},2,无奖励吗,无奖励吗
817,1067,2700,{501=5;23201=15;gold=180000},3,无奖励吗,无奖励吗
818,1067,3600,{501=6;23201=15;gold=200000},3,无奖励吗,无奖励吗
819,1067,5000,{501=8;23201=30;gold=220000},3,无奖励吗,无奖励吗
820,1067,7000,{501=10;6059=1;gold=250000},3,无奖励吗,无奖励吗
821,1067,10000,{501=12;6059=1;gold=300000},3,无奖励吗,无奖励吗
822,1067,15000,{501=15;2153=1;gold=300000},3,无奖励吗,无奖励吗
823,1068,30,{501=1;23201=3;gold=60000},1,无奖励吗,无奖励吗
824,1068,100,{501=2;23201=5;gold=80000},1,无奖励吗,无奖励吗
825,1068,300,{501=2;23201=5;gold=100000},1,无奖励吗,无奖励吗
826,1068,600,{501=3;23201=7;gold=120000},2,无奖励吗,无奖励吗
